"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abudi","","","","","1","1","657","657","0","100.00"
"Achhidra","","","","","1","1","137","137","0","100.00"
"Adpokar","","","","","1","1","155","155","0","100.00"
"Advi","","","","","1","1","363","363","0","100.00"
"Agatrai","","","","","1","1","1179","1179","0","100.00"
"Ajab","","","","","1","1","1898","1898","0","100.00"
"Ajak","","","","","1","1","345","345","0","100.00"
"Ajotha","","","","","1","1","707","707","0","100.00"
"Akala","","","","","1","1","182","182","0","100.00"
"Akala Gir","","","","","1","1","88","88","0","100.00"
"Akha","","","","","1","1","394","394","0","100.00"
"Akhodad","","","","","1","1","398","398","0","100.00"
"Alidar","","","","","1","1","1310","1310","0","100.00"
"Alidhra","","","","","1","1","230","230","0","100.00"
"Alidhra","","","","","1","1","664","664","0","100.00"
"Amargadh","","","","","1","1","163","163","0","100.00"
"Ambada","","","","","1","1","580","580","0","100.00"
"Ambala","","","","","1","1","379","379","0","100.00"
"Ambala","","","","","1","1","183","183","0","100.00"
"Ambalgadh","","","","","1","1","279","279","0","100.00"
"Ambaliya","","","","","1","1","278","278","0","100.00"
"Ambaliya","","","","","1","1","244","244","0","100.00"
"Ambaliyala","","","","","1","1","283","283","0","100.00"
"Ambavad","","","","","1","1","657","657","0","100.00"
"Ambecha","","","","","1","1","209","209","0","100.00"
"Ambla","","","","","1","1","218","218","0","100.00"
"Amblash","","","","","1","1","945","945","0","100.00"
"Amodra","","","","","1","1","657","657","0","100.00"
"Amrapur","","","","","1","1","210","210","0","100.00"
"Amrapur","","","","","1","1","210","210","0","100.00"
"Amrapur Gir","","","","","1","1","789","789","0","100.00"
"Amrutvel","","","","","1","1","74","74","0","100.00"
"Anand Para","","","","","1","1","206","206","0","100.00"
"Anandpur","","","","","1","1","160","160","0","100.00"
"Anandpur","","","","","1","1","299","299","0","100.00"
"Anida","","","","","1","1","244","244","0","100.00"
"Anjar","","","","","1","1","609","609","0","100.00"
"Ankolali","","","","","1","1","657","657","0","100.00"
"Ankolvadi","","","","","1","1","1326","1326","0","100.00"
"Antroli","","","","","1","1","683","683","0","100.00"
"Aral","","","","","1","1","657","657","0","100.00"
"Arena","","","","","1","1","479","479","0","100.00"
"Arithiya","","","","","1","1","167","167","0","100.00"
"Arnej","","","","","1","1","1067","1067","0","100.00"
"Arniyala","","","","","1","1","585","585","0","100.00"
"Asundrali","","","","","1","1","657","657","0","100.00"
"Avaniya","","","","","1","1","431","431","0","100.00"
"Avatadiya Mota","","","","","1","1","108","108","0","100.00"
"Avatadiya Nana","","","","","1","1","39","39","0","100.00"
"Babar Tirath","","","","","1","1","127","127","0","100.00"
"Babariya","","","","","1","1","88","88","0","100.00"
"Babra","","","","","1","1","182","182","0","100.00"
"Badalpara","","","","","1","1","211","211","0","100.00"
"Badalpur","","","","","1","1","247","247","0","100.00"
"Badodar","","","","","1","1","469","469","0","100.00"
"Bagasra-Ghed","","","","","1","1","775","775","0","100.00"
"Bagdu","","","","","1","1","863","863","0","100.00"
"Bagoya","","","","","1","1","7","7","0","100.00"
"Bakula Dhanej","","","","","1","1","678","678","0","100.00"
"Balagam","","","","","1","1","78","78","0","100.00"
"Baliyavad","","","","","1","1","251","251","0","100.00"
"Balot","","","","","1","1","507","507","0","100.00"
"Bamanasa","","","","","1","1","349","349","0","100.00"
"Bamangadh","","","","","1","1","348","348","0","100.00"
"Bamangam","","","","","1","1","187","187","0","100.00"
"Bamanvada","","","","","1","1","400","400","0","100.00"
"Bamnasa","","","","","1","1","123","123","0","100.00"
"Bandhala","","","","","1","1","367","367","0","100.00"
"Bandharda","","","","","1","1","245","245","0","100.00"
"Bandhda","","","","","1","1","238","238","0","100.00"
"Banej","","","","","1","1","88","88","0","100.00"
"Bantiya","","","","","1","1","283","283","0","100.00"
"Baradiya","","","","","1","1","586","586","0","100.00"
"Barda","","","","","1","1","169","169","0","100.00"
"Barula","","","","","1","1","173","173","0","100.00"
"Barvala","","","","","1","1","271","271","0","100.00"
"Barvaniya Nes","","","","","1","1","6","6","0","100.00"
"Barwala","","","","","1","1","88","88","0","100.00"
"Barwala","","","","","1","1","431","431","0","100.00"
"Barwala","","","","","1","1","173","173","0","100.00"
"Bava Simroli","","","","","1","1","231","231","0","100.00"
"Bediya","","","","","1","1","344","344","0","100.00"
"Bela","","","","","1","1","72","72","0","100.00"
"Bhacha","","","","","1","1","667","667","0","100.00"
"Bhadasi","","","","","1","1","657","657","0","100.00"
"Bhadiyadar","","","","","1","1","484","484","0","100.00"
"Bhakha","","","","","1","1","227","227","0","100.00"
"Bhalchhel","","","","","1","1","327","327","0","100.00"
"Bhalechda","","","","","1","1","113","113","0","100.00"
"Bhalgam","","","","","1","1","359","359","0","100.00"
"Bhalgam","","","","","1","1","841","841","0","100.00"
"Bhanduri","","","","","1","1","1124","1124","0","100.00"
"Bhankharvad","","","","","1","1","171","171","0","100.00"
"Bharawala","","","","","1","1","88","88","0","100.00"
"Bhat Simroli","","","","","1","1","253","253","0","100.00"
"Bhat Vavdi","","","","","1","1","44","44","0","100.00"
"Bhatgam","","","","","1","1","212","212","0","100.00"
"Bhatgam","","","","","1","1","231","231","0","100.00"
"Bhathrot","","","","","1","1","398","398","0","100.00"
"Bhatiya","","","","","1","1","267","267","0","100.00"
"Bhayadhar","","","","","1","1","88","88","0","100.00"
"Bhebha","","","","","1","1","344","344","0","100.00"
"Bherala","","","","","1","1","210","210","0","100.00"
"Bhesan","","","","","1","1","2338","2338","0","100.00"
"Bhetali","","","","","1","1","227","227","0","100.00"
"Bhimdeval","","","","","1","1","134","134","0","100.00"
"Bhindora","","","","","1","1","332","332","0","100.00"
"Bhingran","","","","","1","1","657","657","0","100.00"
"Bhiyal","","","","","1","1","289","289","0","100.00"
"Bhiyal","","","","","1","1","115","115","0","100.00"
"Bhojde","","","","","1","1","345","345","0","100.00"
"Bhutada Hodi","","","","","1","1","88","88","0","100.00"
"Bhutdi","","","","","1","1","344","344","0","100.00"
"Bij","","","","","1","1","636","636","0","100.00"
"Bilivali Tali","","","","","1","1","88","88","0","100.00"
"Biliyat","","","","","1","1","88","88","0","100.00"
"Biliyat Nes","","","","","1","1","88","88","0","100.00"
"Bilkha","","","","","1","1","2303","2303","0","100.00"
"Bobadiya","","","","","1","1","115","115","0","100.00"
"Bodi","","","","","1","1","253","253","0","100.00"
"Bodidar","","","","","1","1","552","552","0","100.00"
"Bodka","","","","","1","1","213","213","0","100.00"
"Bodka","","","","","1","1","437","437","0","100.00"
"Bodva","","","","","1","1","169","169","0","100.00"
"Bolas","","","","","1","1","454","454","0","100.00"
"Borvav","","","","","1","1","972","972","0","100.00"
"Budhecha","","","","","1","1","52","52","0","100.00"
"Buri","","","","","1","1","297","297","0","100.00"
"Chamoda","","","","","1","1","360","360","0","100.00"
"Chanaka","","","","","1","1","570","570","0","100.00"
"Chanchakvad","","","","","1","1","487","487","0","100.00"
"Chandigadh","","","","","1","1","217","217","0","100.00"
"Chandravadi","","","","","1","1","210","210","0","100.00"
"Chandvana","","","","","1","1","628","628","0","100.00"
"Chankhva","","","","","1","1","340","340","0","100.00"
"Chaparda","","","","","1","1","314","314","0","100.00"
"Char","","","","","1","1","547","547","0","100.00"
"Charchock","","","","","1","1","88","88","0","100.00"
"Chauhan ni khan","","","","","1","1","169","169","0","100.00"
"Chavand Juni","","","","","1","1","303","303","0","100.00"
"Chavand Navi","","","","","1","1","45","45","0","100.00"
"Chhachhar","","","","","1","1","801","801","0","100.00"
"Chhalda","","","","","1","1","173","173","0","100.00"
"Chhara","","","","","1","1","1156","1156","0","100.00"
"Chhatarla","","","","","1","1","88","88","0","100.00"
"Chhatroda","","","","","1","1","391","391","0","100.00"
"Chhela","","","","","1","1","88","88","0","100.00"
"Chhelanka","","","","","1","1","175","175","0","100.00"
"Chhodvadi","","","","","1","1","88","88","0","100.00"
"Chhodvadi","","","","","1","1","1120","1120","0","100.00"
"Chidivav","","","","","1","1","74","74","0","100.00"
"Chikhal Kuba","","","","","1","1","124","124","0","100.00"
"Chikhli","","","","","1","1","476","476","0","100.00"
"Chingariya","","","","","1","1","179","179","0","100.00"
"Chiroda","","","","","1","1","527","527","0","100.00"
"Chitravad","","","","","1","1","800","800","0","100.00"
"Chitri","","","","","1","1","144","144","0","100.00"
"Chitrod","","","","","1","1","298","298","0","100.00"
"Chokli","","","","","1","1","228","228","0","100.00"
"Chorali Moli","","","","","1","1","88","88","0","100.00"
"Chorvadi","","","","","1","1","441","441","0","100.00"
"Chotilividi","","","","","1","1","103","103","0","100.00"
"Chuda","","","","","1","1","1102","1102","0","100.00"
"Chudva","","","","","1","1","311","311","0","100.00"
"Chuldi","","","","","1","1","91","91","0","100.00"
