"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adesar","","","","","1","1","1571","1571","0","100.00"
"Ajapar","","","","","1","1","216","216","0","100.00"
"Ambapar","","","","","1","1","424","424","0","100.00"
"Amrapar","","","","","1","1","106","106","0","100.00"
"Amrapar (1)","","","","","1","1","136","136","0","100.00"
"Amrapar (2)","","","","","1","1","20","20","0","100.00"
"Anandpar","","","","","1","1","143","143","0","100.00"
"Antarjal (CT)","","","","","1","1","3509","3509","0","100.00"
"Babiya","","","","","1","1","22","22","0","100.00"
"Badalpar","","","","","1","1","277","277","0","100.00"
"Badargadh","","","","","1","1","477","477","0","100.00"
"Bagda","","","","","1","1","199","199","0","100.00"
"Balasar","","","","","1","1","741","741","0","100.00"
"Bambhansar","","","","","1","1","119","119","0","100.00"
"Baraya","","","","","1","1","235","235","0","100.00"
"Baroi","","","","","1","1","3932","3932","0","100.00"
"Bela","","","","","1","1","838","838","0","100.00"
"Beraja","","","","","1","1","299","299","0","100.00"
"Bhadresar","","","","","1","1","909","909","0","100.00"
"Bhadroi","","","","","1","1","230","230","0","100.00"
"Bhalot","","","","","1","1","197","197","0","100.00"
"Bharapar","","","","","1","1","378","378","0","100.00"
"Bharidia (Bhutakia)","","","","","1","1","494","494","0","100.00"
"Bharudiya","","","","","1","1","200","200","0","100.00"
"Bhimasar","","","","","1","1","1731","1731","0","100.00"
"Bhimasar","","","","","1","1","1765","1765","0","100.00"
"Bhimdevka","","","","","1","1","220","220","0","100.00"
"Bhorara","","","","","1","1","223","223","0","100.00"
"Bhuvad","","","","","1","1","617","617","0","100.00"
"Bocha","","","","","1","1","52","52","0","100.00"
"Borana","","","","","1","1","79","79","0","100.00"
"Budharmora","","","","","1","1","489","489","0","100.00"
"Chandiya","","","","","1","1","400","400","0","100.00"
"Chandrani","","","","","1","1","548","548","0","100.00"
"Chandrapar","","","","","1","1","10","10","0","100.00"
"Chandroda","","","","","1","1","561","561","0","100.00"
"Chhasra","","","","","1","1","380","380","0","100.00"
"Chhotapar","","","","","1","1","68","68","0","100.00"
"Chitrod","","","","","1","1","1020","1020","0","100.00"
"Chudva","","","","","1","1","422","422","0","100.00"
"Dabhunda","","","","","1","1","311","311","0","100.00"
"Davri","","","","","1","1","164","164","0","100.00"
"Dedarva","","","","","1","1","91","91","0","100.00"
"Depa","","","","","1","1","85","85","0","100.00"
"Deshalpar","","","","","1","1","593","593","0","100.00"
"Deshalpar","","","","","1","1","317","317","0","100.00"
"Devaliya","","","","","1","1","184","184","0","100.00"
"Devisar","","","","","1","1","8","8","0","100.00"
"Dhabda","","","","","1","1","240","240","0","100.00"
"Dhadadhroni Vandh","","","","","1","1","209","209","0","100.00"
"Dhamadka","","","","","1","5","631","631","0","100.00"
"Dhrab","","","","","1","1","670","670","0","100.00"
"Dudhai","","","","","1","2","969","969","0","100.00"
