"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abhripur","","","","","1","1","400","400","0","100.00"
"Aboch","","","","","1","1","341","341","0","100.00"
"Abvel","","","","","1","1","382","382","0","100.00"
"Agarwa","","","","","1","1","1358","1358","0","100.00"
"Aghatna Muvada","","","","","1","1","17","17","0","100.00"
"Ajabpura","","","","","1","1","53","53","0","100.00"
"Ajroli","","","","","1","1","204","204","0","100.00"
"Ajupura","","","","","1","1","253","253","0","100.00"
"Akhdol","","","","","1","1","1019","1019","0","100.00"
"Aklach","","","","","1","1","178","178","0","100.00"
"Aklacha","","","","","1","1","568","568","0","100.00"
"Alampur","","","","","1","1","166","166","0","100.00"
"Alampura","","","","","1","1","103","103","0","100.00"
"Alawa","","","","","1","1","791","791","0","100.00"
"Alela","","","","","1","1","250","250","0","100.00"
"Alina","","","","","1","1","1886","1886","0","100.00"
"Aljada","","","","","1","1","224","224","0","100.00"
"Ambaliyara","","","","","1","1","693","693","0","100.00"
"Ambav","","","","","1","1","319","319","0","100.00"
"Amrutpura","","","","","1","1","162","162","0","100.00"
"Amsaran","","","","","1","1","677","677","0","100.00"
"Anara","","","","","1","1","1378","1378","0","100.00"
"Andhaj","","","","","1","1","519","519","0","100.00"
"Anghadi","","","","","1","1","889","889","0","100.00"
"Antisar","","","","","1","1","1855","1855","0","100.00"
"Apruji","","","","","1","1","729","729","0","100.00"
"Arajanpur Kot","","","","","1","1","161","161","0","100.00"
"Aral","","","","","1","1","640","640","0","100.00"
"Arera","","","","","1","1","987","987","0","100.00"
"Areri","","","","","1","1","569","569","0","100.00"
"Asamali","","","","","1","1","733","733","0","100.00"
"Aslali","","","","","1","1","322","322","0","100.00"
"Aspur","","","","","1","1","311","311","0","100.00"
"Asundariya","","","","","1","1","217","217","0","100.00"
"Atarsumba","","","","","1","1","831","831","0","100.00"
"Aurangpura","","","","","1","1","153","153","0","100.00"
"Badarpur","","","","","1","1","354","354","0","100.00"
"Badharpura","","","","","1","1","348","348","0","100.00"
"Bagdol","","","","","1","1","503","503","0","100.00"
"Bagdu","","","","","1","1","334","334","0","100.00"
"Baladha","","","","","1","1","385","385","0","100.00"
"Baladi","","","","","1","1","299","299","0","100.00"
"Baliyadev","","","","","1","1","154","154","0","100.00"
"Balol","","","","","1","1","413","413","0","100.00"
"Balvakhant Na Muvada","","","","","1","1","105","105","0","100.00"
"Bamangam","","","","","1","1","553","423","130","76.49"
"Bamroli","","","","","1","1","1103","1103","0","100.00"
"Bar","","","","","1","1","1199","1199","0","100.00"
"Bar Muvada","","","","","1","1","1660","1660","0","100.00"
"Baroda","","","","","1","1","430","430","0","100.00"
"Bavano Math","","","","","1","1","962","962","0","100.00"
"Bavra","","","","","1","1","341","341","0","100.00"
"Betawada","","","","","1","1","1205","1205","0","100.00"
"Bhadrasa","","","","","1","1","853","853","0","100.00"
"Bhagatna Muvada","","","","","1","1","134","134","0","100.00"
"Bhailakui","","","","","1","1","228","228","0","100.00"
"Bhalada","","","","","1","1","1376","1235","141","89.75"
"Bhaner","","","","","1","1","923","923","0","100.00"
"Bhanjini Vav","","","","","1","1","179","179","0","100.00"
"Bhanthala","","","","","1","1","655","655","0","100.00"
"Bharkunda","","","","","1","1","632","632","0","100.00"
"Bharodi","","","","","1","1","322","322","0","100.00"
"Bharthari","","","","","1","1","316","316","0","100.00"
"Bhatera","","","","","1","1","868","868","0","100.00"
"Bhatpur","","","","","1","1","624","624","0","100.00"
"Bhatvasna","","","","","1","1","88","88","0","100.00"
"Bhoja Na Muvada","","","","","1","1","242","242","0","100.00"
"Bhumas","","","","","1","1","548","548","0","100.00"
"Bhumel","","","","","1","1","936","936","0","100.00"
"Bhungaliya","","","","","1","1","488","488","0","100.00"
"Bhutiya","","","","","1","1","814","814","0","100.00"
"Bidaj","","","","","1","1","678","678","0","100.00"
"Bilodra","","","","","1","1","502","502","0","100.00"
"Bobha","","","","","1","1","224","224","0","100.00"
"Bodeli","","","","","1","1","206","206","0","100.00"
"Bordi","","","","","1","1","463","463","0","100.00"
"Butiya","","","","","1","1","3","3","0","100.00"
"Chalali","","","","","1","1","1044","1044","0","100.00"
"Chandasar","","","","","1","1","213","213","0","100.00"
"Chanor","","","","","1","1","124","124","0","100.00"
"Charan Na Muvada","","","","","1","1","32","32","0","100.00"
"Charan Na Muvada (Inami)","","","","","1","1","88","88","0","100.00"
"Charan Nikol","","","","","1","1","256","256","0","100.00"
"Chared","","","","","1","1","519","519","0","100.00"
"Chelavat","","","","","1","1","175","175","0","100.00"
"Chetarsumba","","","","","1","1","669","669","0","100.00"
"Chhapra","","","","","1","1","844","844","0","100.00"
"Chharvangi","","","","","1","1","89","89","0","100.00"
"Chhipadi","","","","","1","1","2306","2306","0","100.00"
"Chhipial","","","","","1","1","867","867","0","100.00"
"Chikhlod","","","","","1","1","625","625","0","100.00"
"Chitlav","","","","","1","1","430","430","0","100.00"
"Chorasa","","","","","1","1","272","272","0","100.00"
"Chunel","","","","","1","1","1421","1421","0","100.00"
"Dabhali","","","","","1","1","434","434","0","100.00"
"Dabhan","","","","","1","1","1722","1722","0","100.00"
"Dabhsar","","","","","1","1","228","228","0","100.00"
"Dadana Muvada","","","","","1","1","116","116","0","100.00"
"Dadusar","","","","","1","1","545","545","0","100.00"
"Dahiyap","","","","","1","1","746","746","0","100.00"
"Dajipura","","","","","1","1","128","128","0","100.00"
"Dakhariya","","","","","1","1","142","142","0","100.00"
"Daloli","","","","","1","1","311","311","0","100.00"
"Dampat","","","","","1","1","722","722","0","100.00"
"Dana","","","","","1","1","231","231","0","100.00"
"Danadra","","","","","1","1","406","406","0","100.00"
"Dandiyapur","","","","","1","1","363","363","0","100.00"
