"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abasana","","","","","1","1","316","316","0","100.00"
"Abharampura","","","","","1","1","315","315","0","100.00"
"Achrasan","","","","","1","1","393","393","0","100.00"
"Adivada","","","","","1","1","417","417","0","100.00"
"Adraj","","","","","1","1","1083","1083","0","100.00"
"Adudra","","","","","1","1","647","647","0","100.00"
"Agalod","","","","","1","1","415","415","0","100.00"
"Agol","","","","","1","1","958","958","0","100.00"
"Aithor","","","","","1","1","1877","1877","0","100.00"
"Ajabpura","","","","","1","1","76","76","0","100.00"
"Ajabpura","","","","","1","1","242","242","0","100.00"
"Akba","","","","","1","1","333","333","0","100.00"
"Akhaj","","","","","1","1","934","934","0","100.00"
"Alampur","","","","","1","1","198","198","0","100.00"
"Aldesan","","","","","1","1","505","505","0","100.00"
"Aloda","","","","","1","1","387","387","0","100.00"
"Alusna","","","","","1","1","96","96","0","100.00"
"Amarpura","","","","","1","1","68","68","0","100.00"
"Ambala","","","","","1","1","458","458","0","100.00"
"Ambasan","","","","","1","1","1062","1062","0","100.00"
"Ambavada","","","","","1","1","349","349","0","100.00"
"Ambavpura","","","","","1","1","277","277","0","100.00"
"Ambliyara","","","","","1","1","284","284","0","100.00"
"Amudh","","","","","1","1","546","546","0","100.00"
"Anand Bhankhari","","","","","1","1","136","136","0","100.00"
"Anandpura","","","","","1","1","255","255","0","100.00"
"Anandpura","","","","","1","1","169","169","0","100.00"
"Ankaliyara","","","","","1","1","251","251","0","100.00"
"Ankhol","","","","","1","1","392","392","0","100.00"
"Arathi","","","","","1","1","382","382","0","100.00"
"Ashnapur (Gerita)","","","","","1","1","172","172","0","100.00"
"Asjol","","","","","1","1","512","512","0","100.00"
"Asoda","","","","","1","1","281","281","0","100.00"
"Aspa","","","","","1","1","408","408","0","100.00"
"Babajipura","","","","","1","1","167","167","0","100.00"
"Babipura","","","","","1","1","328","328","0","100.00"
"Badalpura","","","","","1","1","222","222","0","100.00"
"Badarpur","","","","","1","1","848","848","0","100.00"
"Bajpura","","","","","1","1","130","130","0","100.00"
"Bakarpur","","","","","1","1","340","340","0","100.00"
"Balad","","","","","1","1","562","562","0","100.00"
"Balasar","","","","","1","1","587","587","0","100.00"
"Balol","","","","","1","1","1166","1166","0","100.00"
"Balvantpura","","","","","1","1","115","115","0","100.00"
"Bamanva","","","","","1","1","703","703","0","100.00"
"Bamosana","","","","","1","1","574","574","0","100.00"
"Bariyaf","","","","","1","1","207","207","0","100.00"
"Basana","","","","","1","1","682","682","0","100.00"
"Bavlu","","","","","1","1","803","803","0","100.00"
"Becharpura","","","","","1","1","307","307","0","100.00"
"Bedasma","","","","","1","1","177","177","0","100.00"
"Bhakadiya","","","","","1","1","260","260","0","100.00"
"Bhalak","","","","","1","1","1223","1223","0","100.00"
"Bhalgamda","","","","","1","1","225","225","0","100.00"
"Bhalthi (Dharampur)","","","","","1","1","532","532","0","100.00"
"Bhalu Moti","","","","","1","1","316","316","0","100.00"
"Bhalu Nani","","","","","1","1","330","330","0","100.00"
"Bhalusana","","","","","1","1","739","739","0","100.00"
"Bhanavas","","","","","1","1","202","202","0","100.00"
"Bhandu","","","","","1","1","1717","1717","0","100.00"
"Bhankhar","","","","","1","1","567","567","0","100.00"
"Bhasariya","","","","","1","1","562","562","0","100.00"
"Bhatasan","","","","","1","1","456","456","0","100.00"
"Bhatvas","","","","","1","1","112","112","0","100.00"
"Bhesana","","","","","1","1","529","529","0","100.00"
"Bhimpur","","","","","1","1","392","392","0","100.00"
"Bhimpur Valor","","","","","1","1","238","238","0","100.00"
"Bhunav","","","","","1","1","793","793","0","100.00"
"Biliya","","","","","1","1","442","442","0","100.00"
"Bodla","","","","","1","1","291","291","0","100.00"
"Bokarvada","","","","","1","1","633","633","0","100.00"
"Boriavi","","","","","1","1","1139","1139","0","100.00"
"Borisana","","","","","1","1","618","618","0","100.00"
"Brahmanvada","","","","","1","1","1340","1340","0","100.00"
"Budasan","","","","","1","1","765","765","0","100.00"
"Buttapaldi","","","","","1","1","461","461","0","100.00"
"Chachariya","","","","","1","1","183","183","0","100.00"
"Chada","","","","","1","1","480","480","0","100.00"
"Chadasna","","","","","1","1","395","395","0","100.00"
"Chadasna","","","","","1","1","331","331","0","100.00"
"Chalasan","","","","","1","1","391","391","0","100.00"
"Chaluva","","","","","1","1","883","883","0","100.00"
"Champa","","","","","1","1","230","230","0","100.00"
"Chandanki","","","","","1","1","80","80","0","100.00"
"Chandarda","","","","","1","1","420","420","0","100.00"
"Chandpur","","","","","1","1","124","124","0","100.00"
"Chandrasan","","","","","1","1","450","450","0","100.00"
"Chandroda","","","","","1","1","379","379","0","100.00"
"Changod","","","","","1","1","132","132","0","100.00"
"Chansol","","","","","1","1","673","673","0","100.00"
"Charadu","","","","","1","1","1124","1124","0","100.00"
"Charol","","","","","1","1","403","403","0","100.00"
"Chelana","","","","","1","1","270","270","0","100.00"
"Chhabaliya","","","","","1","1","1457","1457","0","100.00"
"Chhalesra","","","","","1","1","225","225","0","100.00"
"Chhatasana","","","","","1","1","167","167","0","100.00"
"Chhathiyarda","","","","","1","1","1372","1372","0","100.00"
"Chhelpura","","","","","1","1","97","97","0","100.00"
"Chhogala","","","","","1","1","383","383","0","100.00"
"Chitroda Mota","","","","","1","1","328","328","0","100.00"
"Chitrodipura","","","","","1","1","263","263","0","100.00"
"Chitrodipura","","","","","1","1","320","320","0","100.00"
"Chotiya","","","","","1","1","302","302","0","100.00"
"Dabhad","","","","","1","1","1046","1046","0","100.00"
"Dabhala","","","","","1","1","1875","1875","0","100.00"
"Dabhi","","","","","1","1","1100","1100","0","100.00"
"Dabhoda","","","","","1","1","1872","1872","0","100.00"
"Dabu","","","","","1","1","340","340","0","100.00"
"Dadhiyal","","","","","1","1","874","874","0","100.00"
"Dagavadiya","","","","","1","1","570","570","0","100.00"
"Dalisana","","","","","1","1","426","426","0","100.00"
"Dangarva","","","","","1","1","1135","1135","0","100.00"
"Daran","","","","","1","1","884","884","0","100.00"
"Daran Morva","","","","","1","1","152","152","0","100.00"
"Dasaj","","","","","1","1","1161","1161","0","100.00"
"Davada","","","","","1","1","480","480","0","100.00"
"Davol","","","","","1","1","423","423","0","100.00"
"Dedana","","","","","1","1","515","515","0","100.00"
"Dedarda","","","","","1","1","105","105","0","100.00"
"Dedasan","","","","","1","1","206","206","0","100.00"
"Dediyasan (Part)","","","","","1","1","871","871","0","100.00"
"Dela","","","","","1","1","375","375","0","100.00"
"Della","","","","","1","1","267","267","0","100.00"
"Deloli","","","","","1","1","404","404","0","100.00"
"Delpura Khant","","","","","1","1","300","300","0","100.00"
"Delvada","","","","","1","1","444","444","0","100.00"
"Delvada Khant","","","","","1","1","397","397","0","100.00"
"Denap","","","","","1","1","1895","1895","0","100.00"
"Deriya","","","","","1","1","142","142","0","100.00"
"Dethli","","","","","1","1","295","295","0","100.00"
"Deusana","","","","","1","1","393","393","0","100.00"
"Devda","","","","","1","1","591","591","0","100.00"
"Devgadh","","","","","1","1","161","161","0","100.00"
"Devinapura","","","","","1","1","256","256","0","100.00"
"Devpura","","","","","1","1","389","389","0","100.00"
"Devrasan","","","","","1","1","703","703","0","100.00"
"Dhamanva","","","","","1","1","508","508","0","100.00"
"Dhanali","","","","","1","1","536","536","0","100.00"
"Dhandhalpur","","","","","1","1","105","105","0","100.00"
"Dhandhusan","","","","","1","1","458","458","0","100.00"
"Dhanpura","","","","","1","1","185","185","0","100.00"
"Dhanpura","","","","","1","1","111","111","0","100.00"
"Dhanpura (Ghantu)","","","","","1","1","726","726","0","100.00"
"Dharavania","","","","","1","1","158","158","0","100.00"
"Dharoi","","","","","1","1","540","540","0","100.00"
"Dharpura-Khant","","","","","1","1","415","415","0","100.00"
"Dharusana","","","","","1","1","162","162","0","100.00"
"Dholasan","","","","","1","1","699","699","0","100.00"
"Dholasan","","","","","1","1","258","258","0","100.00"
"Dhoriya","","","","","1","1","276","276","0","100.00"
"Digdi","","","","","1","1","224","224","0","100.00"
"Ditasan","","","","","1","1","230","230","0","100.00"
"Divanpura-Alias-Apapura","","","","","1","1","383","383","0","100.00"
"Dodivada","","","","","1","1","505","505","0","100.00"
"Dudhai","","","","","1","1","155","155","0","100.00"
"Dulana","","","","","1","1","125","125","0","100.00"
"Edala","","","","","1","1","331","331","0","100.00"
"Falu","","","","","1","1","846","846","0","100.00"
"Fatepura","","","","","1","1","241","241","0","100.00"
"Fattehpura","","","","","1","1","83","83","0","100.00"
"Fattepura(Khe)","","","","","1","1","166","166","0","100.00"
"Finchdi","","","","","1","1","471","471","0","100.00"
"Fudeda","","","","","1","1","874","874","0","100.00"
"Fuletra","","","","","1","1","621","621","0","100.00"
"Gadhada","","","","","1","1","218","218","0","100.00"
"Gajipur","","","","","1","1","114","114","0","100.00"
"Galalpur","","","","","1","1","87","87","0","100.00"
"Galodra","","","","","1","1","181","181","0","100.00"
"Gamanpura","","","","","1","1","25","25","0","100.00"
"Gamanpura","","","","","1","1","332","332","0","100.00"
"Gambhu","","","","","1","1","930","930","0","100.00"
"Ganeshpura","","","","","1","1","349","349","0","100.00"
"Ganeshpura","","","","","1","1","347","347","0","100.00"
"Ganeshpura","","","","","1","1","370","370","0","100.00"
"Ganeshpura","","","","","1","1","211","211","0","100.00"
