"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Agar","","","","","1","1","367","367","0","100.00"
"Akteshwar","","","","","1","1","281","281","0","100.00"
"Akuvada","","","","","1","1","125","125","0","100.00"
"Alampur","","","","","1","1","77","77","0","100.00"
"Almavadi","","","","","1","1","407","407","0","100.00"
"Alva","","","","","1","1","317","317","0","100.00"
"Amadla","","","","","1","1","403","403","0","100.00"
"Amaliya","","","","","1","1","101","101","0","100.00"
"Amarpara","","","","","1","1","33","33","0","100.00"
"Ambadevi Alias Siyali","","","","","1","1","131","131","0","100.00"
"Ambavadi","","","","","1","1","568","568","0","100.00"
"Amiyar","","","","","1","1","357","357","0","100.00"
"Amletha","","","","","1","1","777","777","0","100.00"
"Amli","","","","","1","1","123","123","0","100.00"
"Andu","","","","","1","1","21","21","0","100.00"
"Andu","","","","","1","1","96","96","0","100.00"
"Anjanvai","","","","","1","1","110","110","0","100.00"
"Anodara","","","","","1","1","135","135","0","100.00"
"Arethi","","","","","1","1","153","153","0","100.00"
"Babada","","","","","1","1","363","363","0","100.00"
"Bakhar","","","","","1","1","114","114","0","100.00"
"Baktura","","","","","1","1","188","188","0","100.00"
"Bal","","","","","1","1","176","176","0","100.00"
"Baman Faliya","","","","","1","1","95","95","0","100.00"
"Bandarpura","","","","","1","1","93","93","0","100.00"
"Bandi Servan","","","","","1","1","220","220","0","100.00"
"Bantawadi","","","","","1","1","75","75","0","100.00"
"Barsan","","","","","1","1","46","46","0","100.00"
"Baydi","","","","","1","1","70","70","0","100.00"
"Bebar","","","","","1","1","264","264","0","100.00"
"Besna","","","","","1","1","367","367","0","100.00"
"Bhacharvada","","","","","1","1","414","414","0","100.00"
"Bhadam","","","","","1","1","648","648","0","100.00"
"Bhadarwa","","","","","1","1","166","166","0","100.00"
"Bhadod","","","","","1","1","483","483","0","100.00"
"Bhanadra","","","","","1","1","75","75","0","100.00"
"Bharada (Bedada)","","","","","1","1","188","188","0","100.00"
"Bharada (Relva)","","","","","1","1","253","253","0","100.00"
"Bharada(Barasan)","","","","","1","1","73","73","0","100.00"
"Bhatpur","","","","","1","1","190","190","0","100.00"
"Bhavari Savar","","","","","1","1","113","113","0","100.00"
"Bhekhadia","","","","","1","1","154","154","0","100.00"
"Bhilvashi","","","","","1","2","455","455","0","100.00"
"Bhogwad","","","","","1","1","172","172","0","100.00"
"Bhoramli","","","","","1","1","349","349","0","100.00"
"Bhuchhad","","","","","1","1","369","369","0","100.00"
"Bhumalia","","","","","1","1","208","208","0","100.00"
"Bhut Beda Alias Bhut Bangala","","","","","1","1","187","187","0","100.00"
"Bilthana","","","","","1","1","64","64","0","100.00"
"Bitada","","","","","1","1","232","232","0","100.00"
"Bodvav","","","","","1","1","206","206","0","100.00"
"Bogaj","","","","","1","1","233","233","0","100.00"
"Boria","","","","","1","1","166","166","0","100.00"
"Boridra","","","","","1","1","193","193","0","100.00"
"Boripitha","","","","","1","1","197","197","0","100.00"
"Borutar","","","","","1","1","105","105","0","100.00"
"Bujetha","","","","","1","1","320","320","0","100.00"
"Chapat","","","","","1","1","48","48","0","100.00"
"Chatwad","","","","","1","1","113","113","0","100.00"
"Chhindiapara","","","","","1","1","143","143","0","100.00"
"Chichadia","","","","","1","1","192","192","0","100.00"
"Chikali","","","","","1","1","199","199","0","100.00"
"Chikda","","","","","1","1","802","802","0","100.00"
"Chimbipani","","","","","1","1","126","126","0","100.00"
"Chitrakevdi","","","","","1","1","118","118","0","100.00"
"Chitrakhadi","","","","","1","1","86","86","0","100.00"
"Chitravadi","","","","","1","1","156","156","0","100.00"
"Chitrol","","","","","1","1","53","53","0","100.00"
"Chopadvav","","","","","1","1","546","546","0","100.00"
"Chopdi","","","","","1","1","143","143","0","100.00"
"Chudeshwar","","","","","1","1","190","190","0","100.00"
"Chuli","","","","","1","1","309","309","0","100.00"
"Dabhavan","","","","","1","1","360","360","0","100.00"
"Dabhed","","","","","1","1","125","125","0","100.00"
"Dabhiya","","","","","1","1","51","51","0","100.00"
"Dabka","","","","","1","1","160","160","0","100.00"
"Dabka","","","","","1","1","160","160","0","100.00"
"Dadhvada","","","","","1","1","36","36","0","100.00"
"Dandawadi","","","","","1","1","69","69","0","100.00"
