"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"","","","","","1","13","37082","37082","0","100.00"
"","","","","","1","18","76954","76954","0","100.00"
"","","","","","1","13","23644","23644","0","100.00"
"","","","","","1","8","7510","7510","0","100.00"
"Abrama","","","","","1","1","1492","1492","0","100.00"
"Achhavani","","","","","1","1","1077","1077","0","100.00"
"Adada","","","","","1","1","589","589","0","100.00"
"Agasi","","","","","1","1","388","388","0","100.00"
"Ajrai","","","","","1","1","576","576","0","100.00"
"Alak","","","","","1","1","184","184","0","100.00"
"Alipor","","","","","1","7","1669","1669","0","100.00"
"Alura","","","","","1","1","144","144","0","100.00"
"Amadhara","","","","","1","1","898","898","0","100.00"
"Amadpor","","","","","1","1","520","520","0","100.00"
"Amalsad","","","","","1","1","1682","1682","0","100.00"
"Ambabari","","","","","1","1","283","283","0","100.00"
"Ambada","","","","","1","1","534","534","0","100.00"
"Ambapani","","","","","1","1","382","382","0","100.00"
"Ambheta","","","","","1","1","863","863","0","100.00"
"Amri","","","","","1","1","344","344","0","100.00"
"Ancheli","","","","","1","1","331","331","0","100.00"
"Anklachh","","","","","1","1","751","751","0","100.00"
"Antaliya (CT)","","","","","1","7","5516","5516","0","100.00"
"Arsan","","","","","1","1","113","113","0","100.00"
"Asana","","","","","1","1","236","236","0","100.00"
"Ashtagam","","","","","1","1","691","691","0","100.00"
"Asundar","","","","","1","1","219","219","0","100.00"
"At","","","","","1","1","901","901","0","100.00"
"Bahej","","","","","1","1","704","704","0","100.00"
"Bamanvel","","","","","1","1","1169","1169","0","100.00"
"Bamanwada","","","","","1","1","342","342","0","100.00"
"Bansda (CT)","","","","","1","2","5976","5976","0","100.00"
"Bartad (Khanpur)","","","","","1","12","1840","1840","0","100.00"
"Bartad (Unai)","","","","","1","1","396","396","0","100.00"
"Bedmal","","","","","1","1","364","364","0","100.00"
"Bhatha","","","","","1","1","291","291","0","100.00"
"Bhatha","","","","","1","1","690","690","0","100.00"
"Bhattai","","","","","1","1","272","272","0","100.00"
"Bhervi","","","","","1","1","205","205","0","100.00"
"Bhinar","","","","","1","1","1173","1173","0","100.00"
"Bhinar","","","","","1","1","395","395","0","100.00"
"Bhula Faliya","","","","","1","1","470","470","0","100.00"
"Bhunwadi","","","","","1","1","49","49","0","100.00"
"Bhutsad","","","","","1","1","141","141","0","100.00"
"Bigri","","","","","1","1","2346","2346","0","100.00"
"Bilimora (Talodh) (CT)","","","","","1","2","3184","3184","0","100.00"
"Bilmoda","","","","","1","1","115","115","0","100.00"
"Bodali","","","","","1","1","625","625","0","100.00"
"Boriach","","","","","1","1","185","185","0","100.00"
"Boriachh","","","","","1","1","575","575","0","100.00"
"Borsi","","","","","1","1","737","737","0","100.00"
"Butlav","","","","","1","1","108","108","0","100.00"
"Chadhav","","","","","1","1","370","370","0","100.00"
"Chandravasan Supa","","","","","1","1","554","554","0","100.00"
"Charanwada","","","","","1","1","430","430","0","100.00"
"Chari","","","","","1","1","608","608","0","100.00"
"Chasa","","","","","1","1","579","579","0","100.00"
"Chhapar","","","","","1","1","392","392","0","100.00"
"Chhapra (CT)","","","","","1","2","4704","4704","0","100.00"
"Chhinam","","","","","1","1","440","440","0","100.00"
"Chijgam","","","","","1","1","465","465","0","100.00"
"Chikatiya","","","","","1","1","308","308","0","100.00"
"Chikhli (CT)","","","","","1","4","3621","3621","0","100.00"
"Chimanpada","","","","","1","1","165","165","0","100.00"
"Chokhad","","","","","1","1","230","230","0","100.00"
"Chondha","","","","","1","11","1242","1242","0","100.00"
"Chorvani","","","","","1","1","369","369","0","100.00"
"Dabhalai","","","","","1","1","116","116","0","100.00"
"Dabhel","","","","","1","1","837","837","0","100.00"
"Dalki","","","","","1","1","87","87","0","100.00"
"Dambher","","","","","1","1","324","324","0","100.00"
"Dandesar","","","","","1","1","301","301","0","100.00"
"Dandi","","","","","1","1","316","316","0","100.00"
"Dantej","","","","","1","1","217","217","0","100.00"
"Danti","","","","","1","1","655","655","0","100.00"
"Debarpada","","","","","1","1","285","285","0","100.00"
"Delvada","","","","","1","1","229","229","0","100.00"
"Deshad","","","","","1","1","334","334","0","100.00"
"Devdha","","","","","1","1","607","607","0","100.00"
"Devsar (CT)","","","","","1","2","4396","4396","0","100.00"
"Dhakmal","","","","","1","1","307","307","0","100.00"
"Dhakwada","","","","","1","1","779","779","0","100.00"
"Dhama Dhuma","","","","","1","1","264","264","0","100.00"
"Dhaman","","","","","1","1","401","401","0","100.00"
"Dhamdachha","","","","","1","1","973","973","0","100.00"
"Dhanori","","","","","1","1","698","698","0","100.00"
"Dharagiri","","","","","1","1","676","676","0","100.00"
"Dharampuri","","","","","1","1","439","439","0","100.00"
"Dholumber","","","","","1","2","843","843","0","100.00"
"Dholumber","","","","","1","1","493","493","0","100.00"
"Dipla","","","","","1","1","512","512","0","100.00"
"Doldha","","","","","1","1","352","352","0","100.00"
"Donja","","","","","1","1","616","616","0","100.00"
"Dubal Faliya","","","","","1","1","281","281","0","100.00"
"Duwada","","","","","1","1","244","244","0","100.00"
"Endhal","","","","","1","1","1346","1346","0","100.00"
"Eroo","","","","","1","1","1576","1576","0","100.00"
"Ethan","","","","","1","1","146","146","0","100.00"
"Fadvel","","","","","1","1","1175","1175","0","100.00"
"Gadat","","","","","1","1","479","479","0","100.00"
"Gandeva","","","","","1","1","1630","1630","0","100.00"
"Ganghor","","","","","1","1","184","184","0","100.00"
"Gangpur","","","","","1","1","502","502","0","100.00"
"Gauri","","","","","1","1","242","242","0","100.00"
"Ghodmal","","","","","1","1","772","772","0","100.00"
"Ghodvani","","","","","1","1","383","383","0","100.00"
"Godhabari","","","","","1","1","321","321","0","100.00"
"Godthal","","","","","1","1","1489","1489","0","100.00"
"Govandi Bhathala","","","","","1","1","486","486","0","100.00"
"Hansapor","","","","","1","1","565","565","0","100.00"
"Hanumanbari","","","","","1","1","425","425","0","100.00"
"Harangam","","","","","1","1","889","889","0","100.00"
"Holipada","","","","","1","1","289","289","0","100.00"
"Ichhapor","","","","","1","1","365","365","0","100.00"
"Italva","","","","","1","1","628","628","0","100.00"
"Jamaliya","","","","","1","1","257","257","0","100.00"
"Jamanpada","","","","","1","1","696","696","0","100.00"
"Kabilpor (CT)","","","","","1","2","6972","6972","0","100.00"
"Kachhol","","","","","1","1","246","246","0","100.00"
"Kachholi","","","","","1","1","1135","1135","0","100.00"
"Kadipor","","","","","1","1","98","98","0","100.00"
"Kadoli","","","","","1","1","388","388","0","100.00"
"Kakadvel","","","","","1","1","468","468","0","100.00"
"Kakadveri","","","","","1","1","347","347","0","100.00"
"Kala Amba","","","","","1","1","120","120","0","100.00"
"Kalakachha","","","","","1","1","286","286","0","100.00"
"Kalamtha","","","","","1","1","656","656","0","100.00"
"Kaliawadi (CT)","","","","","1","2","2162","2162","0","100.00"
"Kaliyari","","","","","1","1","506","506","0","100.00"
"Kalthan","","","","","1","1","300","300","0","100.00"
"Kalvach","","","","","1","1","246","246","0","100.00"
"Kamal Zari","","","","","1","4","326","326","0","100.00"
"Kambada","","","","","1","1","232","232","0","100.00"
"Kamboya","","","","","1","1","314","314","0","100.00"
"Kanadha","","","","","1","1","715","715","0","100.00"
"Kanbad","","","","","1","1","116","116","0","100.00"
"Kandolpada","","","","","1","1","417","417","0","100.00"
"Kanera","","","","","1","1","290","290","0","100.00"
"Kansariya","","","","","1","1","260","260","0","100.00"
"Kantasvel","","","","","1","1","412","412","0","100.00"
"Kapadvanj","","","","","1","1","128","128","0","100.00"
"Karadi","","","","","1","1","328","328","0","100.00"
"Karankhat","","","","","1","1","187","187","0","100.00"
"Karod Kothva","","","","","1","1","333","333","0","100.00"
"Kasbapar","","","","","1","1","433","433","0","100.00"
"Kavdej","","","","","1","1","357","357","0","100.00"
"Kelia","","","","","1","1","307","307","0","100.00"
"Kelkutch","","","","","1","1","276","276","0","100.00"
"Kesali","","","","","1","1","612","612","0","100.00"
"Kevdi","","","","","1","1","299","299","0","100.00"
"Khadakiya","","","","","1","1","211","211","0","100.00"
"Khadsupa","","","","","1","1","800","800","0","100.00"
"Khakhwada","","","","","1","1","256","256","0","100.00"
"Khambhaliya","","","","","1","1","750","750","0","100.00"
"Khambhlav","","","","","1","1","126","126","0","100.00"
"Khanpur","","","","","1","12","1070","1070","0","100.00"
"Khapariya","","","","","1","1","391","391","0","100.00"
"Khaparwada","","","","","1","1","722","722","0","100.00"
"Kharjai","","","","","1","1","330","330","0","100.00"
"Kharoli","","","","","1","1","931","931","0","100.00"
"Kharsad","","","","","1","1","492","492","0","100.00"
"Khata Amba","","","","","1","1","1067","1067","0","100.00"
"Khergam","","","","","1","1","3684","3684","0","100.00"
"Khergam","","","","","1","1","499","499","0","100.00"
"Khergam","","","","","1","1","275","275","0","100.00"
"Khudvel","","","","","1","1","397","397","0","100.00"
"Khundh","","","","","1","6","1407","1407","0","100.00"
"Kolasana","","","","","1","1","486","486","0","100.00"
"Kolva","","","","","1","1","319","319","0","100.00"
"Kotha","","","","","1","1","549","549","0","100.00"
"Kothamadi","","","","","1","1","354","354","0","100.00"
"Krushnapur","","","","","1","1","1068","1068","0","100.00"
"Kuched","","","","","1","1","301","301","0","100.00"
"Kukda","","","","","1","1","244","244","0","100.00"
"Kukeri","","","","","1","1","1198","1198","0","100.00"
"Kumbhar Faliya","","","","","1","1","544","544","0","100.00"
"Kurel","","","","","1","1","259","259","0","100.00"
"Kureliya","","","","","1","1","640","640","0","100.00"
"Lachhakadi","","","","","1","1","400","400","0","100.00"
"Lakadbari","","","","","1","1","349","349","0","100.00"
"Lakhawadi","","","","","1","1","326","326","0","100.00"
"Limbarpada","","","","","1","1","235","235","0","100.00"
"Limzar","","","","","1","1","1245","1245","0","100.00"
"Machhad","","","","","1","1","367","367","0","100.00"
