"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"","","","","","1","3","1654","1638","16","99.03"
"","","","","","1","1","726","726","0","100.00"
"Abhetwa","","","","","1","1","610","610","0","100.00"
"Achhala","","","","","1","1","230","226","4","98.26"
"Adadra","","","","","1","1","1502","1502","0","100.00"
"Adepur","","","","","1","1","209","209","0","100.00"
"Agarwada","","","","","1","1","37","37","0","100.00"
"Agarwada","","","","","1","1","239","239","0","100.00"
"Agarwada","","","","","1","1","911","911","0","100.00"
"Akhadana Degamda","","","","","1","1","275","240","35","87.27"
"Alali","","","","","1","1","510","510","0","100.00"
"Albeta","","","","","1","1","42","35","7","83.33"
"Alindra","","","","","1","1","129","129","0","100.00"
"Alu","","","","","1","1","76","45","31","59.21"
"Alva","","","","","1","1","779","779","0","100.00"
"Amba","","","","","1","1","320","320","0","100.00"
"Amba Talav","","","","","1","1","136","112","24","82.35"
"Ambajati","","","","","1","1","30","27","3","90.00"
"Ambakhunt","","","","","1","1","210","205","5","97.62"
"Ambala","","","","","1","1","356","356","0","100.00"
"Ambali","","","","","1","1","911","911","0","100.00"
"Ambaliyat","","","","","1","1","152","152","0","100.00"
"Ambavadiya","","","","","1","1","174","132","42","75.86"
"Ambli Muvada","","","","","1","1","49","49","0","100.00"
"Amboja","","","","","1","1","57","43","14","75.44"
"Amrapura","","","","","1","1","191","124","67","64.92"
"Amrapuri","","","","","1","1","70","40","30","57.14"
"Amthani","","","","","1","1","515","512","3","99.42"
"Andarsing Na Muvada","","","","","1","1","67","67","0","100.00"
"Angaliya","","","","","1","1","350","344","6","98.29"
"Aniad","","","","","1","1","789","789","0","100.00"
"Anjanwa","","","","","1","1","594","594","0","100.00"
"Ankadiya","","","","","1","1","65","65","0","100.00"
"Ankaliya","","","","","1","1","526","520","6","98.86"
"Ankalwa","","","","","1","1","353","353","0","100.00"
"Anoppur","","","","","1","1","115","107","8","93.04"
"Antalwada","","","","","1","1","370","366","4","98.92"
"Arad","","","","","1","1","645","645","0","100.00"
"Aritha","","","","","1","1","183","183","0","100.00"
"Arithi","","","","","1","1","49","49","0","100.00"
"Asardi","","","","","1","1","695","689","6","99.14"
"Asivada","","","","","1","1","77","77","0","100.00"
"Asundariya","","","","","1","1","110","107","3","97.27"
"Babaliya","","","","","1","1","152","118","34","77.63"
"Babrai","","","","","1","1","18","18","0","100.00"
"Babri","","","","","1","1","32","32","0","100.00"
"Babrol","","","","","1","1","625","625","0","100.00"
"Bachkaria (North)","","","","","1","1","898","898","0","100.00"
"Badesara","","","","","1","1","178","178","0","100.00"
"Badharpuri","","","","","1","1","55","21","34","38.18"
"Bahediya","","","","","1","1","35","35","0","100.00"
"Bahi","","","","","1","1","864","864","0","100.00"
"Bakhkhar","","","","","1","1","440","440","0","100.00"
"Bakor","","","","","1","1","1016","1016","0","100.00"
"Bakrol","","","","","1","1","1174","1170","4","99.66"
"Bakrol","","","","","1","1","895","895","0","100.00"
