"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abalouva","","","","","1","1","815","815","0","100.00"
"Abiyana","","","","","1","1","488","488","0","100.00"
"Adgam","","","","","1","1","264","264","0","100.00"
"Adiya","","","","","1","1","758","758","0","100.00"
"Aghar","","","","","1","1","1330","1330","0","100.00"
"Agichana","","","","","1","1","330","330","0","100.00"
"Ajimana","","","","","1","1","575","575","0","100.00"
"Ajuja","","","","","1","1","425","425","0","100.00"
"Alhabad","","","","","1","1","313","313","0","100.00"
"Aluvas","","","","","1","1","73","73","0","100.00"
"Amarpura","","","","","1","1","579","579","0","100.00"
"Ambliyasan","","","","","1","1","261","261","0","100.00"
"Amirpura","","","","","1","1","401","401","0","100.00"
"Amrapur","","","","","1","1","596","596","0","100.00"
"Anavada","","","","","1","1","598","598","0","100.00"
"Ankvi","","","","","1","1","356","356","0","100.00"
"Antarnes","","","","","1","1","436","436","0","100.00"
"Anvarpura","","","","","1","1","389","389","0","100.00"
"Aritha","","","","","1","1","280","280","0","100.00"
"Arjansar","","","","","1","1","566","566","0","100.00"
"Babasana","","","","","1","1","145","145","0","100.00"
"Babra","","","","","1","1","278","278","0","100.00"
"Babri","","","","","1","1","247","247","0","100.00"
"Badarganj","","","","","1","1","108","108","0","100.00"
"Badarpura","","","","","1","1","222","222","0","100.00"
"Badipur","","","","","1","1","196","196","0","100.00"
"Bakratpur","","","","","1","1","23","23","0","100.00"
"Bakutra","","","","","1","1","396","396","0","100.00"
"Balisana","","","","","1","1","2281","2281","0","100.00"
"Balva","","","","","1","1","360","360","0","100.00"
"Bamroli","","","","","1","1","533","533","0","100.00"
"Bandhwad","","","","","1","1","793","793","0","100.00"
"Barara","","","","","1","1","254","254","0","100.00"
"Baspa","","","","","1","1","667","667","0","100.00"
"Bavarda","","","","","1","1","220","220","0","100.00"
"Bepadar","","","","","1","1","316","316","0","100.00"
"Bhadiya","","","","","1","1","197","197","0","100.00"
"Bhadrada","","","","","1","1","691","691","0","100.00"
"Bhadrada","","","","","1","1","192","192","0","100.00"
"Bhalana","","","","","1","1","128","128","0","100.00"
"Bhalgam","","","","","1","1","230","230","0","100.00"
"Bhamathal","","","","","1","1","155","155","0","100.00"
"Bhatsan","","","","","1","1","739","739","0","100.00"
"Bhatsar","","","","","1","1","420","420","0","100.00"
"Bhatvasana","","","","","1","1","305","305","0","100.00"
"Bhilot","","","","","1","1","623","623","0","100.00"
"Bhilvan","","","","","1","1","843","843","0","100.00"
"Bhutiya Vasna","","","","","1","1","282","282","0","100.00"
"Biliya","","","","","1","1","310","310","0","100.00"
"Biliya","","","","","1","1","1390","1390","0","100.00"
"Bismillabad","","","","","1","1","71","71","0","100.00"
"Bismillaganj","","","","","1","1","146","146","0","100.00"
"Bolera","","","","","1","1","332","332","0","100.00"
"Boratvada","","","","","1","1","625","625","0","100.00"
"Borsan","","","","","1","1","651","651","0","100.00"
"Boruda","","","","","1","1","278","278","0","100.00"
"Brahmanvada","","","","","1","1","592","592","0","100.00"
"Buda","","","","","1","1","279","279","0","100.00"
"Chabkha","","","","","1","1","175","175","0","100.00"
"Chadasana","","","","","1","1","118","118","0","100.00"
"Chadiyana","","","","","1","1","188","188","0","100.00"
"Chalwada","","","","","1","1","393","393","0","100.00"
"Chandansar","","","","","1","1","399","399","0","100.00"
"Chandarni","","","","","1","1","138","138","0","100.00"
"Chandravati","","","","","1","1","823","823","0","100.00"
"Chandrumana","","","","","1","1","725","725","0","100.00"
"Charanda","","","","","1","1","219","219","0","100.00"
"Charanka","","","","","1","1","242","242","0","100.00"
"Charup","","","","","1","1","604","604","0","100.00"
"Chatavada","","","","","1","1","431","431","0","100.00"
"Chaveli","","","","","1","1","497","497","0","100.00"
"Chhamichha","","","","","1","1","436","436","0","100.00"
"Chhaniathal","","","","","1","1","312","312","0","100.00"
"Chhansara","","","","","1","1","265","265","0","100.00"
"Dabhdi","","","","","1","1","326","326","0","100.00"
"Dabhi","","","","","1","1","229","229","0","100.00"
"Dadar","","","","","1","1","396","396","0","100.00"
"Dadka","","","","","1","1","169","169","0","100.00"
"Daigamda","","","","","1","1","375","375","0","100.00"
