"District","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Ahmedabad","","","","","443","443","204105","204022","83","99.96"
"Amreli","","","","","618","649","240189","240189","0","100.00"
"Anand","","","","","347","347","306697","299078","7619","97.52"
"Banaskantha","","","","","1169","1169","467322","467323","-1","100.00"
"Bharuch","","","","","639","639","233400","233400","0","100.00"
"Bhavnagar","","","","","797","805","300250","300250","0","100.00"
"Dahod","","","","","556","556","223418","215397","8021","96.41"
"Gandhinagar","","","","","252","252","156620","156620","0","100.00"
"Jamnagar","","","","","677","743","241115","241109","6","100.00"
"Junagadh","","","","","887","890","334683","334683","0","100.00"
"Kachchh","","","","","234","248","122346","122346","0","100.00"
"Kheda","","","","","536","536","292968","292005","963","99.67"
"Mahesana","","","","","597","597","319501","319501","0","100.00"
"Narmada","","","","","561","563","118698","118698","0","100.00"
"Navsari","","","","","350","497","363957","363957","0","100.00"
"Panchmahals","","","","","1210","1212","345386","333447","11939","96.54"
"Patan","","","","","517","517","210710","210710","0","100.00"
"Porbandar","","","","","182","184","61787","61787","0","100.00"
"Rajkot","","","","","840","854","342496","342492","4","100.00"
"Sabarkantha","","","","","1362","1362","427805","427664","141","99.97"
"Surat","","","","","622","632","229919","229919","0","100.00"
"Surendranagar","","","","","615","654","136071","136071","0","100.00"
"Tapi","","","","","466","468","157501","157501","0","100.00"
"The Dangs","","","","","311","314","49956","49956","0","100.00"
"Vadodara","","","","","1526","1526","432023","432023","0","100.00"
"Valsad","","","","","358","2798","326172","326172","0","100.00"
"Total","0","0","0","0","16,672","19,455","66,45,095","66,16,320","28,775",""
