"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abhepar","","","","","1","2","205","205","0","100.00"
"Adbalka","","","","","1","1","98","98","0","100.00"
"Adepar","","","","","1","1","177","177","0","100.00"
"Adepar","","","","","1","1","137","137","0","100.00"
"Adhiya","","","","","1","1","212","212","0","100.00"
"Adval","","","","","1","1","191","191","0","100.00"
"Ajmer","","","","","1","1","482","482","0","100.00"
"Akala","","","","","1","1","194","194","0","100.00"
"Amargadh","","","","","1","1","240","240","0","100.00"
"Amarnagar","","","","","1","1","847","847","0","100.00"
"Amarsar","","","","","1","1","324","324","0","100.00"
"Ambaliala","","","","","1","1","140","140","0","100.00"
"Ambardi","","","","","1","1","449","449","0","100.00"
"Ambardi","","","","","1","1","508","508","0","100.00"
"Amrapar","","","","","1","1","174","174","0","100.00"
"Amrapar (Tol)","","","","","1","1","295","295","0","100.00"
"Amrapar Nag","","","","","1","1","127","127","0","100.00"
"Amrapur","","","","","1","1","868","868","0","100.00"
"Amreli (Part)","","","","","1","1","174","174","0","100.00"
"Analgadh","","","","","1","1","2","2","0","100.00"
"Anandpar","","","","","1","1","134","134","0","100.00"
"Anandpar","","","","","1","1","133","133","0","100.00"
"Anandpar","","","","","1","1","312","312","0","100.00"
"Anchvad","","","","","1","1","148","148","0","100.00"
"Andarna","","","","","1","1","372","372","0","100.00"
"Anida","","","","","1","1","636","636","0","100.00"
"Anida","","","","","1","1","375","375","0","100.00"
"Aniyala","","","","","1","1","338","338","0","100.00"
"Aniyari","","","","","1","1","209","209","0","100.00"
"Ankadiya","","","","","1","1","255","255","0","100.00"
"Arab Timbdi","","","","","1","1","633","633","0","100.00"
"Ardoi","","","","","1","1","650","650","0","100.00"
"Arni","","","","","1","1","716","716","0","100.00"
"Arni Timba","","","","","1","1","472","472","0","100.00"
"Asalpar","","","","","1","1","392","392","0","100.00"
"Atkot","","","","","1","1","1896","1896","0","100.00"
"Badpar","","","","","1","1","154","154","0","100.00"
"Bagasara","","","","","1","1","174","174","0","100.00"
"Bagathala","","","","","1","1","969","969","0","100.00"
"Bagdadiya","","","","","1","1","120","120","0","100.00"
"Baghi","","","","","1","1","142","142","0","100.00"
