"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abrama","","","","","1","1","603","603","0","100.00"
"Achharan","","","","","1","1","229","229","0","100.00"
"Admor","","","","","1","1","341","341","0","100.00"
"Afva","","","","","1","1","433","433","0","100.00"
"Akhakhol","","","","","1","1","128","128","0","100.00"
"Akoti","","","","","1","1","356","356","0","100.00"
"Algat","","","","","1","1","229","229","0","100.00"
"Allu","","","","","1","1","302","302","0","100.00"
"Alura","","","","","1","1","154","154","0","100.00"
"Amalchuni","","","","","1","1","10","10","0","100.00"
"Amalsadi","","","","","1","1","485","485","0","100.00"
"Amalsadi","","","","","1","1","397","397","0","100.00"
"Amarkui","","","","","1","1","87","87","0","100.00"
"Amba","","","","","1","1","236","236","0","100.00"
"Ambadi","","","","","1","1","47","47","0","100.00"
"Ambavadi","","","","","1","1","414","414","0","100.00"
"Ambheta","","","","","1","1","368","368","0","100.00"
"Ambheti","","","","","1","1","258","258","0","100.00"
"Amboli (CT)","","","","","1","1","543","543","0","100.00"
"Amchak","","","","","1","1","211","211","0","100.00"
"Amkhuta","","","","","1","1","262","262","0","100.00"
"Amli","","","","","1","1","74","74","0","100.00"
"Amli Dabda","","","","","1","1","72","72","0","100.00"
"Amnedara","","","","","1","1","67","67","0","100.00"
"Amroli","","","","","1","1","116","116","0","100.00"
"Ancheli","","","","","1","1","48","48","0","100.00"
"Andhatri","","","","","1","1","122","122","0","100.00"
"Andhi","","","","","1","1","118","118","0","100.00"
"Anita","","","","","1","1","248","248","0","100.00"
"Ankdod","","","","","1","1","205","205","0","100.00"
"Ansodala","","","","","1","1","19","19","0","100.00"
"Antroli","","","","","1","1","602","602","0","100.00"
"Antroli","","","","","1","1","169","169","0","100.00"
"Antroli","","","","","1","1","238","238","0","100.00"
"Ariyana","","","","","1","1","295","295","0","100.00"
"Asarma","","","","","1","1","190","190","0","100.00"
"Asnabad","","","","","1","1","519","519","0","100.00"
"Asnad","","","","","1","1","282","282","0","100.00"
"Asta","","","","","1","1","322","322","0","100.00"
"Astan","","","","","1","1","452","452","0","100.00"
"Atodra","","","","","1","1","373","373","0","100.00"
"Baben (CT)","","","","","1","1","2492","2492","0","100.00"
"Babla","","","","","1","1","175","175","0","100.00"
"Badtal","","","","","1","1","272","272","0","100.00"
"Bagumara","","","","","1","1","816","816","0","100.00"
"Balalkuva","","","","","1","1","90","90","0","100.00"
"Balaltirth","","","","","1","1","25","25","0","100.00"
"Balda","","","","","1","1","543","543","0","100.00"
"Baleshvar","","","","","1","1","1560","1560","0","100.00"
"Balethi","","","","","1","1","297","297","0","100.00"
"Balkas","","","","","1","1","188","188","0","100.00"
"Bamaniya","","","","","1","1","598","598","0","100.00"
"Bamni","","","","","1","1","330","330","0","100.00"
"Bamroli","","","","","1","1","68","68","0","100.00"
"Barasadi","","","","","1","1","182","182","0","100.00"
"Bardi","","","","","1","1","2","2","0","100.00"
"Bardipada","","","","","1","1","50","50","0","100.00"
"Bartad","","","","","1","1","382","382","0","100.00"
"Baudhan","","","","","1","1","1148","1148","0","100.00"
"Bhada","","","","","1","1","373","373","0","100.00"
"Bhadkuva","","","","","1","1","170","170","0","100.00"
"Bhadol","","","","","1","1","305","305","0","100.00"
"Bhagwa","","","","","1","1","122","122","0","100.00"
"Bhairav","","","","","1","1","203","203","0","100.00"
"Bhamaiya","","","","","1","1","120","120","0","100.00"
"Bhandut","","","","","1","1","293","293","0","100.00"
"Bhanodra","","","","","1","1","100","100","0","100.00"
"Bharampor","","","","","1","1","74","74","0","100.00"
"Bharthana Kosad (CT)","","","","","1","1","1172","1172","0","100.00"
"Bharundi","","","","","1","1","219","219","0","100.00"
"Bhatgam","","","","","1","1","359","359","0","100.00"
"Bhatia","","","","","1","1","210","210","0","100.00"
"Bhatkhai","","","","","1","1","83","83","0","100.00"
"Bhatkol","","","","","1","1","136","136","0","100.00"
"Bhensudla","","","","","1","1","244","244","0","100.00"
"Bhilvada","","","","","1","1","275","275","0","100.00"
"Bhoriya","","","","","1","1","344","344","0","100.00"
"Bhutpor","","","","","1","1","147","147","0","100.00"
"Bhuvasan","","","","","1","1","152","152","0","100.00"
"Bijalwadi","","","","","1","1","49","49","0","100.00"
"Bilvan","","","","","1","1","157","157","0","100.00"
"Bolav","","","","","1","1","267","267","0","100.00"
"Bonand","","","","","1","1","500","500","0","100.00"
