"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aanandpar","","","","","1","1","35","35","0","100.00"
"Abhepar","","","","","1","1","19","19","0","100.00"
"Acharda","","","","","1","1","42","42","0","100.00"
"Adala","","","","","1","1","44","44","0","100.00"
"Adalsar","","","","","1","1","114","114","0","100.00"
"Adariyana","","","","","1","1","383","383","0","100.00"
"Adheli","","","","","1","1","10","10","0","100.00"
"Ahmedgadh","","","","","1","1","14","14","0","100.00"
"Ajitgadh","","","","","1","1","354","354","0","100.00"
"Akala","","","","","1","1","48","48","0","100.00"
"Akhiyana","","","","","1","1","75","75","0","100.00"
"Alampura","","","","","1","1","33","33","0","100.00"
"Ambala","","","","","1","1","39","39","0","100.00"
"Ambardi","","","","","1","1","222","222","0","100.00"
"Amnagar","","","","","1","1","12","12","0","100.00"
"Anandpur (Than)","","","","","1","1","26","26","0","100.00"
"Anindra","","","","","1","1","77","77","0","100.00"
"Aniyali","","","","","1","1","19","19","0","100.00"
"Ankadiya","","","","","1","1","40","40","0","100.00"
"Ankewaliya","","","","","1","1","3240","3240","0","100.00"
"Asundrali","","","","","1","1","175","175","0","100.00"
"Aya","","","","","1","1","10","10","0","100.00"
"Baisabgadh","","","","","1","1","14","14","0","100.00"
"Bajana","","","","","1","1","317","317","0","100.00"
"Bajrangpura","","","","","1","1","74","74","0","100.00"
"Bakarthali","","","","","1","1","48","48","0","100.00"
"Bala","","","","","1","1","20","20","0","100.00"
"Balala","","","","","1","1","35","35","0","100.00"
"Baldana","","","","","1","1","238","238","0","100.00"
"Balol","","","","","1","1","396","396","0","100.00"
"Bamanva","","","","","1","1","106","106","0","100.00"
"Bavali","","","","","1","1","199","199","0","100.00"
"Bhadena","","","","","1","1","60","60","0","100.00"
"Bhadiyad","","","","","1","1","994","994","0","100.00"
"Bhadreshi","","","","","1","1","74","74","0","100.00"
"Bhaduka","","","","","1","1","58","58","0","100.00"
"Bhadwana","","","","","1","1","71","71","0","100.00"
"Bhagwanpar","","","","","1","1","1217","1217","0","100.00"
"Bhalala","","","","","1","1","39","39","0","100.00"
"Bhalgam","","","","","1","1","49","49","0","100.00"
"Bhalgamda","","","","","1","1","287","287","0","100.00"
"Bhalgamda","","","","","1","1","2880","2880","0","100.00"
"Bhanejada","","","","","1","1","80","80","0","100.00"
"Bharad","","","","","1","1","114","114","0","100.00"
"Bharada","","","","","1","1","222","222","0","100.00"
"Bhathan","","","","","1","1","2792","2792","0","100.00"
"Bhathariya","","","","","1","1","55","55","0","100.00"
"Bhavanigadh","","","","","1","1","256","256","0","100.00"
"Bhechada","","","","","1","1","64","64","0","100.00"
"Bhensjal","","","","","1","1","154","154","0","100.00"
"Bhet","","","","","1","2","602","602","0","100.00"
"Bhimgadh","","","","","1","1","89","89","0","100.00"
"Bhoika","","","","","1","1","2986","2986","0","100.00"
"Bhojpara","","","","","1","1","1677","1677","0","100.00"
"Bhojpara","","","","","1","1","12","12","0","100.00"
"Bhojpari","","","","","1","1","121","121","0","100.00"
"Bhrugupur","","","","","1","1","122","122","0","100.00"
"Bodiya","","","","","1","1","1267","1267","0","100.00"
"Borana","","","","","1","1","32","32","0","100.00"
"Borna","","","","","1","1","161","161","0","100.00"
"Brahmapuri (Vanki)","","","","","1","1","21","21","0","100.00"
"Bubvana","","","","","1","1","86","86","0","100.00"
"Butvada","","","","","1","1","227","227","0","100.00"
"Chachana","","","","","1","1","66","66","0","100.00"
"Chachka","","","","","1","1","130","130","0","100.00"
"Chadadhra","","","","","1","1","95","95","0","100.00"
"Chamaraj","","","","","1","1","187","187","0","100.00"
"Chamardi","","","","","1","1","73","73","0","100.00"
"Chandragadh","","","","","1","1","168","168","0","100.00"
"Chandreliya","","","","","1","1","12","12","0","100.00"
"Chanpa","","","","","1","1","56","56","0","100.00"
"Chanpar","","","","","1","1","85","85","0","100.00"
"Charadva","","","","","1","3","4515","4515","0","100.00"
"Chhabali","","","","","1","1","71","71","0","100.00"
"chhadiyali","","","","","1","1","45","45","0","100.00"
"Chhalala","","","","","1","1","55","55","0","100.00"
"Chhatriyala","","","","","1","1","164","164","0","100.00"
"Chhatrot","","","","","1","1","209","209","0","100.00"
"Chikasar","","","","","1","1","93","93","0","100.00"
"Chiroda (Rajpara)","","","","","1","1","5","5","0","100.00"
"Chiroda (Sanosara)","","","","","1","1","508","508","0","100.00"
"Chitralank","","","","","1","1","73","73","0","100.00"
"Chitrodi","","","","","1","1","337","337","0","100.00"
"Chokdi","","","","","1","1","241","241","0","100.00"
"Choki","","","","","1","1","71","71","0","100.00"
