"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abhankuva","","","","","1","1","455","455","0","100.00"
"Achhalva","","","","","1","1","134","134","0","100.00"
"Achhopalo","","","","","1","1","23","23","0","100.00"
"Adada","","","","","1","1","515","515","0","100.00"
"Agasvan","","","","","1","1","500","500","0","100.00"
"Ajvar","","","","","1","1","41","41","0","100.00"
"Akkalutar","","","","","1","1","307","307","0","100.00"
"Algat","","","","","1","1","393","393","0","100.00"
"Amaldi","","","","","1","1","27","27","0","100.00"
"Amalgundi","","","","","1","1","429","429","0","100.00"
"Amalpada","","","","","1","1","282","282","0","100.00"
"Amania","","","","","1","1","170","170","0","100.00"
"Amba","","","","","1","1","204","204","0","100.00"
"Ambach","","","","","1","1","633","633","0","100.00"
"Ambapani","","","","","1","1","68","68","0","100.00"
"Ambiya","","","","","1","1","400","400","0","100.00"
"Amli","","","","","1","1","310","310","0","100.00"
"Amlipada","","","","","1","1","257","257","0","100.00"
"Amode Tarfe Satone","","","","","1","1","41","41","0","100.00"
"Amode Tarfe Talode","","","","","1","1","58","58","0","100.00"
"Amonia","","","","","1","1","145","145","0","100.00"
"Amthava","","","","","1","1","43","43","0","100.00"
"Anandpur","","","","","1","1","533","533","0","100.00"
"Andharvadi Dur","","","","","1","1","542","542","0","100.00"
"Andharvadi Najik","","","","","1","1","163","163","0","100.00"
"Andhatri","","","","","1","1","737","737","0","100.00"
"Antapur","","","","","1","1","803","803","0","100.00"
"Antruli","","","","","1","1","41","41","0","100.00"
"Arkund","","","","","1","1","93","93","0","100.00"
"Arkund","","","","","1","1","92","92","0","100.00"
"Ashapur","","","","","1","1","31","31","0","100.00"
"Ashrava","","","","","1","1","92","92","0","100.00"
"Aste Tarfe Budhaval","","","","","1","1","166","166","0","100.00"
"Babarghat","","","","","1","1","413","413","0","100.00"
"Bagalpur","","","","","1","1","93","93","0","100.00"
"Bahej","","","","","1","1","73","73","0","100.00"
"Bahurupa","","","","","1","1","424","424","0","100.00"
"Balambe","","","","","1","1","1141","1141","0","100.00"
"Balamrai","","","","","1","1","50","50","0","100.00"
"Balde","","","","","1","1","488","488","0","100.00"
"Balpur","","","","","1","1","618","618","0","100.00"
"Bamnamal Dur","","","","","1","1","552","552","0","100.00"
"Bamnamal Najik","","","","","1","1","88","88","0","100.00"
"Bandharpada","","","","","1","1","326","326","0","100.00"
"Bardipada","","","","","1","1","309","309","0","100.00"
"Barmada","","","","","1","1","78","78","0","100.00"
"Bavli","","","","","1","1","86","86","0","100.00"
"Bedchit","","","","","1","1","391","391","0","100.00"
"Bedi","","","","","1","1","328","328","0","100.00"
"Bedkuva Najik","","","","","1","1","264","264","0","100.00"
"Bedpada","","","","","1","1","116","116","0","100.00"
"Bedvan Khadka","","","","","1","1","104","104","0","100.00"
"Bedvan P Bhensrot","","","","","1","1","137","137","0","100.00"
"Bedvan P Umarda","","","","","1","1","146","146","0","100.00"
"Bej","","","","","1","1","33","33","0","100.00"
"Beldha","","","","","1","1","136","136","0","100.00"
"Besaniya","","","","","1","1","301","301","0","100.00"
"Bhad Bhunja","","","","","1","1","942","942","0","100.00"
"Bhamsal","","","","","1","1","57","57","0","100.00"
"Bhanavadi","","","","","1","1","367","367","0","100.00"
"Bhanpur","","","","","1","1","84","84","0","100.00"
"Bharadada","","","","","1","1","210","210","0","100.00"
"Bhatpur","","","","","1","1","243","243","0","100.00"
"Bhatvada","","","","","1","1","221","221","0","100.00"
"Bhil Bhavali","","","","","1","1","255","255","0","100.00"
"Bhil Jamboli","","","","","1","1","548","548","0","100.00"
"Bhimpor","","","","","1","1","331","331","0","100.00"
"Bhimpura","","","","","1","1","753","753","0","100.00"
"Bhintbudrak","","","","","1","1","613","613","0","100.00"
"Bhintkhurd","","","","","1","1","1010","1010","0","100.00"
"Bhojpur Dur","","","","","1","1","110","110","0","100.00"
"Bhojpur Najik","","","","","1","1","282","282","0","100.00"
"Bhorthava","","","","","1","1","137","137","0","100.00"
"Bhurivel","","","","","1","1","47","47","0","100.00"
"Birbara","","","","","1","1","39","39","0","100.00"
"Borda","","","","","1","1","621","621","0","100.00"
"Borde","","","","","1","1","308","308","0","100.00"
"Bori Savar","","","","","1","1","90","90","0","100.00"
"Borikuwa","","","","","1","1","95","95","0","100.00"
"Borkachchh","","","","","1","1","188","188","0","100.00"
"Borkhadi","","","","","1","1","1042","1042","0","100.00"
"Borkuva","","","","","1","1","193","193","0","100.00"
"Borpada","","","","","1","1","141","141","0","100.00"
"Buhari","","","","","1","1","1309","1309","0","100.00"
"Butwada","","","","","1","1","325","325","0","100.00"
"Chakalia","","","","","1","1","313","313","0","100.00"
"Chakdhara","","","","","1","1","110","110","0","100.00"
"Chakvan","","","","","1","1","212","212","0","100.00"
"Champavadi","","","","","1","1","218","218","0","100.00"
"Champavadi","","","","","1","1","581","581","0","100.00"
"Chandapur","","","","","1","1","172","172","0","100.00"
"Chapaldhara","","","","","1","1","73","73","0","100.00"
"Chhapti","","","","","1","1","314","314","0","100.00"
"Chhevdi","","","","","1","1","24","24","0","100.00"
"Chhindia","","","","","1","1","409","409","0","100.00"
"Chhirma","","","","","1","1","84","84","0","100.00"
"Chichbardi","","","","","1","1","165","165","0","100.00"
"Chikhalapada","","","","","1","1","73","73","0","100.00"
"Chikhalda","","","","","1","1","406","406","0","100.00"
"Chikhalvav","","","","","1","1","352","352","0","100.00"
"Chikhli","","","","","1","1","565","565","0","100.00"
"Chikhli","","","","","1","1","1164","1164","0","100.00"
"Chikhli Bhensrot","","","","","1","1","362","362","0","100.00"
"Chikhli Khadka","","","","","1","1","285","285","0","100.00"
"Chimer","","","","","1","1","420","420","0","100.00"
"Chimkuva","","","","","1","1","266","266","0","100.00"
"Chinchoda","","","","","1","1","35","35","0","100.00"
"Chirmati","","","","","1","1","162","162","0","100.00"
"Chokhiamli","","","","","1","1","436","436","0","100.00"
"Chorvad","","","","","1","1","391","391","0","100.00"
"Chunawadi","","","","","1","1","423","423","0","100.00"
"Dabriamba","","","","","1","1","258","258","0","100.00"
"Dadakvan","","","","","1","1","128","128","0","100.00"
"Dadariya","","","","","1","1","492","492","0","100.00"
"Dardi","","","","","1","1","39","39","0","100.00"
"Degama","","","","","1","1","1213","1213","0","100.00"
"Delwada","","","","","1","1","335","335","0","100.00"
"Devala","","","","","1","1","268","268","0","100.00"
"Devalpada","","","","","1","1","94","94","0","100.00"
"Dhaj","","","","","1","1","84","84","0","100.00"
"Dhajamba","","","","","1","1","636","636","0","100.00"
"Dhamandevi","","","","","1","1","177","177","0","100.00"
"Dhamodi","","","","","1","1","585","585","0","100.00"
"Dhangdhar","","","","","1","1","281","281","0","100.00"
"Dhanmauli","","","","","1","1","143","143","0","100.00"
"Dhanturi","","","","","1","1","307","307","0","100.00"
"Dharampura","","","","","1","1","105","105","0","100.00"
"Dhat","","","","","1","1","425","425","0","100.00"
"Dholia Umar","","","","","1","1","116","116","0","100.00"
"Dholka","","","","","1","1","188","188","0","100.00"
"Dhongi Amba","","","","","1","1","33","33","0","100.00"
"Dolara","","","","","1","1","449","449","0","100.00"
"Dolvan","","","","","1","1","1647","1647","0","100.00"
"Don","","","","","1","1","147","147","0","100.00"
"Dosvada","","","","","1","1","810","810","0","100.00"
"Dumda","","","","","1","1","480","480","0","100.00"
"Dumkhal","","","","","1","1","275","275","0","100.00"
"Dungarda","","","","","1","1","54","54","0","100.00"
"Dungargam","","","","","1","1","298","298","0","100.00"
"Ekva Golan","","","","","1","1","25","25","0","100.00"
"Ful-Umran","","","","","1","1","576","576","0","100.00"
"Fulwadi","","","","","1","1","2659","2659","0","100.00"
"Gadat","","","","","1","1","902","902","0","100.00"
"Gadid","","","","","1","1","28","28","0","100.00"
"Gaisavar","","","","","1","1","126","126","0","100.00"
"Galkhadi","","","","","1","1","143","143","0","100.00"
"Galkuva","","","","","1","1","377","377","0","100.00"
"Gamdi","","","","","1","1","198","198","0","100.00"
"Gangpur","","","","","1","1","195","195","0","100.00"
"Gangtha","","","","","1","1","47","47","0","100.00"
"Garpani","","","","","1","1","62","62","0","100.00"
"Garvan","","","","","1","1","162","162","0","100.00"
"Gatadi","","","","","1","1","181","181","0","100.00"
"Gavan","","","","","1","1","378","378","0","100.00"
"Ghanchikuva","","","","","1","1","144","144","0","100.00"
"Ghani","","","","","1","1","329","329","0","100.00"
"Ghasiya Medha","","","","","1","1","432","432","0","100.00"
"Gheriyavav","","","","","1","1","250","250","0","100.00"
"Ghoda","","","","","1","1","355","355","0","100.00"
"Ghodchit","","","","","1","1","274","274","0","100.00"
"Ghodi Ruvali","","","","","1","1","65","65","0","100.00"
"Ghuntvel","","","","","1","1","144","144","0","100.00"
"Ghusargam","","","","","1","1","171","171","0","100.00"
"Goddha","","","","","1","1","249","249","0","100.00"
"Golan","","","","","1","1","29","29","0","100.00"
"Golan","","","","","1","1","536","536","0","100.00"
"Gopalpura","","","","","1","1","331","331","0","100.00"
"Gorasa","","","","","1","1","15","15","0","100.00"
"Gujarpur","","","","","1","1","297","297","0","100.00"
"Gundi","","","","","1","1","183","183","0","100.00"
"Gunkhadi","","","","","1","1","226","226","0","100.00"
"Gunsada","","","","","1","1","1263","1263","0","100.00"
"Halmundi","","","","","1","1","148","148","0","100.00"
"Hanmantiya","","","","","1","1","228","228","0","100.00"
"Harduli Digar","","","","","1","1","981","981","0","100.00"
"Haripur","","","","","1","1","221","221","0","100.00"
"Haripura","","","","","1","1","134","134","0","100.00"
"Hathnur Digar","","","","","1","1","38","38","0","100.00"
"Hathode","","","","","1","1","29","29","0","100.00"
"Hathuka","","","","","1","1","457","457","0","100.00"
"Hindla","","","","","1","1","155","155","0","100.00"
"Hingni-Digar","","","","","1","1","186","186","0","100.00"
"Hiravadi","","","","","1","1","307","307","0","100.00"
"Hol","","","","","1","1","20","20","0","100.00"
