"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"","","","","","1","2","822","822","0","100.00"
"Aherdi","","","","","1","1","89","89","0","100.00"
"Ahirpada","","","","","1","1","63","63","0","100.00"
"Ahwa (CT)","","","","","1","2","6216","6216","0","100.00"
"Ambalia","","","","","1","1","30","30","0","100.00"
"Ambapada (Chikhli Saja)","","","","","1","1","53","53","0","100.00"
"Ambapada (Vaghai)","","","","","1","1","213","213","0","100.00"
"Ambur","","","","","1","1","16","16","0","100.00"
"Amsarpada","","","","","1","1","110","110","0","100.00"
"Amsarwalan","","","","","1","1","104","104","0","100.00"
"Amthawa","","","","","1","1","57","57","0","100.00"
"Anjankund","","","","","1","1","58","58","0","100.00"
"Badiganvtha","","","","","1","1","40","40","0","100.00"
"Baj","","","","","1","1","141","141","0","100.00"
"Bandhpada","","","","","1","1","81","81","0","100.00"
"Baradpani","","","","","1","1","66","66","0","100.00"
"BARDA","","","","","1","1","143","143","0","100.00"
"Barda (Manmodisaja)","","","","","1","1","216","216","0","100.00"
"Barda(Khambhla Saja)","","","","","1","1","56","56","0","100.00"
"Bardipada (Saja)","","","","","1","1","163","163","0","100.00"
"Bardipada(Naktyahanwatsaja)","","","","","1","1","73","73","0","100.00"
"Baripada","","","","","1","1","116","116","0","100.00"
"Barkhandhia","","","","","1","1","212","212","0","100.00"
"Barmiawad","","","","","1","1","103","103","0","100.00"
"Behdun","","","","","1","1","120","120","0","100.00"
"Bhadarpada","","","","","1","1","191","191","0","100.00"
"Bhalkhet","","","","","1","1","153","153","0","100.00"
"Bhapkhal","","","","","1","1","163","163","0","100.00"
"Bhavandagad","","","","","1","1","118","118","0","100.00"
"Bhawadi","","","","","1","1","135","135","0","100.00"
"Bhendmal","","","","","1","1","136","136","0","100.00"
"Bhenskatri","","","","","1","1","254","254","0","100.00"
"Bhisya","","","","","1","1","178","178","0","100.00"
"Bhondvihir","","","","","1","1","77","77","0","100.00"
"Bhongdya","","","","","1","1","115","115","0","100.00"
"Bhujad","","","","","1","1","157","157","0","100.00"
"Bhurapani","","","","","1","1","103","103","0","100.00"
"Bhurbhendi","","","","","1","1","23","23","0","100.00"
"Bibupada","","","","","1","1","94","94","0","100.00"
"Bijurpada","","","","","1","1","141","141","0","100.00"
"Bilbari","","","","","1","1","53","53","0","100.00"
"Biliamba","","","","","1","1","113","113","0","100.00"
"Bilmal","","","","","1","1","138","138","0","100.00"
"Bokadmal","","","","","1","1","16","16","0","100.00"
"Bondarmal","","","","","1","1","61","61","0","100.00"
"Bordahad","","","","","1","1","25","25","0","100.00"
"Borigaotha (Samgahan Saja)","","","","","1","1","37","37","0","100.00"
"Borigaotha (Waghaisaja)","","","","","1","1","217","217","0","100.00"
"Borkhal","","","","","1","1","160","160","0","100.00"
"Borkhet","","","","","1","1","173","173","0","100.00"
"Borpada","","","","","1","1","174","174","0","100.00"
"Burthadi","","","","","1","1","159","159","0","100.00"
"Chamarpada","","","","","1","1","24","24","0","100.00"
"Chankhal","","","","","1","1","165","165","0","100.00"
"Chaukiya","","","","","1","1","138","138","0","100.00"
"Chavadvel","","","","","1","1","42","42","0","100.00"
"Chichigaontha","","","","","1","1","227","227","0","100.00"
"Chichpada (Vadpada)","","","","","1","1","54","54","0","100.00"
"Chikar (Jhavdasaja)","","","","","1","1","314","314","0","100.00"
"Chikar(Rambhas Saja)","","","","","1","1","103","103","0","100.00"
"Chikatiya","","","","","1","1","195","195","0","100.00"
"Chikhala(Kalibelsaja)","","","","","1","1","121","121","0","100.00"
"Chikhalda","","","","","1","1","62","62","0","100.00"
"Chikhali (Samgahan Saja)","","","","","1","1","152","152","0","100.00"
"Chikhli (Lavchalisaja)","","","","","1","1","91","91","0","100.00"
"Chinchdhara","","","","","1","1","172","172","0","100.00"
"Chinchli","","","","","1","1","234","234","0","100.00"
"Chinchod","","","","","1","1","108","108","0","100.00"
"Chinchpada (Galkundsaja)","","","","","1","1","95","95","0","100.00"
"Chinchvihir","","","","","1","1","110","110","0","100.00"
"Chirapada","","","","","1","1","133","133","0","100.00"
"Dabdar (Waghai)","","","","","1","1","131","131","0","100.00"
"Dagadiamba","","","","","1","1","231","231","0","100.00"
"Dagadpada","","","","","1","1","182","182","0","100.00"
"Daguniya","","","","","1","1","212","212","0","100.00"
"Daher","","","","","1","1","196","196","0","100.00"
"Darapada","","","","","1","1","101","101","0","100.00"
"Dardi","","","","","1","1","41","41","0","100.00"
"Davdahad","","","","","1","1","124","124","0","100.00"
"Devipada","","","","","1","1","57","57","0","100.00"
"Dhadhra","","","","","1","1","125","125","0","100.00"
"Dhangdi","","","","","1","1","141","141","0","100.00"
"Dhavalidod","","","","","1","1","436","436","0","100.00"
"Dhodhalpada","","","","","1","1","173","173","0","100.00"
"Dholiyaumbar(Narayan devpada)","","","","","1","1","73","73","0","100.00"
"Dhongiamba","","","","","1","1","186","186","0","100.00"
"Dhuda","","","","","1","1","143","143","0","100.00"
"Dhulchond","","","","","1","1","56","56","0","100.00"
"Dhulda","","","","","1","1","161","161","0","100.00"
"Dhumkhal","","","","","1","1","107","107","0","100.00"
"Divadyawan","","","","","1","1","158","158","0","100.00"
"Diwan Tembrun","","","","","1","1","182","182","0","100.00"
"Dodipada","","","","","1","1","106","106","0","100.00"
"Dokpatal","","","","","1","1","174","174","0","100.00"
"Don","","","","","1","1","300","300","0","100.00"
"Dumarya","","","","","1","1","26","26","0","100.00"
"Enginpada (Kolbari)","","","","","1","1","78","78","0","100.00"
"Gadad","","","","","1","1","237","237","0","100.00"
"Gadhvi","","","","","1","1","343","343","0","100.00"
"Gadvihir","","","","","1","1","155","155","0","100.00"
"Galkund","","","","","1","1","171","171","0","100.00"
"Garkhadi","","","","","1","1","273","273","0","100.00"
"Garmal","","","","","1","1","46","46","0","100.00"
"Gaurya","","","","","1","1","185","185","0","100.00"
"Gavdahad","","","","","1","1","141","141","0","100.00"
"Gawhan","","","","","1","1","193","193","0","100.00"
"Gaygothan","","","","","1","1","100","100","0","100.00"
"Gaykhas","","","","","1","1","66","66","0","100.00"
"Ghana","","","","","1","1","161","161","0","100.00"
"Ghaniamba","","","","","1","1","42","42","0","100.00"
"Ghodi","","","","","1","1","172","172","0","100.00"
"Ghodwahal","","","","","1","1","85","85","0","100.00"
"Ghoghli","","","","","1","1","104","104","0","100.00"
"Ghubadia","","","","","1","1","63","63","0","100.00"
"Ghubita","","","","","1","1","111","111","0","100.00"
"Gira","","","","","1","1","51","51","0","100.00"
"Girmal","","","","","1","1","198","198","0","100.00"
"Godadiya","","","","","1","1","159","159","0","100.00"
"Golasta","","","","","1","1","41","41","0","100.00"
"Gondalvihir","","","","","1","1","239","239","0","100.00"
"Gotiyamal","","","","","1","1","145","145","0","100.00"
"Gundia","","","","","1","1","107","107","0","100.00"
"Gundvahal","","","","","1","1","190","190","0","100.00"
"Gunjpeda","","","","","1","1","48","48","0","100.00"
"Gurudiya","","","","","1","1","68","68","0","100.00"
"Hadol","","","","","1","1","97","97","0","100.00"
"Hanwatchond","","","","","1","1","306","306","0","100.00"
"Hanwatpada(Chinchlisaja)","","","","","1","1","108","108","0","100.00"
"Hanwatpada(Pipaldahadsaja)","","","","","1","1","153","153","0","100.00"
"Harpada","","","","","1","1","106","106","0","100.00"
"Hindla","","","","","1","1","105","105","0","100.00"
"Humbapada","","","","","1","1","83","83","0","100.00"
"Isdar (Gadhvi)","","","","","1","1","66","66","0","100.00"
"Isdar(Borkhalsaja)","","","","","1","1","84","84","0","100.00"
"Iskhandi","","","","","1","1","73","73","0","100.00"
"Jakhana","","","","","1","1","220","220","0","100.00"
"Jamalapada","","","","","1","1","146","146","0","100.00"
"Jamanpada","","","","","1","1","92","92","0","100.00"
"Jamansonda","","","","","1","1","112","112","0","100.00"
"Jamanvihir","","","","","1","1","79","79","0","100.00"
"Jamanya","","","","","1","1","50","50","0","100.00"
"Jamdar","","","","","1","1","72","72","0","100.00"
"Jamla","","","","","1","1","112","112","0","100.00"
"Jamlapada(Gadhvisaja)","","","","","1","1","211","211","0","100.00"
"Jamnyamal","","","","","1","1","229","229","0","100.00"
"Jarsol","","","","","1","1","41","41","0","100.00"
"Javtala","","","","","1","1","61","61","0","100.00"
"Jharan","","","","","1","1","154","154","0","100.00"
"Jhari","","","","","1","1","192","192","0","100.00"
"Jhariya (Dungarda)","","","","","1","1","202","202","0","100.00"
"Jhavda","","","","","1","1","221","221","0","100.00"
"Jogbari","","","","","1","1","98","98","0","100.00"
"Jogthawa","","","","","1","1","49","49","0","100.00"
"Junner","","","","","1","1","129","129","0","100.00"
"Kadmal(Gadadsaja)","","","","","1","1","244","244","0","100.00"
"Kadmal(Subir)","","","","","1","1","279","279","0","100.00"
"Kahandolghodi","","","","","1","1","96","96","0","100.00"
"Kakadvihir","","","","","1","1","128","128","0","100.00"
"Kakarda","","","","","1","1","172","172","0","100.00"
"Kakshala","","","","","1","1","278","278","0","100.00"
"Kalamkhet","","","","","1","1","69","69","0","100.00"
"Kalamvihir","","","","","1","1","210","210","0","100.00"
"Kalibel","","","","","1","1","325","325","0","100.00"
"Kamad","","","","","1","1","119","119","0","100.00"
"Kamdiawan","","","","","1","1","63","63","0","100.00"
"Kanchanpada","","","","","1","1","87","87","0","100.00"
"Kangariyamal","","","","","1","1","56","56","0","100.00"
"Karadiamba","","","","","1","1","78","78","0","100.00"
"Karanjda (Lavchalisaja)","","","","","1","1","60","60","0","100.00"
"Karanjdi(Gadadsaja)","","","","","1","1","119","119","0","100.00"
"Karanjpada","","","","","1","1","43","43","0","100.00"
"Kasadbari","","","","","1","1","122","122","0","100.00"
"Kasavdahad","","","","","1","1","58","58","0","100.00"
"Kel","","","","","1","1","66","66","0","100.00"
"Keshbandh","","","","","1","1","216","216","0","100.00"
"Khajurna","","","","","1","1","152","152","0","100.00"
"Khambhla","","","","","1","1","188","188","0","100.00"
"Khapri","","","","","1","1","28","28","0","100.00"
"Khatal","","","","","1","1","226","226","0","100.00"
"Kherindra","","","","","1","1","100","100","0","100.00"
"Khirmani","","","","","1","1","92","92","0","100.00"
"Khokhari","","","","","1","1","131","131","0","100.00"
"Khopri Amba","","","","","1","1","77","77","0","100.00"
"Kirli","","","","","1","1","185","185","0","100.00"
"Kosabia","","","","","1","1","107","107","0","100.00"
"Kosimda","","","","","1","1","417","417","0","100.00"
"Kosimpatal","","","","","1","1","72","72","0","100.00"
"Kotamdar","","","","","1","1","180","180","0","100.00"
"Kotba","","","","","1","1","304","304","0","100.00"
"Koylipada","","","","","1","1","194","194","0","100.00"
"Kudkas","","","","","1","1","178","178","0","100.00"
"Kukadnakhi","","","","","1","1","90","90","0","100.00"
"Kumarbandh","","","","","1","1","65","65","0","100.00"
"Kunda","","","","","1","1","65","65","0","100.00"
"Kusmal","","","","","1","1","131","131","0","100.00"
"Kutarnachiya","","","","","1","1","63","63","0","100.00"
"Lahan Jhadadar","","","","","1","1","67","67","0","100.00"
"Lahan Kasad","","","","","1","1","45","45","0","100.00"
"Lahancharya","","","","","1","1","89","89","0","100.00"
"Lahandabdar","","","","","1","1","122","122","0","100.00"
"Lahandabhas","","","","","1","1","78","78","0","100.00"
"Lahanmalunga","","","","","1","1","100","100","0","100.00"
"Lavchali","","","","","1","1","111","111","0","100.00"
"Linga","","","","","1","1","192","192","0","100.00"
"Luharia","","","","","1","1","187","187","0","100.00"
"Madalbari","","","","","1","1","109","109","0","100.00"
"Mahal","","","","","1","1","144","144","0","100.00"
"Mahalpada","","","","","1","1","148","148","0","100.00"
"Maharaychond","","","","","1","1","64","64","0","100.00"
"Mahardar","","","","","1","1","122","122","0","100.00"
"Malegaon","","","","","1","1","315","315","0","100.00"
"Malga","","","","","1","1","252","252","0","100.00"
"Malin","","","","","1","1","163","163","0","100.00"
"Manmodi","","","","","1","1","105","105","0","100.00"
"Masli","","","","","1","1","144","144","0","100.00"
"Mogra","","","","","1","1","176","176","0","100.00"
"Mohpada (Pipaldahad)","","","","","1","1","30","30","0","100.00"
"Mohpada(Galkundsaja)","","","","","1","1","72","72","0","100.00"
"Mokhamal","","","","","1","1","231","231","0","100.00"
"Morzira","","","","","1","1","197","197","0","100.00"
"Mota Malunga","","","","","1","1","159","159","0","100.00"
"Motacharya","","","","","1","1","98","98","0","100.00"
"Moti Dabdar","","","","","1","1","168","168","0","100.00"
"Moti Dabhas","","","","","1","1","100","100","0","100.00"
"Moti Jhadadar","","","","","1","1","51","51","0","100.00"
