"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achhala","","","","","1","1","329","329","0","100.00"
"Achhali","","","","","1","1","116","116","0","100.00"
"Achheta","","","","","1","1","195","195","0","100.00"
"Achisara","","","","","1","1","212","212","0","100.00"
"Adalwada","","","","","1","1","141","141","0","100.00"
"Adiran","","","","","1","1","518","518","0","100.00"
"Ajabpura","","","","","1","1","459","459","0","100.00"
"Ajali","","","","","1","1","121","121","0","100.00"
"Ajitpura","","","","","1","1","41","41","0","100.00"
"Ajod","","","","","1","1","526","526","0","100.00"
"Akakheda","","","","","1","1","202","202","0","100.00"
"Akhatyarpura","","","","","1","1","73","73","0","100.00"
"Akona","","","","","1","1","360","360","0","100.00"
"Akotadar","","","","","1","1","266","266","0","100.00"
"Akoti","","","","","1","1","225","225","0","100.00"
"Alampura","","","","","1","1","138","138","0","100.00"
"Alhadpura","","","","","1","1","300","300","0","100.00"
"Alhadpura","","","","","1","1","300","300","0","100.00"
"Alikherva (CT)","","","","","1","1","214","214","0","100.00"
"Alindra","","","","","1","1","151","151","0","100.00"
"Alsipur","","","","","1","1","124","124","0","100.00"
"Alva","","","","","1","1","415","415","0","100.00"
"Amaliyara","","","","","1","1","257","257","0","100.00"
"Amalpur","","","","","1","1","100","100","0","100.00"
"Amalvant","","","","","1","1","254","254","0","100.00"
"Amarapura","","","","","1","1","454","454","0","100.00"
"Amarpur","","","","","1","1","43","43","0","100.00"
"Ambada","","","","","1","1","147","147","0","100.00"
"Ambada","","","","","1","1","147","147","0","100.00"
"Ambadi","","","","","1","1","124","124","0","100.00"
"Ambadungar","","","","","1","1","297","297","0","100.00"
"Ambakhut","","","","","1","1","103","103","0","100.00"
"Ambala","","","","","1","1","467","467","0","100.00"
"Ambalag","","","","","1","1","253","253","0","100.00"
"Ambali","","","","","1","1","206","206","0","100.00"
"Ambali","","","","","1","1","206","206","0","100.00"
"Ambapura","","","","","1","1","238","238","0","100.00"
"Ambapura","","","","","1","1","238","238","0","100.00"
"Ambav","","","","","1","1","161","161","0","100.00"
"Ambazati","","","","","1","1","167","167","0","100.00"
"Amla","","","","","1","1","449","449","0","100.00"
"Amodar","","","","","1","1","348","348","0","100.00"
"Ampad","","","","","1","1","296","296","0","100.00"
"Amreshwar","","","","","1","1","106","106","0","100.00"
"Amreshwar","","","","","1","1","106","106","0","100.00"
"Amroli","","","","","1","1","444","444","0","100.00"
"Amroli","","","","","1","1","444","444","0","100.00"
"Amrutpura","","","","","1","1","88","88","0","100.00"
"Amsota","","","","","1","1","233","233","0","100.00"
"Amta","","","","","1","1","83","83","0","100.00"
"Anagadh","","","","","1","1","2815","2815","0","100.00"
"Anandi","","","","","1","1","332","332","0","100.00"
"Anandpura","","","","","1","1","113","113","0","100.00"
"Anandpuri","","","","","1","1","158","158","0","100.00"
"Anastu","","","","","1","1","420","420","0","100.00"
"Andhani","","","","","1","1","44","44","0","100.00"
"Andrakhiya","","","","","1","1","99","99","0","100.00"
"Angari","","","","","1","1","69","69","0","100.00"
"Anguthan","","","","","1","1","299","299","0","100.00"
"Aniyadri","","","","","1","1","422","422","0","100.00"
