"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"","","","","","1","1","596","596","0","100.00"
"Amba Jungle","","","","","1","13","4156","4156","0","100.00"
"Amba Talat","","","","","1","31","1022","1022","0","100.00"
"Ambach","","","","","1","23","1364","1364","0","100.00"
"Ambheti","","","","","1","17","1620","1620","0","100.00"
"Amdha","","","","","1","7","481","481","0","100.00"
"Amli","","","","","1","8","433","433","0","100.00"
"Andharpada","","","","","1","6","196","196","0","100.00"
"Anjlav","","","","","1","5","604","604","0","100.00"
"Arnai","","","","","1","8","468","468","0","100.00"
"Asalkanti","","","","","1","3","890","890","0","100.00"
"Aslona","","","","","1","11","5501","5501","0","100.00"
"Asma","","","","","1","11","462","462","0","100.00"
"Astol","","","","","1","19","2440","2440","0","100.00"
"Asura","","","","","1","13","813","813","0","100.00"
"Atar","","","","","1","1","188","188","0","100.00"
"Atul (CT)","","","","","1","1","869","869","0","100.00"
"Avalkhandi","","","","","1","4","135","135","0","100.00"
"Avdha","","","","","1","8","759","759","0","100.00"
"Babarkhadak","","","","","1","14","473","473","0","100.00"
"Bagwada","","","","","1","9","251","251","0","100.00"
"Balchondhi","","","","","1","8","461","461","0","100.00"
"Balda","","","","","1","8","1216","1216","0","100.00"
"Balitha (CT)","","","","","1","13","3098","3098","0","100.00"
"Bamanvel","","","","","1","3","363","363","0","100.00"
"Bamti","","","","","1","12","1133","1133","0","100.00"
"Barai","","","","","1","7","427","427","0","100.00"
"Baroliya","","","","","1","12","791","791","0","100.00"
"Barpuda","","","","","1","11","2309","2309","0","100.00"
"Barsol","","","","","1","10","440","440","0","100.00"
"Barumal","","","","","1","15","687","687","0","100.00"
"Bhadeli Desai Party","","","","","1","1","296","296","0","100.00"
"Bhadeli Jagalala","","","","","1","1","1781","1781","0","100.00"
"Bhagdawada (CT)","","","","","1","1","2848","2848","0","100.00"
"Bhagod","","","","","1","1","390","390","0","100.00"
"Bhambha","","","","","1","11","323","323","0","100.00"
"Bhandar Kutch","","","","","1","9","324","324","0","100.00"
"Bhanval","","","","","1","5","190","190","0","100.00"
"Bhatheri","","","","","1","4","920","920","0","100.00"
"Bhavada (Talat)","","","","","1","9","338","338","0","100.00"
"Bhavada Jagiri (Forest)","","","","","1","8","1806","1806","0","100.00"
"Bhavthan Ambosi","","","","","1","2","612","612","0","100.00"
"Bhavthan Jungle","","","","","1","2","30","30","0","100.00"
"Bhensdara","","","","","1","10","1199","1199","0","100.00"
"Bhoma Pardi","","","","","1","3","244","244","0","100.00"
"Bhurval","","","","","1","2","1118","1118","0","100.00"
"Bhutrun","","","","","1","1","31","31","0","100.00"
"Bilaniya","","","","","1","1","470","470","0","100.00"
"Bildha","","","","","1","6","267","267","0","100.00"
"Biliya","","","","","1","2","14","14","0","100.00"
"Bilpudi","","","","","1","26","1138","1138","0","100.00"
"Binwada","","","","","1","12","665","665","0","100.00"
"Bokaddhara","","","","","1","3","111","111","0","100.00"
"Bopi","","","","","1","12","464","464","0","100.00"
"Borlai","","","","","1","7","249","249","0","100.00"
"Burla","","","","","1","8","1648","1648","0","100.00"
"Burvad","","","","","1","7","2239","2239","0","100.00"
"Chandor","","","","","1","9","538","538","0","100.00"
"Chandvegan","","","","","1","10","2874","2874","0","100.00"
"Chanvai","","","","","1","18","1321","1321","0","100.00"
"Chasmandva","","","","","1","7","132","132","0","100.00"
"Chavra","","","","","1","4","153","153","0","100.00"
"Chavshala","","","","","1","12","3110","3110","0","100.00"
"Chepa","","","","","1","8","1743","1743","0","100.00"
"Chharwada","","","","","1","10","6326","6326","0","100.00"
"Chhiri (CT)","","","","","1","14","7086","7086","0","100.00"
"Chibhad Kachchh","","","","","1","7","280","280","0","100.00"
"Chichozar","","","","","1","6","363","363","0","100.00"
"Chichpada","","","","","1","2","338","338","0","100.00"
"Chichwada","","","","","1","1","238","238","0","100.00"
"Chinchai","","","","","1","7","378","378","0","100.00"
"Dabhadi","","","","","1","2","583","583","0","100.00"
"Dabkhal","","","","","1","9","2230","2230","0","100.00"
"Dahikhed","","","","","1","8","2256","2256","0","100.00"
"Dandval","","","","","1","2","89","89","0","100.00"
"Dashwada","","","","","1","8","206","206","0","100.00"
"Degam","","","","","1","10","358","358","0","100.00"
"Dhakval","","","","","1","3","247","247","0","100.00"
"Dhaman Vegan","","","","","1","3","372","372","0","100.00"
"Dhamdachi","","","","","1","1","674","674","0","100.00"
"Dhamni","","","","","1","10","562","562","0","100.00"
"Dharanmal","","","","","1","1","352","352","0","100.00"
"Dhodhad kuva","","","","","1","9","480","480","0","100.00"
"Dighi","","","","","1","4","673","673","0","100.00"
"Dived","","","","","1","1","581","581","0","100.00"
"Divsi","","","","","1","6","3460","3460","0","100.00"
"Dixal","","","","","1","7","1348","1348","0","100.00"
"Dulsad","","","","","1","9","796","796","0","100.00"
"Dumalav","","","","","1","14","919","919","0","100.00"
"Dungri","","","","","1","10","3224","3224","0","100.00"
"Eklera","","","","","1","11","1102","1102","0","100.00"
"Faldhara","","","","","1","7","1189","1189","0","100.00"
"Fali","","","","","1","8","1365","1365","0","100.00"
"Fatepur","","","","","1","6","1450","1450","0","100.00"
"Fulwadi","","","","","1","12","507","507","0","100.00"
"Gadi","","","","","1","6","375","375","0","100.00"
"Ganva","","","","","1","8","125","125","0","100.00"
"Ghadoi","","","","","1","1","543","543","0","100.00"
"Ghadvi","","","","","1","6","1016","1016","0","100.00"
"Ghanveri","","","","","1","6","1197","1197","0","100.00"
"Ghotan","","","","","1","7","1900","1900","0","100.00"
"Ghotval","","","","","1","4","940","940","0","100.00"
"Girnara","","","","","1","12","3082","3082","0","100.00"
"Goima","","","","","1","29","1786","1786","0","100.00"
"Gorakhada","","","","","1","3","168","168","0","100.00"
"Gorwada","","","","","1","1","267","267","0","100.00"
"Gundiya","","","","","1","5","486","486","0","100.00"
"Gundlav","","","","","1","1","881","881","0","100.00"
"Hanmatmal","","","","","1","21","750","750","0","100.00"
"Hariya","","","","","1","1","587","587","0","100.00"
"Hathanbari","","","","","1","7","128","128","0","100.00"
"Hedalbari","","","","","1","10","1062","1062","0","100.00"
"Hedri","","","","","1","2","128","128","0","100.00"
"Huda","","","","","1","7","2344","2344","0","100.00"
"Jagiri","","","","","1","13","256","256","0","100.00"
"Jam Gabhan","","","","","1","7","216","216","0","100.00"
"Jamaliya","","","","","1","11","372","372","0","100.00"
"Jirval","","","","","1","15","486","486","0","100.00"
"Jogvel","","","","","1","15","635","635","0","100.00"
"Jujwa","","","","","1","12","850","850","0","100.00"
"Kachigam","","","","","1","9","480","480","0","100.00"
"Kachwal","","","","","1","10","347","347","0","100.00"
"Kajli","","","","","1","7","373","373","0","100.00"
"Kakadkopar","","","","","1","12","717","717","0","100.00"
"Kakadkuva","","","","","1","11","892","892","0","100.00"
"Kakadmati","","","","","1","8","443","443","0","100.00"
"Kakwadi Danti","","","","","1","15","7213","7213","0","100.00"
"Kalsar","","","","","1","7","521","521","0","100.00"
"Kalwada","","","","","1","1","505","505","0","100.00"
"Kangvi","","","","","1","13","767","767","0","100.00"
"Kanjan Hari","","","","","1","9","750","750","0","100.00"
"Kanjan Ranchhod","","","","","1","10","798","798","0","100.00"
"Kaparia","","","","","1","9","492","492","0","100.00"
"Kaprada","","","","","1","19","951","951","0","100.00"
"Karamkhal","","","","","1","8","562","562","0","100.00"
"Karanjveri","","","","","1","12","673","673","0","100.00"
"Karaya","","","","","1","19","570","570","0","100.00"
"Karchond","","","","","1","9","2707","2707","0","100.00"
"Karjun","","","","","1","15","2321","2321","0","100.00"
"Karvad (CT)","","","","","1","12","2239","2239","0","100.00"
"Kasatveri","","","","","1","1","949","949","0","100.00"
"Kastoniya","","","","","1","4","874","874","0","100.00"
"Kaval","","","","","1","7","174","174","0","100.00"
"Keldha","","","","","1","4","540","540","0","100.00"
"Kelvani","","","","","1","12","576","576","0","100.00"
"Ketki","","","","","1","7","564","564","0","100.00"
"Khadakval","","","","","1","14","3462","3462","0","100.00"
"Khadki","","","","","1","2","192","192","0","100.00"
"Khadki","","","","","1","9","714","714","0","100.00"
"Khamdahad","","","","","1","7","119","119","0","100.00"
"Khanda","","","","","1","14","492","492","0","100.00"
"Khapatiya","","","","","1","1","95","95","0","100.00"
"Kharedi","","","","","1","5","227","227","0","100.00"
"Kharvel","","","","","1","6","365","365","0","100.00"
"Khatana","","","","","1","13","518","518","0","100.00"
"Khatuniya","","","","","1","4","591","591","0","100.00"
"Kherlav","","","","","1","8","339","339","0","100.00"
"Khoba","","","","","1","3","64","64","0","100.00"
"Khuntej","","","","","1","6","381","381","0","100.00"
"Khuntli","","","","","1","12","394","394","0","100.00"
"Kikarla","","","","","1","9","849","849","0","100.00"
"Kocharva","","","","","1","8","701","701","0","100.00"
"Kochwada","","","","","1","1","169","169","0","100.00"
"Kolak","","","","","1","18","1013","1013","0","100.00"
"Kolvera","","","","","1","4","1080","1080","0","100.00"
"Koparli","","","","","1","23","741","741","0","100.00"
"Kosamkuwa","","","","","1","4","285","285","0","100.00"
"Kosimpada","","","","","1","4","52","52","0","100.00"
"Kotalgam","","","","","1","2","441","441","0","100.00"
"Kothar","","","","","1","7","445","445","0","100.00"
"Kumbhariya","","","","","1","5","369","369","0","100.00"
"Kumbhset","","","","","1","2","384","384","0","100.00"
"Kunda","","","","","1","4","1385","1385","0","100.00"
"Kunta","","","","","1","11","1036","1036","0","100.00"
"Kurgam","","","","","1","13","491","491","0","100.00"
"Lakadmal","","","","","1","6","367","367","0","100.00"
"Lakhmapor","","","","","1","2","25","25","0","100.00"
"Lavachha (CT)","","","","","1","1","9","9","0","100.00"
