"District","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Ambala","","","","","473","509","145071","132906","12165","91.61"
"Bhiwani","","","","","443","443","227538","183154","44384","80.49"
"Faridabad","","","","","146","153","64390","57728","6662","89.65"
"Fatehabad","","","","","246","287","138617","109315","29302","78.86"
"Gurgaon","","","","","165","190","86214","84369","1845","97.86"
"Hisar","","","","","275","355","269591","183903","85688","68.22"
"Jhajjar","","","","","249","255","154948","139252","15696","89.87"
"Jind","","","","","304","305","214255","149135","65120","69.61"
"Kaithal","","","","","267","304","165257","108930","56327","65.92"
"Karnal","","","","","435","457","207617","172542","35075","83.11"
"Kurukshetra","","","","","388","446","118609","108729","9880","91.67"
"Mahendragarh","","","","","369","389","165062","110257","54805","66.80"
"Mewat","","","","","421","478","193392","118176","75216","61.11"
"Palwal","","","","","276","321","130192","85793","44399","65.90"
"Panchkula","","","","","212","212","53166","51521","1645","96.91"
"Panipat","","","","","186","199","173259","138585","34674","79.99"
"Rewari","","","","","377","417","155553","144125","11428","92.65"
"Rohtak","","","","","137","137","117318","104138","13180","88.77"
"Sirsa","","","","","327","353","201210","148454","52756","73.78"
"Sonipat","","","","","316","323","199311","190354","8957","95.51"
"Yamunanagar","","","","","621","693","240249","204210","36039","85.00"
"Total","0","0","0","0","6,633","7,226","34,20,819","27,25,576","6,95,243",""
