"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abdulgarh (247)","","","","","1","1","116","66","50","56.90"
"Addu Majra (278)","","","","","1","1","150","141","9","94.00"
"Adhoi (233)","","","","","1","1","283","230","53","81.27"
"Adhoya Hindwan (235)","","","","","1","1","581","550","31","94.66"
"Adhoya Musalmana (209)","","","","","1","1","570","540","30","94.74"
"Ahmadpur (303)","","","","","1","1","165","112","53","67.88"
"Ahman (175)","","","","","1","1","131","131","0","100.00"
"Akalgarh (241)","","","","","1","1","88","70","18","79.55"
"Akbarpur (131)","","","","","1","1","188","178","10","94.68"
"Akbarpur (305)","","","","","1","1","147","130","17","88.44"
"Alapur (154)","","","","","1","1","76","75","1","98.68"
"Alauddin Majra (301)","","","","","1","1","108","93","15","86.11"
"Alawalpur (239)","","","","","1","2","427","290","137","67.92"
"Aliaspur (7)","","","","","1","1","207","205","2","99.03"
"Alipur (82)","","","","","1","1","475","475","0","100.00"
"Ambli (136)","","","","","1","1","610","525","85","86.07"
"Aminpur (258)","","","","","1","1","169","162","7","95.86"
"Anandpur Jalbera (121)","","","","","1","1","682","665","17","97.51"
"Andheri (291)","","","","","1","1","267","235","32","88.01"
"Azampur (100)","","","","","1","1","137","114","23","83.21"
"Babaheri (165)","","","","","1","1","133","126","7","94.74"
"Babak Majra (51)","","","","","1","1","3","3","0","100.00"
"Babiyal (CT)","","","","","1","1","2156","2100","56","97.40"
"Badhauli (110)","","","","","1","1","628","560","68","89.17"
"Badi Kohri (254)","","","","","1","1","159","137","22","86.16"
"Bakarpur (297)","","","","","1","1","128","112","16","87.50"
"Baknaur (282)","","","","","1","1","302","281","21","93.05"
"Baktuha (106)","","","","","1","1","328","308","20","93.90"
"Balana (173)","","","","","1","1","947","947","0","100.00"
"Ballopur (306)","","","","","1","1","158","127","31","80.38"
"Bamba (302)","","","","","1","1","92","84","8","91.30"
"Banaundi (65)","","","","","1","1","170","145","25","85.29"
"Banhpur (288)","","","","","1","1","32","27","5","84.38"
"Bapauli (259)","","","","","1","1","235","200","35","85.11"
"Bara (123)","","","","","1","1","389","387","2","99.49"
"Bara Gaon (97)","","","","","1","1","178","111","67","62.36"
"Bara Korwa (279)","","","","","1","1","199","164","35","82.41"
"Baragarh (66)","","","","","1","1","362","308","54","85.08"
"Barara (203) (CT)","","","","","1","1","5499","4856","643","88.31"
"Baraul (277)","","","","","1","1","250","233","17","93.20"
"Barheri Badi (109)","","","","","1","1","258","238","20","92.25"
"Barheri Chhoti (107)","","","","","1","1","137","126","11","91.97"
"Bari Bassi (70)","","","","","1","1","288","245","43","85.07"
