"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abidpura(81)","","","","","1","1","202","172","30","85.15"
"Achina (153)","","","","","1","1","1240","1024","216","82.58"
"Ahmedwas(56)","","","","","1","1","293","251","42","85.67"
"Ajitpura (105)","","","","","1","1","100","100","0","100.00"
"Akberpur(66","","","","","1","1","68","59","9","86.76"
"Akhtiar Pura(108)","","","","","1","1","186","156","30","83.87"
"Alakhpura (32)","","","","","1","1","283","205","78","72.44"
"Alampur (78)","","","","","1","1","722","523","199","72.44"
"Allaudinpur(24)","","","","","1","1","515","447","68","86.80"
"Amirwas(23)","","","","","1","1","108","91","17","84.26"
"Asalwas Dubia (54)","","","","","1","1","368","295","73","80.16"
"Asalwas Marhata (55)","","","","","1","1","686","563","123","82.07"
"Asawari(83)","","","","","1","1","121","98","23","80.99"
"Atela Kalan(88)","","","","","1","1","438","369","69","84.25"
"Atela Khurd(87)","","","","","1","1","582","483","99","82.99"
"Aurangnagar (134)","","","","","1","1","100","100","0","100.00"
"Azadnagar (147)","","","","","1","1","93","75","18","80.65"
"Azempur(62)","","","","","1","1","424","360","64","84.91"
"Babarwas (142)","","","","","1","1","263","232","31","88.21"
"Badal(84)","","","","","1","1","336","273","63","81.25"
"Badala (118)","","","","","1","1","104","104","0","100.00"
"Badalwala(80)","","","","","1","1","117","87","30","74.36"
"Badesra (53)","","","","","1","1","1456","1065","391","73.15"
"Badhra(40)","","","","","1","1","156","135","21","86.54"
"Badhwana(182)","","","","","1","1","414","340","74","82.13"
"Badrai(9)","","","","","1","1","362","306","56","84.53"
"Baganwala(37)","","","","","1","1","690","433","257","62.75"
"Bajina (47)","","","","","1","1","969","671","298","69.25"
"Bakhtawarpura (61)","","","","","1","1","216","190","26","87.96"
"Balali(72)","","","","","1","1","334","276","58","82.63"
"Baliali (44)","","","","","1","1","2405","1954","451","81.25"
"Balkra(79)","","","","","1","1","499","415","84","83.17"
"Balrod(180)","","","","","1","1","290","243","47","83.79"
"Bamla (15)","","","","","1","1","2143","1383","760","64.54"
"Bapora (24)","","","","","1","1","2657","1971","686","74.18"
"Barahlu(43)","","","","","1","1","331","286","45","86.40"
"Bardu Chaina(20)","","","","","1","1","123","113","10","91.87"
"Bardu Dhirja (18)","","","","","1","1","181","155","26","85.64"
"Bardu Jogi(21)","","","","","1","1","148","133","15","89.86"
"Bardu Mughal (17)","","","","","1","1","88","79","9","89.77"
"Bardu Puran(19)","","","","","1","1","416","355","61","85.34"
"Barsana(89)","","","","","1","1","356","303","53","85.11"
"Barsi (133)","","","","","1","1","112","112","0","100.00"
"Barwa (133)","","","","","1","1","2237","2139","98","95.62"
"Barwas(55)","","","","","1","1","81","76","5","93.83"
"Bas Mutsil Ranila (154)","","","","","1","1","409","339","70","82.89"
"Basirwas(54)","","","","","1","1","122","104","18","85.25"
"Bawani Khera (Rural)(42)","","","","","1","1","2293","2293","0","100.00"
"Beejna(184)","","","","","1","1","300","257","43","85.67"
"Behal(106)","","","","","1","1","4210","2929","1281","69.57"
"Beran (16)","","","","","1","1","391","332","59","84.91"
"Berla(19)","","","","","1","1","380","368","12","96.84"
"Bhagesri (152)","","","","","1","1","560","466","94","83.21"
"Bhagvi (163)","","","","","1","1","718","590","128","82.17"
"Bhakra (56)","","","","","1","1","283","234","49","82.69"
"Bhandwa(41)","","","","","1","1","184","156","28","84.78"
"Bhangarh (63)","","","","","1","1","619","528","91","85.30"
"Bhariwas(93)","","","","","1","1","332","197","135","59.34"
"Bhariwass(28)","","","","","1","1","77","67","10","87.01"
"Bhera(90)","","","","","1","1","546","483","63","88.46"
"Bhervi(146)","","","","","1","1","64","51","13","79.69"
"Bhiwani Jonpal (21)","","","","","1","1","100","100","0","100.00"
"Bhiwani Lohar (22)","","","","","1","1","100","100","0","100.00"
"Bhopali(33)","","","","","1","1","162","143","19","88.27"
"Bhurtana (39)","","","","","1","1","605","423","182","69.92"
"Bidhnoi (8)","","","","","1","1","581","286","295","49.23"
"Bidhwan (113)","","","","","1","1","583","521","62","89.37"
"Bigowa (155)","","","","","1","1","586","478","108","81.57"
"Bijlanawas (148)","","","","","1","1","201","162","39","80.60"
"Bilawal(86)","","","","","1","1","238","185","53","77.73"
"Bindraban(14)","","","","","1","1","96","79","17","82.29"
"Biran (27)","","","","","1","1","1007","893","114","88.68"
"Birhi Kalan(93)","","","","","1","1","63","61","2","96.83"
"Birhi Khurd(95)","","","","","1","1","790","636","154","80.51"
"Birola(83)","","","","","1","1","473","341","132","72.09"
"Bisalwas(57)","","","","","1","1","335","287","48","85.67"
"Bithan(14)","","","","","1","1","417","359","58","86.09"
"Bohal (37)","","","","","1","1","100","100","0","100.00"
"Bond Kalan (127)","","","","","1","1","2256","1850","406","82.00"
