"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Ahmadpur(62)","","","","","1","1","184","166","18","90.22"
"Akbarpur(178)","","","","","1","1","37","33","4","89.19"
"Alampur(32)","","","","","1","1","545","496","49","91.01"
"Alipur(106)","","","","","1","1","326","279","47","85.58"
"Amipur(172)","","","","","1","1","237","214","23","90.30"
"Aruwah(193)","","","","","1","1","526","478","48","90.87"
"Atali(89)","","","","","1","1","1193","1082","111","90.70"
"Aterna(60)","","","","","1","1","282","255","27","90.43"
"Badarpur Said(111)","","","","","1","1","344","313","31","90.99"
"Badoli(116)","","","","","1","1","1408","1353","55","96.09"
"Badraula(93)","","","","","1","1","508","439","69","86.42"
"Badshahpur(140)","","","","","1","1","191","175","16","91.62"
"Bahadurpur(91)","","","","","1","1","390","356","34","91.28"
"Bahbalpur(69)","","","","","1","1","450","408","42","90.67"
"Bhainsraoli(103)","","","","","1","1","535","490","45","91.59"
"Bhanakpur(45)","","","","","1","1","531","473","58","89.08"
"Bhaskaula(159)","","","","","1","1","177","160","17","90.40"
"Bhatola(115)","","","","","1","1","626","568","58","90.73"
"Bhikuka(198)","","","","","1","1","14","10","4","71.43"
"Bhopani(143)","","","","","1","1","867","807","60","93.08"
"Bhuapur(102)","","","","","1","1","470","429","41","91.28"
"Bijopur(35)","","","","","1","1","678","602","76","88.79"
"Bukharpur(85)","","","","","1","1","437","396","41","90.62"
"Chandaoli(82)","","","","","1","1","972","838","134","86.21"
"Chandpur(190)","","","","","1","1","446","379","67","84.98"
"Chhainsa(202)","","","","","1","1","2483","2243","240","90.33"
"Chirsi(171)","","","","","1","1","209","191","18","91.39"
"Dadsia(147)","","","","","1","1","330","315","15","95.45"
"Dalelgarh(186)","","","","","1","2","86","70","16","81.40"
"Dayalpur(86)","","","","","1","1","1368","1253","115","91.59"
"Dhadar(145)","","","","","1","1","46","38","8","82.61"
"Dhahkola(108)","","","","","1","1","340","299","41","87.94"
"Dhoj(17)","","","","","1","1","2046","1886","160","92.18"
"Digh(56)","","","","","1","1","770","693","77","90.00"
"Dulahpur Alias Parasrampur(197)","","","","","1","1","79","70","9","88.61"
"Dungarpur(157)","","","","","1","1","55","53","2","96.36"
"Faizupur Khadar(192)","","","","","1","1","218","192","26","88.07"
"Faizupur Majra Neemka (98)","","","","","1","1","165","150","15","90.91"
"Faridpur(99)","","","","","1","1","919","853","66","92.82"
"Fatehpur Biloch(58)","","","","","1","1","1790","1550","240","86.59"
"Fatehpur Taga(29)","","","","","1","1","1150","913","237","79.39"
"Fattupura(101)","","","","","1","1","237","216","21","91.14"
