"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Ahrwan(127)","","","","","1","1","1368","1255","113","91.74"
"Akanwali(101)","","","","","1","1","989","454","535","45.90"
"Alawalwas(167)","","","","","1","1","588","487","101","82.82"
"Alika(173)","","","","","1","1","782","717","65","91.69"
"Alipur Bharota(103)","","","","","1","1","275","210","65","76.36"
"Amani(86)","","","","","1","1","551","378","173","68.60"
"Ayalki(129)","","","","","1","3","976","870","106","89.14"
"Babanpur(151)","","","","","1","2","626","554","72","88.50"
"Badalgarh(152)","","","","","1","1","723","663","60","91.70"
"Badhai Khera(91)","","","","","1","1","120","51","69","42.50"
"Badopal(46)","","","","","1","1","1700","1536","164","90.35"
"Bahmanwala(122)","","","","","1","1","618","510","108","82.52"
"Baijalpur(186)","","","","","1","1","929","836","93","89.99"
"Balianwala(95)","","","","","1","1","450","288","162","64.00"
"Baliyala(168)","","","","","1","1","581","541","40","93.12"
"Banawali(27)","","","","","1","1","698","606","92","86.82"
"Bangram(43)","","","","","1","2","1090","949","141","87.06"
"Banmandore(13)","","","","","1","1","777","659","118","84.81"
"Bara(158)","","","","","1","1","100","51","49","51.00"
"Barolanwali(113)","","","","","1","1","416","301","115","72.36"
"Basin(97)","","","","","1","1","407","288","119","70.76"
"Basti Bhiwan(133)","","","","","1","1","1573","1401","172","89.07"
"Bawan(72)","","","","","1","2","765","526","239","68.76"
"Behbalpur(118)","","","","","1","2","361","280","81","77.56"
"Bharpoor(100)","","","","","1","1","322","223","99","69.25"
"Bhatoo(71)","","","","","1","1","227","150","77","66.08"
"Bhattu Kalan(16)","","","","","1","2","3851","3486","365","90.52"
"Bhattu Khurd(120)","","","","","1","1","348","255","93","73.28"
"Bhawani Khera(154)","","","","","1","1","25","10","15","40.00"
"Bhimawala(79)","","","","","1","1","80","66","14","82.50"
"Bhoda Hoshnak(95)","","","","","1","1","456","337","119","73.90"
"Bhodi(100)","","","","","1","1","284","271","13","95.42"
"Bhodia Khera(42)","","","","","1","1","1557","1475","82","94.73"
"Bhodia Khera(84)","","","","","1","1","88","66","22","75.00"
"Bhuna(63)","","","","","1","1","12","10","2","83.33"
"Bhundarwas(159)","","","","","1","2","738","627","111","84.96"
"Bhunra(79)","","","","","1","1","103","82","21","79.61"
"Bhurtholi(216)","","","","","1","1","58","0","58","0.00"
"Bhuthan Kalan(180)","","","","","1","2","1209","1147","62","94.87"
"Bhuthan Khurd (87)","","","","","1","1","379","252","127","66.49"
"Bighar(44)","","","","","1","2","2684","2617","67","97.50"
"Birabadi(111)","","","","","1","1","584","555","29","95.03"
"Birdhana(139)","","","","","1","3","2282","2250","32","98.60"
"Bisla(98)","","","","","1","1","407","276","131","67.81"
"Bodiwali(36)","","","","","1","1","635","504","131","79.37"
"Bora(169)","","","","","1","1","280","206","74","73.57"
"Bosti(69)","","","","","1","1","1010","542","468","53.66"
"Boswal(136)","","","","","1","1","170","121","49","71.18"
"Budhanpur(201)","","","","","1","1","221","35","186","15.84"
"Burj(146)","","","","","1","1","284","198","86","69.72"
