"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aklimpur(166)","","","","","1","1","217","203","14","93.55"
"Alimudinpur(11)","","","","","1","1","275","254","21","92.36"
"Alipur(180)","","","","","1","1","591","546","45","92.39"
"Babra Bakipur(33)","","","","","1","1","390","368","22","94.36"
"Badha(113)","","","","","1","1","304","284","20","93.42"
"Badshahpur (87) (CT)","","","","","1","2","3825","3786","39","98.98"
"Baghanki(4)","","","","","1","1","620","611","9","98.55"
"Bahora Kalan(134)","","","","","1","9","3933","3887","46","98.83"
"Bahora Khurd(136)","","","","","1","2","493","484","9","98.17"
"Bajghera(61)","","","","","1","1","1146","1146","0","100.00"
"Balewa(271)","","","","","1","1","286","278","8","97.20"
"Bapas(266)","","","","","1","1","301","301","0","100.00"
"Bar Gujar(156)","","","","","1","1","612","608","4","99.35"
"Barheri Rehnwa(261)","","","","","1","1","169","164","5","97.04"
"Bas Padamka (41)","","","","","1","1","666","666","0","100.00"
"Basharia(125)","","","","","1","1","436","430","6","98.62"
"Baskushla(127)","","","","","1","1","525","525","0","100.00"
"Baslambi(130)","","","","","1","2","977","927","50","94.88"
"Basonda(18)","","","","","1","1","250","250","0","100.00"
"Bastpur(25)","","","","","1","1","170","167","3","98.24"
"Behlpa(171)","","","","","1","1","343","311","32","90.67"
"Bhang Rola(122)","","","","","1","1","850","850","0","100.00"
"Bhondsi (168) (CT)","","","","","1","2","3245","3232","13","99.60"
"Bhudka(142)","","","","","1","1","261","246","15","94.25"
"Bhun Karka(137)","","","","","1","1","265","263","2","99.25"
"Bilaspur(146)","","","","","1","1","842","831","11","98.69"
"Binola(147)","","","","","1","1","158","150","8","94.94"
"Bir Hera(5)","","","","","1","1","364","358","6","98.35"
"Brijpura(18)","","","","","1","1","101","101","0","100.00"
"Budhera(43)","","","","","1","1","667","658","9","98.65"
"Chandla Dungerwas(148)","","","","","1","1","514","508","6","98.83"
"Chandu(44)","","","","","1","1","494","472","22","95.55"
"Chhawan(2)","","","","","1","1","158","158","0","100.00"
"Daboda(10)","","","","","1","1","458","451","7","98.47"
"Dadawas(20)","","","","","1","1","165","164","1","99.39"
"Danokri(141)","","","","","1","1","683","680","3","99.56"
"Darapur(288)","","","","","1","1","214","214","0","100.00"
"Darbaripur(162)","","","","","1","1","231","211","20","91.34"
"Daultabad(28)","","","","","1","1","275","270","5","98.18"
"Dewlawas(5)","","","","","1","1","172","171","1","99.42"
"Dhana(126)","","","","","1","1","430","428","2","99.53"
"Dhanawas(119)","","","","","1","1","466","463","3","99.36"
"Dhorka(120)","","","","","1","1","364","364","0","100.00"
"Dhumaspur(86)","","","","","1","1","140","132","8","94.29"
"Faredpur(15)","","","","","1","1","145","142","3","97.93"
"Fazalpur Badli(31)","","","","","1","1","568","564","4","99.30"
"Fazalwas(149)","","","","","1","1","408","402","6","98.53"
"Gadaipur(30)","","","","","1","1","205","205","0","100.00"
"Gairatpurbas(158)","","","","","1","2","236","212","24","89.83"
"Garhi Harsaru (46) (CT)","","","","","1","1","2384","2312","72","96.98"
"Garhi Nathekhan(9)","","","","","1","1","155","155","0","100.00"
