"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adampur (CT)","","","","","1","2","5040","4761","279","94.46"
"Agroha(54)","","","","","1","1","1491","1185","306","79.48"
"Alipur(150)","","","","","1","1","850","725","125","85.29"
"Arya Nagar(57)","","","","","1","1","1765","1150","615","65.16"
"Asranwan(39)","","","","","1","1","677","427","250","63.07"
"Aurang Shahpur (90)","","","","","1","1","331","76","255","22.96"
"Bad Chhapar (61)","","","","","1","1","582","384","198","65.98"
"Badala(102)","","","","","1","1","1063","818","245","76.95"
"Badhawar(19)","","","","","1","1","1333","1273","60","95.50"
"Badon Brahmanan(6)","","","","","1","1","368","309","59","83.97"
"Badon Pati Awal(69)","","","","","1","1","405","405","0","100.00"
"Badon Pati Doyan (68)","","","","","1","1","210","208","2","99.05"
"Badon Rangran(7)","","","","","1","1","276","220","56","79.71"
"Bagla (26)","","","","","1","1","669","560","109","83.71"
"Bahbalpur(67)","","","","","1","1","939","593","346","63.15"
"Balak(130)","","","","","1","2","1512","1201","311","79.43"
"Balawas(32)","","","","","1","1","528","488","40","92.42"
"Balsmand(22)","","","","","1","1","2362","1568","794","66.38"
"Banbhori(10)","","","","","1","1","784","572","212","72.96"
"Banda Heri (24)","","","","","1","1","590","392","198","66.44"
"Bandaheri(24)","","","","","1","1","670","497","173","74.18"
"Barwala (Rural)(128)","","","","","1","5","2170","2001","169","92.21"
"Bass Akbarpur(96)","","","","","1","1","1020","785","235","76.96"
"Bass Azam Shahpur(95)","","","","","1","1","1098","750","348","68.31"
"Bass Badshahpur (97)","","","","","1","1","976","650","326","66.60"
"Bass Khurd Bejan(98)","","","","","1","1","1318","850","468","64.49"
"Bayana Khera(16)","","","","","1","1","692","355","337","51.30"
"Bhada Khera(12)","","","","","1","1","169","125","44","73.96"
"Bhagana(152)","","","","","1","1","1047","797","250","76.12"
"Bhaini Badshahpur(125)","","","","","1","1","650","525","125","80.77"
"Bhairi Akbarpur(114)","","","","","1","1","1115","823","292","73.81"
"Bhaklana(94)","","","","","1","1","980","710","270","72.45"
"Bhana(24)","","","","","1","1","877","496","381","56.56"
"Bharri(8)","","","","","1","1","114","31","83","27.19"
"Bhatla(113)","","","","","1","1","1423","677","746","47.58"
"Bhatol Jatan (10)","","","","","1","1","498","410","88","82.33"
"Bhatol Rangran(126)","","","","","1","1","534","310","224","58.05"
"Bheni Amirpur (71)","","","","","1","1","1310","764","546","58.32"
"Bherian(16)","","","","","1","1","409","262","147","64.06"
"Bhiwani Ruhelan(50)","","","","","1","1","593","423","170","71.33"
"Bhodia Khera Bishnoian(25)","","","","","1","1","641","279","362","43.53"
"Bhojraj(62)","","","","","1","1","346","50","296","14.45"
"Bichpari(131)","","","","","1","1","632","496","136","78.48"
"Bir Hansi((120)","","","","","1","9","2731","1898","833","69.50"
"Bir Hisar(145)","","","","","1","3","1900","1420","480","74.74"
"Bithmara(85)","","","","","1","1","2015","1200","815","59.55"
"Bobua(120)","","","","","1","1","952","788","164","82.77"
"Budana (89)","","","","","1","1","917","684","233","74.59"
"Budha Khera(115)","","","","","1","1","1430","871","559","60.91"
"Bugana(71)","","","","","1","1","576","430","146","74.65"
"Burak(23)","","","","","1","1","712","259","453","36.38"
"Bure(4)","","","","","1","1","534","406","128","76.03"
"Chabbarwal(19)","","","","","1","1","265","120","145","45.28"
"Chamar Khera(67)","","","","","1","1","905","589","316","65.08"
"Chandnaud(11)","","","","","1","1","202","22","180","10.89"
"Channot(112)","","","","","1","1","1517","871","646","57.42"
"Chaudhriwas(18)","","","","","1","1","1124","646","478","57.47"
"Chhan(9)","","","","","1","1","434","355","79","81.80"
"Chikanwas(144)","","","","","1","1","910","749","161","82.31"
"Chiraud(14)","","","","","1","1","571","445","126","77.93"
"Chudhriwali(29)","","","","","1","1","543","337","206","62.06"
"Chuli Bagarian(8)","","","","","1","1","927","802","125","86.52"
"Chuli Kalan(7)","","","","","1","1","469","354","115","75.48"
"Chuli Khurd(6)","","","","","1","1","439","377","62","85.88"
"Dabra(164)","","","","","1","1","869","350","519","40.28"
"Daha(10)","","","","","1","1","523","157","366","30.02"
"Dahima(157)","","","","","1","1","442","344","98","77.83"
"Daroli(32)","","","","","1","1","634","535","99","84.38"
"Data(83)","","","","","1","1","1919","1204","715","62.74"
"Daulatpur(124)","","","","","1","1","1340","781","559","58.28"
"Depal (118)","","","","","1","5","1685","760","925","45.10"
"Dewe(60)","","","","","1","1","402","281","121","69.90"
"Dhadh(18)","","","","","1","1","560","486","74","86.79"
"Dhamian(29)","","","","","1","1","444","303","141","68.24"
"Dhana(128)","","","","","1","7","4413","2931","1482","66.42"
"Dhanderi(117)","","","","","1","1","516","495","21","95.93"
"Dhani Jatan(224)","","","","","1","1","282","78","204","27.66"
"Dhansu(64)","","","","","1","1","1601","805","796","50.28"
"Dharam Kheri(65)","","","","","1","1","580","396","184","68.28"
"Dhingtana(70)","","","","","1","2","853","676","177","79.25"
"Dhiran Was(53)","","","","","1","2","368","267","101","72.55"
"Dobeta(5)","","","","","1","1","189","108","81","57.14"
"Dobhi(25)","","","","","1","1","1330","623","707","46.84"
"Durjanpur(143)","","","","","1","2","857","535","322","62.43"
"Fransi(37)","","","","","1","1","566","347","219","61.31"
"Gaibipur(122)","","","","","1","1","1115","1043","72","93.54"
"Gamra (80)","","","","","1","1","671","476","195","70.94"
"Gangwa (166) (CT)","","","","","1","1","5092","1568","3524","30.79"
"Garhi(139)","","","","","1","1","1060","953","107","89.91"
"Gawar(19)","","","","","1","1","572","278","294","48.60"
"Ghirai(24)","","","","","1","1","1318","1071","247","81.26"
"Ghursal(30)","","","","","1","1","433","344","89","79.45"
"Ghuskani(64)","","","","","1","1","19","10","9","52.63"
"Gianpura(15)","","","","","1","1","313","309","4","98.72"
"Gorchhi(20)","","","","","1","1","572","479","93","83.74"
"Gurana(20)","","","","","1","1","1389","951","438","68.47"
"Guzar(61)","","","","","1","1","186","87","99","46.77"
"Haibatpur (79)","","","","","1","1","615","429","186","69.76"
"Hajampur(135)","","","","","1","1","617","559","58","90.60"
"Hansi (Rural)(119)","","","","","1","6","1699","992","707","58.39"
"Hari Kot(220)","","","","","1","1","299","200","99","66.89"
"Harita (9)","","","","","1","1","453","199","254","43.93"
"Hasangarh(118)","","","","","1","1","1098","866","232","78.87"
"Hindwan (56)","","","","","1","1","847","540","307","63.75"
"Hisar (Rural)(146)","","","","","1","1","541","413","128","76.34"
"Inchha Kharkhari(44)","","","","","1","1","49","37","12","75.51"
"Isharheri(126)","","","","","1","1","25","25","0","100.00"
"Jagan(141)","","","","","1","1","663","450","213","67.87"
"Jakhod Khera(42)","","","","","1","1","704","624","80","88.64"
"Jamawari(122)","","","","","1","1","1018","839","179","82.42"
"Jamni Khera(66)","","","","","1","1","111","99","12","89.19"
"Jeora(132)","","","","","1","1","716","459","257","64.11"
"Juglan(66)","","","","","1","1","1500","1120","380","74.67"
"Kabrer(173)","","","","","1","1","891","755","136","84.74"
"Kagsar (68)","","","","","1","1","478","321","157","67.15"
"Kaimri(165)","","","","","1","2","1584","1477","107","93.24"
