"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achhej(119)","","","","","1","1","529","529","0","100.00"
"Ahri(246)","","","","","1","1","571","567","4","99.30"
"Akehri Madanpur(200)","","","","","1","1","1030","1018","12","98.83"
"Amadalpur(252)","","","","","1","1","354","354","0","100.00"
"Amboli(193)","","","","","1","1","441","366","75","82.99"
"Asadpur Khera(241)","","","","","1","1","236","233","3","98.73"
"Asanda(23)","","","","","1","1","680","642","38","94.41"
"Asauda Sewan (29)","","","","","1","1","1485","1205","280","81.14"
"Asmayalpur(79)","","","","","1","1","367","359","8","97.82"
"Asoda Todran(28)","","","","","1","1","1240","1202","38","96.94"
"Aurangpur (273)","","","","","1","1","812","686","126","84.48"
"Babepur(224)","","","","","1","1","382","324","58","84.82"
"Babra(261)","","","","","1","1","293","290","3","98.98"
"Badli(72)","","","","","1","1","2316","2294","22","99.05"
"Badsa(77)","","","","","1","1","700","700","0","100.00"
"Baghpur(129)","","","","","1","1","565","565","0","100.00"
"Bahamnola(270)","","","","","1","1","447","382","65","85.46"
"Bahu(18-N)","","","","","1","1","1358","1320","38","97.20"
"Bakhtawarpur Alias Rayya(210)","","","","","1","2","512","389","123","75.98"
"Bakra(127)","","","","","1","1","368","368","0","100.00"
"Balaur(64)","","","","","1","1","656","510","146","77.74"
"Bambulia(203)","","","","","1","1","207","192","15","92.75"
"Bamnoli(35)","","","","","1","1","1040","1027","13","98.75"
"Barahi(40)","","","","","1","1","1210","1120","90","92.56"
"Barhana(15)","","","","","1","1","1633","1620","13","99.20"
"Barkatabad(63)","","","","","1","1","829","820","9","98.91"
"Batehra(254)","","","","","1","1","514","375","139","72.96"
"Bazidpur Tappa Birohar(152)","","","","","1","1","72","63","9","87.50"
"Bazidpur Tappa Haveli(98)","","","","","1","1","149","134","15","89.93"
"Belochpura(216)","","","","","1","1","187","122","65","65.24"
"Beri Khas(128)","","","","","1","1","288","0","288","0.00"
"Bhadana(95)","","","","","1","1","742","714","28","96.23"
"Bhadani(94)","","","","","1","1","772","686","86","88.86"
"Bhambhewa(1)","","","","","1","1","638","630","8","98.75"
"Bhaproda(22)","","","","","1","1","1271","1271","0","100.00"
"Bhindawas(214)","","","","","1","1","542","490","52","90.41"
"Bhurawas(194)","","","","","1","1","730","612","118","83.84"
"Bir Chhuchhakwas(118)","","","","","1","1","1172","1153","19","98.38"
"Bir Dadri(271)","","","","","1","1","31","18","13","58.06"
"Bir Dhana(108)","","","","","1","1","1362","1233","129","90.53"
"Bir Sunarwala(103)","","","","","1","1","39","30","9","76.92"
"Birar(199)","","","","","1","1","501","501","0","100.00"
"Birohar(145)","","","","","1","1","1306","1299","7","99.46"
"Bisahan(125)","","","","","1","1","562","474","88","84.34"
"Bithla(195)","","","","","1","1","402","267","135","66.42"
"Boria(97)","","","","","1","1","151","146","5","96.69"
"Bupania(59)","","","","","1","1","1768","1671","97","94.51"
"Chadhwana(218)","","","","","1","1","260","258","2","99.23"
"Chandol(222)","","","","","1","1","462","395","67","85.50"
"Chandpur(239)","","","","","1","1","202","190","12","94.06"
"Chandpuri(231)","","","","","1","1","88","0","88","0.00"
"Chhapar(245)","","","","","1","1","567","550","17","97.00"
"Chhara(17)","","","","","1","1","2474","2474","0","100.00"
"Chhochhi(13)","","","","","1","1","385","380","5","98.70"
"Chhudani(93)","","","","","1","1","656","539","117","82.16"
"Chiman Pura(1-N)+R[-1643]C","","","","","1","1","368","368","0","100.00"
"Chimni(132)","","","","","1","1","828","800","28","96.62"
"Daboda Kalan(51)","","","","","1","1","455","418","37","91.87"
"Daboda Khurd(49)","","","","","1","1","837","808","29","96.54"
"Dadanpur (238)","","","","","1","1","465","465","0","100.00"
"Dadri Toe(275)","","","","","1","1","658","612","46","93.01"
"Dahkora(26)","","","","","1","1","722","610","112","84.49"
"Daryapur(73)","","","","","1","1","444","435","9","97.97"
"Dawala(209)","","","","","1","1","755","695","60","92.05"
"Desalpur(48)","","","","","1","1","195","188","7","96.41"
"Dever Khana(75)","","","","","1","1","231","230","1","99.57"
"Dewana(3)","","","","","1","1","159","150","9","94.34"
"Dhakla(223)","","","","","1","1","1180","1028","152","87.12"
"Dhalanwas(150)","","","","","1","1","380","283","97","74.47"
"Dhana(162)","","","","","1","1","279","265","14","94.98"
"Dhandlah(7)","","","","","1","1","631","588","43","93.19"
"Dhania(164)","","","","","1","1","297","297","0","100.00"
"Dhanirwas(161)","","","","","1","1","277","253","24","91.34"
"Dharoli(191)","","","","","1","1","361","0","361","0.00"
"Dhor(110)","","","","","1","1","746","746","0","100.00"
"Dhurana(131)","","","","","1","1","627","620","7","98.88"
"Dighal(2)","","","","","1","1","2735","2594","141","94.84"
"Dojhana(3-N)","","","","","1","1","1646","1646","0","100.00"
"Dubaldhan Bidhan(130)","","","","","1","1","897","680","217","75.81"
"Dubaldhan Ghikan(133)","","","","","1","1","910","910","0","100.00"
"Dubaldhan Kirmian(136)","","","","","1","1","903","886","17","98.12"
"Dulhera(56)","","","","","1","1","1757","1596","161","90.84"
"Durina(267)","","","","","1","1","19","19","0","100.00"
"Faizabad (87) (CT)","","","","","1","1","242","235","7","97.11"
"Fatehpur(80)","","","","","1","1","313","298","15","95.21"
"Fatehpuri(232)","","","","","1","1","462","334","128","72.29"
"Fortpur(115)","","","","","1","1","135","120","15","88.89"
"Gangarwa(69)","","","","","1","1","235","199","36","84.68"
"Gangtan(4)","","","","","1","1","330","330","0","100.00"
"Gawalison(114)","","","","","1","1","628","628","0","100.00"
"Gijarod(260)","","","","","1","1","354","354","0","100.00"
"Girdharpur(225)","","","","","1","1","224","200","24","89.29"
"Gochhi(8)","","","","","1","1","1340","1340","0","100.00"
"Godhri(140)","","","","","1","1","303","262","41","86.47"
