"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aftabgarh (45)","","","","","1","1","176","140","36","79.55"
"Ahirka (83)","","","","","1","1","976","807","169","82.68"
"Ahlanjogi Khera (60)","","","","","1","1","252","201","51","79.76"
"Akalgarh(29)","","","","","1","1","502","381","121","75.90"
"Alewa (86)","","","","","1","1","2475","1865","610","75.35"
"Alipura (126)","","","","","1","1","829","385","444","46.44"
"Amargarh (80)","","","","","1","1","481","271","210","56.34"
"Amarheri (80)","","","","","1","1","1036","860","176","83.01"
"Amrali Khera (18)","","","","","1","1","420","335","85","79.76"
"Amritsar (43)","","","","","1","1","353","250","103","70.82"
"Anchra Kalan (35)","","","","","1","1","688","554","134","80.52"
"Anchra Khurd (33)","","","","","1","1","643","521","122","81.03"
"Anoopgarh (58)","","","","","1","1","435","370","65","85.06"
"Anta (57)","","","","","1","1","470","380","90","80.85"
"Ashrafgarh (71)","","","","","1","1","538","475","63","88.29"
"Asmailpur (77)","","","","","1","1","330","135","195","40.91"
"Assan (4)","","","","","1","1","561","419","142","74.69"
"Badanpur (93)","","","","","1","1","981","676","305","68.91"
"Badhana (55)","","","","","1","1","970","733","237","75.57"
"Badodh (60)","","","","","1","1","201","160","41","79.60"
"Badowala (75)","","","","","1","1","212","120","92","56.60"
"Baganwala (9)","","","","","1","1","170","80","90","47.06"
"Bagru Kalan (31)","","","","","1","1","443","358","85","80.81"
"Bagru Khurd (32)","","","","","1","1","351","286","65","81.48"
"Bahadargarh (42)","","","","","1","1","489","397","92","81.19"
"Bahadarpur (52)","","","","","1","1","323","263","60","81.42"
"Bahamanwas (25)","","","","","1","1","596","433","163","72.65"
"Bahbalpur (52)","","","","","1","1","366","288","78","78.69"
"Balerkha (39)","","","","","1","1","1710","856","854","50.06"
"Barar Khera (51)","","","","","1","1","398","232","166","58.29"
"Baroda (113)","","","","","1","1","1551","1055","496","68.02"
"Barodi (87)","","","","","1","1","372","282","90","75.81"
"Baroli (57)","","","","","1","1","661","392","269","59.30"
"Barsana (96)","","","","","1","1","266","196","70","73.68"
"Barsola (1)","","","","","1","1","903","745","158","82.50"
"Barta (7)","","","","","1","1","926","848","78","91.58"
"Basini (61)","","","","","1","1","145","117","28","80.69"
"Beri Khera (21)","","","","","1","1","253","202","51","79.84"
"Bhag Khera (12)","","","","","1","1","499","400","99","80.16"
"Bhagwan Pura (96)","","","","","1","1","180","103","77","57.22"
"Bham Bhewa (9)","","","","","1","1","824","659","165","79.98"
"Bhana Barahmnan (41)","","","","","1","1","785","115","670","14.65"
"Bharon Khera (46)","","","","","1","1","354","290","64","81.92"
"Bhartana (6)","","","","","1","1","636","508","128","79.87"
"Bhikhewala (91)","","","","","1","1","560","210","350","37.50"
"Bhongra (111)","","","","","1","1","614","422","192","68.73"
"Bhonsla (132)","","","","","1","1","301","180","121","59.80"
"Bhuran (16) (CT)","","","","","1","1","1063","374","689","35.18"
"Bhuslana (65)","","","","","1","1","402","326","76","81.09"
"Bibipur (17)","","","","","1","1","984","880","104","89.43"
"Bidrana (35)","","","","","1","1","312","311","1","99.68"
"Bighana (79)","","","","","1","1","980","669","311","68.27"
"Birbaraban (15)","","","","","1","1","270","248","22","91.85"
"Bishanpura (56)","","","","","1","1","787","420","367","53.37"
"Bohat Wala (95)","","","","","1","1","400","220","180","55.00"
"Brah Kalan (100)","","","","","1","1","566","458","108","80.92"
"Brah Khurd (73)","","","","","1","1","695","546","149","78.56"
"Budain (110)","","","","","1","1","829","470","359","56.69"
"Budha Khera (22)","","","","","1","1","1005","808","197","80.40"
"Budha Khera Lather  (31)","","","","","1","1","955","607","348","63.56"
"Buradehar (50)","","","","","1","1","297","214","83","72.05"
"Butani (28)","","","","","1","1","642","516","126","80.37"
"Buwana (19)","","","","","1","1","926","626","300","67.60"
"Chabri (67)","","","","","1","1","326","206","120","63.19"
"Chhapar (23)","","","","","1","1","249","201","48","80.72"
"Chhattar (76)","","","","","1","1","2196","1450","746","66.03"
"Chuharpur (85)","","","","","1","1","701","278","423","39.66"
"Dablain (76)","","","","","1","1","907","532","375","58.65"
"Dalamwala (94)","","","","","1","1","770","608","162","78.96"
"Danda Kheri (2)","","","","","1","1","346","257","89","74.28"
"Danoda Kalan (89)","","","","","1","1","2011","1396","615","69.42"
"Danoda Khurd (90)","","","","","1","1","1322","969","353","73.30"
"Daroli Khera (97)","","","","","1","1","332","260","72","78.31"
"Darond Khera (100)","","","","","1","1","3","2","1","66.67"
"Darya Wala (3)","","","","","1","1","473","368","105","77.80"
"Data Singhwala (3)","","","","","1","1","329","278","51","84.50"
"Dauhla (80)","","","","","1","1","1759","1278","481","72.65"
"Desh Khera (34)","","","","","1","1","227","163","64","71.81"
"Deverar (24)","","","","","1","1","1153","748","405","64.87"
"Dhabi Teksingh (55)","","","","","1","1","599","560","39","93.49"
"Dhakal (121)","","","","","1","1","1491","1181","310","79.21"
"Dhamtan Sahib (60)","","","","","1","1","2307","1829","478","79.28"
"Dhanauri (6)","","","","","1","1","2086","1550","536","74.30"
"Dhankhari (133)","","","","","1","1","425","350","75","82.35"
"Dharamgarh (47)","","","","","1","1","355","285","70","80.28"
"Dharodi (72)","","","","","1","1","1273","476","797","37.39"
"Dharoli (5)","","","","","1","1","566","457","109","80.74"
"Dhathrath (91)","","","","","1","1","347","274","73","78.96"
"Dhigana (47)","","","","","1","1","953","755","198","79.22"
"Dhillowal (82)","","","","","1","1","486","282","204","58.02"
"Dhindoli (5)","","","","","1","1","227","207","20","91.19"
"Didwara (64)","","","","","1","1","1005","811","194","80.70"
"Dumarkha Kalan (119)","","","","","1","1","969","524","445","54.08"
"Dumarkha Khurd (120)","","","","","1","1","629","340","289","54.05"
"Durana (53)","","","","","1","1","592","361","231","60.98"
"Durjanpur (101)","","","","","1","1","854","540","314","63.23"
"Fatehgarh (42)","","","","","1","1","370","282","88","76.22"
"Frain Kalan (78)","","","","","1","1","920","306","614","33.26"
"Frain Khurd (79)","","","","","1","1","172","142","30","82.56"
"Fulian Kalan (66)","","","","","1","1","567","488","79","86.07"
"Fulian Khurd (68)","","","","","1","1","175","162","13","92.57"
"Gangoli (13)","","","","","1","1","1062","851","211","80.13"
"Garhi (52)","","","","","1","1","297","297","0","100.00"
"Gatauli (49)","","","","","1","1","1677","1266","411","75.49"
"Gharwali (38)","","","","","1","1","605","367","238","60.66"
"Ghaso Kalan (117)","","","","","1","1","628","594","34","94.59"
