"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Agondh (107)","","","","","1","1","719","447","272","62.17"
"Ahmadpur Garh (141)","","","","","1","1","68","60","8","88.24"
"Ahmedpur (34)","","","","","1","1","151","135","16","89.40"
"Ahun (19)","","","","","1","1","673","531","142","78.90"
"Andhli (91)","","","","","1","1","208","180","28","86.54"
"Arnoli (32)","","","","","1","1","705","576","129","81.70"
"Atela (1)","","","","","1","2","523","342","181","65.39"
"Azimgarh (3)","","","","","1","1","396","278","118","70.20"
"Badhnara(39)","","","","","1","1","796","327","469","41.08"
"Badsikri Kalan(24)","","","","","1","1","636","445","191","69.97"
"Badsikri Khurd (22)","","","","","1","2","1057","598","459","56.58"
"Badsui (10)","","","","","1","1","407","355","52","87.22"
"Bakal(74)","","","","","1","1","1005","671","334","66.77"
"Balbehra (6)","","","","","1","1","940","809","131","86.06"
"Balu(20)","","","","","1","1","2413","1801","612","74.64"
"Balwanti (32)","","","","","1","1","489","298","191","60.94"
"Bandrana (4)","","","","","1","1","450","368","82","81.78"
"Barela (29)","","","","","1","1","7","3","4","42.86"
"Barot (3)","","","","","1","2","311","121","190","38.91"
"Barsana (30)","","","","","1","1","1055","631","424","59.81"
"Batta (15)","","","","","1","1","2255","1878","377","83.28"
"Baupur (131)","","","","","1","1","332","332","0","100.00"
"Begpur (1)","","","","","1","1","254","93","161","36.61"
"Berad (125)","","","","","1","1","52","34","18","65.38"
"Bhagal (1)","","","","","1","1","2035","1532","503","75.28"
"Bhalang(73)","","","","","1","1","130","95","35","73.08"
"Bhamniwala Urf Rajpura (16)","","","","","1","1","354","331","23","93.50"
"Bhana (49)","","","","","1","1","1522","840","682","55.19"
"Bhanpura (14)","","","","","1","1","332","180","152","54.22"
"Bhatian (121)","","","","","1","1","192","147","45","76.56"
"Bheni Majra (36)","","","","","1","1","237","127","110","53.59"
"Bhunna (74)","","","","","1","1","360","300","60","83.33"
"Bhunslan (134)","","","","","1","1","402","389","13","96.77"
"Bichhian (3)","","","","","1","1","169","122","47","72.19"
"Bir Bangran (52)","","","","","1","1","593","204","389","34.40"
"Bubakpur (117)","","","","","1","1","81","52","29","64.20"
"Buchi  (33)","","","","","1","1","419","305","114","72.79"
"Budha Khera (87)","","","","","1","1","781","688","93","88.09"
"Budhanpur Gujran (137)","","","","","1","1","80","56","24","70.00"
"Chaba (7)","","","","","1","1","270","209","61","77.41"
"Chanchak (112)","","","","","1","1","240","134","106","55.83"
"Chandana (18)","","","","","1","1","1610","1115","495","69.25"
"Chandlana (13/1)","","","","","1","1","457","323","134","70.68"
"Chhana Agrian (29)","","","","","1","1","16","11","5","68.75"
"Chhana Jattan (28)","","","","","1","1","32","28","4","87.50"
"Chhot (13)","","","","","1","1","564","381","183","67.55"
"Chuhar Majra (13)","","","","","1","1","835","484","351","57.96"
"Chusala (28)","","","","","1","1","920","801","119","87.07"
"Daba (8)","","","","","1","1","267","216","51","80.90"
"Dadwana (10)","","","","","1","1","101","34","67","33.66"
"Dawal (15)","","","","","1","1","410","300","110","73.17"
"Deeg (43)","","","","","1","1","1041","774","267","74.35"
"Deoban (44)","","","","","1","1","314","102","212","32.48"
"Deohera (29)","","","","","1","1","1125","629","496","55.91"
"Dhand (9)","","","","","1","1","2092","1270","822","60.71"
"Dhandota (9)","","","","","1","1","297","231","66","77.78"
"Dheraru (16)","","","","","1","1","232","178","54","76.72"
"Dhodh Kheri (39)","","","","","1","1","550","222","328","40.36"
"Dhondhwa (44)","","","","","1","1","698","97","601","13.90"
"Dhos (2)","","","","","1","1","325","212","113","65.23"
"Dhunderheri (12)","","","","","1","1","361","300","61","83.10"
"Dhundwa (16)","","","","","1","1","85","63","22","74.12"
"Diluwala (10)","","","","","1","1","289","220","69","76.12"
"Dohar (30)","","","","","1","1","3250","3250","0","100.00"
"Doliani (22)","","","","","1","1","347","197","150","56.77"
"Dosain (20)","","","","","1","1","353","226","127","64.02"
