"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abela (24)","","","","","1","1","248","214","34","86.29"
"Abeli (25)","","","","","1","1","223","129","94","57.85"
"Agond (37)","","","","","1","1","1125","814","311","72.36"
"Alawla (65)","","","","","1","1","405","320","85","79.01"
"Alipur Khalsa (36)","","","","","1","1","700","622","78","88.86"
"Alipur Viran (60)","","","","","1","1","184","150","34","81.52"
"Amargarh (66)","","","","","1","1","119","119","0","100.00"
"Amritpur Kalan (98)","","","","","1","1","1000","624","376","62.40"
"Amritpur Khurd (97)","","","","","1","1","350","123","227","35.14"
"Amunpur (31)","","","","","1","1","670","466","204","69.55"
"Anchla (56)","","","","","1","1","207","150","57","72.46"
"Andhera (96/1)","","","","","1","1","100","55","45","55.00"
"Andhgarh (8)","","","","","1","1","27","25","2","92.59"
"Anjan Thali (40)","","","","","1","1","671","658","13","98.06"
"Arainpura (12)","","","","","1","1","902","744","158","82.48"
"Ardana (64)","","","","","1","1","1103","791","312","71.71"
"Arja Heri (35)","","","","","1","1","224","223","1","99.55"
"Assandh (Rural)(Part)(84)","","","","","1","1","573","196","377","34.21"
"Badarpur (41)","","","","","1","1","415","414","1","99.76"
"Badheri (2)","","","","","1","1","200","200","0","100.00"
"Badshahpur (20)","","","","","1","1","12","8","4","66.67"
"Bahlolpur (17)","","","","","1","1","20","17","3","85.00"
"Bahlolpur Mushtarka (19)","","","","","1","1","164","135","29","82.32"
"Bahlolpur Viran (65)","","","","","1","1","16","14","2","87.50"
"Bahola (16)","","","","","1","1","546","540","6","98.90"
"Bahri (65)","","","","","1","1","892","615","277","68.95"
"Bairsal (27)","","","","","1","1","704","657","47","93.32"
"Baldhi (Part)(4)","","","","","1","1","633","500","133","78.99"
"Balhera (54)","","","","","1","1","432","170","262","39.35"
"Balla (30)","","","","","1","1","2343","1771","572","75.59"
"Balona (72)","","","","","1","1","575","441","134","76.70"
"Baloo (18)","","","","","1","1","515","311","204","60.39"
"Balran Gran (70)","","","","","1","1","927","813","114","87.70"
"Bansa (57)","","","","","1","1","1500","957","543","63.80"
"Baqipur (26)","","","","","1","1","131","115","16","87.79"
"Baragaon (69)","","","","","1","1","1979","1490","489","75.29"
"Barana (32)","","","","","1","1","139","116","23","83.45"
"Barani (34)","","","","","1","1","195","165","30","84.62"
"Baras (23)","","","","","1","1","1246","1036","210","83.15"
"Barota (51)","","","","","1","1","930","620","310","66.67"
"Barsalu (37)","","","","","1","1","476","476","0","100.00"
"Barsat (42)","","","","","1","1","2557","1632","925","63.82"
"Barthal (35)","","","","","1","1","542","534","8","98.52"
"Basdhara (7)","","","","","1","1","1109","840","269","75.74"
"Basi Akbarpur (19)","","","","","1","1","215","170","45","79.07"
"Bassi (70)","","","","","1","1","233","121","112","51.93"
