"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adhaun (403)","","","","","1","2","17","17","0","100.00"
"Adoya (4)","","","","","1","1","200","141","59","70.50"
"Ahmadpur (271)","","","","","1","1","209","153","56","73.21"
"Ajrana Kalan (274)","","","","","1","1","1002","613","389","61.18"
"Ajrana Khurd (276)","","","","","1","1","526","226","300","42.97"
"Ajrani (410)","","","","","1","1","269","145","124","53.90"
"Ajrawar (314)","","","","","1","1","314","303","11","96.50"
"Alampur (381)","","","","","1","1","321","310","11","96.57"
"Amargarh Majhara (377)","","","","","1","1","293","273","20","93.17"
"Amin (33)","","","","","1","1","3000","2405","595","80.17"
"Atwan (101)","","","","","1","1","240","191","49","79.58"
"Azmatpur (309)","","","","","1","1","100","55","45","55.00"
"Babain (145)","","","","","1","1","1359","1359","0","100.00"
"Babkpur (295)","","","","","1","1","30","26","4","86.67"
"Bachki (416)","","","","","1","1","62","54","8","87.10"
"Badarpur (69)","","","","","1","1","340","340","0","100.00"
"Bagthala (422)","","","","","1","1","196","183","13","93.37"
"Bahadurpur (401)","","","","","1","1","361","343","18","95.01"
"Bahlolpur (330)","","","","","1","1","136","136","0","100.00"
"Baholi (357)","","","","","1","1","297","268","29","90.24"
"Bahri (Part)(389)","","","","","1","1","781","754","27","96.54"
"Bakali (58)","","","","","1","1","312","312","0","100.00"
"Bakana (93)","","","","","1","1","135","122","13","90.37"
"Bakhli (11)","","","","","1","1","683","655","28","95.90"
"Balahi (421)","","","","","1","1","193","160","33","82.90"
"Baloch Pura (46)","","","","","1","1","98","92","6","93.88"
"Ban (62)","","","","","1","1","679","679","0","100.00"
"Bangran (351)","","","","","1","1","42","42","0","100.00"
"Bani (68)","","","","","1","2","400","400","0","100.00"
"Bapda (74)","","","","","1","1","209","209","0","100.00"
"Bapdi (75)","","","","","1","1","245","245","0","100.00"
"Baraichpur (77)","","","","","1","1","139","139","0","100.00"
"Baraunda (72)","","","","","1","1","249","249","0","100.00"
"Baraundi (79)","","","","","1","1","131","131","0","100.00"
"Baraut (81)","","","","","1","1","283","283","0","100.00"
"Barham (409)","","","","","1","1","620","291","329","46.94"
"Barhan (82)","","","","","1","1","320","320","0","100.00"
"Barna (24)","","","","","1","1","913","716","197","78.42"
"Barshami (65)","","","","","1","1","246","241","5","97.97"
"Barwa (5)","","","","","1","1","605","574","31","94.88"
"Basantpur (284)","","","","","1","1","2","3","-1","150.00"
"Batheri  (12)","","","","","1","1","393","372","21","94.66"
"Bazidpur (358)","","","","","1","1","235","207","28","88.09"
