"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abdulla Nagar (136)","","","","","1","1","358","253","105","70.67"
"Adalpur(44)","","","","","1","1","1102","475","627","43.10"
"Aghiar(53)","","","","","1","1","115","72","43","62.61"
"Ajam Nagar(120)","","","","","1","1","274","198","76","72.26"
"Akbarpur Nangal (69)","","","","","1","1","469","292","177","62.26"
"Akbarpur Ramu(170)","","","","","1","1","170","123","47","72.35"
"Akbarpur Sirohi(205)","","","","","1","1","222","198","24","89.19"
"Akoli(198)","","","","","1","1","244","229","15","93.85"
"Amarpur Jorasi(280)","","","","","1","1","373","254","119","68.10"
"Amarpura(239)","","","","","1","1","238","192","46","80.67"
"Anawas(66)","","","","","1","1","166","99","67","59.64"
"Antri(224)","","","","","1","1","213","210","3","98.59"
"Asrawas(232)","","","","","1","1","276","214","62","77.54"
"Atali(37)","","","","","1","1","365","265","100","72.60"
"Ateli (Rural)(21)","","","","","1","1","394","389","5","98.73"
"Azmabad Mokhuta(274)","","","","","1","1","597","424","173","71.02"
"Bachhod(178)","","","","","1","1","592","546","46","92.23"
"Bachini(70)","","","","","1","1","401","297","104","74.06"
"Badopur(152)","","","","","1","1","310","227","83","73.23"
"Bairawas(110)","","","","","1","1","550","238","312","43.27"
"Bajar(24)","","","","","1","1","324","297","27","91.67"
"Bakrija(261)","","","","","1","1","83","63","20","75.90"
"Balaha Kalan(148)","","","","","1","1","900","652","248","72.44"
"Balaha Khurd(147)","","","","","1","1","213","154","59","72.30"
"Balana(27)","","","","","1","1","415","182","233","43.86"
"Balayacha(32)","","","","","1","2","309","142","167","45.95"
"Bamanwas Kheta(229)","","","","","1","1","116","73","43","62.93"
"Bamanwas Nau(275)","","","","","1","1","298","209","89","70.13"
"Banihari(240)","","","","","1","1","274","208","66","75.91"
"Baproli(123)","","","","","1","1","348","249","99","71.55"
"Barda(18)","","","","","1","1","975","455","520","46.67"
"Bargaon(165)","","","","","1","1","212","156","56","73.58"
"Barkoda(166)","","","","","1","1","312","229","83","73.40"
"Bas (3)","","","","","1","2","601","261","340","43.43"
"Bas Kirarod Umrabad   (130)","","","","","1","1","408","234","174","57.35"
"Bashirpur(281)","","","","","1","1","357","256","101","71.71"
"Basri(5)","","","","","1","1","325","140","185","43.08"
"Bassai(47)","","","","","1","1","1644","727","917","44.22"
"Bawana(52)","","","","","1","1","537","358","179","66.67"
"Bawania(28)","","","","","1","1","791","645","146","81.54"
"Bayal (258)","","","","","1","1","775","585","190","75.48"
"Beghpur(22)","","","","","1","1","304","278","26","91.45"
"Beri(82)","","","","","1","1","1150","495","655","43.04"
"Beroondla(219)","","","","","1","1","132","103","29","78.03"
"Bewal(30)","","","","","1","1","1198","515","683","42.99"
"Bhagdana(59)","","","","","1","1","622","386","236","62.06"
"Bhagot(6)","","","","","1","1","950","756","194","79.58"
"Bhalkhi(31)","","","","","1","1","295","127","168","43.05"
"Bhandor Nichi(83)","","","","","1","1","460","201","259","43.70"
"Bhandor Unchi(80)","","","","","1","1","460","198","262","43.04"
"Bhankhri (149)","","","","","1","1","532","388","144","72.93"
"Bharaf(17)","","","","","1","1","991","651","340","65.69"
"Bhedanti(252)","","","","","1","1","233","216","17","92.70"
"Bhilwara(11)","","","","","1","1","304","280","24","92.11"
"Bhojawas(204)","","","","","1","1","398","334","64","83.92"
"Bhojawas(42)","","","","","1","1","1133","845","288","74.58"
"Bhori(35)","","","","","1","1","398","365","33","91.71"
"Bhurjat(46)","","","","","1","1","331","186","145","56.19"
"Bhushan Kalan(191)","","","","","1","1","395","282","113","71.39"
"Bhushan Khurd(188)","","","","","1","1","185","132","53","71.35"
"Bighopur(268)","","","","","1","1","420","325","95","77.38"
