"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adbar (106)","","","","","1","1","836","647","189","77.39"
"Agon(104)","","","","","1","1","910","649","261","71.32"
"Ahmadbas Ferozepur(71)","","","","","1","1","341","162","179","47.51"
"Ainchwari(163)","","","","","1","1","203","201","2","99.01"
"Akbarpur(128)","","","","","1","1","360","136","224","37.78"
"Akera (121)","","","","","1","1","493","322","171","65.31"
"Akhnaka(81)","","","","","1","1","432","244","188","56.48"
"Aklimpur Ferozepur (45)","","","","","1","1","120","120","0","100.00"
"Aklimpur Nuh(8)","","","","","1","1","177","170","7","96.05"
"Alawalpur (133)","","","","","1","1","418","272","146","65.07"
"Alduka (203)","","","","","1","1","417","299","118","71.70"
"Alipur Tigra(80)","","","","","1","2","861","535","326","62.14"
"Allahabad(181)","","","","","1","1","180","117","63","65.00"
"Aminabad(226)","","","","","1","1","212","161","51","75.94"
"Amka(188)","","","","","1","1","22","22","0","100.00"
"Andhaki(235)","","","","","1","1","207","173","34","83.57"
"Asaisika(48)","","","","","1","1","61","46","15","75.41"
"Aterna Shamshabad(47)","","","","","1","1","400","381","19","95.25"
"Atitka(38)","","","","","1","1","78","10","68","12.82"
"Atta(179)","","","","","1","1","411","267","144","64.96"
"Babupur Nuh (147)","","","","","1","1","359","137","222","38.16"
"Badarpur(23)","","","","","1","1","220","217","3","98.64"
"Baded(145)","","","","","1","2","1138","524","614","46.05"
"Badhelaki(176)","","","","","1","1","617","401","216","64.99"
"Badka Alimudin(92)","","","","","1","1","455","111","344","24.40"
"Badli(131)","","","","","1","1","404","98","306","24.26"
"Badopur(103)","","","","","1","1","199","73","126","36.68"
"Baghola(78)","","","","","1","4","857","525","332","61.26"
"Bahripur(119)","","","","","1","1","24","22","2","91.67"
"Bai Khera(118)","","","","","1","1","374","157","217","41.98"
"Bai(117)","","","","","1","1","356","155","201","43.54"
"Bainsi (204)","","","","","1","1","527","323","204","61.29"
"Bajarka (202)","","","","","1","1","397","131","266","33.00"
"Bajhera (130)","","","","","1","1","248","110","138","44.35"
"Balai(37)","","","","","1","1","309","300","9","97.09"
"Bamrauli(25)","","","","","1","1","504","328","176","65.08"
"Banarsi(36)","","","","","1","1","207","174","33","84.06"
"Bandhauli(154)","","","","","1","1","92","75","17","81.52"
"Barka(234)","","","","","1","1","162","128","34","79.01"
"Baroji (115)","","","","","1","1","236","69","167","29.24"
"Barota(178)","","","","","1","1","513","418","95","81.48"
"Barwa(90)","","","","","1","1","304","198","106","65.13"
"Basai Khanzada(124)","","","","","1","1","161","160","1","99.38"
"Basai(86)","","","","","1","1","225","146","79","64.89"
"Basaimeo(149)","","","","","1","1","838","542","296","64.68"
"Bawla(46)","","","","","1","1","890","648","242","72.81"
"Bazidpur(30)","","","","","1","1","326","306","20","93.87"
"Beri Nisfi Sohna (9)","","","","","1","1","392","255","137","65.05"
"Beri Nisfi Taoru(8)","","","","","1","1","160","68","92","42.50"
"Beriabas(97)","","","","","1","1","163","44","119","26.99"
"Bhadas(49)","","","","","1","1","770","753","17","97.79"
"Bhajlaka(63)","","","","","1","1","204","20","184","9.80"
"Bhakroji(99)","","","","","1","4","1346","878","468","65.23"
"Bhango(16)","","","","","1","1","498","251","247","50.40"
"Bharangpur(45)","","","","","1","1","240","22","218","9.17"
"Bhirawati(184)","","","","","1","1","1151","748","403","64.99"
"Bhogipur (53)","","","","","1","1","148","56","92","37.84"
"Bhond(85)","","","","","1","1","423","248","175","58.63"
"Bhopawali (132)","","","","","1","1","367","130","237","35.42"
"Bhuriaki(212)","","","","","1","1","198","136","62","68.69"
"Bichhor(243)","","","","","1","2","2425","396","2029","16.33"
"Bidhuwas(80)","","","","","1","1","22","4","18","18.18"
"Bikti(225)","","","","","1","1","114","80","34","70.18"
"Bilakpur(83)","","","","","1","1","392","256","136","65.31"
"Bilhaka(191)","","","","","1","1","512","333","179","65.04"
"Birsika (126)","","","","","1","1","234","178","56","76.07"
"Bisru(199)","","","","","1","1","1623","898","725","55.33"
"Bissar Akbarpur(2)","","","","","1","1","1022","940","82","91.98"
"Biwan(148)","","","","","1","4","3559","1428","2131","40.12"
"Biwan(98)","","","","","1","1","244","101","143","41.39"
"Bubalheri(139)","","","","","1","1","480","79","401","16.46"
"Bukharaka(22)","","","","","1","1","208","202","6","97.12"
"Buraka Taoru(66)","","","","","1","1","296","0","296","0.00"
"Chakrangala(70)","","","","","1","1","194","71","123","36.60"
"Chandaki(91)","","","","","1","1","257","206","51","80.16"
"Chandanki(213)","","","","","1","1","1409","916","493","65.01"
"Chandeni(158)","","","","","1","3","1178","594","584","50.42"
"Chandraka(140)","","","","","1","1","140","103","37","73.57"
"Chehalka(17)","","","","","1","1","503","345","158","68.59"
"Chhachera (200)","","","","","1","1","142","93","49","65.49"
"Chhajupur(79)","","","","","1","1","393","255","138","64.89"
"Chhapera (167)","","","","","1","1","447","104","343","23.27"
"Chhapera(198)","","","","","1","1","779","195","584","25.03"
"Chharora(62)","","","","","1","2","1381","780","601","56.48"
"Chilawali(61)","","","","","1","1","540","240","300","44.44"
"Chilla(67)","","","","","1","1","540","312","228","57.78"
"Chitora(116)","","","","","1","1","270","127","143","47.04"
"Chundhika(39)","","","","","1","1","270","203","67","75.19"
"Dadauli(221)","","","","","1","2","1611","668","943","41.46"
"Dadu(10)","","","","","1","1","252","190","62","75.40"
"Dalaka(71)","","","","","1","1","1584","1030","554","65.03"
"Dalawas(77)","","","","","1","1","221","183","38","82.81"
"Deengarheri (21)","","","","","1","1","322","273","49","84.78"
"Dehana (124)","","","","","1","1","147","97","50","65.99"
"Devla Nagli (131)","","","","","1","1","940","387","553","41.17"
"Dhadauli Khurd(86)","","","","","1","1","348","241","107","69.25"
"Dhadola(35)","","","","","1","1","162","148","14","91.36"
"Dhadoli Kalan(34)","","","","","1","1","417","248","169","59.47"
"Dhana(138)","","","","","1","1","560","293","267","52.32"
"Dhanduka (151)","","","","","1","1","248","115","133","46.37"
"Dhanwala(72)","","","","","1","1","712","464","248","65.17"
"Dhenkli (137)","","","","","1","1","252","213","39","84.52"
"Dhir Dhaunka(171)","","","","","1","1","141","92","49","65.25"
"Dholi(162)","","","","","1","1","286","186","100","65.03"
"Dhondal(159)","","","","","1","1","243","193","50","79.42"
"Dhulawat(81)","","","","","1","1","640","191","449","29.84"
"Didhara (44)","","","","","1","1","650","262","388","40.31"
"Dogri(112)","","","","","1","1","264","41","223","15.53"
"Doha(94)","","","","","1","2","558","337","221","60.39"
"Dubalu(194)","","","","","1","1","75","45","30","60.00"
"Dungeja(137)","","","","","1","1","443","71","372","16.03"
"Dunghran Shahzadpur(131)","","","","","1","1","1518","987","531","65.02"
"Fakarpur Khori (56)","","","","","1","1","459","302","157","65.80"
"Fatehpur (30)","","","","","1","1","304","95","209","31.25"
"Ferozepur Deher(41)","","","","","1","1","110","96","14","87.27"
"Ferozepur Jhirka (Rural)(73)","","","","","1","1","913","593","320","64.95"
"Ferozepur Meo(203)","","","","","1","1","260","248","12","95.38"
"Ferozepur Namak(156)","","","","","1","1","1069","818","251","76.52"
"Gabanspur(209)","","","","","1","1","30","27","3","90.00"
"Gajarpur(166)","","","","","1","1","215","140","75","65.12"
"Gandoori(17)","","","","","1","1","193","103","90","53.37"
"Gangani(12)","","","","","1","1","25","10","15","40.00"
"Gangauli(195)","","","","","1","1","358","233","125","65.08"
"Gangwani(134)","","","","","1","1","396","339","57","85.61"
"Gawarka (65)","","","","","1","1","388","178","210","45.88"
"Gehbar (114)","","","","","1","1","469","48","421","10.23"
"Ghaghas(2)","","","","","1","1","348","318","30","91.38"
"Ghasera(161)","","","","","1","2","2444","1395","1049","57.08"
"Ghata Shamasabad(106)","","","","","1","1","522","308","214","59.00"
"Ghatwasan(142)","","","","","1","1","124","98","26","79.03"
"Ghira(236)","","","","","1","1","217","154","63","70.97"
"Ghoraka(41)","","","","","1","1","1331","865","466","64.99"
"Goela (19)","","","","","1","1","434","403","31","92.86"
"Gogjaka (75)","","","","","1","1","400","286","114","71.50"
"Gohana(18)","","","","","1","1","377","310","67","82.23"
"Gokalpur(161)","","","","","1","1","424","350","74","82.55"
"Golpuri (143)","","","","","1","1","647","362","285","55.95"
"Gubradi(197)","","","","","1","1","149","118","31","79.19"
"Guddhi (29)","","","","","1","1","426","153","273","35.92"
"Gudhala (174)","","","","","1","1","516","404","112","78.29"
"Gudhauli(171)","","","","","1","1","170","111","59","65.29"
"Gujar Nagla(121)","","","","","1","1","237","236","1","99.58"
"Gulalta(201)","","","","","1","3","1056","894","162","84.66"
"Gumat Bihari(4)","","","","","1","1","114","104","10","91.23"
"Gurnawat(49)","","","","","1","1","662","101","561","15.26"
"Hajipur(231)","","","","","1","1","399","233","166","58.40"
"Hamzapur(113)","","","","","1","1","458","298","160","65.07"
"Hasanpur Bilonda (89)","","","","","1","1","371","286","85","77.09"
"Hasanpur Nuh(16)","","","","","1","1","78","73","5","93.59"
"Hassanpur Sohna(192)","","","","","1","1","512","333","179","65.04"
"Hassanpur Taoru (7)","","","","","1","1","864","640","224","74.07"
"Hathan Gaon(227)","","","","","1","2","1450","1041","409","71.79"
"Hilalpur(183)","","","","","1","1","117","76","41","64.96"
"Hinganpur(206)","","","","","1","1","205","178","27","86.83"
"Hiranthla(164)","","","","","1","1","1409","916","493","65.01"
"Hirwari Bamatheri(79)","","","","","1","2","2644","1739","905","65.77"
"Huhuka(26)","","","","","1","1","19","8","11","42.11"
"Hussainpur (149)","","","","","1","2","936","610","326","65.17"
"Ibrahimbas(98)","","","","","1","1","282","126","156","44.68"
"Imam Nagar (43)","","","","","1","1","1841","1197","644","65.02"
"Indana(241)","","","","","1","1","542","422","120","77.86"
"Indri(197)","","","","","1","2","285","186","99","65.26"
"Jafrabad(24)","","","","","1","1","342","198","144","57.89"
"Jaisinghpur (138)","","","","","1","1","772","482","290","62.44"
"Jaitaka(9)","","","","","1","1","93","93","0","100.00"
"Jaitalaka(136)","","","","","1","1","242","183","59","75.62"
"Jajuka (127)","","","","","1","1","841","66","775","7.85"
"Jakh(182)","","","","","1","1","81","55","26","67.90"
"Jakhokhar(224)","","","","","1","1","458","298","160","65.07"
"Jakohpur (110)","","","","","1","1","274","219","55","79.93"
"Jalalpur Ferozepur(40)","","","","","1","1","317","307","10","96.85"
"Jalalpur Nuh(12)","","","","","1","1","77","68","9","88.31"
"Jalalpur Sohna(14)","","","","","1","1","674","438","236","64.99"
"Jalika(202)","","","","","1","1","220","177","43","80.45"
"Jamal Garh(156)","","","","","1","1","921","184","737","19.98"
"Jarauli(211)","","","","","1","1","336","219","117","65.18"
"Jargali(63)","","","","","1","1","66","66","0","100.00"
"Jaurasi (32)","","","","","1","1","834","789","45","94.60"
"Jehtana(193)","","","","","1","1","458","451","7","98.47"
"Jhamuwas (31)","","","","","1","1","486","340","146","69.96"
"Jharokri(239)","","","","","1","1","327","304","23","92.97"
"Jharpuri(135)","","","","","1","3","409","269","140","65.77"
"Jhimrawat(125)","","","","","1","4","1224","860","364","70.26"
"Jiwant(167)","","","","","1","1","551","447","104","81.13"
"Jogipur (105)","","","","","1","1","182","143","39","78.57"
"Kairaka (144)","","","","","1","1","424","371","53","87.50"
"Kalanjar (135)","","","","","1","4","1054","643","411","61.01"
"Kalarpuri(42)","","","","","1","1","352","191","161","54.26"
"Kaliaka(185)","","","","","1","1","913","593","320","64.95"
"Kalwari(6)","","","","","1","1","638","484","154","75.86"
"Kameda(82)","","","","","1","1","397","237","160","59.70"
"Kangarka (47)","","","","","1","1","590","237","353","40.17"
"Kansali(1)","","","","","1","1","237","132","105","55.70"
"Kanwarsika(175)","","","","","1","1","155","124","31","80.00"
"Karaheri(50)","","","","","1","1","343","229","114","66.76"
"Karaira Punahana(215)","","","","","1","1","32","11","21","34.38"
"Karamchandpur (268)","","","","","1","1","127","83","44","65.35"
"Karehra Ferozepur(5)","","","","","1","1","115","78","37","67.83"
"Khajli Kalan(190)","","","","","1","1","1661","1080","581","65.02"
"Khajli Khurd(189)","","","","","1","1","191","124","67","64.92"
"Khalilpur(193)","","","","","1","1","442","287","155","64.93"
"Khan Mohammadpur(25)","","","","","1","1","147","96","51","65.31"
"Khanpur Ghati (126)","","","","","1","1","324","324","0","100.00"
"Khanpur Nuh(13)","","","","","1","1","153","153","0","100.00"
"Khanpur(177)","","","","","1","1","95","62","33","65.26"
"Kharak Sohna(15)","","","","","1","1","115","75","40","65.22"
"Kharak Taoru (23)","","","","","1","1","68","10","58","14.71"
"Kharkhari(72)","","","","","1","1","434","239","195","55.07"
"Kherla (109)","","","","","1","1","651","511","140","78.49"
"Kherla Kalan(100)","","","","","1","1","312","0","312","0.00"
"Kherla Khurd(114)","","","","","1","1","834","546","288","65.47"
"Kherla Punahana(169)","","","","","1","1","248","145","103","58.47"
"Kherli  Kankar(169)","","","","","1","1","316","205","111","64.87"
"Kherli Dausa(196)","","","","","1","1","1943","1263","680","65.00"
"Kherli Kalan(122)","","","","","1","1","87","87","0","100.00"
"Kherli Khurd(65)","","","","","1","1","182","182","0","100.00"
"Kherli Nuh(14)","","","","","1","1","97","82","15","84.54"
"Kherliter(183)","","","","","1","1","103","67","36","65.05"
"Khor(84)","","","","","1","1","336","218","118","64.88"
"Khori Kalan (37) (CT)","","","","","1","1","2328","832","1496","35.74"
"Khori Khurd(36)","","","","","1","1","204","186","18","91.18"
"Khori Nuh (116)","","","","","1","1","149","17","132","11.41"
"Khori(146)","","","","","1","1","52","51","1","98.08"
"Khorishah Chokha(177)","","","","","1","1","198","117","81","59.09"
"Khoshpuri(24)","","","","","1","1","133","122","11","91.73"
"Kira (199)","","","","","1","1","359","99","260","27.58"
"Kiranj(187)","","","","","1","1","187","122","65","65.24"
"Kol Gaon (95)","","","","","1","1","499","326","173","65.33"
"Kontalka (267)","","","","","1","1","285","144","141","50.53"
"Kota Khandewla(1)","","","","","1","1","302","240","62","79.47"
"Kotla (120)","","","","","1","1","348","250","98","71.84"
"Kuliaka(76)","","","","","1","1","442","131","311","29.64"
"Kultajpur Kalan(62)","","","","","1","1","52","49","3","94.23"
"Kurali Sohna(89)","","","","","1","1","191","124","67","64.92"
"Kurthla (205)","","","","","1","1","979","640","339","65.37"
"Laherwari(170)","","","","","1","1","613","612","1","99.84"
"Laphuri(237)","","","","","1","1","386","382","4","98.96"
"Lohinga Kalan(165)","","","","","1","2","917","851","66","92.80"
"Lohinga Khurd(144)","","","","","1","1","249","249","0","100.00"
"Madapur(77)","","","","","1","1","290","121","169","41.72"
"Madhi(15)","","","","","1","1","222","222","0","100.00"
"Maholi(87)","","","","","1","1","415","294","121","70.84"
"Mahoon(117)","","","","","1","1","734","226","508","30.79"
"Mahun(11)","","","","","1","1","59","59","0","100.00"
"Mahwan(88)","","","","","1","1","103","67","36","65.05"
"Mailawas(163)","","","","","1","1","163","21","142","12.88"
"Maindla(82)","","","","","1","1","226","147","79","65.04"
"Malab (122)","","","","","1","1","1760","1571","189","89.26"
"Malahka(70)","","","","","1","1","460","126","334","27.39"
"Malhaka(164)","","","","","1","1","260","184","76","70.77"
"Mamlika(130)","","","","","1","1","304","236","68","77.63"
"Manaki (153)","","","","","1","1","495","12","483","2.42"
"Mandikhera(53)","","","","","1","1","600","585","15","97.50"
"Manota(158)","","","","","1","1","291","257","34","88.32"
"Manuwas(186)","","","","","1","1","66","43","23","65.15"
"Maraula(172)","","","","","1","1","45","29","16","64.44"
"Marora (108)","","","","","1","2","453","211","242","46.58"
"Marora(38)","","","","","1","3","2810","1743","1067","62.03"
"Meoli (118)","","","","","1","1","1047","893","154","85.29"
"Mhuziaba(240)","","","","","1","1","94","62","32","65.96"
"Milakpur (48)","","","","","1","1","2","0","2","0.00"
"Mohamadnagar(42)","","","","","1","1","174","174","0","100.00"
"Mohammadbas(141)","","","","","1","1","172","170","2","98.84"
"Mohammadpur Ter (187)","","","","","1","1","52","36","16","69.23"
"Mohlaka(123)","","","","","1","1","111","104","7","93.69"
"Mohmadbas(58)","","","","","1","1","96","62","34","64.58"
"Mohmmadpur Ahir(13)","","","","","1","1","1702","1277","425","75.03"
"Mohmmadpur Nuh (119)","","","","","1","1","687","68","619","9.90"
"Moolthan(10)","","","","","1","3","778","606","172","77.89"
"Mubarikpur(216)","","","","","1","1","423","335","88","79.20"
"Mundarka (56)","","","","","1","1","354","213","141","60.17"
"Mundheta(182)","","","","","1","1","375","311","64","82.93"
"Murad  Bas (112)","","","","","1","1","314","259","55","82.48"
