"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adupur(23)","","","","","1","1","389","253","136","65.04"
"Aghwanpur(65)","","","","","1","1","493","320","173","64.91"
"Aharwan(32)","","","","","1","1","418","280","138","66.99"
"Akbarpur Dakora(151)","","","","","1","1","1050","683","367","65.05"
"Akbarpur Natol(214)","","","","","1","1","106","0","106","0.00"
"Alapur(66)","","","","","1","1","411","267","144","64.96"
"Alawalpur(62)","","","","","1","1","625","414","211","66.24"
"Ali Brahman(285)","","","","","1","1","1064","692","372","65.04"
"Ali Meo(284)","","","","","1","1","396","259","137","65.40"
"Allika(36)","","","","","1","1","617","405","212","65.64"
"Aluka(222)","","","","","1","1","390","227","163","58.21"
"Amarpur(177)","","","","","1","1","256","168","88","65.63"
"Amroli(143)","","","","","1","1","1841","1213","628","65.89"
"Amru(38)","","","","","1","1","276","180","96","65.22"
"Andhop(287)","","","","","1","1","86","56","30","65.12"
"Andhrola(236)","","","","","1","1","357","233","124","65.27"
"Asawta(160)","","","","","1","1","724","561","163","77.49"
"Asoati(51)","","","","","1","1","947","616","331","65.05"
"Atohan (158)","","","","","1","1","398","98","300","24.62"
"Attar Chata(17)","","","","","1","1","141","92","49","65.25"
"Attba(109)","","","","","1","1","3216","2090","1126","64.99"
"Aurangabad (83)","","","","","1","2","896","626","270","69.87"
"Babupur Hathin(263)","","","","","1","1","171","171","0","100.00"
"Badha(27)","","","","","1","2","547","361","186","66.00"
"Badraon(55)","","","","","1","1","65","48","17","73.85"
"Baghola (44) (CT)","","","","","1","1","300","254","46","84.67"
"Bagpur Kalan(191)","","","","","1","4","1737","1154","583","66.44"
"Bagpur Khurd(190)","","","","","1","1","296","192","104","64.86"
"Bahin(281)","","","","","1","1","340","226","114","66.47"
"Bahrola (157)","","","","","1","3","2536","1378","1158","54.34"
"Bajada Pahari(232)","","","","","1","1","488","132","356","27.05"
"Balai(180)","","","","","1","1","1018","663","355","65.13"
"Bamani Khera (155)","","","","","1","4","699","303","396","43.35"
"Bamnika(35)","","","","","1","1","180","118","62","65.56"
"Bamnola Jogi(230)","","","","","1","1","288","175","113","60.76"
"Banchari(124)","","","","","1","1","392","256","136","65.31"
"Banswan(98)","","","","","1","2","433","290","143","66.97"
"Baptoli(96)","","","","","1","1","3201","2081","1120","65.01"
"Barauli(149)","","","","","1","1","1520","988","532","65.00"
"Bata(142)","","","","","1","1","1000","651","349","65.10"
"Behrampur(196)","","","","","1","1","238","155","83","65.13"
"Bela(112)","","","","","1","3","1509","981","528","65.01"
"Bhaindoli(100)","","","","","1","1","434","314","120","72.35"
"Bhanguri Palwal(228)","","","","","1","1","148","36","112","24.32"
"Bhiduki(99)","","","","","1","1","994","690","304","69.42"
"Bhimsika(271)","","","","","1","1","109","104","5","95.41"
"Bhodpur(242)","","","","","1","1","294","235","59","79.93"
"Bholra(188)","","","","","1","1","35","25","10","71.43"
"Bhud(194)","","","","","1","1","504","329","175","65.28"
"Bhulwana(94)","","","","","1","1","141","132","9","93.62"
"Bhurja(10)","","","","","1","1","142","94","48","66.20"
"Bichpuri(224)","","","","","1","1","186","64","122","34.41"
"Bighawali(207)","","","","","1","1","22","16","6","72.73"
"Bilochpur(110)","","","","","1","4","1722","1120","602","65.04"
"Buraka Hathin(251)","","","","","1","1","150","150","0","100.00"
"Buraka(91)","","","","","1","1","223","160","63","71.75"
"Chandaka(206)","","","","","1","1","138","138","0","100.00"
"Chandhat(172)","","","","","1","1","593","394","199","66.44"
"Chandpur(14)","","","","","1","1","1897","1233","664","65.00"
"Chhainsa(211)","","","","","1","3","605","434","171","71.74"
"Chhaju Nagar(153)","","","","","1","1","147","102","45","69.39"
"Chhaprola(4)","","","","","1","1","55","36","19","65.45"
"Chirawta(80)","","","","","1","1","143","93","50","65.03"
"Chirwari(167)","","","","","1","1","180","119","61","66.11"
"Dadhka(90)","","","","","1","1","142","92","50","64.79"
"Dadota(175)","","","","","1","1","141","92","49","65.25"
"Dakora(122)","","","","","1","1","292","198","94","67.81"
"Darana(117)","","","","","1","1","457","457","0","100.00"
"Deeghot(135)","","","","","1","1","343","253","90","73.76"
"Dehlaka(8)","","","","","1","1","1452","945","507","65.08"
"Devli(46)","","","","","1","1","66","45","21","68.18"
"Dhakalpur(273)","","","","","1","1","380","274","106","72.11"
"Dhamaka(30)","","","","","1","1","59","38","21","64.41"
"Dhatir(37)","","","","","1","1","276","228","48","82.61"
"Dhiranka(249)","","","","","1","1","469","308","161","65.67"
"Dholagarh(79)","","","","","1","2","573","373","200","65.10"
"Dostpur(186)","","","","","1","1","260","170","90","65.38"
"Dudola(40)","","","","","1","1","159","111","48","69.81"
"Dumka(265)","","","","","1","1","16","16","0","100.00"
"Dundsa(50)","","","","","1","1","392","255","137","65.05"
"Dungarpur(13)","","","","","1","1","95","63","32","66.32"
"Durenchi(210)","","","","","1","1","118","112","6","94.92"
"Durgapur(76)","","","","","1","1","512","333","179","65.04"
"Farezarabad Misa(171)","","","","","1","1","117","79","38","67.52"
"Fartas Kunagar(107)","","","","","1","1","540","363","177","67.22"
"Fazalpur(63)","","","","","1","1","1409","916","493","65.01"
"Ferozepur Rajput(254)","","","","","1","1","319","170","149","53.29"
"Ferozepur(64)","","","","","1","1","53","34","19","64.15"
"Gadhpuri(2)","","","","","1","1","883","574","309","65.01"
"Gahlab (233)","","","","","1","1","106","106","0","100.00"
"Gailpur(33)","","","","","1","1","138","91","47","65.94"
"Garhi Binoda(255)","","","","","1","1","564","100","464","17.73"
"Ghagot(57)","","","","","1","1","147","113","34","76.87"
"Gharot(256)","","","","","1","1","283","145","138","51.24"
"Ghasera(131)","","","","","1","1","805","526","279","65.34"
"Ghigraka(257)","","","","","1","1","82","70","12","85.37"
"Ghori(183)","","","","","1","1","348","252","96","72.41"
"Ghurawali(274)","","","","","1","1","120","102","18","85.00"
"Gohpur(245)","","","","","1","1","158","127","31","80.38"
