"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Alipur (206)","","","","","1","1","5","5","0","100.00"
"Alipur (237)","","","","","1","1","230","230","0","100.00"
"Amrala (242)","","","","","1","1","33","33","0","100.00"
"Asrewali (226)","","","","","1","1","94","94","0","100.00"
"Badhaur (208)","","","","","1","1","306","306","0","100.00"
"Bagharni (168)","","","","","1","1","32","32","0","100.00"
"Bagwala (20)","","","","","1","1","148","148","0","100.00"
"Bagwali (19)","","","","","1","1","234","234","0","100.00"
"Bahbalpur (21)","","","","","1","1","52","52","0","100.00"
"Banoi Khuda Bax (131)","","","","","1","1","84","84","0","100.00"
"Banoi Sanwalia (132)","","","","","1","1","19","19","0","100.00"
"Bansghati (180)","","","","","1","1","10","10","0","100.00"
"Bar (135)","","","","","1","1","155","155","0","100.00"
"Barauna Chhota (7)","","","","","1","1","109","109","0","100.00"
"Barauna Kalan (9)","","","","","1","1","226","226","0","100.00"
"Barwala (246)","","","","","1","1","1636","1636","0","100.00"
"Basawal (125)","","","","","1","1","247","247","0","100.00"
"Basdevpura (151)","","","","","1","1","225","225","0","100.00"
"Bataur (247)","","","","","1","1","1005","1005","0","100.00"
"Batwal (5)","","","","","1","1","118","118","0","100.00"
"Bazidpur (267)","","","","","1","1","25","25","0","100.00"
"Ber Ghati (173)","","","","","1","1","26","26","0","100.00"
"Bhagpur (248)","","","","","1","1","44","44","0","100.00"
"Bhagwanpur (193)","","","","","1","1","443","443","0","100.00"
"Bhagwanpur (248)","","","","","1","1","253","253","0","100.00"
"Bhanoo (234)","","","","","1","1","395","395","0","100.00"
"Bhanvli (264)","","","","","1","1","147","147","0","100.00"
"Bharauli (212)","","","","","1","1","140","140","0","100.00"
"Bhareli (249)","","","","","1","1","741","741","0","100.00"
"Bharon Ki Ser (Part) (149)","","","","","1","1","609","609","0","100.00"
"Bhawana (155)","","","","","1","1","76","76","0","100.00"
"Bhogpur (190)","","","","","1","1","98","98","0","100.00"
"Bhoj Balig (325)","","","","","1","1","113","67","46","59.29"
"Bhoj Darara (321)","","","","","1","1","141","86","55","60.99"
"Bhoj Dharti (318)","","","","","1","1","240","160","80","66.67"
