"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adhmi (56)","","","","","1","1","525","525","0","100.00"
"Adiyana (48)","","","","","1","1","1201","1201","0","100.00"
"Ahar (58)","","","","","1","1","1430","1430","0","100.00"
"Ahmadpur Majra (4)","","","","","1","1","143","143","0","100.00"
"Ali Asgharpur (32)","","","","","1","1","30","0","30","0.00"
"Alupur (60)","","","","","1","1","526","526","0","100.00"
"Asan Kalan (21)","","","","","1","3","3000","3000","0","100.00"
"Asan Khurd (CT)","","","","","1","1","1511","290","1221","19.19"
"Ataula (57)","","","","","1","1","1024","1024","0","100.00"
"Ataullahpur (39)","","","","","1","1","231","231","0","100.00"
"Atta (80)","","","","","1","1","1514","1514","0","100.00"
"Azizullapur (5)","","","","","1","1","248","248","0","100.00"
"Babail (26)","","","","","1","1","1006","1006","0","100.00"
"Babarpur (34)","","","","","1","1","1000","1000","0","100.00"
"Badauli (33)","","","","","1","1","1000","1000","0","100.00"
"Baholi (12)","","","","","1","1","295","295","0","100.00"
"Bal Jattan (11)","","","","","1","1","312","312","0","100.00"
"Balana (71)","","","","","1","1","631","631","0","100.00"
"Bandh (87)","","","","","1","1","711","711","0","100.00"
"Bapoli (54)","","","","","1","2","1850","1850","0","100.00"
"Barana (44)","","","","","1","1","1327","1327","0","100.00"
"Basahra (90)","","","","","1","1","280","280","0","100.00"
"Begumpur Bapnot (47)","","","","","1","1","90","90","0","100.00"
"Begumpur Tahrpur (63)","","","","","1","1","143","143","0","100.00"
"Behrampur (40)","","","","","1","1","330","330","0","100.00"
"Bhadaur (39)","","","","","1","1","622","622","0","100.00"
"Bhainswal (7)","","","","","1","1","550","550","0","100.00"
"Bhalaur (53)","","","","","1","2","383","383","0","100.00"
"Bhalsi (45)","","","","","1","1","321","321","0","100.00"
"Bhandari (61)","","","","","1","1","677","677","0","100.00"
"Bhaupur (63)","","","","","1","1","316","316","0","100.00"
"Biholi (66)","","","","","1","1","1119","1119","0","100.00"
"Bijawah (88)","","","","","1","1","334","334","0","100.00"
"Bilaspur (79)","","","","","1","1","230","230","0","100.00"
"Binjhol (28)","","","","","1","1","1000","1000","0","100.00"
"Boana Lakhu (86)","","","","","1","1","1322","1322","0","100.00"
"Bodhwal Majri (87)","","","","","1","1","510","510","0","100.00"
"Brahman Majra (40)","","","","","1","1","667","667","0","100.00"
"Budanpur (92)","","","","","1","1","75","75","0","100.00"
"Bursham (35)","","","","","1","1","879","879","0","100.00"
"Chadya Uspur (117)","","","","","1","1","166","166","0","100.00"
"Chamarara (83)","","","","","1","1","526","526","0","100.00"
"Chandoli (6)","","","","","1","1","1115","1115","0","100.00"
"Chhajpur Kalan (42)","","","","","1","1","726","726","0","100.00"
"Chhajpur Khurd (41)","","","","","1","1","657","657","0","100.00"
"Chhichhrana (55)","","","","","1","1","643","643","0","100.00"
"Chulkana (118)","","","","","1","1","2110","2110","0","100.00"
"Dadlana (25)","","","","","1","1","2922","0","2922","0.00"
"Dahar (37)","","","","","1","1","1272","1272","0","100.00"
"Daryapur (49)","","","","","1","1","411","411","0","100.00"
"Dehra (85)","","","","","1","1","852","852","0","100.00"
"Dhadola (46)","","","","","1","1","822","822","0","100.00"
"Dhadoli (45)","","","","","1","1","180","180","0","100.00"
"Dhan Soli (28)","","","","","1","1","535","535","0","100.00"
"Dharamgarh (1)","","","","","1","1","609","609","0","100.00"
"Dhodpur (75)","","","","","1","1","378","378","0","100.00"
"Didwari (72)","","","","","1","1","558","558","0","100.00"
"Dikadla (81)","","","","","1","1","1042","1042","0","100.00"
"Dindhar (79)","","","","","1","1","236","236","0","100.00"
"Diwana (33)","","","","","1","1","505","505","0","100.00"
"Dumyana (56)","","","","","1","1","255","255","0","100.00"
"Faridpur (17)","","","","","1","1","620","620","0","100.00"
"Ganjbar (31)","","","","","1","1","1001","1001","0","100.00"
"Garh Sanrai (38)","","","","","1","1","955","955","0","100.00"
"Garhi Bhalaur (52)","","","","","1","2","308","308","0","100.00"
"Garhi Chhaju (73)","","","","","1","1","521","521","0","100.00"
"Gawalra (81)","","","","","1","1","638","638","0","100.00"
"Goela Kalan (60)","","","","","1","1","475","475","0","100.00"
"Goela Khurd (61)","","","","","1","1","589","589","0","100.00"
"Haldana (88)","","","","","1","1","335","335","0","100.00"
"Hartari (36)","","","","","1","1","330","330","0","100.00"
"Hathwala (82)","","","","","1","1","1238","1238","0","100.00"
"Israna (66, 67)","","","","","1","1","1724","1724","0","100.00"
"Jal Pahar (20)","","","","","1","1","183","183","0","100.00"
"Jalalpur (38)","","","","","1","1","879","879","0","100.00"
"Jalalpur (95)","","","","","1","1","208","208","0","100.00"
"Jalmana (55)","","","","","1","1","714","714","0","100.00"
"Janbha (34)","","","","","1","1","526","526","0","100.00"
"Jatipur (67)","","","","","1","1","922","922","0","100.00"
"Jatol (27)","","","","","1","1","1000","1000","0","100.00"
"Jondhan Kalan (68)","","","","","1","1","552","552","0","100.00"
"Jondhan Khurd (69)","","","","","1","1","154","154","0","100.00"
"Joshi (5)","","","","","1","1","473","473","0","100.00"
"Jurasi Khalsa (74)","","","","","1","2","727","727","0","100.00"
"Jurasi Saraf Khas (72)","","","","","1","1","1056","1056","0","100.00"
"Kabri (18) (CT)","","","","","1","1","1370","1370","0","100.00"
"Kachrauli (1) (CT)","","","","","1","1","1000","1000","0","100.00"
"Kaith (91)","","","","","1","1","333","333","0","100.00"
"Kakoda (84)","","","","","1","1","158","158","0","100.00"
"Kalkha (41)","","","","","1","1","711","711","0","100.00"
"Karad(64)","","","","","1","1","688","688","0","100.00"
"Karhans (69)","","","","","1","1","1282","1282","0","100.00"
"Karkoli (84)","","","","","1","1","243","243","0","100.00"
"Khalila Majra Nain (59)","","","","","1","1","169","169","0","100.00"
"Khandra (10)","","","","","1","1","392","392","0","100.00"
"Kheri Nangal (131) (CT)","","","","","1","1","260","260","0","100.00"
"Khojgipur (77)","","","","","1","1","766","766","0","100.00"
"Khotpura (35)","","","","","1","1","1295","1295","0","100.00"
"Khukhrana (24)","","","","","1","1","361","361","0","100.00"
"Kiwana (78)","","","","","1","1","1614","1614","0","100.00"
"Kotani( 8)","","","","","1","1","1127","1127","0","100.00"
"Kundla (94)","","","","","1","1","340","340","0","100.00"
"Kurana (54)","","","","","1","1","1594","1594","0","100.00"
"Kurar (22)","","","","","1","1","1098","1098","0","100.00"
"Luhari (42)","","","","","1","1","694","694","0","100.00"
"Machhroli (68)","","","","","1","1","856","856","0","100.00"
"Madlauda (7)","","","","","1","1","2801","2801","0","100.00"
"Mahali (23)","","","","","1","1","335","335","0","100.00"
"Mahayudinpur Thirana (9)","","","","","1","1","362","362","0","100.00"
"Mahmadpur (15)","","","","","1","1","1000","1000","0","100.00"
"Mahoti (89)","","","","","1","1","942","942","0","100.00"
"Mahrana (29)","","","","","1","1","901","901","0","100.00"
"Manana (76)","","","","","1","1","1553","1553","0","100.00"
"Mandi (82)","","","","","1","1","1406","1406","0","100.00"
"Matnauli (75)","","","","","1","1","176","176","0","100.00"
"Milk Ugra Kheri (15)","","","","","1","1","1000","1000","0","100.00"
"Mirzapur (59)","","","","","1","1","95","95","0","100.00"
"Nagla (27)","","","","","1","1","111","111","0","100.00"
"Nain (62)","","","","","1","1","629","629","0","100.00"
"Namonda (80)","","","","","1","1","407","407","0","100.00"
"Nanhera (57)","","","","","1","1","388","388","0","100.00"
"Nara (6)","","","","","1","2","1201","1201","0","100.00"
"Naryana (74)","","","","","1","1","1250","1250","0","100.00"
"Nauhra (20)","","","","","1","1","536","536","0","100.00"
"Naultha (38)","","","","","1","1","1640","1640","0","100.00"
"Nawadha (31)","","","","","1","1","396","396","0","100.00"
"Nimbri (21)","","","","","1","1","1001","1001","0","100.00"
"Nizampur (3)","","","","","1","1","1000","1000","0","100.00"
"Nurpur Gujran (47)","","","","","1","1","98","98","0","100.00"
"Nurpur Mughla (48)","","","","","1","1","197","197","0","100.00"
"Pahladpur Khalila (34)","","","","","1","1","350","350","0","100.00"
"Palheri (46)","","","","","1","1","712","712","0","100.00"
"Palri (70)","","","","","1","1","766","766","0","100.00"
"Panipat Taraf Afghan (17)","","","","","1","2","3267","3267","0","100.00"
"Panipat Taraf Ansar (CT)","","","","","1","1","8828","0","8828","0.00"
"Panipat Taraf Makhdum Zadgan (CT)","","","","","1","1","14066","0","14066","0.00"
"Panipat Taraf Rajputan (CT)","","","","","1","1","5819","0","5819","0.00"
"Pardhana (65)","","","","","1","1","699","699","0","100.00"
"Pasina Kalan (50)","","","","","1","1","751","751","0","100.00"
"Pasina Khurd (49)","","","","","1","1","526","526","0","100.00"
"Pathri (53)","","","","","1","1","398","398","0","100.00"
"Patti Kalyana (86)","","","","","1","2","1736","1736","0","100.00"
"Pawati (71)","","","","","1","1","764","764","0","100.00"
"Puthar (85)","","","","","1","1","516","516","0","100.00"
"Qawi (3)","","","","","1","1","1212","1212","0","100.00"
"Raimal (76)","","","","","1","1","103","103","0","100.00"
"Rair Kalan (29)","","","","","1","1","1068","1068","0","100.00"
"Raja Kheri (25)","","","","","1","1","1058","1058","0","100.00"
"Raksehra (91)","","","","","1","2","1240","1240","0","100.00"
"Rana Majra (93)","","","","","1","1","2035","2035","0","100.00"
"Rasulpur (43)","","","","","1","1","335","335","0","100.00"
"Razapur  (13)","","","","","1","1","1000","1000","0","100.00"
"Risalu (18)","","","","","1","1","1002","1002","0","100.00"
"Rishpur (36)","","","","","1","1","347","347","0","100.00"
"Samalkha(Rural)  (77)","","","","","1","1","241","241","0","100.00"
"Sanjoli (62)","","","","","1","1","213","213","0","100.00"
"Sanoli Kalan (30)","","","","","1","1","332","332","0","100.00"
"Sanoli Khurd (32)","","","","","1","1","969","969","0","100.00"
"Sarai Bachhra (4)","","","","","1","1","1000","1000","0","100.00"
"Sarai Kohand (29)","","","","","1","1","15","0","15","0.00"
"Sarai Pilghan (14)","","","","","1","1","1000","1000","0","100.00"
"Sec. 11&12 Part II (CT)","","","","","1","1","1773","0","1773","0.00"
"Seenk (52)","","","","","1","1","1152","1152","0","100.00"
"Sewah (32)","","","","","1","1","2356","2356","0","100.00"
"Sewah Kheri (11)","","","","","1","1","1000","1000","0","100.00"
"Shadipur (8)","","","","","1","1","5","5","0","100.00"
"Shahar Malpur (64)","","","","","1","1","660","660","0","100.00"
"Shahpur (89)","","","","","1","1","636","636","0","100.00"
"Sherah (2)","","","","","1","1","757","757","0","100.00"
"Shohdapur (25)","","","","","1","1","1219","1219","0","100.00"
"Sikanderpur (19) (CT)","","","","","1","3","801","801","0","100.00"
