"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aakera (292) (CT)","","","","","1","1","966","962","4","99.59"
"Aaliawas (83)","","","","","1","1","232","154","78","66.38"
"Aasiaki Gorawas (249)","","","","","1","1","560","546","14","97.50"
"Ahmadpur Partal (177)","","","","","1","2","397","397","0","100.00"
"Ahrod (29)","","","","","1","1","324","157","167","48.46"
"Akbarpur (146)","","","","","1","1","86","83","3","96.51"
"Alamgirpur (298)","","","","","1","1","245","234","11","95.51"
"Alawarpur (72)","","","","","1","1","165","160","5","96.97"
"Alwal Pur (303)","","","","","1","1","266","255","11","95.86"
"Anandpur (24)","","","","","1","1","263","253","10","96.20"
"Aram Nagar(46)","","","","","1","1","102","97","5","95.10"
"Asadpur (280)","","","","","1","1","122","112","10","91.80"
"Asalwas (46)","","","","","1","1","376","369","7","98.14"
"Asiakitappa Jarthal (308)","","","","","1","1","342","339","3","99.12"
"Asrakamajra (15)","","","","","1","1","212","212","0","100.00"
"Aulant (77)","","","","","1","1","470","465","5","98.94"
"Babroli (100)","","","","","1","1","318","273","45","85.85"
"Badh Jethu (137)","","","","","1","1","2","2","0","100.00"
"Badhoj (71)","","","","","1","1","71","71","0","100.00"
"Badhrana (4)","","","","","1","1","236","232","4","98.31"
"Bagthala (47)","","","","","1","1","525","514","11","97.90"
"Bahala (20-N))","","","","","1","2","588","576","12","97.96"
"Bahotwas Ahir (85)","","","","","1","1","575","483","92","84.00"
"Bahotwas Bhondu (99)","","","","","1","1","631","577","54","91.44"
"Bairampur (183)","","","","","1","2","616","584","32","94.81"
"Balawas (10)","","","","","1","1","396","392","4","98.99"
"Balawas Ahir (128)","","","","","1","1","322","307","15","95.34"
"Balawas Jamapur (109)","","","","","1","1","310","280","30","90.32"
"Baldhan Kalan (98)","","","","","1","1","478","459","19","96.03"
"Baldhan Khurd (97)","","","","","1","1","273","268","5","98.17"
"Baliar Kalan (199)","","","","","1","1","145","124","21","85.52"
"Baliar Khurd (200)","","","","","1","1","248","242","6","97.58"
"Balwari (33)","","","","","1","1","356","170","186","47.75"
"Bambar (182)","","","","","1","1","94","94","0","100.00"
"Bangarwa (86)","","","","","1","1","59","48","11","81.36"
"Banipur (40)","","","","","1","1","451","444","7","98.45"
"Baqapur (162)","","","","","1","1","117","117","0","100.00"
"Bariawas (170)","","","","","1","1","271","270","1","99.63"
"Bas Dooda (26)","","","","","1","1","502","333","169","66.33"
"Bawa (22-N)","","","","","1","2","1576","1569","7","99.56"
"Bawana Gujar (40)","","","","","1","1","192","71","121","36.98"
"Behrampur Bharangi (9)","","","","","1","1","264","264","0","100.00"
"Berli Kalan (310)","","","","","1","1","1012","928","84","91.70"
"Berli Khurd (93)","","","","","1","1","975","920","55","94.36"
"Berwal (5)","","","","","1","1","189","189","0","100.00"
"Bhagwanpur (121)","","","","","1","1","274","274","0","100.00"
"Bhagwanpur (58)","","","","","1","1","189","189","0","100.00"
"Bhakali (165) (CT)","","","","","1","2","1485","1481","4","99.73"
"Bhalaki (35)","","","","","1","1","298","217","81","72.82"
"Bhandor (59)","","","","","1","1","185","20","165","10.81"
"Bhathera (79)","","","","","1","1","235","182","53","77.45"
"Bhatsana (301)","","","","","1","1","384","384","0","100.00"
"Bherangi (29-N)","","","","","1","2","670","634","36","94.63"
"Bhudla (186)","","","","","1","1","378","359","19","94.97"
"Bhudpur (116)","","","","","1","1","391","387","4","98.98"
"Bhurthal Jatt (216)","","","","","1","1","358","333","25","93.02"
"Bhurthal Thethar (215)","","","","","1","1","107","98","9","91.59"
"Bhurthala (171)","","","","","1","2","588","571","17","97.11"
"Bidawas (56)","","","","","1","1","301","290","11","96.35"
"Biharipur (91)","","","","","1","1","278","274","4","98.56"
"Bikaner (221)","","","","","1","1","518","506","12","97.68"
"Bishanpura (73)","","","","","1","1","152","133","19","87.50"
"Bisoha (24-N)","","","","","1","2","810","768","42","94.81"
"Bithwana (149)","","","","","1","1","396","372","24","93.94"
"Bitori (75)","","","","","1","1","649","549","100","84.59"
"Bodia Kamalpur (112)","","","","","1","1","675","668","7","98.96"
"Bohka (23)","","","","","1","1","397","284","113","71.54"
"Bolni (164)","","","","","1","1","704","686","18","97.44"
"Boriawas (176)","","","","","1","1","2","2","0","100.00"
"Budana (202)","","","","","1","1","230","202","28","87.83"
"Budani (208)","","","","","1","1","169","169","0","100.00"
"Buroli(76)","","","","","1","1","843","538","305","63.82"
"Chak Kharji Bahu (18/1-N)","","","","","1","1","4","4","0","100.00"
"Chandanwas (251)","","","","","1","1","417","417","0","100.00"
"Chanduwas (21)","","","","","1","1","98","98","0","100.00"
"Chanduwas(  117)","","","","","1","1","346","324","22","93.64"
"Chang (238)","","","","","1","1","49","49","0","100.00"
"Chauki  (248)","","","","","1","1","130","130","0","100.00"
"Chauki No-2 (311)","","","","","1","1","436","436","0","100.00"
"Cheeta Dungra (37)","","","","","1","1","287","172","115","59.93"
"Chhawa (190)","","","","","1","2","442","431","11","97.51"
"Chhuriawas (157)","","","","","1","1","235","230","5","97.87"
"Chimnawas (69)","","","","","1","1","298","180","118","60.40"
"Chirhara (39)","","","","","1","1","315","290","25","92.06"
"Dabari (210)","","","","","1","1","120","120","0","100.00"
"Dahina (12)","","","","","1","1","1989","1989","0","100.00"
"Dakhora(2)","","","","","1","1","432","414","18","95.83"
"Daliaki (133)","","","","","1","1","177","177","0","100.00"
"Darauli (3)","","","","","1","1","366","366","0","100.00"
"Dawana (156)","","","","","1","1","864","842","22","97.45"
"Dehlawas (89)","","","","","1","1","255","254","1","99.61"
"Devlawas (154)","","","","","1","1","116","116","0","100.00"
"Dhaliawas (173)","","","","","1","1","645","621","24","96.28"
