"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abholi(138)","","","","","1","2","858","740","118","86.25"
"Abub Shahar(271) Split Vill.","","","","","1","1","1703","1268","435","74.46"
"Abut Garh(140)","","","","","1","1","135","99","36","73.33"
"Ahamadpur(149)","","","","","1","1","508","297","211","58.46"
"Ahmadpur Darewala(261)","","","","","1","1","652","297","355","45.55"
"Alanoor(144)","","","","","1","1","298","167","131","56.04"
"Ali Mohammad(45)","","","","","1","1","443","395","48","89.16"
"Alika(276)","","","","","1","1","652","425","227","65.18"
"Alikan(176)","","","","","1","1","744","515","229","69.22"
"Alipur Titu Khera(91)","","","","","1","1","464","220","244","47.41"
"Amritsar(129)","","","","","1","2","1118","1010","108","90.34"
"Anandgarh(199)","","","","","1","1","321","256","65","79.75"
"Arnian Wali(43)","","","","","1","1","816","633","183","77.57"
"Asa Khera(268)","","","","","1","1","591","447","144","75.63"
"Asir(310)","","","","","1","1","385","278","107","72.21"
"Bacher(237)","","","","","1","1","408","238","170","58.33"
"Bada Gudha(190)","","","","","1","1","871","585","286","67.16"
"Baguwali(60)","","","","","1","1","292","213","79","72.95"
"Bahia(234)","","","","","1","1","907","573","334","63.18"
"Baidwala(76)","","","","","1","1","981","710","271","72.38"
"Bajeka(77)","","","","","1","1","1401","1110","291","79.23"
"Bakarianwali(40)","","","","","1","1","718","560","158","77.99"
"Balasar(228)","","","","","1","1","938","755","183","80.49"
"Ban Sudhar(148)","","","","","1","1","466","318","148","68.24"
"Bani(121)","","","","","1","2","1606","1171","435","72.91"
"Banwala(223)","","","","","1","1","809","536","273","66.25"
"Baruwali - I(67)","","","","","1","1","658","524","134","79.64"
"Baruwali Doem(38)","","","","","1","1","28","28","0","100.00"
"Berwala Khurd(116)","","","","","1","2","1777","1167","610","65.67"
"Bhadra(186)","","","","","1","1","381","285","96","74.80"
"Bhagsar(220)","","","","","1","1","168","72","96","42.86"
"Bhamboor(90)","","","","","1","1","753","457","296","60.69"
"Bhangu(191)","","","","","1","1","685","471","214","68.76"
"Bharokhan(68)","","","","","1","1","712","541","171","75.98"
"Bharolanwali(229)","","","","","1","1","837","601","236","71.80"
"Bharu Khera(266)","","","","","1","1","415","268","147","64.58"
"Bhavdin(65)","","","","","1","1","1171","1091","80","93.17"
"Bhiwan(173)","","","","","1","1","410","272","138","66.34"
"Bhoona(224)","","","","","1","1","320","233","87","72.81"
"Bhudha Bhana(157)","","","","","1","1","577","256","321","44.37"
"Bhurat Wala(106)","","","","","1","1","920","770","150","83.70"
"Bijuwali(258)","","","","","1","1","475","315","160","66.32"
"Biruwala Gudha(183)","","","","","1","1","634","483","151","76.18"
"Brasari(34)","","","","","1","1","563","500","63","88.81"
"Budhi Mari(130)","","","","","1","1","214","140","74","65.42"
"Bukhara Khera(218)","","","","","1","1","64","21","43","32.81"
"Bupp(178)","","","","","1","1","1109","800","309","72.14"
"Burj Bhangu (181)","","","","","1","1","368","233","135","63.32"
"Burj Karamgarh(159)","","","","","1","1","242","178","64","73.55"
"Chadiwal(46)","","","","","1","1","313","277","36","88.50"
"Chaharwala(2)","","","","","1","1","1165","1068","97","91.67"
"Chak Arian (141)","","","","","1","2","7","7","0","100.00"
"Chak Quasaban(98)","","","","","1","1","4","4","0","100.00"
"Chakan(244)","","","","","1","1","1014","710","304","70.02"
"Chakbani(179)","","","","","1","1","205","168","37","81.95"
"Chakerian ( 203)","","","","","1","1","295","175","120","59.32"
"Chakjalu(257)","","","","","1","1","145","104","41","71.72"
"Chamal(147)","","","","","1","2","651","470","181","72.20"
"Chatha(297)","","","","","1","1","200","152","48","76.00"
"Chattar Garh(80)","","","","","1","1","420","373","47","88.81"
"Chauburja(41)","","","","","1","1","366","276","90","75.41"
"Chhatrian(197)","","","","","1","1","357","290","67","81.23"
"Chilkani Dhab(105)","","","","","1","1","430","372","58","86.51"
"Chormar Khera(252)","","","","","1","1","584","439","145","75.17"
"Chutala(267)","","","","","1","1","2975","2088","887","70.18"
"Dabwali (Rural)(Part)(278)","","","","","1","1","1700","1220","480","71.76"
"Dadu(321)","","","","","1","1","674","484","190","71.81"
"Darban Kalan(30)","","","","","1","1","852","727","125","85.33"
"Darbi(69)","","","","","1","1","1842","1449","393","78.66"
"Darewala(217)","","","","","1","1","620","423","197","68.23"
"Daulatpur Khera(189)","","","","","1","1","195","106","89","54.36"
"Desu Jodha(281)","","","","","1","1","1350","973","377","72.07"
"Desu Khurd(170)","","","","","1","1","132","63","69","47.73"
"Desu Malkana(312)","","","","","1","1","1014","665","349","65.58"
"Dewan Khera(292)","","","","","1","1","238","147","91","61.76"
"Dhaban(182)","","","","","1","1","262","167","95","63.74"
"Dhani Jatan(117)","","","","","1","1","734","244","490","33.24"
"Dhani Satnam Singh(331)","","","","","1","1","310","227","83","73.23"
"Dhanoor(143)","","","","","1","2","695","420","275","60.43"
"Dharampura(323)","","","","","1","1","275","208","67","75.64"
"Dhingtania(42)","","","","","1","1","460","396","64","86.09"
"Dhol Palia(115)","","","","","1","1","692","595","97","85.98"
"Dhookara(37)","","","","","1","1","914","823","91","90.04"
"Dhottar(211)","","","","","1","1","1307","1194","113","91.35"
"Dhudian Wali(232)","","","","","1","2","768","487","281","63.41"
"Ding(57)","","","","","1","1","2116","2039","77","96.36"
"Dogranwali(318)","","","","","1","1","31","3","28","9.68"
"Ellenabad (Rural)(118)","","","","","1","2","1607","1409","198","87.68"
"Fagu(169)","","","","","1","1","993","671","322","67.57"
"Faridpur(259)","","","","","1","1","43","9","34","20.93"
