"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aanwali (71)","","","","","1","1","911","901","10","98.90"
"Abbaspur (228)","","","","","1","1","286","266","20","93.01"
"Aghwanpur (160)","","","","","1","1","918","871","47","94.88"
"Ahmadpur Majra (27)","","","","","1","1","306","306","0","100.00"
"Ahulana (10)","","","","","1","1","1448","1420","28","98.07"
"Ahulana (121)","","","","","1","1","661","651","10","98.49"
"Akbarpur Barota (62)","","","","","1","1","1092","1092","0","100.00"
"Anandpur       (219)","","","","","1","1","1","1","0","100.00"
"Asadpur(22)","","","","","1","1","286","236","50","82.52"
"Asawarpur (71)","","","","","1","1","675","640","35","94.81"
"Ashrafpur Matindu (25R)","","","","","1","1","548","531","17","96.90"
"Atail (120)","","","","","1","1","297","291","6","97.98"
"Aterna (44)","","","","","1","1","887","851","36","95.94"
"Aurangabad (38)","","","","","1","1","309","300","9","97.09"
"Badh Khalsa (41)","","","","","1","1","612","597","15","97.55"
"Badh Malak (68) (CT)","","","","","1","1","562","517","45","91.99"
"Badshahpur Machhri (178)","","","","","1","1","333","313","20","93.99"
"Bagru(194)","","","","","1","1","525","492","33","93.71"
"Bahalgarh(73)","","","","","1","1","832","825","7","99.16"
"Bai (105)","","","","","1","1","494","494","0","100.00"
"Bajana Kalan (126)","","","","","1","1","527","501","26","95.07"
"Bajana Khurd (125)","","","","","1","1","570","554","16","97.19"
"Bakhtawarpur (18)","","","","","1","1","432","403","29","93.29"
"Bali (80)","","","","","1","1","481","472","9","98.13"
"Balli Qutabpur (122)","","","","","1","1","570","558","12","97.89"
"Banwasa (13)","","","","","1","1","1265","1225","40","96.84"
"Baqipur(47)","","","","","1","1","609","599","10","98.36"
"Barauli(24)","","","","","1","1","299","261","38","87.29"
"Baraut (106)","","","","","1","1","464","464","0","100.00"
"Bari (4)","","","","","1","1","1770","1736","34","98.08"
"Baroda Mor (12)","","","","","1","1","1820","1805","15","99.18"
"Baroda Thuthan (11)","","","","","1","1","645","589","56","91.32"
"Barona  (22R)","","","","","1","1","1","1","0","100.00"
"Barota (37)","","","","","1","1","1016","1000","16","98.43"
"Barwasni(202)","","","","","1","1","1220","1145","75","93.85"
"Basaudi(25)","","","","","1","1","162","127","35","78.40"
"Bayyanpur (207) (CT)","","","","","1","1","1","1","0","100.00"
"Bazidpur Saboli(57)","","","","","1","1","736","722","14","98.10"
"Begah (1)","","","","","1","1","1455","1434","21","98.56"
"Bhadana  (190)","","","","","1","1","692","626","66","90.46"
"Bhadaulti Khas (49)","","","","","1","1","280","273","7","97.50"
"Bhadi (146)","","","","","1","1","89","68","21","76.40"
"Bhagan (98)","","","","","1","2","2202","2145","57","97.41"
