"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Ajnol  (383)","","","","","1","1","32","32","0","100.00"
"Amar Singh Pura  (473/1)","","","","","1","1","22","22","0","100.00"
"Amarpur  (457)","","","","","1","11","529","526","3","99.43"
"Ambuwala  (390/1)","","","","","1","1","32","32","0","100.00"
"Amroha  (118)","","","","","1","2","73","73","0","100.00"
"Arloh  (35)","","","","","1","1","23","23","0","100.00"
"Asha Manjhari  (23)","","","","","1","7","141","137","4","97.16"
"Auhar  (459)","","","","","1","6","97","97","0","100.00"
"Awari Khalihn  (468)","","","","","1","2","58","58","0","100.00"
"Awdhanni  (451)","","","","","1","3","100","61","39","61.00"
"Babheli  (387)","","","","","1","1","25","25","0","100.00"
"Bachhri  (378)","","","","","1","3","93","93","0","100.00"
"Badgaon  (212)","","","","","1","10","359","359","0","100.00"
"Badgoan  (4)","","","","","1","2","126","126","0","100.00"
"Badharan  (385)","","","","","1","1","46","46","0","100.00"
"Badhiat  (176)","","","","","1","4","91","91","0","100.00"
"Badhu  (262)","","","","","1","2","17","17","0","100.00"
"Badhu  (407)","","","","","1","1","53","53","0","100.00"
"Badhu  (413)","","","","","1","3","64","64","0","100.00"
"Badhu  (57)","","","","","1","1","11","11","0","100.00"
"Badoh  (388/1)","","","","","1","1","109","109","0","100.00"
"Badol  (172)","","","","","1","2","56","56","0","100.00"
"Badsara  (292)","","","","","1","1","33","33","0","100.00"
"Badsaur  (195)","","","","","1","1","35","35","0","100.00"
"Bag Khurd  (29)","","","","","1","1","7","7","0","100.00"
"Bagaun  (122)","","","","","1","2","23","23","0","100.00"
"Bagh  (324)","","","","","1","1","64","64","0","100.00"
"Bagh Kalan  (18)","","","","","1","8","51","51","0","100.00"
"Bagh Phaglatan  (81)","","","","","1","1","49","49","0","100.00"
"Bagharin  (148)","","","","","1","9","124","124","0","100.00"
"Bagi  (180)","","","","","1","1","134","134","0","100.00"
"Bagla  (92)","","","","","1","2","4","4","0","100.00"
