"District","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Bilaspur","","","","","943","2345","75659","75170","489","99.35"
"Chamba","1","0","1","0","1102","7153","93118","92776","342","99.63"
"Hamirpur","","","","","1658","2649","99276","98978","298","99.70"
"Kangra","","","","","3606","7306","510470","508377","2093","99.59"
"Kinnaur","4","4","0","0","226","393","19979","19909","70","99.65"
"Kullu","4","4","0","0","311","3891","94468","86874","7594","91.96"
"Lahul & Spiti","1","0","1","0","261","343","6270","6248","22","99.65"
"Mandi","4","4","0","0","2408","6661","161912","160153","1759","98.91"
"Shimla","20","15","5","0","2657","7661","133294","129980","3314","97.51"
"Sirmaur","","","","","967","4238","75828","75573","255","99.66"
"Solan","","","","","2309","3276","96905","96430","475","99.51"
"Una","1","1","0","0","787","2299","100133","97455","2678","97.33"
"Total","35","28","7","0","17,235","48,215","14,67,312","14,47,923","19,389",""
