"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adhwar  (274)","","","","","1","13","266","264","2","99.25"
"Adraund  (93)","","","","","1","8","140","140","0","100.00"
"Agahar  (191)","","","","","1","26","160","160","0","100.00"
"Agasan  (111)","","","","","1","1","21","21","0","100.00"
"Aghara  (136)","","","","","1","10","73","73","0","100.00"
"Ahni  (222)","","","","","1","15","125","125","0","100.00"
"Ail  (297)","","","","","1","14","106","106","0","100.00"
"Airias  (510)","","","","","1","7","84","84","0","100.00"
"Airwan  (74)","","","","","1","2","86","86","0","100.00"
"Ajog  (100)","","","","","1","1","25","23","2","92.00"
"Aled  (120)","","","","","1","2","50","50","0","100.00"
"Almi  (132)","","","","","1","4","34","34","0","100.00"
"Alwas  (365)","","","","","1","3","23","23","0","100.00"
"Anain  (335)","","","","","1","1","15","15","0","100.00"
"Andarla Graon  (183)","","","","","1","1","40","40","0","100.00"
"Andral  (62)","","","","","1","4","56","56","0","100.00"
"Andwas  (251)","","","","","1","4","63","63","0","100.00"
"Andwas (350)","","","","","1","1","83","83","0","100.00"
"Aru - da - Pher  (250)","","","","","1","3","84","84","0","100.00"
"Athlun  (207)","","","","","1","16","79","79","0","100.00"
"Auhar  (172)","","","","","1","1","15","15","0","100.00"
"Auhra  (22)","","","","","1","4","117","117","0","100.00"
"Awan  (188)","","","","","1","9","137","137","0","100.00"
"Bachuni  (76)","","","","","1","5","121","121","0","100.00"
"Bagail  (258)","","","","","1","7","33","33","0","100.00"
"Baggi  (20)","","","","","1","2","96","96","0","100.00"
"Baghai Garh  (465)","","","","","1","5","65","65","0","100.00"
"Bagota  (11)","","","","","1","1","14","14","0","100.00"
"Bahi Da Bagh  (152)","","","","","1","4","61","61","0","100.00"
"Bahora  (181)","","","","","1","7","95","95","0","100.00"
"Baili  (56)","","","","","1","19","60","60","0","100.00"
"Bajol  (221)","","","","","1","1","57","57","0","100.00"
"Bakan  (79)","","","","","1","8","181","181","0","100.00"
"Bakan  (8)","","","","","1","7","87","87","0","100.00"
"Bakhat Pur  (47)","","","","","1","6","167","167","0","100.00"
"Bakkal  (147)","","","","","1","11","78","78","0","100.00"
"Balana  (338)","","","","","1","7","83","83","0","100.00"
"Balera  (123)","","","","","1","11","126","126","0","100.00"
"Balli  (339)","","","","","1","10","121","121","0","100.00"
"Balmui  (63)","","","","","1","2","61","58","3","95.08"
"Baloh  (243)","","","","","1","13","145","145","0","100.00"
"Balohad  (268)","","","","","1","13","130","130","0","100.00"
"Balu  (295)","","","","","1","4","41","41","0","100.00"
"Balwas  (263)","","","","","1","7","41","41","0","100.00"
"Bamrauta  (9)","","","","","1","14","30","30","0","100.00"
"Banaota  (452)","","","","","1","1","96","96","0","100.00"
"Bandokhi  (100)","","","","","1","3","17","17","0","100.00"
"Bandokhi  (75)","","","","","1","4","25","25","0","100.00"
"Banet  (208)","","","","","1","5","64","64","0","100.00"
"Banet  (302)","","","","","1","3","31","31","0","100.00"
"Banetu  (28)","","","","","1","7","61","61","0","100.00"
"Banikhet Jangal  (99)","","","","","1","3","34","34","0","100.00"
"Banikhet Jarei  (98B)","","","","","1","3","56","56","0","100.00"
"Banjal  (213)","","","","","1","12","106","106","0","100.00"
"Banjar  (84)","","","","","1","7","47","47","0","100.00"
"Banjwar  (210)","","","","","1","8","54","54","0","100.00"
"Bankot  (197)","","","","","1","1","11","11","0","100.00"
"Banni  (12)","","","","","1","3","27","27","0","100.00"
"Banni  (189)","","","","","1","12","130","130","0","100.00"
"Banni  (214)","","","","","1","4","18","18","0","100.00"
"Banog  (108)","","","","","1","2","20","20","0","100.00"
"Banoli  (333)","","","","","1","3","36","36","0","100.00"
"Banu  (27)","","","","","1","3","26","26","0","100.00"
"Banun  (184)","","","","","1","1","49","49","0","100.00"
"Banuni  (187)","","","","","1","5","68","68","0","100.00"
"Barai  (121)","","","","","1","5","125","125","0","100.00"
"Baraila  (313)","","","","","1","2","36","36","0","100.00"
"Barari  (109)","","","","","1","3","27","27","0","100.00"
"Barei  (203)","","","","","1","2","23","23","0","100.00"
"Barei Jangal  (202)","","","","","1","10","122","122","0","100.00"
"Bareru  (100)","","","","","1","3","28","28","0","100.00"
"Bargaraon  (40)","","","","","1","4","122","122","0","100.00"
"Bari  (114)","","","","","1","6","108","108","0","100.00"
"Bari  (34)","","","","","1","12","73","73","0","100.00"
"Bariata  (93)","","","","","1","3","36","36","0","100.00"
"Barinni  (91)","","","","","1","1","7","7","0","100.00"
"Barla  (229)","","","","","1","2","22","22","0","100.00"
"Baror  (234)","","","","","1","16","279","279","0","100.00"
"Barori  (238)","","","","","1","1","139","139","0","100.00"
"Barwari  (208)","","","","","1","4","47","47","0","100.00"
"Basa  (15)","","","","","1","2","19","19","0","100.00"
"Basa  (21)","","","","","1","3","33","33","0","100.00"
"Basolda  (321)","","","","","1","8","88","88","0","100.00"
"Basudan  (42)","","","","","1","17","107","107","0","100.00"
"Batara  (106)","","","","","1","3","78","78","0","100.00"
"Bathri Jarai  (82)","","","","","1","5","69","69","0","100.00"
"Baugar  (29)","","","","","1","2","23","23","0","100.00"
"Behigraan  (197)","","","","","1","9","36","36","0","100.00"
"Behra  (297)","","","","","1","3","13","13","0","100.00"
"Bela  (149)","","","","","1","2","19","19","0","100.00"
"Bela Jangal  (150)","","","","","1","1","8","8","0","100.00"
"Belli  (106)","","","","","1","4","61","61","0","100.00"
"Benska  (186)","","","","","1","1","22","22","0","100.00"
"Beral  (137)","","","","","1","4","38","38","0","100.00"
"Berian  (154)","","","","","1","8","85","85","0","100.00"
"Betina  (110)","","","","","1","5","59","59","0","100.00"
"Bhabhled  (200)","","","","","1","6","63","58","5","92.06"
"Bhadar  (37)","","","","","1","2","32","32","0","100.00"
"Bhador  (119)","","","","","1","18","103","103","0","100.00"
"Bhadroh  (168)","","","","","1","9","109","109","0","100.00"
"Bhagiar  (57)","","","","","1","17","168","168","0","100.00"
"Bhagrotra  (209)","","","","","1","10","117","117","0","100.00"
"Bhairoie   (103)","","","","","1","11","91","91","0","100.00"
"Bhajotra  (106)","","","","","1","7","59","59","0","100.00"
"Bhalai  (42)","","","","","1","13","128","128","0","100.00"
"Bhalogi    (10)","","","","","1","5","53","49","4","92.45"
"Bhanauta  (14)","","","","","1","1","318","318","0","100.00"
"Bhandar  (224)","","","","","1","5","54","54","0","100.00"
"Bhandrota  (260)","","","","","1","7","50","50","0","100.00"
"Bhangian  (337)","","","","","1","3","47","47","0","100.00"
"Bharandui  (469)","","","","","1","1","129","129","0","100.00"
"Bharara  (111)","","","","","1","2","25","25","0","100.00"
"Bharara  (454)","","","","","1","7","216","216","0","100.00"
"Bharari  (273)","","","","","1","8","88","88","0","100.00"
"Bhardhar  (303)","","","","","1","1","73","69","4","94.52"
"Bhariala  (262)","","","","","1","14","60","60","0","100.00"
"Bharian Khas  (55)","","","","","1","11","128","125","3","97.66"
"Bharmal  (144)","","","","","1","2","19","19","0","100.00"
"Bharmour  (97)","","","","","1","3","328","328","0","100.00"
"Bharo  (285)","","","","","1","13","196","196","0","100.00"
"Bharoga  (189)","","","","","1","6","38","38","0","100.00"
"Bharwali  (152)","","","","","1","1","11","11","0","100.00"
"Bhasua  (170)","","","","","1","5","202","202","0","100.00"
"Bhatlari  (304)","","","","","1","4","49","49","0","100.00"
"Bhatoli  (162)","","","","","1","4","50","50","0","100.00"
"Bhatoli  (80)","","","","","1","5","53","53","0","100.00"
"Bhatrudi    (459)","","","","","1","8","153","153","0","100.00"
"Bhatsar  (318)","","","","","1","8","161","161","0","100.00"
"Bhatu Jangal  (201)","","","","","1","4","60","60","0","100.00"
"Bhatwara  (146)","","","","","1","17","116","116","0","100.00"
"Bhatyund  (233)","","","","","1","5","39","39","0","100.00"
"Bhauga  (554)","","","","","1","12","82","82","0","100.00"
"Bhauras  (347)","","","","","1","8","76","76","0","100.00"
"Bhing  (46)","","","","","1","4","53","53","0","100.00"
"Bhinga  (206)","","","","","1","12","59","59","0","100.00"
"Bhiora  (341)","","","","","1","1","9","9","0","100.00"
"Bhiora Saini  (340)","","","","","1","2","18","18","0","100.00"
"Bhiyal  (199)","","","","","1","10","109","109","0","100.00"
"Bholag  (218)","","","","","1","3","40","40","0","100.00"
"Bhont  (288)","","","","","1","5","48","48","0","100.00"
"Bhotan  (2)","","","","","1","2","29","29","0","100.00"
"Bhowen  (44)","","","","","1","1","137","137","0","100.00"
"Bhujja  (182)","","","","","1","8","116","116","0","100.00"
"Bhujjal  (291)","","","","","1","6","72","72","0","100.00"
"Bhuman  (289)","","","","","1","5","103","103","0","100.00"
"Bhunwara  (301)","","","","","1","10","120","120","0","100.00"
"Bhuraul  (193)","","","","","1","1","86","86","0","100.00"
"Biala  (449)","","","","","1","9","76","76","0","100.00"
"Biali  (172)","","","","","1","8","152","152","0","100.00"
"Biana  (234)","","","","","1","14","137","137","0","100.00"
"Bihali  (54)","","","","","1","5","42","42","0","100.00"
"Bihali  (72)","","","","","1","4","89","89","0","100.00"
"Bihun  (281)","","","","","1","7","65","65","0","100.00"
"Bilauta  (50)","","","","","1","12","94","94","0","100.00"
"Billa  (268)","","","","","1","11","66","66","0","100.00"
"Bindgi  (157)","","","","","1","2","19","19","0","100.00"
"Bindli  (148)","","","","","1","3","40","40","0","100.00"
