"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adarin (30/15)","","","","","1","2","35","35","0","100.00"
"Adarshnagar  (24/17)","","","","","1","1","31","31","0","100.00"
"Adhwani (48/1)","","","","","1","1","35","35","0","100.00"
"Aghar (31/1)","","","","","1","1","14","14","0","100.00"
"Aghar (42/41)","","","","","1","1","286","286","0","100.00"
"Aghwin Bhuly (34/65)","","","","","1","2","26","26","0","100.00"
"Aghwin Upperly (34/64)","","","","","1","1","7","7","0","100.00"
"Agthan  (36/14)","","","","","1","1","29","29","0","100.00"
"Ajjal  (60/5)","","","","","1","1","6","6","0","100.00"
"Akrana Brahmana (35/11)","","","","","1","1","9","9","0","100.00"
"Akrana Rajputtan (35/6)","","","","","1","1","24","24","0","100.00"
"Aman (44/64)","","","","","1","5","261","261","0","100.00"
"Amb Ghara  (54/1)","","","","","1","1","5","5","0","100.00"
"Ambheri (29/5)","","","","","1","3","98","95","3","96.94"
"Ambi  (20/1)","","","","","1","1","34","34","0","100.00"
"Amboha Jhikla (41/6)","","","","","1","1","20","20","0","100.00"
"Amboha Upperla (41/7)","","","","","1","1","21","21","0","100.00"
"Ambota","","","","","1","1","34","34","0","100.00"
"Ambota  (41/4)","","","","","1","1","12","12","0","100.00"
"Ambota (34/9)","","","","","1","2","56","56","0","100.00"
"Amlahru  (24/14)","","","","","1","2","32","32","0","100.00"
"Amlehar (18/5)","","","","","1","1","11","11","0","100.00"
"Amlehru  (23/1)","","","","","1","1","15","15","0","100.00"
"Amned (42/50)","","","","","1","1","281","281","0","100.00"
"Amroa  (17/10)","","","","","1","2","13","13","0","100.00"
"Amroh  (36/30)","","","","","1","1","49","49","0","100.00"
"Amroh (43/54)","","","","","1","1","255","255","0","100.00"
"Amroh (49/14)","","","","","1","1","29","29","0","100.00"
"Amrota   (22/19)","","","","","1","1","8","8","0","100.00"
"Andara  (22/2)","","","","","1","2","33","33","0","100.00"
"Andreli Brahmana (52/12)","","","","","1","1","48","48","0","100.00"
"Andreli Rangrian (52/1)","","","","","1","1","19","19","0","100.00"
"Ansarah  (17/33)","","","","","1","1","111","109","2","98.20"
"Ansla  (60/1)","","","","","1","1","27","27","0","100.00"
"Anu Kalan (47/28)","","","","","1","1","472","472","0","100.00"
"Anu Khurd (47/14)","","","","","1","1","85","85","0","100.00"
"Anyawin (43/19)","","","","","1","2","181","181","0","100.00"
"Arloh (32/1)","","","","","1","1","25","23","2","92.00"
"Astotha  (57/1)","","","","","1","1","34","33","1","97.06"
"Awah Buhla  (40/11)","","","","","1","3","86","86","0","100.00"
"Awah Upperla (40/17)","","","","","1","1","59","59","0","100.00"
"Badar (42/42)","","","","","1","1","61","61","0","100.00"
"Badar (44/65)","","","","","1","1","73","73","0","100.00"
"Badaran  (17/34)","","","","","1","1","49","49","0","100.00"
"Badaran  (36/25)","","","","","1","1","54","54","0","100.00"
"Baddu (39/9)","","","","","1","1","21","21","0","100.00"
"Baddu (52/14)","","","","","1","1","51","51","0","100.00"
"Badehr (43/65)","","","","","1","4","471","471","0","100.00"
"Badehru (62/5)","","","","","1","2","142","142","0","100.00"
"Badehtar  (23/19)","","","","","1","4","32","32","0","100.00"
"Badhan (40/47)","","","","","1","1","19","19","0","100.00"
"Badhani (43/76)","","","","","1","1","90","90","0","100.00"
"Badhera  (18/8)","","","","","1","4","88","88","0","100.00"
"Badhera  (26/19)","","","","","1","2","152","152","0","100.00"
"Badhera (17/14)","","","","","1","1","47","47","0","100.00"
"Badhghar  (53/15)","","","","","1","4","47","46","1","97.87"
"Badhiana (49/9)","","","","","1","1","62","61","1","98.39"
"Badhu (33/14)","","","","","1","1","20","20","0","100.00"
"Badhyar (23/15)","","","","","1","3","56","56","0","100.00"
"Badiana Lawaniyan (43/7)","","","","","1","1","27","27","0","100.00"
"Badiana Manasha (43/8)","","","","","1","1","4","4","0","100.00"
"Badiana Mian (43/9)","","","","","1","1","4","4","0","100.00"
"Badloi (33/8)","","","","","1","3","67","67","0","100.00"
"Baeri (40/28)","","","","","1","2","123","123","0","100.00"
"Bafrin (45/70)","","","","","1","1","75","75","0","100.00"
"Bag  (17/13)","","","","","1","1","33","32","1","96.97"
"Bag Jhauri (42/61)","","","","","1","1","4","4","0","100.00"
"Bagehrah Buhla   (63/6)","","","","","1","2","200","200","0","100.00"
"Bagehrah Upperla  (63/14)","","","","","1","1","111","111","0","100.00"
"Bagg  (22/7)","","","","","1","1","6","6","0","100.00"
"Bagg (33/1)","","","","","1","1","2","2","0","100.00"
"Bagg (34/48)","","","","","1","1","37","35","2","94.59"
"Baggi  (32/18)","","","","","1","1","42","42","0","100.00"
"Baghed (33/9)","","","","","1","2","45","45","0","100.00"
"Baghed (34/104)","","","","","1","1","42","42","0","100.00"
"Baghetu (42/11)","","","","","1","1","144","142","2","98.61"
"Bagwar (42/114)","","","","","1","3","64","64","0","100.00"
"Bagwar (43/4)","","","","","1","1","94","94","0","100.00"
"Bagwara (44/2)","","","","","1","1","160","160","0","100.00"
"Bahal  (20/17)","","","","","1","1","16","16","0","100.00"
"Bahal (28/2)","","","","","1","1","34","34","0","100.00"
"Bahal (38/1)","","","","","1","1","27","27","0","100.00"
"Bahal (40/15)","","","","","1","1","3","3","0","100.00"
"Bahal (47/11)","","","","","1","1","165","165","0","100.00"
"Bahal (62/1)","","","","","1","1","33","33","0","100.00"
"Bahal Bhatan (40/46)","","","","","1","1","36","36","0","100.00"
"Bahal Detwalian (41/8)","","","","","1","1","33","33","0","100.00"
"Bahal Masanda (41/5)","","","","","1","1","12","12","0","100.00"
"Bahal Nalochan (34/28)","","","","","1","2","36","36","0","100.00"
"Bahal Rattun (41/11)","","","","","1","1","5","5","0","100.00"
"Bahdla (37/3)","","","","","1","1","42","42","0","100.00"
"Bahl  (24/1)","","","","","1","4","20","20","0","100.00"
"Bahl  (36/4)","","","","","1","3","21","21","0","100.00"
"Bahl  (51/2)","","","","","1","1","22","22","0","100.00"
"Bahl  (53/17)","","","","","1","1","41","41","0","100.00"
"Bahl Bhalwalan (49/7)","","","","","1","1","14","13","1","92.86"
"Bahl Dhadwalan  (49/8)","","","","","1","1","4","4","0","100.00"
"Bahl Thakru (34/6)","","","","","1","1","45","45","0","100.00"
"Bahli (43/3)","","","","","1","2","9","9","0","100.00"
"Bahna (33/7)","","","","","1","1","102","100","2","98.04"
"Bahru  (63/19)","","","","","1","2","33","33","0","100.00"
"Bairi  (63/24)","","","","","1","3","140","140","0","100.00"
"Bajahar  (64/9)","","","","","1","4","67","67","0","100.00"
"Bajoura (43/41)","","","","","1","1","39","39","0","100.00"
"Bajroh (43/82)","","","","","1","2","230","230","0","100.00"
"Bajrol  (64/6)","","","","","1","5","151","150","1","99.34"
"Bajuri Khas (47/40)","","","","","1","1","103","103","0","100.00"
"Bajwal (44/32)","","","","","1","1","50","49","1","98.00"
"Bakarti (37/4)","","","","","1","1","130","130","0","100.00"
"Bakhota  (42/115)","","","","","1","1","37","37","0","100.00"
"Bakhrun  (17/18)","","","","","1","1","47","47","0","100.00"
"Bakniar  (62/12)","","","","","1","1","67","67","0","100.00"
"Bakroh (35/12)","","","","","1","1","23","23","0","100.00"
"Balag  (54/2)","","","","","1","1","23","23","0","100.00"
"Balaher  (25/34)","","","","","1","2","44","33","11","75.00"
"Balaungni (46/4)","","","","","1","1","39","39","0","100.00"
"Balehu  (54/23)","","","","","1","1","38","38","0","100.00"
"Balet (42/23)","","","","","1","1","55","55","0","100.00"
"Baleta Kalan (37/29)","","","","","1","1","41","41","0","100.00"
"Baleta Khurd (37/22)","","","","","1","1","46","46","0","100.00"
"Balh Brahmana  (34/68)","","","","","1","1","48","48","0","100.00"
"Balh Patialan  (17/43)","","","","","1","1","62","62","0","100.00"
"Balh Patialan (34/66)","","","","","1","1","40","40","0","100.00"
"Baliana  (54/5)","","","","","1","1","16","16","0","100.00"
"Baliya Kalan (32/33)","","","","","1","1","42","40","2","95.24"
"Baliya Khurd (32/27)","","","","","1","1","22","22","0","100.00"
"Balla Ghirthan  (50/3)","","","","","1","1","16","16","0","100.00"
"Balla Rajputan (50/2)","","","","","1","1","22","22","0","100.00"
"Balli Dhaber","","","","","1","1","30","30","0","100.00"
"Balloh  (36/16)","","","","","1","1","52","52","0","100.00"
"Baloh  (17/32)","","","","","1","1","35","35","0","100.00"
"Baloh  (57/3)","","","","","1","1","11","11","0","100.00"
"Baloh (45/32)","","","","","1","1","206","206","0","100.00"
"Balokhar  (42/37)","","","","","1","1","118","118","0","100.00"
"Baloni (39/24)","","","","","1","2","119","119","0","100.00"
"Balor (44/70)","","","","","1","1","57","57","0","100.00"
"Balu (42/45)","","","","","1","1","73","73","0","100.00"
"Balyut Tehlu (45/44)","","","","","1","1","64","64","0","100.00"
"Balyut Tikhu (45/34)","","","","","1","1","61","61","0","100.00"
"Bamnehr (24/37)","","","","","1","4","61","61","0","100.00"
"Ban Badiana  (43/11)","","","","","1","1","3","3","0","100.00"
"Banal  (55/20)","","","","","1","1","49","49","0","100.00"
"Banal (49/11)","","","","","1","1","27","27","0","100.00"
"Banan (33/2)","","","","","1","1","14","14","0","100.00"
"Bandhar  (53/13)","","","","","1","1","12","12","0","100.00"
"Bandhar  (54/11)","","","","","1","1","5","5","0","100.00"
"Bandos  (36/27)","","","","","1","3","63","63","0","100.00"
"Banh  Ist  (25/46)","","","","","1","1","34","34","0","100.00"
"Banh -  II nd","","","","","1","1","21","21","0","100.00"
"Banhwin  (43/72)","","","","","1","1","102","102","0","100.00"
"Bani (47/1)","","","","","1","2","52","52","0","100.00"
"Bani Khas (32/2)","","","","","1","4","129","129","0","100.00"
"Banjarh  (27/19)","","","","","1","1","24","17","7","70.83"
"Bankhad  (36/5)","","","","","1","1","34","34","0","100.00"
"Banlag (62/30)","","","","","1","3","80","80","0","100.00"
"Banoh  (17/37)","","","","","1","1","49","46","3","93.88"
"Banoh  (59/1)","","","","","1","1","4","4","0","100.00"
"Bantera  (18/33)","","","","","1","3","100","100","0","100.00"
"Bara (34/23)","","","","","1","1","42","42","0","100.00"
"Bara - II","","","","","1","1","4","4","0","100.00"
"Bara Garaon (34/43)","","","","","1","2","190","190","0","100.00"
"Barahlari (37/35)","","","","","1","2","52","52","0","100.00"
"Baraie  (54/6)","","","","","1","1","93","93","0","100.00"
"Baral (47/33)","","","","","1","1","35","35","0","100.00"
"Baranda (37/21)","","","","","1","1","5","5","0","100.00"
"Barara (44/9)","","","","","1","1","193","193","0","100.00"
"Bardihar  (21/4)","","","","","1","3","45","45","0","100.00"
"Bareti  (19/23)","","","","","1","2","46","46","0","100.00"
"Bari  (21/1)","","","","","1","2","12","12","0","100.00"
