"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abdulla Pur  (435)","","","","","1","5","1975","1957","18","99.09"
"Adhwani  (350)","","","","","1","2","42","42","0","100.00"
"Aghar  (173)","","","","","1","7","104","104","0","100.00"
"Aghar  (309)","","","","","1","1","69","69","0","100.00"
"Aghar  (789)","","","","","1","5","76","76","0","100.00"
"Agoja Khas  (750)","","","","","1","1","224","224","0","100.00"
"Aiema  (261)","","","","","1","4","717","709","8","98.88"
"Aima  (212)","","","","","1","1","721","721","0","100.00"
"Akhan Balli  (534)","","","","","1","2","25","25","0","100.00"
"Akrana  (770)","","","","","1","1","44","43","1","97.73"
"Alampur  (472)","","","","","1","1","409","409","0","100.00"
"Aloh  (271)","","","","","1","11","103","103","0","100.00"
"Aloh Buhla  (207)","","","","","1","1","30","30","0","100.00"
"Aloh Chambyala  (214)","","","","","1","1","76","74","2","97.37"
"Aloh Parla  (274)","","","","","1","3","42","42","0","100.00"
"Alsa  (139)","","","","","1","1","22","22","0","100.00"
"Alsehar  (127)","","","","","1","1","48","48","0","100.00"
"Aluha  (687)","","","","","1","7","161","161","0","100.00"
"Amalehr  (32)","","","","","1","2","28","28","0","100.00"
"Amarpur  (832)","","","","","1","1","29","29","0","100.00"
"Amb  (619)","","","","","1","2","34","34","0","100.00"
"Amb  (640)","","","","","1","1","23","23","0","100.00"
"Ambal Tappa  (974)","","","","","1","1","4","4","0","100.00"
"Ambara  785)","","","","","1","5","135","135","0","100.00"
"Amblahr  (586)","","","","","1","2","27","27","0","100.00"
"Ambotu  (344)","","","","","1","4","118","118","0","100.00"
"Ambotu  (636)","","","","","1","1","12","12","0","100.00"
"Ambotu  (737)","","","","","1","1","222","222","0","100.00"
"Amkan  (824)","","","","","1","2","28","28","0","100.00"
"Amlehra  (441)","","","","","1","1","54","54","0","100.00"
"Amlela Khas  (481)","","","","","1","13","448","444","4","99.11"
"Amloh  (444)","","","","","1","3","104","104","0","100.00"
"Amni  (135)","","","","","1","2","12","12","0","100.00"
"Amran  (74)","","","","","1","4","103","103","0","100.00"
"Amred  (809)","","","","","1","5","22","22","0","100.00"
"Amroh  (13)","","","","","1","3","53","53","0","100.00"
"Amwari  (287)","","","","","1","6","706","706","0","100.00"
"Andarli Malahn  (1067)","","","","","1","1","69","69","0","100.00"
"Andrah  (20)","","","","","1","1","12","10","2","83.33"
"Andrana  (490)","","","","","1","1","86","85","1","98.84"
"Andrar  (504)","","","","","1","2","113","113","0","100.00"
"Andrauli  (422)","","","","","1","1","53","52","1","98.11"
