"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Agade (31/ 7)","","","","","1","1","20","20","0","100.00"
"Akpa Khas (33/1)","","","","","1","2","125","125","0","100.00"
"Asrang Khas (7/1)","","","","","1","3","84","84","0","100.00"
"Baiyee (30/10)","","","","","1","1","30","30","0","100.00"
"Bara Kamba (7/3)","","","","","1","1","135","135","0","100.00"
"Barang Khas (37/1)","","","","","1","2","100","100","0","100.00"
"Baro (32/2)","","","","","1","1","35","35","0","100.00"
"Barua Khas (19/1)","","","","","1","4","212","212","0","100.00"
"Basharang (8/1)","","","","","1","1","3","3","0","100.00"
"Bato (40/6)","","","","","1","1","6","6","0","100.00"
"Batseri (43/1)","","","","","1","2","108","108","0","100.00"
"Baturi (13/3)","","","","","1","2","48","48","0","100.00"
"Boktu (6/7)","","","","","1","1","2","2","0","100.00"
"Boning Saring (34/4)","","","","","1","1","153","153","0","100.00"
"Brelingi (17/2)","","","","","1","1","183","183","0","100.00"
"Burang (1/10)","","","","","1","1","33","33","0","100.00"
"Burcha (67/3)","","","","","1","2","53","53","0","100.00"
"Change (35/2)","","","","","1","1","154","154","0","100.00"
"Charang Khas (59/1)","","","","","1","1","57","57","0","100.00"
"Chasu Khas (32/1)","","","","","1","1","121","121","0","100.00"
"Chaura (37/1)","","","","","1","1","86","86","0","100.00"
"Chhitkul (63)","","","","","1","2","127","127","0","100.00"
"Chhonda (36/4)","","","","","1","1","30","30","0","100.00"
"Chhota Kamba (8/2)","","","","","1","2","107","107","0","100.00"
"Chhuyian (40/7)","1","1","0","0","1","1","10","10","0","100.00"
"Cholling (104/2)","","","","","1","1","118","118","0","100.00"
"Chuling (8)","","","","","1","3","60","60","0","100.00"
"D.P.F. Chini Awal  C-242 (22)","","","","","1","1","12","12","0","100.00"
"D.P.F. Talampi C - 179 - 180 (49)","","","","","1","1","58","58","0","100.00"
"D.P.F.-78 (57)","","","","","1","1","3","3","0","100.00"
"D.P.F.C-153 Chindo (35)","","","","","1","1","4","0","4","0.00"
"D.P.F.C-154-155 (36)","","","","","1","1","34","34","0","100.00"
"D.P.F.C-186 (43)","","","","","1","1","3","3","0","100.00"
"D.P.F.C-188 (42)","","","","","1","1","4","4","0","100.00"
