"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"1Up Muhal Klaont","1","1","0","0","1","1","7","5","2","71.43"
"Arsu (18/53)","","","","","1","21","405","390","15","96.30"
"Badgran (22/37)","","","","","1","8","382","381","1","99.74"
"Bael (20/59)","","","","","1","10","234","234","0","100.00"
"Bahu (9/27)","","","","","1","1","89","49","40","55.06"
"Bajaura (36/89)","","","","","1","5","1253","1243","10","99.20"
"Bala Gad (7/23)","","","","","1","48","683","678","5","99.27"
"Balh (33/73)","","","","","1","18","232","227","5","97.84"
"Balh (34/79)","","","","","1","1","1073","1057","16","98.51"
"Bandrol (27/56)","","","","","1","7","52","50","2","96.15"
"Banogi (26/53)","","","","","1","5","469","454","15","96.80"
"Barahar (34/80)","","","","","1","19","279","274","5","98.21"
"Bari (18/52)","","","","","1","24","384","384","0","100.00"
"Bashisht (20/23)","","","","","1","14","421","417","4","99.05"
"Bastori (26/52)","","","","","1","12","437","433","4","99.08"
"Benchi (27/58)","","","","","1","9","331","330","1","99.70"
"Beongal (25/79)","","","","","1","39","519","519","0","100.00"
"Bhalan-II (42/106)","","","","","1","21","317","315","2","99.37"
"Bhallan-I (42/106)","","","","","1","42","599","595","4","99.33"
"Bhalyani (33/75)","","","","","1","13","364","362","2","99.45"
"Bhullang (35/86)","","","","","1","15","353","348","5","98.58"
"Bhumtir (33/76)","","","","","1","14","196","192","4","97.96"
"Biasar (27/55)","","","","","1","2","150","149","1","99.33"
"Bihar (11/33)","","","","","1","29","377","376","1","99.73"
"Bini (11/32)","","","","","1","1","30","15","15","50.00"
"Bishla Dhar (23/73)","","","","","1","77","1131","1111","20","98.23"
"Bradha (39/99)","","","","","1","14","513","510","3","99.42"
"Brahman (33/74)","","","","","1","12","147","145","2","98.64"
"Buchair (21/67)","","","","","1","71","916","841","75","91.81"
"Chail (15/40)","","","","","1","26","592","570","22","96.28"
"Chakurtha (1/2)","","","","","1","18","261","250","11","95.79"
"Chanon (5/19)","","","","","1","31","452","436","16","96.46"
"Chethar (7/22)","","","","","1","33","451","440","11","97.56"
"Chippni (14/38)","","","","","1","14","284","266","18","93.66"
"Chong (38/96)","","","","","1","13","400","396","4","99.00"
"Dawara (22/34)","","","","","1","8","154","153","1","99.35"
"Deotha (5/14)","","","","","1","3","52","46","6","88.46"
"Dethoa (16/46)","","","","","1","36","524","504","20","96.18"
"Dhaugi (1/4)","","","","","1","22","442","425","17","96.15"
"Diar (37/92)","","","","","1","58","955","950","5","99.48"
"Dingi Dhar (25/82)","","","","","1","52","563","561","2","99.64"
"Dobhi (28/61)","","","","","1","16","229","228","1","99.56"
"Dughilag (30/67)","","","","","1","9","512","509","3","99.41"
"Dunkhri Gahar (30/65)","","","","","1","10","360","356","4","98.89"
"Dusharh (2/5)","","","","","1","18","387","382","5","98.71"
"Fojal (29/63)","","","","","1","12","102","101","1","99.02"
"Franali (25/81)","","","","","1","43","779","759","20","97.43"
"Gadej (20/60)","","","","","1","10","235","220","15","93.62"
"Gahar (32/71)","","","","","1","8","107","104","3","97.20"
"Gara Parli (41/103)","","","","","1","19","188","170","18","90.43"
"Ghathoo (21/65)","","","","","1","51","731","713","18","97.54"
"Ghiaghi (10/30)","","","","","1","8","101","98","3","97.03"
"Gramang (32/72)","","","","","1","11","229","221","8","96.51"
"Hallan-I (24/42)","","","","","1","14","114","114","0","100.00"
"Hat (36/90)","","","","","1","4","500","497","3","99.40"
"Jaban (25/78)","","","","","1","36","432","405","27","93.75"
"Jallu (38/97)","","","","","1","11","308","307","1","99.68"
"Jana (24/46)","","","","","1","18","299","299","0","100.00"
"Jandor (26/54)","","","","","1","16","6522","384","6138","5.89"
"Jangal Mehduda Mehfuja Aleu Vihal","","","","","1","1","38","38","0","100.00"
"Jari (39/100)","","","","","1","7","577","575","2","99.65"
"Jauri ( (5/17","","","","","1","1","24","8","16","33.33"
"Jhaler (15/42)","","","","","1","10","274","249","25","90.88"
"Kais (25/47)","","","","","1","28","1253","1249","4","99.68"
"Kalwari (4/12)","","","","","1","26","369","357","12","96.75"
"Kanon (1/3)","","","","","1","38","297","292","5","98.32"
"Karad (23/74)","","","","","1","42","671","671","0","100.00"
"Karana (24/77)","","","","","1","36","721","721","0","100.00"
"Karjan (23/40)","","","","","1","11","268","267","1","99.63"
"Karshai Gad-II (23/72)","","","","","1","36","376","374","2","99.47"
"Karshaigad (23/72)","","","","","1","58","991","927","64","93.54"
"Kashawri (25/49)","","","","","1","35","897","893","4","99.55"
"Kasholi (18/51)","","","","","1","38","673","643","30","95.54"
"Katrain (22/35)","","","","","1","13","492","492","0","100.00"
"Khabal (8/24)","","","","","1","29","409","397","12","97.07"
"Khani (22/70)","","","","","1","50","870","843","27","96.90"
"Kharal (25/50)","","","","","1","68","2512","2487","25","99.00"
"Kharihar (34/81)","","","","","1","21","321","313","8","97.51"
"Khokhan (35/87)","","","","","1","6","738","731","7","99.05"
"Kohila (22/69)","","","","","1","54","904","904","0","100.00"
"Koti (16/44)","","","","","1","20","357","357","0","100.00"
"Kotla (1/1)","","","","","1","18","380","379","1","99.74"
"Kungash (24/76)","","","","","1","57","907","895","12","98.68"
"Kushwa (17/48)","","","","","1","27","550","540","10","98.18"
"Lajheri (22/71)","","","","","1","35","611","596","15","97.55"
"Lapah (3/8)","","","","","1","10","71","61","10","85.92"
"Lote (20/62)","","","","","1","42","859","851","8","99.07"
"Majhat (30/68)","","","","","1","9","152","142","10","93.42"
"Malana (24/44)","","","","","1","1","159","150","9","94.34"
"Mandalgarh (28/62)","","","","","1","14","236","236","0","100.00"
"Manikarn (40/101)","","","","","1","29","1266","1261","5","99.61"
"Manjha Desh (21/68)","","","","","1","74","1299","1126","173","86.68"
"Manjhli (37/93)","","","","","1","44","600","597","3","99.50"
"Manjhlihar (27/57)","","","","","1","8","127","119","8","93.70"
"Manyashi (2/6)","","","","","1","11","194","185","9","95.36"
"Mashna (31/70)","","","","","1","13","188","184","4","97.87"
"Mashyar (14/39)","","","","","1","21","297","293","4","98.65"
"Meha (22/33)","","","","","1","5","73","72","1","98.63"
"Mohal (35/84)","","","","","1","10","478","475","3","99.37"
"Mohni (8/25)","","","","","1","21","240","218","22","90.83"
"Muhal Bari (22/36)","","","","","1","9","475","473","2","99.58"
"Muhal Bran (22/29)","","","","","1","12","130","128","2","98.46"
"Muhal Buruwa (21/25)","","","","","1","15","283","280","3","98.94"
"Muhal Gojra (20/20)","","","","","1","4","115","114","1","99.13"
"Muhal Hallan-II (22/32)","","","","","1","8","66","66","0","100.00"
"Muhal Jagatsukh (20/21)","","","","","1","12","397","397","0","100.00"
"Muhal Manali (21/26)","","","","","1","6","180","180","0","100.00"
"Muhal Nasogi (21/27)","","","","","1","12","185","185","0","100.00"
"Muhal Pangan (22/38)","","","","","1","10","137","137","0","100.00"
"Muhal Prini (20/22)","","","","","1","9","243","242","1","99.59"
"Muhal Riyara (22/30)","","","","","1","9","90","89","1","98.89"
"Muhal Shallin (21/28)","","","","","1","16","189","187","2","98.94"
"Muhal Shigli (22/31)","","","","","1","5","25","25","0","100.00"
"Nagar (24/43)","","","","","1","33","597","597","0","100.00"
"Nathan (24/45)","","","","","1","21","214","214","0","100.00"
"Neether (20/63)","","","","","1","54","897","897","0","100.00"
"Neol (35/88)","","","","","1","13","349","347","2","99.43"
"Nermand (20/58)","","","","","1","59","1317","1312","5","99.62"
"Nishani (19/56)","","","","","1","11","304","294","10","96.71"
"Nore (15/43)","","","","","1","21","412","407","5","98.79"
"Pakhari (12/37)","","","","","1","22","346","343","3","99.13"
"Palach (4/13)","","","","","1","32","531","520","11","97.93"
"Palchan (21/24)","","","","","1","9","150","148","2","98.67"
"Palehi (20/64)","","","","","1","45","824","824","0","100.00"
"Parli (37/94)","","","","","1","58","1029","1014","15","98.54"
"Peej (34/77)","","","","","1","26","554","547","7","98.74"
"Phallan (30/66)","","","","","1","7","211","207","4","98.10"
"Pichhli (31/69)","","","","","1","13","264","257","7","97.35"
"Pichlihar (29/64)","","","","","1","18","165","165","0","100.00"
"Pini (25/48)","","","","","1","11","496","487","9","98.19"
"Poshana (19/57)","","","","","1","27","868","863","5","99.42"
"Rahnu (21/66)","","","","","1","24","539","534","5","99.07"
"Raila (42/105)","","","","","1","84","1471","1468","3","99.80"
"Rajgiri (35/82)","","","","","1","7","86","83","3","96.51"
"Rashala (10/31)","","","","","1","3","45","43","2","95.56"
"Ratocha (38/95)","","","","","1","12","253","249","4","98.42"
"Ratwah (6/21)","","","","","1","17","292","278","14","95.21"
"Rote-I (42/107)","","","","","1","37","379","374","5","98.68"
"Rote-II (42/107)","","","","","1","25","725","722","3","99.59"
"Sachen (2/7)","","","","","1","24","381","364","17","95.54"
"Sajla (23/39)","","","","","1","1","44","44","0","100.00"
