"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aall (229)","","","","","1","4","47","46","1","97.87"
"Aamba Ri Gahru (239)","","","","","1","2","37","37","0","100.00"
"Agla Chera (306)","","","","","1","1","7","5","2","71.43"
"Ahan (243)","","","","","1","1","38","33","5","86.84"
"Ahlang (478)","","","","","1","1","40","38","2","95.00"
"Ahru (48)","","","","","1","1","57","57","0","100.00"
"Ahun (94)","","","","","1","1","85","83","2","97.65"
"Aihju (10)","","","","","1","2","170","170","0","100.00"
"Alag (8)","","","","","1","2","50","50","0","100.00"
"Alga Bari (278)","","","","","1","2","98","93","5","94.90"
"Algan (512)","","","","","1","7","38","38","0","100.00"
"Almara (317)","","","","","1","2","44","41","3","93.18"
"Alsindhi (142)","","","","","1","6","57","54","3","94.74"
"Alsogi (568)","","","","","1","2","62","62","0","100.00"
"Alsu (76)","","","","","1","6","271","270","1","99.63"
"Althu  (112)","","","","","1","1","15","15","0","100.00"
"Alyana (222)","","","","","1","1","52","52","0","100.00"
"Amaher (106)","","","","","1","2","25","25","0","100.00"
"Ambi (320)","","","","","1","1","23","23","0","100.00"
"Anah (12)","","","","","1","1","185","185","0","100.00"
"Andharara (523)","","","","","1","1","68","68","0","100.00"
"Andralu Nichla (292)","","","","","1","1","18","15","3","83.33"
"Andralu Uperla (291)","","","","","1","2","39","38","1","97.44"
"Anog (513)","","","","","1","4","28","25","3","89.29"
"Ansar (503)","","","","","1","1","110","110","0","100.00"
"Answai (167)","","","","","1","2","66","66","0","100.00"
"Antola (190)","","","","","1","1","16","16","0","100.00"
"Anu (289)","","","","","1","5","112","109","3","97.32"
"Anushi (225)","","","","","1","4","66","66","0","100.00"
"Aradha (372)","","","","","1","6","32","32","0","100.00"
"Aran (615)","","","","","1","12","39","39","0","100.00"
"Arla (33)","","","","","1","2","71","69","2","97.18"
"Arli Paryal (57)","","","","","1","1","29","29","0","100.00"
"Arnehar (399)","","","","","1","11","45","45","0","100.00"
"Arnodi (26)","","","","","1","3","43","43","0","100.00"
"Arthi  (33)","","","","","1","2","55","55","0","100.00"
"Arthi (14)","","","","","1","3","34","34","0","100.00"
"Arthi (395)","","","","","1","2","115","111","4","96.52"
"Arthi (47)","","","","","1","3","37","37","0","100.00"
"Athrah (285)","","","","","1","1","31","31","0","100.00"
"Aukal (204)","","","","","1","1","16","16","0","100.00"
"Aut (527)","","","","","1","4","175","175","0","100.00"
"Awair (392)","","","","","1","2","214","211","3","98.60"
"Awarli Kareri (556)","","","","","1","1","55","54","1","98.18"
"Babli (580)","","","","","1","4","63","59","4","93.65"
"Bachhwan (545)","","","","","1","1","42","42","0","100.00"
"Bada Samahal (442)","","","","","1","1","88","85","3","96.59"
"Badahin (499)","","","","","1","1","87","87","0","100.00"
"Badal (373)","","","","","1","2","118","118","0","100.00"
"Badan (385)","","","","","1","1","27","24","3","88.89"
"Badar (213)","","","","","1","4","12","11","1","91.67"
"Badari (269)","","","","","1","1","78","75","3","96.15"
"Baddi Dhar (567)","","","","","1","6","73","73","0","100.00"
"Badehar (298)","","","","","1","3","41","41","0","100.00"
"Badehr (15)","","","","","1","3","233","233","0","100.00"
"Badehter (135)","","","","","1","2","63","61","2","96.83"
"Badgaon (51)","","","","","1","1","21","21","0","100.00"
"Badhoo (59)","","","","","1","1","36","32","4","88.89"
"Badhu (168)","","","","","1","1","64","63","1","98.44"
"Badhu (255)","","","","","1","1","11","11","0","100.00"
"Badhu (262)","","","","","1","2","46","43","3","93.48"
"Badhu (35)","","","","","1","3","39","35","4","89.74"
"Badi Bajgan (429)","","","","","1","3","93","89","4","95.70"
"Badi Dhar (610)","","","","","1","5","30","30","0","100.00"
"Badi Makreri (233)","","","","","1","3","45","42","3","93.33"
"Badin (127)","","","","","1","1","77","74","3","96.10"
"Badohal (63)","","","","","1","1","39","39","0","100.00"
"Badoi (452)","","","","","1","1","67","66","1","98.51"
"Badon (576)","","","","","1","2","127","127","0","100.00"
"Badoun    (509)","","","","","1","1","12","12","0","100.00"
"Badresa (310)","","","","","1","3","101","100","1","99.01"
"Badwahan (366)","","","","","1","4","165","161","4","97.58"
"Badyar (30)","","","","","1","7","66","66","0","100.00"
"Bag (135)","","","","","1","6","23","23","0","100.00"
"Bag (175)","","","","","1","1","72","72","0","100.00"
"Bag (186)","","","","","1","1","88","85","3","96.59"
"Bag (28)","","","","","1","3","82","82","0","100.00"
"Bag (288)","","","","","1","2","156","149","7","95.51"
"Bag (587)","","","","","1","8","127","121","6","95.28"
"Bag (60)","","","","","1","1","11","11","0","100.00"
"Bag (70)","","","","","1","1","21","21","0","100.00"
"Bag Salana (420)","","","","","1","2","77","77","0","100.00"
"Baga (32)","","","","","1","1","79","76","3","96.20"
"Baga (521)","","","","","1","1","120","119","1","99.17"
"Bagail (324)","","","","","1","2","48","48","0","100.00"
"Bagaila (354)","","","","","1","6","79","79","0","100.00"
"Bagain (103)","","","","","1","4","44","42","2","95.45"
"Bagain (362)","","","","","1","4","66","63","3","95.45"
"Bagain (500)","","","","","1","3","70","70","0","100.00"
"Baggi (342)","","","","","1","1","89","87","2","97.75"
"Baggi (83)","","","","","1","1","1","2","-1","200.00"
"Bagi (423)","","","","","1","2","25","25","0","100.00"
"Bagi (459)","","","","","1","1","52","52","0","100.00"
"Bagi (545)","","","","","1","1","91","89","2","97.80"
"Bagla (132)","","","","","1","1","23","23","0","100.00"
"Bagodh (322)","","","","","1","2","18","16","2","88.89"
"Bagora (117)","","","","","1","2","24","23","1","95.83"
"Bagra (175)","","","","","1","1","40","40","0","100.00"
"Bagra (63)","","","","","1","1","13","12","1","92.31"
"Bagri (23)","","","","","1","1","5","5","0","100.00"
"Bagriana (215)","","","","","1","1","9","8","1","88.89"
"Bagru (314)","","","","","1","1","30","30","0","100.00"
"Bagsehra (322)","","","","","1","2","24","23","1","95.83"
"Bagshad (154)","","","","","1","7","169","160","9","94.67"
"Bagsiad (97)","","","","","1","1","28","26","2","92.86"
"Bagund (583)","","","","","1","8","100","97","3","97.00"
"Bah  (391)","","","","","1","3","60","57","3","95.00"
"Bah  (560)","","","","","1","2","44","44","0","100.00"
"Bah (85)","","","","","1","3","46","46","0","100.00"
"Bah (98)","","","","","1","1","110","107","3","97.27"
"Bahal (160)","","","","","1","1","36","36","0","100.00"
"Bahal (485)","","","","","1","1","79","77","2","97.47"
"Bahan (34)","","","","","1","2","28","28","0","100.00"
"Bahan Gadhiman (481)","","","","","1","4","58","58","0","100.00"
"Bahandi (472)","","","","","1","3","71","69","2","97.18"
"Bahanu (350)","","","","","1","10","100","100","0","100.00"
"Bahi (197)","","","","","1","1","28","28","0","100.00"
"Bahi (22)","","","","","1","2","6","6","0","100.00"
"Bahi (461)","","","","","1","4","206","202","4","98.06"
"Bahi (538)","","","","","1","1","27","27","0","100.00"
"Bahi (90)","","","","","1","7","173","173","0","100.00"
"Bahl (557)","","","","","1","1","64","60","4","93.75"
"Bahl -I (128)","","","","","1","1","30","30","0","100.00"
"Bahl-II (175)","","","","","1","3","33","33","0","100.00"
"Bahlag (92)","","","","","1","3","52","52","0","100.00"
"Bahli (216)","","","","","1","4","70","70","0","100.00"
"Bahli (336)","","","","","1","7","32","32","0","100.00"
"Bahli (90)","","","","","1","11","176","176","0","100.00"
"Bahnoo (513)","","","","","1","5","55","55","0","100.00"
"Bahri (108)","","","","","1","2","83","83","0","100.00"
"Bahru (103)","","","","","1","1","6","5","1","83.33"
"Bahru (239)","","","","","1","1","65","65","0","100.00"
"Bahwa (118)","","","","","1","1","84","82","2","97.62"
"Baihal (262)","","","","","1","1","28","28","0","100.00"
"Baihanji (384)","","","","","1","2","126","126","0","100.00"
"Baihari (57)","","","","","1","1","47","46","1","97.87"
"Baila (25)","","","","","1","1","64","62","2","96.88"
"Baila (91)","","","","","1","1","70","70","0","100.00"
"Baira (347)","","","","","1","1","73","73","0","100.00"
"Bairi (178)","","","","","1","4","39","39","0","100.00"
"Bajaihal (517)","","","","","1","1","65","64","1","98.46"
"Bajaran (27)","","","","","1","7","29","29","0","100.00"
"Bajhu (394)","","","","","1","2","37","37","0","100.00"
"Bajihan (29)","","","","","1","7","39","39","0","100.00"
"Bajot (428)","","","","","1","2","29","28","1","96.55"
"Bajraur (39)","","","","","1","2","35","35","0","100.00"
"Bakalag (228)","","","","","1","7","90","90","0","100.00"
"Bakaran (404)","","","","","1","4","22","22","0","100.00"
"Bakarta (278)","","","","","1","3","155","155","0","100.00"
"Bakhalwar (480)","","","","","1","1","87","85","2","97.70"
"Bakhaun (589)","","","","","1","2","13","13","0","100.00"
"Bakhdog (172)","","","","","1","1","96","94","2","97.92"
"Bakhli (4)","","","","","1","1","77","75","2","97.40"
"Bakhohal (200)","","","","","1","9","61","58","3","95.08"
"Bakhraut (396)","","","","","1","10","103","103","0","100.00"
"Bakhrunda (495)","","","","","1","2","51","51","0","100.00"
"Balag (248)","","","","","1","7","108","108","0","100.00"
"Balahar (76)","","","","","1","6","61","61","0","100.00"
"Balahni (533)","","","","","1","7","121","118","3","97.52"
"Balaindha (488)","","","","","1","1","71","70","1","98.59"
"Balash (169)","","","","","1","1","13","13","0","100.00"
"Balaso (335)","","","","","1","3","23","23","0","100.00"
"Baldwara (160)","","","","","1","1","28","28","0","100.00"
"Baldwara (478)","","","","","1","10","304","304","0","100.00"
"Baldwara Matehri (371)","","","","","1","1","95","95","0","100.00"
"Balehra (531)","","","","","1","2","47","47","0","100.00"
"Balh   (525)","","","","","1","3","44","41","3","93.18"
"Balh (249)","","","","","1","3","26","26","0","100.00"
"Balh (32)","","","","","1","2","51","51","0","100.00"
"Balh (327)","","","","","1","2","157","154","3","98.09"
"Balh Dhar (518)","","","","","1","10","66","66","0","100.00"
"Balh Lalihan (360)","","","","","1","1","46","46","0","100.00"
"Balhara (101)","","","","","1","1","51","51","0","100.00"
"Balhara (162)","","","","","1","2","23","23","0","100.00"
"Balhari (42)","","","","","1","1","109","105","4","96.33"
"Balhra (140)","","","","","1","1","35","35","0","100.00"
