"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Addu (40)","","","","","1","2","179","165","14","92.18"
"Ahar (157)","","","","","1","4","41","36","5","87.80"
"Ahnog (143)","","","","","1","3","98","94","4","95.92"
"Aimbari (128)","","","","","1","5","52","49","3","94.23"
"Aisha (7)","","","","","1","6","24","22","2","91.67"
"Ajdhar (347)","","","","","1","1","4","4","0","100.00"
"Alashna (6)","","","","","1","1","65","65","0","100.00"
"Alawang (51)","","","","","1","11","93","93","0","100.00"
"Aloti (218)","","","","","1","4","44","40","4","90.91"
"Amboi (14)","","","","","1","2","128","128","0","100.00"
"Ambot (81)","","","","","1","1","60","59","1","98.33"
"Anand Parwat (55/6)","","","","","1","1","34","34","0","100.00"
"Andhra (62)","","","","","1","2","59","56","3","94.92"
"Andhreothi (28)","","","","","1","2","98","96","2","97.96"
"Andhwi (44)","","","","","1","5","100","100","0","100.00"
"Androli (51)","","","","","1","1","13","13","0","100.00"
"Anji (33/362)","","","","","1","1","28","24","4","85.71"
"Anji (5/74)","","","","","1","1","9","9","0","100.00"
"Annu (125)","","","","","1","1","172","172","0","100.00"
"Annun (206)","","","","","1","1","17","17","0","100.00"
"Antapu (74/2)","","","","","1","1","77","77","0","100.00"
"Antraoli (125)","","","","","1","4","45","45","0","100.00"
"Anu (197)","","","","","1","5","66","66","0","100.00"
"Anu (3)","","","","","1","1","14","14","0","100.00"
"Anu (328)","","","","","1","7","62","62","0","100.00"
"Anu (60)","","","","","1","1","12","11","1","91.67"
"Anu (7)","","","","","1","3","72","72","0","100.00"
"Anu (83)","","","","","1","8","36","36","0","100.00"
"Anurakshi (135)","","","","","1","3","49","49","0","100.00"
"Arah (167)","","","","","1","4","21","20","1","95.24"
"Araihla (13)","","","","","1","17","211","211","0","100.00"
"Arhal (74/1)","","","","","1","7","217","217","0","100.00"
"Arlot (38)","","","","","1","3","39","38","1","97.44"
"Arnot (173)","","","","","1","5","20","17","3","85.00"
"Arot (118)","","","","","1","6","55","55","0","100.00"
"Asandha (13)","","","","","1","1","12","10","2","83.33"
"Astandli (56)","","","","","1","2","41","41","0","100.00"
"Astani (137)","","","","","1","3","67","67","0","100.00"
"Atgaon (27)","","","","","1","3","72","72","0","100.00"
"Auli (9)","","","","","1","3","24","22","2","91.67"
"Aur (114)","","","","","1","4","68","64","4","94.12"
"Ayan (134)","","","","","1","5","24","24","0","100.00"
"Bachharag (23)","","","","","1","3","18","18","0","100.00"
"Bachhlon (210)","","","","","1","6","70","65","5","92.86"
"Badfar (337)","","","","","1","1","13","13","0","100.00"
"Badhal  (69)","","","","","1","7","114","114","0","100.00"
"Badhal (50)","","","","","1","5","154","142","12","92.21"
"Badiara (12)","","","","","1","2","51","51","0","100.00"
"Badog (14/159)","","","","","1","1","10","10","0","100.00"
"Badoh (338)","","","","","1","1","9","9","0","100.00"
"Badot (121/5)","","","","","1","2","57","57","0","100.00"
"Badrahana (125)","","","","","1","1","115","115","0","100.00"
"Badshal (27)","","","","","1","1","98","98","0","100.00"
"Badua (67)","","","","","1","3","35","34","1","97.14"
"Bag  (97)","","","","","1","1","11","11","0","100.00"
"Bag  -I (165/1)","","","","","1","8","45","44","1","97.78"
"Bag (114)","","","","","1","1","17","17","0","100.00"
"Bag (14/161)","","","","","1","2","6","6","0","100.00"
"Bag (150)","","","","","1","5","38","37","1","97.37"
"Bag (160)","","","","","1","2","95","93","2","97.89"
"Bag (165)","","","","","1","1","6","6","0","100.00"
"Bag (62)","","","","","1","1","65","65","0","100.00"
"Bagagli (337)","","","","","1","2","111","111","0","100.00"
"Bagah (2)","","","","","1","2","18","18","0","100.00"
"Bagahar (65)","","","","","1","5","49","49","0","100.00"
"Bagain (104)","","","","","1","11","41","41","0","100.00"
"Bagain (126)","","","","","1","3","14","13","1","92.86"
"Bagain (158)","","","","","1","3","18","17","1","94.44"
"Bagain (92)","","","","","1","3","60","60","0","100.00"
"Bagalti (38/1)","","","","","1","7","70","66","4","94.29"
"Bagayan Jubbar (55)","","","","","1","1","13","13","0","100.00"
"Bagen (43)","","","","","1","5","34","34","0","100.00"
"Bagh (1)","","","","","1","1","7","6","1","85.71"
"Baghar (104)","","","","","1","11","97","96","1","98.97"
"Baghi (3)","","","","","1","2","17","17","0","100.00"
"Bagi (138)","","","","","1","2","86","86","0","100.00"
"Bagi (146)","","","","","1","3","56","56","0","100.00"
"Bagi (63)","","","","","1","1","97","97","0","100.00"
"Bagna (343)","","","","","1","1","28","28","0","100.00"
"Bagna (7)","","","","","1","4","40","40","0","100.00"
