"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achhla Chhandar (265)","","","","","1","3","11","11","0","100.00"
"Adhog (4)","","","","","1","25","99","99","0","100.00"
"Agrau (42)","","","","","1","3","77","77","0","100.00"
"Agriwala (151)","","","","","1","2","29","29","0","100.00"
"Ajauli (93)","","","","","1","1","73","73","0","100.00"
"Ajga (328)","","","","","1","1","43","43","0","100.00"
"Ajia Wala (124)","","","","","1","1","87","87","0","100.00"
"Ajrouli (175)","","","","","1","5","100","100","0","100.00"
"Akal Garh (107)","","","","","1","1","105","105","0","100.00"
"Amar Kot (97)","","","","","1","2","267","267","0","100.00"
"Amargarh (136)","","","","","1","1","234","234","0","100.00"
"Ambaun (6)","","","","","1","1","33","33","0","100.00"
"Amboa (33)","","","","","1","4","259","259","0","100.00"
"Ambwala Sainwala (120)","","","","","1","5","435","435","0","100.00"
"Ambwala Singh Pura (108)","","","","","1","1","27","27","0","100.00"
"Amrayun Bakarla (36)","","","","","1","6","64","64","0","100.00"
"Andheri (125)","","","","","1","3","50","50","0","100.00"
"Andheri (147)","","","","","1","7","125","125","0","100.00"
"Anji  (217)","","","","","1","1","11","11","0","100.00"
"Anji  (287)","","","","","1","2","9","9","0","100.00"
"Anji Bhaganji (309)","","","","","1","9","54","54","0","100.00"
"Anji Siwat (264)","","","","","1","2","39","39","0","100.00"
"Anukoti (26)","","","","","1","5","46","46","0","100.00"
"Arandwala (132)","","","","","1","1","5","5","0","100.00"
"Arat (152)","","","","","1","5","46","46","0","100.00"
"Argu (361)","","","","","1","2","14","14","0","100.00"
"Arka Baryog (204)","","","","","1","1","33","33","0","100.00"
"Arwan Sangrah (71)","","","","","1","7","74","74","0","100.00"
"Ashyari (220)","","","","","1","11","209","203","6","97.13"
"Aunli Wala Gada (48)","","","","","1","2","74","74","0","100.00"
"Badgala (60)","","","","","1","6","49","49","0","100.00"
"Badhana (49)","","","","","1","4","36","36","0","100.00"
"Badiana (259)","","","","","1","3","24","24","0","100.00"
"Badol (162)","","","","","1","7","53","53","0","100.00"
"Badripur (121)","","","","","1","1","500","500","0","100.00"
"Bag  (39)","","","","","1","1","25","25","0","100.00"
"Bag Hawra (10)","","","","","1","8","65","65","0","100.00"
"Bag Pashog (311)","","","","","1","2","62","62","0","100.00"
"Baga Babraun (29)","","","","","1","2","14","14","0","100.00"
"Bagar Dingri (153)","","","","","1","1","35","35","0","100.00"
"Bagar Panoti (7)","","","","","1","4","52","52","0","100.00"
"Baghar Sekra (214)","","","","","1","1","17","17","0","100.00"
"Baghara (76)","","","","","1","8","26","26","0","100.00"
"Bagna (229)","","","","","1","1","45","45","0","100.00"
"Bahanar (334)","","","","","1","1","15","15","0","100.00"
"Bahral (131)","","","","","1","1","60","60","0","100.00"
"Baila Gujon (213)","","","","","1","3","68","68","0","100.00"
"Bain Kuan (127)","","","","","1","1","68","68","0","100.00"
"Bakahan Kelewala (77)","","","","","1","1","60","60","0","100.00"
"Balara Tikri (43)","","","","","1","4","20","20","0","100.00"
"Baldwa Bohal (26)","","","","","1","6","63","63","0","100.00"
"Bali Koti (236)","","","","","1","10","193","193","0","100.00"
"Balka Baratal (101)","","","","","1","6","29","29","0","100.00"
"Balmu Keri (195)","","","","","1","3","14","14","0","100.00"
"Balsar (13)","","","","","1","5","37","37","0","100.00"
"Bambal (222)","","","","","1","4","108","108","0","100.00"
"Bambyar Badiar (283)","","","","","1","2","41","41","0","100.00"
"Ban Kalan (112)","","","","","1","3","242","242","0","100.00"
"Bana Koti (56)","","","","","1","6","40","40","0","100.00"
"Banaha Dhini (245)","","","","","1","2","6","6","0","100.00"
