"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abharni (415)","","","","","1","1","37","37","0","100.00"
"Abhipur (123)","","","","","1","2","90","87","3","96.67"
"Abhipur (2)","","","","","1","3","65","65","0","100.00"
"Adna (883)","","","","","1","5","542","542","0","100.00"
"Aduwal Jandori  (66)","","","","","1","4","215","215","0","100.00"
"Ahni (721)","","","","","1","1","14","14","0","100.00"
"Aikhu (310)","","","","","1","1","9","9","0","100.00"
"Akanwali (181)","","","","","1","1","50","50","0","100.00"
"Aleta (432)","","","","","1","1","18","18","0","100.00"
"Ali (246)","","","","","1","1","16","16","0","100.00"
"Aliyoun (378)","","","","","1","1","42","42","0","100.00"
"Aljhu  (409)","","","","","1","2","30","30","0","100.00"
"Alobra (282)","","","","","1","2","104","104","0","100.00"
"Amb Da Har (2)","","","","","1","2","41","39","2","95.12"
"Ambka (426)","","","","","1","1","5","5","0","100.00"
"Ambota (327)","","","","","1","1","15","15","0","100.00"
"Ambwala (63)","","","","","1","5","196","196","0","100.00"
"Ammbar (577)","","","","","1","2","60","60","0","100.00"
"Amru  (396)","","","","","1","1","25","25","0","100.00"
"Anda (7)","","","","","1","1","110","110","0","100.00"
"Andi (6)","","","","","1","1","11","11","0","100.00"
"Androla Nihla   (46)","","","","","1","1","33","33","0","100.00"
"Androla Uparla  (47)","","","","","1","1","42","42","0","100.00"
"Androli (166)","","","","","1","1","14","14","0","100.00"
"Anji  (459)","","","","","1","1","1","2","-1","200.00"
"Anji  (645)","","","","","1","4","287","287","0","100.00"
"Anji (237)","","","","","1","3","96","96","0","100.00"
"Anji (395)","","","","","1","1","16","16","0","100.00"
"Anji (431)","","","","","1","1","16","16","0","100.00"
"Anji (439)","","","","","1","2","20","20","0","100.00"
"Anji (450)","","","","","1","2","33","33","0","100.00"
"Anji (57)","","","","","1","1","16","16","0","100.00"
"Anji (622)","","","","","1","1","36","36","0","100.00"
"Anji (734)","","","","","1","1","17","17","0","100.00"
"Anji (898)","","","","","1","2","18","18","0","100.00"
"Anji Brahmana (689)","","","","","1","1","16","16","0","100.00"
"Anji Brahmana (806)","","","","","1","1","25","25","0","100.00"
"Anji Brahmana (91)","","","","","1","2","14","14","0","100.00"
"Anji Chamaran (682)","","","","","1","1","12","12","0","100.00"
"Anji Chanala (703)","","","","","1","1","16","16","0","100.00"
"Anji Kolian  (63)","","","","","1","1","4","4","0","100.00"
"Anji Sunaran (74)","","","","","1","2","31","31","0","100.00"
"Anun (566)","","","","","1","1","27","27","0","100.00"
"Arla  (466)","","","","","1","2","154","154","0","100.00"
"Ashnala (854)","","","","","1","1","10","10","0","100.00"
"Aslu (211)","","","","","1","1","47","47","0","100.00"
"Auda Manjhari (501)","","","","","1","1","29","29","0","100.00"
"Auda Nichla (160)","","","","","1","1","26","19","7","73.08"
"Auda Uparla (156)","","","","","1","1","2","2","0","100.00"
"Avared (321)","","","","","1","2","18","18","0","100.00"
"Babhauri (269)","","","","","1","1","9","9","0","100.00"
"Bacher (38)","","","","","1","1","23","23","0","100.00"
"Badahal (213)","","","","","1","1","12","12","0","100.00"
"Badahal (231)","","","","","1","1","29","29","0","100.00"
"Badal  (351)","","","","","1","1","43","43","0","100.00"
"Baddi Sitalpur (204)","","","","","1","1","98","98","0","100.00"
"Badha (714)","","","","","1","1","43","43","0","100.00"
"Badhal (133)","","","","","1","1","32","32","0","100.00"
"Badhal (350)","","","","","1","2","57","57","0","100.00"
"Badhal Chamaran (825)","","","","","1","1","17","17","0","100.00"
"Badhalag (401)","","","","","1","2","57","57","0","100.00"
"Badhauni (799)","","","","","1","1","11","11","0","100.00"
"Badhawani (348)","","","","","1","1","5","5","0","100.00"
"Badhel  (34)","","","","","1","1","8","8","0","100.00"
"Badheri (275)","","","","","1","1","27","27","0","100.00"
"Badhet (500)","","","","","1","2","20","20","0","100.00"
"Badhol (442)","","","","","1","1","20","20","0","100.00"
"Badhu (226)","","","","","1","3","90","88","2","97.78"
"Badhu (345)","","","","","1","3","35","35","0","100.00"
"Badiaola (89)","","","","","1","1","11","11","0","100.00"
"Badkhoa (67)","","","","","1","1","25","25","0","100.00"
"Badkhor  (632)","","","","","1","1","70","70","0","100.00"
"Badlech (575)","","","","","1","1","8","8","0","100.00"
"Badliana (640)","","","","","1","1","26","26","0","100.00"
"Badmal (200)","","","","","1","1","25","25","0","100.00"
