"State","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Andhra Pradesh","","","","","17385","50224","11204240","11204221","19","100.00"
"Arunachal Pradesh","1578","367","0","1211","5067","6649","232151","150951","81200","65.02"
"Assam","2892","2328","124","440","25457","81107","5186266","2756449","2429817","53.15"
"Bihar","2747","2428","77","242","38275","63578","12295373","5652478","6642895","45.97"
"Chhattisgarh","1080","812","0","268","19817","74484","4518804","3870337","648467","85.65"
"Goa","","","","","319","319","128207","128207","0","100.00"
"Gujarat","","","","","16675","19458","6646761","6618051","28710","99.57"
"Haryana","","","","","6633","7226","3420987","2727170","693817","79.72"
"Himachal Pradesh","35","28","7","0","17237","48218","1468010","1448706","19304","98.69"
"Jammu & Kashmir","134","32","0","102","6382","17841","1287783","1017545","270238","79.02"
"Jharkhand","2525","2020","56","449","29516","107008","5466906","2391378","3075528","43.74"
"Karnataka","39","29","0","10","28894","71145","9621741","8404911","1216830","87.35"
"Kerala","","","","","1490","7485","7103217","7103113","104","100.00"
"Madhya Pradesh","472","379","47","46","54015","121175","11383055","6833499","4549556","60.03"
"Maharashtra","","","","","42023","99819","14074491","13031370","1043121","92.59"
"Manipur","276","211","0","65","2509","4442","387628","280528","107100","72.37"
"Meghalaya","912","755","10","147","6551","6551","463022","323755","139267","69.92"
"Mizoram","58","42","4","12","714","715","110336","99238","11098","89.94"
"Nagaland","82","78","4","0","1433","2695","159661","71738","87923","44.93"
"Odisha","3474","2555","515","404","48206","131303","8362284","4685092","3677192","56.03"
"PUDUCHERRY","","","","","92","92","101788","101413","375","99.63"
"Punjab","","","","","12177","13874","3688646","3688646","0","100.00"
"Rajasthan","495","426","68","1","42852","131644","8988782","6876629","2112153","76.50"
"Sikkim","","","","","149","954","37281","31653","5628","84.90"
"Tamil Nadu","","","","","14137","95322","10277714","10277567","147","100.00"
"Telangana","","","","","10466","24792","5978016","4944438","1033578","82.71"
"Tripura","26","26","0","0","872","9032","796209","576482","219727","72.40"
"Uttar Pradesh","1529","1470","53","6","102702","269912","30127150","15129023","14998127","50.22"
"Uttarakhand","76","24","1","51","15760","42428","1728952","1543438","185514","89.27"
"West Bengal","22","18","0","4","36965","100772","13820342","13692761","127581","99.08"
"Total","18,452","14,028","966","3,458","6,04,770","16,10,264","17,90,65,803","13,56,60,787","4,34,05,016",""
