"District","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Anantnag","","","","","340","1285","87727","78898","8829","89.94"
"Badgam","","","","","475","698","36646","31186","5460","85.10"
"Bandipore","11","0","0","11","122","431","50462","37298","13164","73.91"
"Baramula","","","","","517","1211","116222","106165","10057","91.35"
"Doda","1","1","0","0","403","989","33243","18548","14695","55.80"
"Ganderbal","","","","","117","529","27640","18802","8838","68.02"
"Jammu","","","","","761","1043","161213","132601","28612","82.25"
"Kargil","8","0","0","8","126","676","21646","20442","1204","94.44"
"Kathua","","","","","500","1517","102558","87570","14988","85.39"
"Kishtwar","45","4","0","41","152","511","20553","5170","15383","25.15"
"Kulgam","","","","","230","598","52893","45345","7548","85.73"
"Kupwara","26","11","0","15","370","1115","106749","79259","27490","74.25"
"Leh (Ladakh)","19","9","0","10","114","343","19952","15274","4678","76.55"
"Pulwama","","","","","329","822","71236","65886","5350","92.49"
"Punch","","","","","166","702","20786","11738","9048","56.47"
"Rajauri","3","0","0","3","382","1800","102301","78586","23715","76.82"
"Ramban","1","0","0","1","125","574","44411","35617","8794","80.20"
"Reasi","14","1","0","13","253","791","69971","32929","37042","47.06"
"Samba","","","","","335","614","61282","56452","4830","92.12"
"Shopian","1","1","0","0","228","590","45250","33856","11394","74.82"
"Srinagar","","","","","13","119","4353","2470","1883","56.74"
"Udhampur","5","5","0","0","324","883","30689","23453","7236","76.42"
"Total","134","32","0","102","6,382","17,841","12,87,783","10,17,545","2,70,238",""
