"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Checki Wan Gund","","","","","1","6","465","404","61","86.88"
"Prani Gam","","","","","1","3","202","202","0","100.00"
"Rakh Moman Dangit Pora","","","","","1","3","131","118","13","90.08"
"Addi Gam","","","","","1","3","323","323","0","100.00"
"Adeh Hall","","","","","1","7","283","283","0","100.00"
"Ader","","","","","1","1","126","126","0","100.00"
"Adlash Magam","","","","","1","3","342","330","12","96.49"
"Aho Paisan","","","","","1","8","404","333","71","82.43"
"Ainu Brai","","","","","1","11","385","345","40","89.61"
"Akin Gam","","","","","1","5","264","264","0","100.00"
"Akura","","","","","1","9","595","535","60","89.92"
"Amar Wagar","","","","","1","6","688","688","0","100.00"
"Andoora","","","","","1","4","188","188","0","100.00"
"Anz Walla","","","","","1","1","50","50","0","100.00"
"Areh Bugh","","","","","1","1","112","111","1","99.11"
"Ari Gohal","","","","","1","3","204","204","0","100.00"
"Arow","","","","","1","1","204","204","0","100.00"
"Arsoo","","","","","1","1","16","16","0","100.00"
"Aswara","","","","","1","3","185","171","14","92.43"
"Awoora","","","","","1","3","160","128","32","80.00"
"Badaran","","","","","1","2","69","52","17","75.36"
"Badhar Moona","","","","","1","2","203","143","60","70.44"
"Badhi Har","","","","","1","3","455","455","0","100.00"
"Bahali","","","","","1","1","187","187","0","100.00"
"Bander Pora","","","","","1","2","123","123","0","100.00"
"Bat Pora","","","","","1","5","108","108","0","100.00"
"Bata Gund","","","","","1","6","384","276","108","71.88"
"Bedigam","","","","","1","3","62","33","29","53.23"
"Beya Warah","","","","","1","4","219","219","0","100.00"
"Bidder Hayat Pora","","","","","1","3","87","87","0","100.00"
"Bimar Narsar","","","","","1","10","211","148","63","70.14"
"Bindoo Zalan Gam","","","","","1","5","201","185","16","92.04"
"Bomthan","","","","","1","3","412","318","94","77.18"
"Bona Gund","","","","","1","4","142","130","12","91.55"
"Bona Gund","","","","","1","2","51","29","22","56.86"
"Bona Nambal","","","","","1","13","653","561","92","85.91"
"Booch","","","","","1","3","247","247","0","100.00"
"Bot Kote Gujran","","","","","1","5","188","170","18","90.43"
"Bot-Kote","","","","","1","7","461","380","81","82.43"
"Bragam","","","","","1","8","233","159","74","68.24"
"Brah","","","","","1","6","191","76","115","39.79"
"Brar Ani Gandan","","","","","1","1","22","22","0","100.00"
"Brenti Bat Pora","","","","","1","3","108","108","0","100.00"
"Bronthnu","","","","","1","2","101","101","0","100.00"
"Chak Path","","","","","1","6","109","109","0","100.00"
