"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abdullan","1","0","0","1","1","2","90","0","90","0.00"
"Ahmi Sharief","","","","","1","5","411","165","246","40.15"
"Ajas","","","","","1","10","596","504","92","84.56"
"Aloosa","","","","","1","15","2343","2046","297","87.32"
"Anayat Pora (Khar Pora )","","","","","1","2","344","290","54","84.30"
"Aragam","","","","","1","6","616","349","267","56.66"
"Arin Dard Pora","","","","","1","8","1119","812","307","72.56"
"Asham","","","","","1","2","764","730","34","95.55"
"Ashtongu","","","","","1","1","620","595","25","95.97"
"Baduab","","","","","1","3","118","0","118","0.00"
"Badugam","","","","","1","3","218","120","98","55.05"
"Badwan Wanpora","","","","","1","5","544","199","345","36.58"
"Bahar Abad (Amcha Kundal)","","","","","1","6","305","209","96","68.52"
"Bana Koot","","","","","1","19","1779","708","1071","39.80"
"Barnia","","","","","1","2","110","0","110","0.00"
"Brar","","","","","1","3","246","109","137","44.31"
"Buglindar","","","","","1","1","80","0","80","0.00"
"Chak Arsala Khan","","","","","1","1","170","150","20","88.24"
"Chak Rashi Pora","","","","","1","1","115","96","19","83.48"
"Chander Gair Ghat","","","","","1","1","54","54","0","100.00"
"Chander Gir","","","","","1","2","447","432","15","96.64"
"Chewa","","","","","1","1","460","460","0","100.00"
"Chhandaji","1","0","0","1","1","2","79","0","79","0.00"
"Chithi Bandi","","","","","1","12","1643","1078","565","65.61"
"Chonti Mula","","","","","1","10","677","210","467","31.02"
"Dangi Thal","","","","","1","2","65","0","65","0.00"
"Dawar","","","","","1","3","511","241","270","47.16"
"Forest Block","1","0","0","1","1","1","172","172","0","100.00"
"Forest Block","1","0","0","1","1","5","100","0","100","0.00"
"Forest Block","","","","","1","1","30","30","0","100.00"
"Gada Khud","","","","","1","2","299","270","29","90.30"
"Gamroo","","","","","1","1","216","194","22","89.81"
"Ganstan","","","","","1","9","581","490","91","84.34"
"Garoora","","","","","1","8","764","450","314","58.90"
"Gujran","","","","","1","2","130","0","130","0.00"
"Gulshan Pora (Bagtor)","","","","","1","4","210","0","210","0.00"
"Gulshan Pora( Markundal)","","","","","1","3","372","326","46","87.63"
"Gund Dachhana","","","","","1","3","305","160","145","52.46"
"Gund Gul Sheikh","1","0","0","1","1","1","40","0","40","0.00"
"Gund Khalil","","","","","1","2","126","101","25","80.16"
"Gund Nowgam","","","","","1","2","195","153","42","78.46"
"Gund Prang","","","","","1","2","575","575","0","100.00"
"Gund Qasar","","","","","1","1","165","143","22","86.67"
"Gund Ramzan","","","","","1","1","43","43","0","100.00"
"Gundi Balakh","","","","","1","1","73","73","0","100.00"
"Gundi Boon","","","","","1","1","196","172","24","87.76"
"Gundi Jahangir","","","","","1","3","295","271","24","91.86"
"Gundi Jahangir Ghat","","","","","1","1","145","145","0","100.00"
"Gundi Sader Koot","","","","","1","7","1085","998","87","91.98"
"Gundpora Rampora","","","","","1","5","460","260","200","56.52"
"Hajin Ghat","","","","","1","1","25","25","0","100.00"
"Hilal Abad (Nisbal)","","","","","1","2","575","549","26","95.48"
"Husan Gam","","","","","1","1","60","0","60","0.00"
"Jurniyal","","","","","1","3","80","0","80","0.00"
"Kani Pora","","","","","1","1","186","168","18","90.32"
"Khandyal","","","","","1","2","242","120","122","49.59"
"Khayar","","","","","1","6","399","204","195","51.13"
"Khurshi Pora (Bothu)","","","","","1","3","167","164","3","98.20"
"Kilshi Pain","1","0","0","1","1","7","187","0","187","0.00"
"Konan Baba Gund","","","","","1","1","345","320","25","92.75"
"Korgbal","","","","","1","1","24","4","20","16.67"
"Kosum Bagh (Hakbara)","","","","","1","3","925","867","58","93.73"
"Kudara","1","0","0","1","1","2","105","0","105","0.00"
"Kunas","","","","","1","6","872","691","181","79.24"
"Laldiad Pora (Labkachal)","","","","","1","1","10","0","10","0.00"
"Lawadora","","","","","1","1","242","238","4","98.35"
"Laway Pora (Kaloosa Nath Pora)","","","","","1","2","401","401","0","100.00"
"Madwan","","","","","1","13","832","621","211","74.64"
"Malangam","1","0","0","1","1","1","50","0","50","0.00"
"Malangam","1","0","0","1","1","11","1600","924","676","57.75"
"Malik Pora","","","","","1","2","162","131","31","80.86"
"Mantrigam","","","","","1","8","1590","1325","265","83.33"
"Manz Gund","1","0","0","1","1","2","50","0","50","0.00"
"Markoot","","","","","1","3","286","86","200","30.07"
"Mastan Khopri","","","","","1","2","110","30","80","27.27"
"Murad Pora (Mangni Pora)","","","","","1","2","638","621","17","97.34"
"Nadihal","","","","","1","6","893","610","283","68.31"
"Nagin Pora (Athwatu)","","","","","1","3","68","0","68","0.00"
"Naid Khi (Sadat Pora)","","","","","1","2","1241","1218","23","98.15"
"Nail Kanzalawan","","","","","1","6","250","45","205","18.00"
"Najin","","","","","1","2","210","181","29","86.19"
"Niru","","","","","1","2","75","0","75","0.00"
"Nisbal Ghat","","","","","1","1","45","35","10","77.78"
"Nowgam","","","","","1","17","1141","919","222","80.54"
"Odina","","","","","1","5","417","348","69","83.45"
"Parana Talel","","","","","1","1","46","0","46","0.00"
"Phalwan Pora (Panzigam)","","","","","1","3","212","137","75","64.62"
"Push Wari","","","","","1","2","347","347","0","100.00"
"Qazipora Patushi","","","","","1","1","1126","1116","10","99.11"
"Quil Muqam","","","","","1","12","1152","800","352","69.44"
"Rakh Hajin","","","","","1","3","548","487","61","88.87"
"Rakh Shilvat","","","","","1","4","515","459","56","89.13"
"Rakh Sultan Pora","","","","","1","1","392","392","0","100.00"
"Rakhi Malgam","","","","","1","1","60","60","0","100.00"
"Rangin Pora (Veewan))","1","0","0","1","1","2","89","0","89","0.00"
"Sadhunara Hasti Khan","","","","","1","1","1260","1246","14","98.89"
"Sadrakote Pain","","","","","1","3","479","374","105","78.08"
"Saradab","1","0","0","1","1","3","81","0","81","0.00"
"Sarai Danger Pora","","","","","1","4","520","455","65","87.50"
"Shadi Pora","","","","","1","4","308","263","45","85.39"
"Shah Gund","","","","","1","3","964","770","194","79.88"
"Shah Pora (Achura Chowrwan)","","","","","1","3","368","136","232","36.96"
"Shamthan","1","0","0","1","1","2","59","0","59","0.00"
"Shilvat","","","","","1","3","382","338","44","88.48"
"Shilvat Ghat","","","","","1","1","55","48","7","87.27"
