"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Bandi","","","","","1","4","129","83","46","64.34"
"Achha Bal","","","","","1","11","912","825","87","90.46"
"Addosa","","","","","1","1","50","50","0","100.00"
"Adi Pora","","","","","1","9","398","349","49","87.69"
"Agar Kallan","","","","","1","2","224","204","20","91.07"
"Aglar","","","","","1","1","243","243","0","100.00"
"Ahanger Pora","","","","","1","1","29","29","0","100.00"
"Aithshm Pora (Theth Mulla Kallan)","","","","","1","1","150","150","0","100.00"
"Aram Pora","","","","","1","3","590","571","19","96.78"
"Archander Hama","","","","","1","2","283","283","0","100.00"
"Ashniji","","","","","1","1","23","23","0","100.00"
"Ati Pora Zikar","","","","","1","1","112","112","0","100.00"
"Azad Pora (Theth Mulla Khurd)","","","","","1","1","144","144","0","100.00"
"Baba Khi Pora","","","","","1","1","51","51","0","100.00"
"Bada Mulla","","","","","1","2","132","85","47","64.39"
"Badan","","","","","1","1","8","8","0","100.00"
"Badi Pora","","","","","1","1","54","54","0","100.00"
"Badra Kot","","","","","1","1","166","166","0","100.00"
"Bagnah Noor Khah","","","","","1","3","548","500","48","91.24"
"Baharestan (Kawrahama)","","","","","1","3","393","363","30","92.37"
"Bahram Pora","","","","","1","1","68","68","0","100.00"
"Bal Koote","","","","","1","2","274","274","0","100.00"
"Balgran","","","","","1","1","59","59","0","100.00"
"Balhama Thakan Pora","","","","","1","4","212","192","20","90.57"
"Bali Haran","","","","","1","3","239","239","0","100.00"
"Banali","","","","","1","3","291","251","40","86.25"
"Bandi Bala","","","","","1","1","145","145","0","100.00"
"Bandi Brahmanan","","","","","1","1","99","99","0","100.00"
"Bandi Pain","","","","","1","1","299","299","0","100.00"
"Bardian","","","","","1","1","33","33","0","100.00"
"Barn  Bat","","","","","1","1","26","26","0","100.00"
"Basgran","","","","","1","3","200","200","0","100.00"
"Bassni Pora","","","","","1","1","9","9","0","100.00"
"Bata Pora Najar","","","","","1","1","18","18","0","100.00"
"Bata Pora Sagri","","","","","1","2","44","44","0","100.00"
"Batangi","","","","","1","3","68","31","37","45.59"
"Batu","","","","","1","1","43","43","0","100.00"
"Behram Pora","","","","","1","5","569","538","31","94.55"
"Behram Pora Kun Gandara","","","","","1","1","52","52","0","100.00"
"Bernate","","","","","1","2","249","219","30","87.95"
"Bichi","","","","","1","2","96","96","0","100.00"
"Biji Hama","","","","","1","1","372","372","0","100.00"
