"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abli Masri","","","","","1","1","101","101","0","100.00"
"Achher","","","","","1","2","50","0","50","0.00"
"Agrika","","","","","1","1","14","14","0","100.00"
"Ahgad","","","","","1","2","122","35","87","28.69"
"Al","","","","","1","1","72","70","2","97.22"
"Almigangota( Alni Gangota)","","","","","1","5","83","43","40","51.81"
"Altu","","","","","1","1","24","24","0","100.00"
"Amarsingh Pora","","","","","1","1","22","22","0","100.00"
"Amrit Garh","","","","","1","1","32","32","0","100.00"
"Amrit Pora","","","","","1","2","40","21","19","52.50"
"Angnol","","","","","1","2","48","18","30","37.50"
"Arnora","","","","","1","4","127","39","88","30.71"
"Asesi","","","","","1","1","21","0","21","0.00"
"Assar","","","","","1","7","258","177","81","68.60"
"Bachhra","","","","","1","1","16","16","0","100.00"
"Bagla","","","","","1","2","110","0","110","0.00"
"Bajah","","","","","1","2","51","15","36","29.41"
"Bajarni","","","","","1","4","91","91","0","100.00"
"Balasu","","","","","1","1","15","0","15","0.00"
"Balote","","","","","1","1","45","45","0","100.00"
"Bamlakhi","","","","","1","1","22","22","0","100.00"
"Banjai","","","","","1","1","19","19","0","100.00"
"Banjala","","","","","1","2","47","13","34","27.66"
"Banoia","","","","","1","6","156","95","61","60.90"
"Bari","","","","","1","3","99","59","40","59.60"
"Barshala","","","","","1","4","106","21","85","19.81"
"Barshala","","","","","1","4","96","30","66","31.25"
"Barsu","","","","","1","1","71","71","0","100.00"
"Barwa","","","","","1","1","5","5","0","100.00"
"Barwah","","","","","1","1","49","49","0","100.00"
"Batara","","","","","1","1","19","0","19","0.00"
"Bathri","","","","","1","1","16","16","0","100.00"
"Batmas","","","","","1","1","36","10","26","27.78"
"Bayota","","","","","1","17","458","164","294","35.81"
"Beli Chinalra","","","","","1","1","33","10","23","30.30"
"Beoli","","","","","1","1","21","0","21","0.00"
"Berru","","","","","1","3","54","0","54","0.00"
"Bhaboore","","","","","1","1","67","35","32","52.24"
"Bhadra","","","","","1","1","13","13","0","100.00"
"Bhadrote","","","","","1","1","47","47","0","100.00"
"Bhagrota","","","","","1","1","25","0","25","0.00"
"Bhagwa","","","","","1","13","330","56","274","16.97"
"Bhakhna","","","","","1","5","103","62","41","60.19"
"Bhal Wana","","","","","1","5","154","35","119","22.73"
"Bhala","","","","","1","1","119","119","0","100.00"
"Bhalara","","","","","1","3","83","15","68","18.07"
"Bhalra","","","","","1","1","93","93","0","100.00"
"Bhandas","","","","","1","2","62","62","0","100.00"
"Bhara","","","","","1","1","80","80","0","100.00"
"Bhargi","","","","","1","5","104","24","80","23.08"
"Bharhi","","","","","1","1","42","42","0","100.00"
"Bhart","","","","","1","3","56","0","56","0.00"
"Bharti","","","","","1","1","21","0","21","0.00"
"Bhasti","","","","","1","1","73","73","0","100.00"
"Bhasti","","","","","1","1","47","47","0","100.00"
"Bhatei","","","","","1","1","17","0","17","0.00"
"Bhatola","","","","","1","1","27","12","15","44.44"
"Bhatoli","","","","","1","1","22","22","0","100.00"
"Bhatoli","","","","","1","1","22","0","22","0.00"
"Bhatoli","","","","","1","5","131","131","0","100.00"
"Bhatri","","","","","1","1","19","19","0","100.00"
"Bhatyas","","","","","1","5","104","36","68","34.62"
"Bheja","","","","","1","1","120","120","0","100.00"
"Bheja","","","","","1","1","21","21","0","100.00"
"Bhela","","","","","1","2","284","249","35","87.68"
"Bibrota","","","","","1","10","463","195","268","42.12"
"Bolian","","","","","1","1","128","128","0","100.00"
"Botagra","","","","","1","3","112","15","97","13.39"
"Brhampuri","","","","","1","1","15","15","0","100.00"
"Budhi","","","","","1","1","40","40","0","100.00"
"Budhli","","","","","1","3","79","79","0","100.00"
"Buland Pur","","","","","1","2","162","162","0","100.00"
"Butla","","","","","1","1","118","118","0","100.00"
"Chabri","","","","","1","1","4","4","0","100.00"
"Chagnu","","","","","1","1","23","23","0","100.00"
"Chak Botha (Un-inhabited)","","","","","1","1","5","5","0","100.00"
"Chak Katoch","","","","","1","1","4","4","0","100.00"
"Chaka","","","","","1","33","1078","352","726","32.65"
"Chakka","","","","","1","1","23","23","0","100.00"
"Chakra Bhati","","","","","1","1","60","60","0","100.00"
"Chakri","","","","","1","1","57","57","0","100.00"
"Chalri","","","","","1","1","23","23","0","100.00"
"Champal","","","","","1","4","117","53","64","45.30"
"Changa","","","","","1","1","40","12","28","30.00"
"Chanias","","","","","1","4","100","30","70","30.00"
"Chanote","","","","","1","1","180","180","0","100.00"
"Chansar","","","","","1","1","28","10","18","35.71"
"Chanti Bala","","","","","1","3","71","49","22","69.01"
"Chanti Pain","","","","","1","2","40","19","21","47.50"
"Charote","","","","","1","1","131","131","0","100.00"
"Charrote","","","","","1","14","652","229","423","35.12"
"Chegsu","","","","","1","1","84","84","0","100.00"
"Cheka","","","","","1","1","104","104","0","100.00"
"Chelli","","","","","1","1","35","15","20","42.86"
"Chenchora","","","","","1","1","15","0","15","0.00"
"Chhani","","","","","1","1","85","85","0","100.00"
"Chhnna","","","","","1","1","14","0","14","0.00"
"Chil","","","","","1","7","168","0","168","0.00"
"Chillebala","","","","","1","2","64","34","30","53.13"
"Chillepain","","","","","1","2","36","19","17","52.78"
"Chira","","","","","1","6","99","24","75","24.24"
"Chochlu","","","","","1","1","22","22","0","100.00"
"Chondri","","","","","1","1","48","48","0","100.00"
"Chounri","","","","","1","2","63","46","17","73.02"
"Chuteri","","","","","1","2","43","23","20","53.49"
"Dadian","","","","","1","1","9","9","0","100.00"
"Dalain","","","","","1","1","55","55","0","100.00"
"Dalain","","","","","1","4","77","0","77","0.00"
"Dalha","","","","","1","1","17","0","17","0.00"
"Danda","","","","","1","1","53","53","0","100.00"
"Dandi","","","","","1","1","14","14","0","100.00"
"Dandi","","","","","1","2","85","0","85","0.00"
"Darai","","","","","1","4","100","100","0","100.00"
"Daron Kerani","","","","","1","1","27","0","27","0.00"
"Darondi","","","","","1","1","67","67","0","100.00"
"Daronjamani","","","","","1","1","34","34","0","100.00"
"Darori","","","","","1","1","14","14","0","100.00"
"Darsu","","","","","1","1","18","18","0","100.00"
"Dashnan","","","","","1","2","50","50","0","100.00"
"Dehra","","","","","1","1","26","26","0","100.00"
"Derka","","","","","1","1","31","31","0","100.00"
"Desa","","","","","1","44","1249","226","1023","18.09"
"Deyoki","","","","","1","1","70","70","0","100.00"
"Dhadkahi","","","","","1","7","166","62","104","37.35"
"Dhaliah","","","","","1","1","38","38","0","100.00"
"Dhalkankoot","","","","","1","1","15","0","15","0.00"
"Dhalwali","","","","","1","1","48","48","0","100.00"
"Dhamanda","","","","","1","1","16","0","16","0.00"
"Dhandal","","","","","1","22","728","102","626","14.01"
"Dhar","","","","","1","4","85","7","78","8.24"
"Dhar","","","","","1","1","22","22","0","100.00"
"Dhar Yotha","","","","","1","2","46","0","46","0.00"
"Dhara","","","","","1","1","397","397","0","100.00"
"Dharan","","","","","1","1","5","5","0","100.00"
"Dharara","","","","","1","1","59","59","0","100.00"
"Dharfra","","","","","1","2","43","0","43","0.00"
"Dharyari","","","","","1","7","175","54","121","30.86"
"Dhonsa","","","","","1","1","22","0","22","0.00"
"Dichhal","","","","","1","7","322","0","322","0.00"
"Dige","","","","","1","2","43","26","17","60.47"
"Dongro","","","","","1","1","30","12","18","40.00"
"Dosala","","","","","1","1","20","20","0","100.00"
"Dranga","","","","","1","1","16","0","16","0.00"
"Drodhu","","","","","1","1","66","66","0","100.00"
"Dudwar","","","","","1","1","18","0","18","0.00"
"Duga","","","","","1","2","31","0","31","0.00"
"Dugah","","","","","1","1","62","62","0","100.00"
"Dugli","","","","","1","4","101","68","33","67.33"
"Fagsu","","","","","1","6","184","70","114","38.04"
