"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Ahan","","","","","1","3","135","109","26","80.74"
"Akhal","","","","","1","7","314","207","107","65.92"
"Anderwan","","","","","1","9","325","264","61","81.23"
"Ara Hama","","","","","1","6","163","109","54","66.87"
"Arch","","","","","1","3","75","24","51","32.00"
"Arigori Pora","","","","","1","3","107","90","17","84.11"
"Baba Dariya Din","","","","","1","9","191","93","98","48.69"
"Babosi Pora","","","","","1","3","113","61","52","53.98"
"Badam Pora","","","","","1","3","189","122","67","64.55"
"Badhra Kund","","","","","1","8","269","147","122","54.65"
"Bagh Mahanand","","","","","1","1","105","74","31","70.48"
"Bagh Zaman Ganai","","","","","1","1","30","21","9","70.00"
"Baghi Dab","","","","","1","2","73","22","51","30.14"
"Bamlina","","","","","1","1","36","19","17","52.78"
"Bardala","","","","","1","1","102","71","31","69.61"
"Barsoo","","","","","1","6","438","305","133","69.63"
"Barwalah","","","","","1","3","112","74","38","66.07"
"Bat Pora","","","","","1","2","81","62","19","76.54"
"Batvena","","","","","1","6","496","345","151","69.56"
"Bena Hama","","","","","1","6","377","262","115","69.50"
"Berna Bugh","","","","","1","7","229","157","72","68.56"
"Chandna Deh Now Abad","","","","","1","2","126","76","50","60.32"
"Chanthan Gulab Pora","","","","","1","6","345","226","119","65.51"
"Chapper Gund","","","","","1","1","36","36","0","100.00"
"Chashma Manasbal","","","","","1","2","384","350","34","91.15"
"Chater Gul","","","","","1","7","246","176","70","71.54"
"Cheerwan","","","","","1","2","88","50","38","56.82"
"Chiner","","","","","1","1","42","23","19","54.76"
"Chunt Valiwar","","","","","1","7","304","215","89","70.72"
"Dab","","","","","1","4","321","221","100","68.85"
"Danger Pora","","","","","1","3","80","26","54","32.50"
"Daraduder","","","","","1","2","87","50","37","57.47"
"Dev Pora","","","","","1","6","232","109","123","46.98"
"Drag Tanga","","","","","1","1","27","27","0","100.00"
"Forest Block","","","","","1","1","59","41","18","69.49"
"Forest Block","","","","","1","3","102","58","44","56.86"
"Fraw Haknar","","","","","1","10","551","433","118","78.58"
"Gadoora (Gadra)","","","","","1","5","91","65","26","71.43"
"Gamwara","","","","","1","1","47","13","34","27.66"
"Gogji Gund","","","","","1","5","113","56","57","49.56"
"Gotli Bagh","","","","","1","11","317","174","143","54.89"
"Goza Hama","","","","","1","3","124","81","43","65.32"
"Gulab Bagh (Pater Molla)","","","","","1","1","85","60","25","70.59"
"Gund Ari","","","","","1","2","91","53","38","58.24"
"Gund Momin","","","","","1","2","63","24","39","38.10"
"Gund Rahman","","","","","1","4","163","65","98","39.88"
"Gund Sarsingh","","","","","1","7","278","213","65","76.62"
"Hakim Gund","","","","","1","3","92","37","55","40.22"
"Hardo Mardabagh Abad","","","","","1","3","118","35","83","29.66"
"Hardo Panzin","","","","","1","1","168","118","50","70.24"
"Hari Ganiwan","","","","","1","6","426","331","95","77.70"
"Hari Pora","","","","","1","6","462","324","138","70.13"
"Harran","","","","","1","8","399","167","232","41.85"
"Hat Barah","","","","","1","3","105","52","53","49.52"
"Hayan Palpora","","","","","1","5","174","136","38","78.16"
"Kacha Nambal","","","","","1","5","177","113","64","63.84"
"Kangan","","","","","1","7","187","135","52","72.19"
"Kastori Pora","","","","","1","1","27","4","23","14.81"
"Khan Pora","","","","","1","1","47","20","27","42.55"
"Khanan","","","","","1","2","114","72","42","63.16"
"Khar Bagh","","","","","1","2","55","45","10","81.82"
"Khrani Hama","","","","","1","3","186","115","71","61.83"
"Kij Parah","","","","","1","3","97","63","34","64.95"
"Koka Gund","","","","","1","2","37","20","17","54.05"
"Kolan","","","","","1","6","282","179","103","63.48"
"Koreg Domarag","","","","","1","4","124","98","26","79.03"
"Kur Hama","","","","","1","9","607","433","174","71.33"
"Lari","","","","","1","1","35","35","0","100.00"
"Latiwaza","","","","","1","1","63","27","36","42.86"
"Mamer","","","","","1","5","250","146","104","58.40"
"Mani Gam","","","","","1","14","1291","936","355","72.50"
"Mar Gund","","","","","1","6","209","153","56","73.21"
"Najwan Nilah","","","","","1","3","99","70","29","70.71"
"Narayan Bagh","","","","","1","3","142","84","58","59.15"
"Nawab Bag","","","","","1","2","66","38","28","57.58"
"Nilagrar","","","","","1","1","34","34","0","100.00"
"Nuner","","","","","1","7","362","183","179","50.55"
"Pahli Pora","","","","","1","1","295","270","25","91.53"
"Palang (Preng)","","","","","1","7","300","202","98","67.33"
"Porajat Gagangir","","","","","1","8","450","318","132","70.67"
"Qasba Lar","","","","","1","8","916","724","192","79.04"
"Rabitar Gund Roshan Ghat","","","","","1","4","260","160","100","61.54"
"Rabtar Gundi Roshan","","","","","1","3","156","115","41","73.72"
"Rakh Harran","","","","","1","1","116","86","30","74.14"
"Rakh Kujar","","","","","1","3","60","37","23","61.67"
"Rakh Rabitar","","","","","1","2","41","20","21","48.78"
"Rapore","","","","","1","7","392","281","111","71.68"
"Rayil","","","","","1","9","538","363","175","67.47"
"Sadra Bagh","","","","","1","3","89","24","65","26.97"
"Safa Pora (CT)","","","","","1","3","870","763","107","87.70"
"Sarich Chodri Bagh","","","","","1","4","104","64","40","61.54"
"Satrina","","","","","1","8","308","255","53","82.79"
"Seh Pora","","","","","1","7","223","105","118","47.09"
"Shalla Bug","","","","","1","9","337","228","109","67.66"
"Sheikh Zoo","","","","","1","1","135","112","23","82.96"
"Sonamarg","","","","","1","4","88","46","42","52.27"
"Soraf Raw","","","","","1","8","392","273","119","69.64"
"Sumbal Bala","","","","","1","7","336","238","98","70.83"
"Tangchatir","","","","","1","5","240","165","75","68.75"
"Thune","","","","","1","6","251","178","73","70.92"
"Thuru","","","","","1","7","379","208","171","54.88"
"Tulmulla","","","","","1","9","1059","895","164","84.51"
"Tulmulla Ghat","","","","","1","2","74","50","24","67.57"
"Urpash","","","","","1","6","304","147","157","48.36"
"Wahid Pora","","","","","1","3","110","67","43","60.91"
"Wail (CT)","","","","","1","4","108","35","73","32.41"
"Wakura","","","","","1","6","416","289","127","69.47"
"Wangat","","","","","1","13","486","366","120","75.31"
"Was Kora","","","","","1","3","139","98","41","70.50"
"Wata Lar","","","","","1","10","944","587","357","62.18"
"Watal Bag","","","","","1","6","200","114","86","57.00"
"Wond Hama","","","","","1","3","99","36","63","36.36"
"Wossan","","","","","1","8","299","194","105","64.88"
"Yan Goora","","","","","1","9","825","578","247","70.06"
"Yechi Hama","","","","","1","4","211","160","51","75.83"
"Zari Gund","","","","","1","2","40","17","23","42.50"
"Zazna","","","","","1","4","253","172","81","67.98"
"Total","0","0","0","0","117","529","27,640","18,802","8,838",""
