"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Dillon","","","","","1","1","6","2","4","33.33"
"Makhdum","","","","","1","1","38","23","15","60.53"
"Abdal","","","","","1","1","165","165","0","100.00"
"Abdulian (Un-inhabited)","","","","","1","1","110","90","20","81.82"
"Adgan","","","","","1","1","50","40","10","80.00"
"Adlehar","","","","","1","1","136","130","6","95.59"
"Agor","","","","","1","2","897","662","235","73.80"
"Agwan","","","","","1","1","33","33","0","100.00"
"Airn Pur","","","","","1","1","58","46","12","79.31"
"Aitham","","","","","1","1","378","276","102","73.02"
"Allah","","","","","1","1","654","654","0","100.00"
"Alora","","","","","1","1","196","196","0","100.00"
"Ambh","","","","","1","5","715","480","235","67.13"
"Anmbaran","","","","","1","7","815","652","163","80.00"
"Aqil Pur","","","","","1","2","569","427","142","75.04"
"Ardhan(Atonan)","","","","","1","7","212","148","64","69.81"
"Atma Pur","","","","","1","1","20","20","0","100.00"
"Aurhak","","","","","1","1","79","43","36","54.43"
"Badgah","","","","","1","1","58","58","0","100.00"
"Badhan","","","","","1","1","120","96","24","80.00"
"Badhyal Brahamana","","","","","1","1","108","108","0","100.00"
"Badsu","","","","","1","3","360","335","25","93.06"
"Badwal","","","","","1","1","288","160","128","55.56"
"Badwal","","","","","1","1","6","4","2","66.67"
"Bag Jogian","","","","","1","1","20","20","0","100.00"
"Bagamarh","","","","","1","1","166","166","0","100.00"
"Bagani","","","","","1","1","358","219","139","61.17"
"Bagazina","","","","","1","1","140","140","0","100.00"
"Bagh Marh Sarkari","","","","","1","1","65","52","13","80.00"
"Bahadur Khan","","","","","1","1","55","55","0","100.00"
"Bahadur Pur","","","","","1","1","157","142","15","90.45"
"Baho Pur","","","","","1","1","119","78","41","65.55"
"Bain Lehar","","","","","1","1","14","9","5","64.29"
"Bain Majialta (Bain Majial)","","","","","1","1","310","194","116","62.58"
"Baina Garh","","","","","1","2","127","127","0","100.00"
"Bajyal","","","","","1","1","255","204","51","80.00"
"Bakor","","","","","1","1","137","99","38","72.26"
"Balah","","","","","1","2","177","177","0","100.00"
"Balgara","","","","","1","1","169","135","34","79.88"
"Bali","","","","","1","1","107","58","49","54.21"
"Balsaro","","","","","1","1","76","61","15","80.26"
"Bamhal","","","","","1","1","387","310","77","80.10"
"Bamnal","","","","","1","1","74","58","16","78.38"
"Bamyal","","","","","1","3","51","34","17","66.67"
"Ban","","","","","1","2","396","338","58","85.35"
"Bandral Kalan","","","","","1","5","476","293","183","61.55"
"Bandral Khurd","","","","","1","2","213","170","43","79.81"
"Bandwal","","","","","1","3","417","334","83","80.10"
"Bansultan","","","","","1","1","744","695","49","93.41"
"Baran","","","","","1","9","1544","924","620","59.84"
"Bardiyal","","","","","1","1","19","11","8","57.89"
"Bargal Kalan","","","","","1","1","193","154","39","79.79"
"Bargal Khurd","","","","","1","1","56","45","11","80.36"
"Barley","","","","","1","1","19","19","0","100.00"
"Barola","","","","","1","1","139","111","28","79.86"
"Barroh","","","","","1","1","247","110","137","44.53"
"Barsal Pur","","","","","1","1","36","26","10","72.22"
"Barui","","","","","1","4","340","241","99","70.88"
"Basiara","","","","","1","1","138","110","28","79.71"
"Baspur","","","","","1","1","99","75","24","75.76"
"Batal","","","","","1","1","109","72","37","66.06"
"Batallehar","","","","","1","1","27","27","0","100.00"
"Bathore","","","","","1","1","64","51","13","79.69"
"Batoli Brahmana","","","","","1","1","118","81","37","68.64"
"Batona","","","","","1","1","34","34","0","100.00"
"Bawaliyana","","","","","1","1","194","194","0","100.00"
"Bega","","","","","1","1","111","111","0","100.00"
"Berah","","","","","1","1","78","78","0","100.00"
"Bhad Rode","","","","","1","2","534","427","107","79.96"
"Bhadyal Qazian","","","","","1","1","406","406","0","100.00"
"Bhage","","","","","1","2","107","88","19","82.24"
"Bhagwan Chak","","","","","1","2","479","213","266","44.47"
"Bhagwani","","","","","1","1","17","17","0","100.00"
"Bhalser","","","","","1","1","88","88","0","100.00"
"Bhalwal (CT)","","","","","1","10","2075","1391","684","67.04"
"Bhalwal Bharath","","","","","1","1","272","119","153","43.75"
"Bhalwal Brahmana","","","","","1","3","480","383","97","79.79"
"Bhalwal Moolo","","","","","1","1","228","150","78","65.79"
"Bhangor","","","","","1","1","80","64","16","80.00"
"Bhar Mali","","","","","1","1","215","215","0","100.00"
"Bhardah Kalan","","","","","1","1","353","282","71","79.89"
"Bhardah Khurd","","","","","1","1","155","124","31","80.00"
"Bhata","","","","","1","1","52","32","20","61.54"
"Bhatiare","","","","","1","2","218","175","43","80.28"
"Bhatiyari","","","","","1","1","55","55","0","100.00"
"Bhaw","","","","","1","1","73","73","0","100.00"
"Bhawta","","","","","1","1","126","116","10","92.06"
"Bhed Gran","","","","","1","1","64","45","19","70.31"
"Bhiry Tarrie","","","","","1","3","341","245","96","71.85"
"Bhoj Pur","","","","","1","1","68","68","0","100.00"
"Bhoman","","","","","1","1","58","58","0","100.00"
"Bhor","","","","","1","2","109","61","48","55.96"
"Biaspur","","","","","1","1","71","71","0","100.00"
"Bidi Pur Jatan","","","","","1","1","42","30","12","71.43"
"Bidipur Salarian","","","","","1","1","119","119","0","100.00"
"Biral","","","","","1","1","17","15","2","88.24"
"Blahad","","","","","1","1","32","18","14","56.25"
"Bokari","","","","","1","1","85","70","15","82.35"
"Brahamana Dhamwal","","","","","1","1","126","101","25","80.16"
"Brota","","","","","1","1","182","150","32","82.42"
"Budhy","","","","","1","2","128","80","48","62.50"
"Chahjar","","","","","1","1","46","37","9","80.43"
"Chajwal","","","","","1","1","98","39","59","39.80"
"Chak Abtara","","","","","1","1","22","22","0","100.00"
"Chak Agra","","","","","1","1","282","282","0","100.00"
"Chak Alam","","","","","1","1","88","88","0","100.00"
"Chak Alawal","","","","","1","1","96","96","0","100.00"
"Chak Aslam","","","","","1","2","216","216","0","100.00"
"Chak Asran","","","","","1","1","59","32","27","54.24"
"Chak Badialan","","","","","1","2","191","138","53","72.25"
"Chak Baja","","","","","1","1","108","108","0","100.00"
"Chak Bala","","","","","1","1","170","150","20","88.24"
"Chak Bana Brahamana","","","","","1","1","172","172","0","100.00"
"Chak Bathali","","","","","1","1","211","169","42","80.09"
"Chak Bhagwan","","","","","1","1","312","250","62","80.13"
"Chak Bhagwana","","","","","1","1","54","42","12","77.78"
"Chak Bhalwal","","","","","1","2","276","193","83","69.93"
