"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Khows","","","","","1","4","93","93","0","100.00"
"Abran","","","","","1","10","282","256","26","90.78"
"Achambur","","","","","1","4","67","67","0","100.00"
"Akchamal","","","","","1","7","275","275","0","100.00"
"Akshow","","","","","1","3","104","100","4","96.15"
"Apati","","","","","1","8","173","173","0","100.00"
"Ating","","","","","1","8","164","164","0","100.00"
"Barchey","","","","","1","6","143","143","0","100.00"
"Barsoo","","","","","1","12","322","322","0","100.00"
"Barto","","","","","1","10","159","134","25","84.28"
"Batambis","1","0","0","1","1","5","217","0","217","0.00"
"Batokul","","","","","1","1","2","2","0","100.00"
"Biambiat","","","","","1","10","215","215","0","100.00"
"Bodhkharbu","","","","","1","3","150","150","0","100.00"
"Chah","1","0","0","1","1","10","169","0","169","0.00"
"Chiktan","","","","","1","9","200","200","0","100.00"
"Chokial","","","","","1","6","169","169","0","100.00"
"Choskar","","","","","1","14","456","456","0","100.00"
"Chosker Suru","","","","","1","5","72","72","0","100.00"
"Chulichan","","","","","1","2","74","74","0","100.00"
"Chuliskambo","","","","","1","1","119","119","0","100.00"
"Darkiat","","","","","1","4","42","42","0","100.00"
"Derchiks","","","","","1","4","94","94","0","100.00"
"Farona","","","","","1","2","204","204","0","100.00"
"Garkon","","","","","1","7","96","96","0","100.00"
"Gindial","","","","","1","3","120","120","0","100.00"
"Goshan","","","","","1","10","208","208","0","100.00"
"Gund Mangl Pur","","","","","1","1","559","559","0","100.00"
"Gyaling","","","","","1","1","122","122","0","100.00"
"Hagnis","","","","","1","9","214","214","0","100.00"
"Hamiling","","","","","1","2","68","68","0","100.00"
"Hardas","","","","","1","4","178","178","0","100.00"
"Heniskot","","","","","1","3","121","121","0","100.00"
"Holiyal","","","","","1","6","125","125","0","100.00"
"Icher","1","0","0","1","1","3","76","70","6","92.11"
"Itchoo","1","0","0","1","1","1","36","0","36","0.00"
"Jusgund","","","","","1","1","52","52","0","100.00"
"Kaksar","","","","","1","1","178","160","18","89.89"
"Kanor","","","","","1","6","301","301","0","100.00"
"Karamba","","","","","1","3","57","57","0","100.00"
"KarcheY Khar","","","","","1","7","190","190","0","100.00"
"Kargi","","","","","1","5","91","91","0","100.00"
"Kargyak","1","0","0","1","1","5","114","0","114","0.00"
"Karit","","","","","1","1","82","82","0","100.00"
"Karkit","","","","","1","6","267","249","18","93.26"
"Karpo Khar","","","","","1","4","12","12","0","100.00"
"Karshah","","","","","1","9","397","397","0","100.00"
"Khachey","","","","","1","5","77","77","0","100.00"
"Khandi","","","","","1","7","302","302","0","100.00"
"Kharbu","","","","","1","4","183","183","0","100.00"
"Kochik","","","","","1","6","40","40","0","100.00"
"Kuksho","","","","","1","5","190","130","60","68.42"
"Kukste","","","","","1","4","65","65","0","100.00"
"Lalung","","","","","1","1","98","98","0","100.00"
"Lamsusando","","","","","1","7","106","106","0","100.00"
"Lankarchey","","","","","1","9","542","502","40","92.62"
"Lochum","","","","","1","5","63","63","0","100.00"
"Lungmi Rezing","","","","","1","2","76","76","0","100.00"
"Malbekh","","","","","1","6","223","223","0","100.00"
"Matayan","","","","","1","1","20","20","0","100.00"
"Minji","","","","","1","4","310","310","0","100.00"
"Murad Bagh","","","","","1","4","110","110","0","100.00"
"Mushku","","","","","1","2","107","107","0","100.00"
"Nagmakusar","","","","","1","10","232","232","0","100.00"
"Namsuru","","","","","1","7","106","106","0","100.00"
"Nunamchey","","","","","1","3","52","52","0","100.00"
"Padam","","","","","1","11","413","388","25","93.95"
"Pandras","","","","","1","2","102","102","0","100.00"
"Panikhar","","","","","1","5","81","81","0","100.00"
"Parkachik","","","","","1","9","164","164","0","100.00"
"Phey","","","","","1","5","132","112","20","84.85"
