"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aglidhar","","","","","1","5","327","284","43","86.85"
"Air Wan","","","","","1","1","76","68","8","89.47"
"Allu Chak","","","","","1","1","16","13","3","81.25"
"Amala","","","","","1","1","423","406","17","95.98"
"Amargarh","","","","","1","1","64","57","7","89.06"
"Amwala","","","","","1","5","314","274","40","87.26"
"And Rot","","","","","1","1","66","57","9","86.36"
"Arjan Chak","","","","","1","1","87","76","11","87.36"
"Asooh","","","","","1","6","164","116","48","70.73"
"Athoon","","","","","1","16","198","112","86","56.57"
"Athyalta","","","","","1","17","319","185","134","57.99"
"Badalha","","","","","1","1","219","186","33","84.93"
"Badloli (Badholi)","","","","","1","1","80","68","12","85.00"
"Badnotta","","","","","1","6","533","449","84","84.24"
"Baggan","","","","","1","11","1077","978","99","90.81"
"Bagial","","","","","1","1","155","146","9","94.19"
"Bailiyan","","","","","1","1","17","15","2","88.24"
"Bakhrak","","","","","1","1","127","120","7","94.49"
"Balaahr","","","","","1","1","128","110","18","85.94"
"Balahn Bala","","","","","1","1","66","60","6","90.91"
"Balahn Pain","","","","","1","1","41","36","5","87.80"
"Bandhor","","","","","1","1","148","137","11","92.57"
"Bandrahr","","","","","1","1","370","357","13","96.49"
"Bani","","","","","1","6","390","277","113","71.03"
"Bani Chak","","","","","1","1","10","6","4","60.00"
"Banjal","","","","","1","7","106","71","35","66.98"
"Bann","","","","","1","1","181","173","8","95.58"
"Bari","","","","","1","8","236","70","166","29.66"
"Barmal","","","","","1","1","46","40","6","86.96"
"Barmora","","","","","1","1","20","18","2","90.00"
"Barmota","","","","","1","9","295","211","84","71.53"
"Barni","","","","","1","1","72","61","11","84.72"
"Barnooh (Parnoo)","","","","","1","1","14","12","2","85.71"
"Baroi","","","","","1","1","270","256","14","94.81"
"Barotta","","","","","1","7","435","382","53","87.82"
"Barsoo Chak","","","","","1","1","24","21","3","87.50"
"Barthindi","","","","","1","1","98","83","15","84.69"
"Barwal","","","","","1","1","808","796","12","98.51"
"Basant Pur","","","","","1","1","115","91","24","79.13"
"Basi Jamwal","","","","","1","1","88","78","10","88.64"
"Bathari","","","","","1","3","239","216","23","90.38"
"Bauhra","","","","","1","13","270","216","54","80.00"
"Begoga","","","","","1","9","215","149","66","69.30"
"Behri","","","","","1","1","181","160","21","88.40"
"Bera","","","","","1","4","181","124","57","68.51"
"Beral","","","","","1","2","204","181","23","88.73"
"Bhaddu","","","","","1","7","1005","910","95","90.55"
"Bhadi Yari","","","","","1","1","359","348","11","96.94"
"Bhagthali","","","","","1","1","49","42","7","85.71"
"Bhagwal","","","","","1","1","65","57","8","87.69"
"Bhagwane Chak","","","","","1","1","66","58","8","87.88"
"Bhakhrial","","","","","1","1","20","18","2","90.00"
"Bham Barwan","","","","","1","1","98","90","8","91.84"
"Bhandar","","","","","1","7","340","229","111","67.35"
"Bharariyal","","","","","1","1","38","36","2","94.74"
"Bharrah","","","","","1","1","24","20","4","83.33"
"Bharthiyal","","","","","1","1","3","3","0","100.00"
"Bhati Mehru","","","","","1","1","35","30","5","85.71"
"Bhatiari Brahmana","","","","","1","1","100","88","12","88.00"
"Bhatoli","","","","","1","1","35","29","6","82.86"
"Bhattodi","","","","","1","11","412","323","89","78.40"
"Bhattwal","","","","","1","5","256","206","50","80.47"
"Bhayia","","","","","1","1","427","410","17","96.02"
"Bhed Blore","","","","","1","1","212","180","32","84.91"
"Bholri","","","","","1","10","186","117","69","62.90"
"Bhoond","","","","","1","4","219","151","68","68.95"
"Bhorthain","","","","","1","14","493","389","104","78.90"
"Bhugat","","","","","1","1","25","21","4","84.00"
"Bigwan","","","","","1","1","231","196","35","84.85"
"Bijjat","","","","","1","1","73","62","11","84.93"
"Billawar","","","","","1","5","335","278","57","82.99"
"Bobia","","","","","1","1","82","73","9","89.02"
"Brohandahi","","","","","1","1","85","76","9","89.41"
"Budhi","","","","","1","2","1154","693","461","60.05"
"Candwan (Chandwan)","","","","","1","1","267","256","11","95.88"
"Chak  Budhu","","","","","1","1","11","9","2","81.82"
"Chak Aidal","","","","","1","1","6","6","0","100.00"
"Chak Balunda","","","","","1","1","27","22","5","81.48"
"Chak Bannun","","","","","1","1","145","133","12","91.72"
"Chak Bathal","","","","","1","1","102","91","11","89.22"
"Chak Bhaga","","","","","1","1","128","109","19","85.16"
"Chak Bhagta","","","","","1","1","169","160","9","94.67"
"Chak Changa","","","","","1","1","51","44","7","86.27"
"Chak Charakh","","","","","1","1","59","51","8","86.44"
"Chak Charuhn","","","","","1","1","37","34","3","91.89"
"Chak Chhabba","","","","","1","1","175","164","11","93.71"
"Chak Deb (Chak Debo)","","","","","1","1","198","190","8","95.96"
"Chak Desa Choudharian","","","","","1","1","541","516","25","95.38"
"Chak Devia","","","","","1","1","17","14","3","82.35"
"Chak Dhari","","","","","1","1","35","26","9","74.29"
"Chak Dhota","","","","","1","1","29","22","7","75.86"
"Chak Diyalla","","","","","1","1","187","178","9","95.19"
"Chak Drab Khan","","","","","1","1","267","226","41","84.64"
"Chak Fatoo","","","","","1","1","70","62","8","88.57"
"Chak Gadadhar","","","","","1","1","327","278","49","85.02"
"Chak Ganga Ram","","","","","1","1","111","102","9","91.89"
"Chak Gojar","","","","","1","1","42","38","4","90.48"
"Chak Gokal","","","","","1","1","21","18","3","85.71"
"Chak Gota","","","","","1","1","29","25","4","86.21"
"Chak Gupala","","","","","1","1","116","107","9","92.24"
"Chak Gusaun","","","","","1","1","16","16","0","100.00"
"Chak Gusawn","","","","","1","1","52","47","5","90.38"
"Chak Handa","","","","","1","1","158","146","12","92.41"
"Chak Haria","","","","","1","1","492","486","6","98.78"
"Chak Jahlla","","","","","1","1","64","59","5","92.19"
"Chak Jangi","","","","","1","1","35","32","3","91.43"
"Chak Jawahir","","","","","1","1","24","21","3","87.50"
"Chak Kahna","","","","","1","1","63","53","10","84.13"
"Chak Khiloo","","","","","1","1","58","51","7","87.93"
"Chak Lachhaman","","","","","1","1","11","11","0","100.00"
"Chak Luden","","","","","1","1","56","48","8","85.71"
"Chak Mahesha","","","","","1","1","181","175","6","96.69"
"Chak Mansabdar","","","","","1","1","147","139","8","94.56"
"Chak Nanak","","","","","1","1","131","111","20","84.73"
"Chak Nathal","","","","","1","1","330","303","27","91.82"
"Chak Poorab","","","","","1","1","22","20","2","90.91"
"Chak Prohtan","","","","","1","1","72","67","5","93.06"
"Chak Ramchand","","","","","1","1","109","92","17","84.40"
"Chak Rangi","","","","","1","1","15","12","3","80.00"
"Chak Rigu (Chak Riju)","","","","","1","1","267","226","41","84.64"
"Chak Sajjan","","","","","1","1","263","233","30","88.59"
"Chak Sardah (Un-inhabited)","","","","","1","1","6","6","0","100.00"
