"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Afani","","","","","1","1","40","40","0","100.00"
"Aftee","1","0","0","1","1","2","165","0","165","0.00"
"Agral","","","","","1","1","60","60","0","100.00"
"Ajna","","","","","1","4","115","25","90","21.74"
"Akerhang","","","","","1","1","14","0","14","0.00"
"Anjol","","","","","1","5","154","98","56","63.64"
"Atholi","","","","","1","3","235","190","45","80.85"
"Badhat","","","","","1","1","45","25","20","55.56"
"Balgran","","","","","1","8","247","0","247","0.00"
"Barayan","1","0","0","1","1","1","158","0","158","0.00"
"Baroti","","","","","1","1","45","20","25","44.44"
"Bat Koot","","","","","1","6","151","84","67","55.63"
"Batwas","1","0","0","1","1","1","39","0","39","0.00"
"Benun","","","","","1","2","104","20","84","19.23"
"Bhagna","","","","","1","3","90","0","90","0.00"
"Bhander Koot","","","","","1","1","45","30","15","66.67"
"Bhandera","","","","","1","1","18","0","18","0.00"
"Bhata","","","","","1","1","40","10","30","25.00"
"Bhatan","","","","","1","1","35","0","35","0.00"
"Bhugrana","","","","","1","1","45","25","20","55.56"
"Bhutna","","","","","1","5","97","0","97","0.00"
"Busmina","1","0","0","1","1","1","183","0","183","0.00"
"Chalasu","","","","","1","1","30","0","30","0.00"
"Chamoti","","","","","1","5","167","15","152","8.98"
"Chandali","","","","","1","6","117","0","117","0.00"
"Chandna","","","","","1","2","47","25","22","53.19"
"Chanjer","1","0","0","1","1","6","560","0","560","0.00"
"Chashoti","1","0","0","1","1","2","45","0","45","0.00"
"Chbicha Nagsain (Chicha Nagsain)","","","","","1","5","138","0","138","0.00"
"Cher Jee","","","","","1","4","101","32","69","31.68"
"Cheto","1","0","0","1","1","3","88","0","88","0.00"
"Chhatroo","","","","","1","12","356","54","302","15.17"
"Chicha Dachhan","1","0","0","1","1","6","225","0","225","0.00"
"Chingam","","","","","1","19","667","0","667","0.00"
"Chingnana","","","","","1","1","20","0","20","0.00"
"Choye Draman","1","0","0","1","1","1","165","0","165","0.00"
"Chug","1","0","0","1","1","2","30","0","30","0.00"
"Dachla","","","","","1","1","30","0","30","0.00"
"Damji","","","","","1","1","42","0","42","0.00"
"Darab","","","","","1","4","145","70","75","48.28"
"Darbeel","","","","","1","10","512","147","365","28.71"
"Deharna","1","0","0","1","1","6","380","0","380","0.00"
"Dhar","","","","","1","1","25","0","25","0.00"
"Dhar","","","","","1","2","40","0","40","0.00"
"Dharbadan","","","","","1","6","163","40","123","24.54"
"Dharie","1","0","0","1","1","1","60","0","60","0.00"
"Dichar","","","","","1","2","45","20","25","44.44"
"Dool","","","","","1","2","110","65","45","59.09"
"Duga","","","","","1","1","35","0","35","0.00"
"Filler","","","","","1","5","340","220","120","64.71"
"Gahan","","","","","1","5","138","15","123","10.87"
"Galhar Bhata","","","","","1","1","50","50","0","100.00"
"Garh Padder (Garh)","1","0","0","1","1","5","182","0","182","0.00"
"Gudh","","","","","1","1","11","0","11","0.00"
"Gulab Garh","","","","","1","5","212","134","78","63.21"
"Gumri","1","0","0","1","1","1","99","0","99","0.00"
"Hadar","","","","","1","1","32","0","32","0.00"
"Halor","","","","","1","6","148","0","148","0.00"
"Hamori","1","0","0","1","1","2","43","0","43","0.00"
"Hangu","1","0","0","1","1","2","50","0","50","0.00"
"Hanzal","1","0","0","1","1","2","114","0","114","0.00"
"Haorna","","","","","1","7","227","77","150","33.92"
"Hariyal","","","","","1","1","125","125","0","100.00"
"Indarwal","","","","","1","8","255","10","245","3.92"
"Inshan","1","0","0","1","1","2","215","0","215","0.00"
"Ishtahari","1","0","0","1","1","7","237","0","237","0.00"
"Janak Pur","1","1","0","0","1","4","243","88","155","36.21"
"Janwas","","","","","1","2","70","70","0","100.00"
"Jar","","","","","1","1","30","30","0","100.00"
"Jawalla Pur","","","","","1","2","45","6","39","13.33"
"Jirwar","","","","","1","1","25","10","15","40.00"
"Jushana","","","","","1","1","48","0","48","0.00"
"Kaban","1","0","0","1","1","7","148","0","148","0.00"
"Kadail","","","","","1","2","99","0","99","0.00"
"Kalchanda","","","","","1","1","35","0","35","0.00"
"Karool","","","","","1","2","60","20","40","33.33"
"Kawartanji","","","","","1","5","112","72","40","64.29"
"Keshwan","","","","","1","12","417","222","195","53.24"
"Kewah","","","","","1","1","42","0","42","0.00"
"Kidru","1","0","0","1","1","3","50","0","50","0.00"
"Kither","1","0","0","1","1","5","167","0","167","0.00"
"Knwarthara(Kunwartha)","","","","","1","1","25","0","25","0.00"
"Kohri","","","","","1","1","30","30","0","100.00"
"Kuchal","","","","","1","8","321","106","215","33.02"
"Kukarwas","","","","","1","1","35","5","30","14.29"
"Kundal","","","","","1","3","215","125","90","58.14"
"Kutal","","","","","1","1","32","0","32","0.00"
"Lach Dayaram","","","","","1","4","77","0","77","0.00"
"Lach Khazana","","","","","1","1","15","0","15","0.00"
"Lass","","","","","1","1","35","10","25","28.57"
"Lawa","","","","","1","1","45","20","25","44.44"
"Layee","","","","","1","1","400","400","0","100.00"
"Leoundi","","","","","1","1","25","0","25","0.00"
"Ligri","","","","","1","3","80","80","0","100.00"
"Lohrna","","","","","1","4","116","21","95","18.10"
"Loondri","","","","","1","1","30","0","30","0.00"
"Lopara","","","","","1","8","257","137","120","53.31"
"Losain","1","0","0","1","1","4","121","0","121","0.00"
"Luder","","","","","1","1","240","240","0","100.00"
"Machail","1","0","0","1","1","2","56","0","56","0.00"
"Magh Batna (Nagh Bhatna)","","","","","1","1","32","32","0","100.00"
"Mandar","","","","","1","1","18","0","18","0.00"
"Margi","1","0","0","1","1","1","220","0","220","0.00"
"Massu","1","1","0","0","1","4","120","0","120","0.00"
"Mati","","","","","1","3","288","288","0","100.00"
"Matta","","","","","1","1","80","80","0","100.00"
"Mool Chetar","","","","","1","6","160","62","98","38.75"
"Mori","","","","","1","5","215","0","215","0.00"
"Mulwarwan","1","0","0","1","1","4","162","0","162","0.00"
"Mungli","1","0","0","1","1","1","85","0","85","0.00"
"Muthal","1","0","0","1","1","1","40","0","40","0.00"
"Nali","","","","","1","1","40","0","40","0.00"
"Neejo","","","","","1","1","30","10","20","33.33"
"Nopachi","1","0","0","1","1","7","465","0","465","0.00"
"Nowgam","1","0","0","1","1","1","90","0","90","0.00"
"Ohli","","","","","1","2","57","0","57","0.00"
"Ongayee","1","0","0","1","1","5","119","0","119","0.00"
"Pakalan","","","","","1","5","242","222","20","91.74"
"Palali","1","0","0","1","1","9","364","0","364","0.00"
"Palmar","","","","","1","4","125","55","70","44.00"
"Pandail","1","1","0","0","1","4","114","0","114","0.00"
"Pathgam","1","0","0","1","1","3","230","0","230","0.00"
"Patnazi","","","","","1","20","637","197","440","30.93"
"Piyas","","","","","1","1","30","30","0","100.00"
"Poochal","","","","","1","1","170","170","0","100.00"
"Pora","","","","","1","1","34","0","34","0.00"
"Prishmula","","","","","1","1","35","0","35","0.00"
"Qaderna","1","0","0","1","1","6","295","0","295","0.00"
"Rahalthal","","","","","1","4","115","0","115","0.00"
"Rekenwas","1","0","0","1","1","1","47","0","47","0.00"
"Rinaie","1","0","0","1","1","8","402","0","402","0.00"
"Salna","","","","","1","2","41","0","41","0.00"
"Samna Bhata","","","","","1","1","28","0","28","0.00"
"Sangna","","","","","1","1","24","0","24","0.00"
"Saranwan","","","","","1","4","115","30","85","26.09"
"Sazar","1","1","0","0","1","2","63","20","43","31.75"
"Seergwar","","","","","1","1","65","50","15","76.92"
"Shandri","","","","","1","1","26","0","26","0.00"
"Sharoti","","","","","1","1","45","20","25","44.44"
