"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Hati Pora Naidgam","","","","","1","2","31","21","10","67.74"
"Adigan Dewsar","","","","","1","4","240","240","0","100.00"
"Agru","","","","","1","2","172","120","52","69.77"
"Ahmad Abad","","","","","1","4","620","620","0","100.00"
"Akhal","","","","","1","5","442","190","252","42.99"
"Akhran","","","","","1","4","480","390","90","81.25"
"Antoo (Ahutoo )","","","","","1","3","68","55","13","80.88"
"Arigutnoo","","","","","1","2","39","22","17","56.41"
"Asnur","","","","","1","6","415","383","32","92.29"
"Asthal","","","","","1","2","53","36","17","67.92"
"Audi Pora","","","","","1","1","47","34","13","72.34"
"Audora","","","","","1","2","35","20","15","57.14"
"Autoo","","","","","1","7","700","637","63","91.00"
"Awil","","","","","1","3","342","316","26","92.40"
"Bachroo","","","","","1","2","358","358","0","100.00"
"Badigah Lalan","","","","","1","4","402","402","0","100.00"
"Badru","","","","","1","7","842","801","41","95.13"
"Bagh Wan Poh","","","","","1","1","10","0","10","0.00"
"Baghi Khud Wani","","","","","1","2","160","160","0","100.00"
"Baihama","","","","","1","3","204","129","75","63.24"
"Balso","","","","","1","3","216","216","0","100.00"
"Ban Gheehal","","","","","1","3","168","146","22","86.90"
"Bani Mulla","","","","","1","1","25","10","15","40.00"
"Bata Pora Anantnag","","","","","1","2","130","130","0","100.00"
"Bata Pora Vailoo","","","","","1","1","29","29","0","100.00"
"Bata Pora Zana Pora","","","","","1","1","93","93","0","100.00"
"Batango","","","","","1","2","165","132","33","80.00"
"Bathi Pora","","","","","1","2","48","37","11","77.08"
"Batsurgam","","","","","1","1","38","10","28","26.32"
"Battachloo","","","","","1","1","119","100","19","84.03"
"Begam","","","","","1","2","154","154","0","100.00"
"Behi Bagh","","","","","1","2","260","224","36","86.15"
"Beri Gam","","","","","1","2","183","137","46","74.86"
"Bhan","","","","","1","2","449","424","25","94.43"
"Bogund","","","","","1","4","595","502","93","84.37"
"Boh","","","","","1","7","503","466","37","92.64"
"Brazlo","","","","","1","2","74","54","20","72.97"
"Brazlo Jagir","","","","","1","1","284","264","20","92.96"
"Brinial Lamar","","","","","1","18","1424","718","706","50.42"
"Bugam","","","","","1","5","142","72","70","50.70"
"Bumbrath","","","","","1","1","75","75","0","100.00"
"Bunigam","","","","","1","1","385","360","25","93.51"
"Chachmolla (Sunamull)","","","","","1","3","199","199","0","100.00"
"Chak Pora Ban Dora","","","","","1","2","68","53","15","77.94"
"Chak Rambir Pora","","","","","1","3","412","412","0","100.00"
"Chak Wazoo","","","","","1","2","103","68","35","66.02"
"Chaki Hanjan","","","","","1","1","55","38","17","69.09"
