"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Shanu","","","","","1","3","246","207","39","84.15"
"Yunsu","","","","","1","2","200","167","33","83.50"
"Adura","","","","","1","2","177","96","81","54.24"
"Ahagam","","","","","1","2","255","255","0","100.00"
"Alchi Zab","","","","","1","6","235","197","38","83.83"
"Aloosa","","","","","1","2","233","210","23","90.13"
"Amar Garh","","","","","1","1","265","239","26","90.19"
"Amrooi","","","","","1","5","177","79","98","44.63"
"Ananwan","","","","","1","1","128","128","0","100.00"
"Ander Hama","","","","","1","6","802","459","343","57.23"
"Ash Pora","","","","","1","2","171","171","0","100.00"
"Ashkan Pora","","","","","1","1","85","85","0","100.00"
"Athratoo","1","0","0","1","1","1","7","0","7","0.00"
"Auwoora","1","1","0","0","1","8","1160","1108","52","95.52"
"Bada  Kot Machi Pora","","","","","1","1","70","70","0","100.00"
"Badar Kol","","","","","1","4","197","152","45","77.16"
"Bader Heer","","","","","1","1","215","215","0","100.00"
"Badrah","","","","","1","2","258","218","40","84.50"
"Badwan","","","","","1","2","81","65","16","80.25"
"Baghbala","","","","","1","3","561","183","378","32.62"
"Bahadar Pora","","","","","1","1","71","71","0","100.00"
"Bahardas Koot","","","","","1","2","201","120","81","59.70"
"Bair Gund","","","","","1","1","50","50","0","100.00"
"Baki Aker","","","","","1","1","289","289","0","100.00"
"Bali Pora","","","","","1","3","50","18","32","36.00"
"Bandi","","","","","1","3","177","107","70","60.45"
"Banger Gund","","","","","1","1","40","40","0","100.00"
"Bata Gund","","","","","1","3","222","164","58","73.87"
"Bata Pora","","","","","1","1","196","196","0","100.00"
"Bata Pora","","","","","1","3","158","126","32","79.75"
"Bata Pora  Magam","","","","","1","1","154","154","0","100.00"
"Batter Gam","","","","","1","3","315","265","50","84.13"
"Bawan Wastar","","","","","1","2","205","172","33","83.90"
"Bicherwari","","","","","1","3","165","102","63","61.82"
"Bichwal","1","0","0","1","1","1","21","0","21","0.00"
"Bijidarah","1","0","0","1","1","1","47","0","47","0.00"
"Bore","1","0","0","1","1","1","130","0","130","0.00"
"Bramri","","","","","1","6","513","281","232","54.78"
"Buber Nag","","","","","1","1","26","26","0","100.00"
"Budha Bug","","","","","1","2","93","70","23","75.27"
"Budnumbal","1","1","0","0","1","4","269","59","210","21.93"
"Bugna","1","0","0","1","1","1","16","0","16","0.00"
"Buhi Pora","","","","","1","3","341","218","123","63.93"
"Bumhama","","","","","1","5","453","278","175","61.37"
"Bunagam","","","","","1","2","109","69","40","63.30"
"Chaka Poran","","","","","1","1","24","24","0","100.00"
"Cham Koote","","","","","1","2","213","125","88","58.69"
"Cham Pora","","","","","1","2","164","143","21","87.20"
"Chandi Gam","","","","","1","6","462","127","335","27.49"
"Chani Pora Bala","","","","","1","2","114","75","39","65.79"
"Chani Pora Pain","","","","","1","1","164","85","79","51.83"
"Chat Kari","","","","","1","1","32","32","0","100.00"
"Chatar Koote","","","","","1","1","142","120","22","84.51"
"Checki Bakshi","","","","","1","1","30","30","0","100.00"
"Checki Kaliloan","1","0","0","1","1","2","70","0","70","0.00"
"Cheer Kote","","","","","1","1","96","96","0","100.00"
"Cheeri Koot","","","","","1","10","424","111","313","26.18"
"Chera Mandi","","","","","1","2","68","68","0","100.00"
"Chera Pawa","","","","","1","1","93","20","73","21.51"
"Chinja Mula","","","","","1","1","132","132","0","100.00"
"Choti Pora","","","","","1","1","51","51","0","100.00"
"Chowkibal","","","","","1","7","433","382","51","88.22"
"Chrali Gund","","","","","1","4","119","22","97","18.49"
"Chugal","","","","","1","3","309","260","49","84.14"
"Chunti Pora","","","","","1","3","148","106","42","71.62"
"Chunti Wari","1","0","0","1","1","5","484","345","139","71.28"
"Dab Bal","","","","","1","4","475","475","0","100.00"
"Dahama","","","","","1","3","420","382","38","90.95"
"Dara Pora (CT)","","","","","1","4","598","442","156","73.91"
"Darabal Bala","","","","","1","2","37","22","15","59.46"
"Darabal Pain","","","","","1","1","78","0","78","0.00"
"Daramwari","","","","","1","2","76","46","30","60.53"
"Dard Hari Khar Gund","","","","","1","3","316","280","36","88.61"
"Dard Pora","1","1","0","0","1","18","811","752","59","92.73"
"Dard Pora","1","1","0","0","1","9","764","562","202","73.56"
"Dard Sun Resh Gund","","","","","1","3","403","335","68","83.13"
"Darel","","","","","1","3","278","198","80","71.22"
"Dedar Pora","","","","","1","2","549","504","45","91.80"
"Dedi Koot","","","","","1","5","333","228","105","68.47"
"Dever Inder Bug","","","","","1","14","1503","723","780","48.10"
"Dhanni","","","","","1","1","188","115","73","61.17"
"Dildar","","","","","1","4","668","484","184","72.46"
"Doli Pora","","","","","1","6","169","123","46","72.78"
"Doni Wari","","","","","1","6","246","88","158","35.77"
"Dowlat Pora  ( Panju Dangri)","","","","","1","5","678","500","178","73.75"
"Dragar","","","","","1","1","105","75","30","71.43"
"Drangla Bayadi","","","","","1","2","159","65","94","40.88"
"Drooch Wani","","","","","1","5","479","300","179","62.63"
"Drug Mulla (CT)","","","","","1","11","1458","812","646","55.69"
"Drungsu Shhnagri","","","","","1","3","186","109","77","58.60"
"Duda Kuhl","","","","","1","2","41","0","41","0.00"
"Dudi","","","","","1","7","338","338","0","100.00"
"Dudi Pora","","","","","1","4","245","209","36","85.31"
"Dugri Pora","","","","","1","1","241","241","0","100.00"
"Farkan","","","","","1","7","415","377","38","90.84"
"Forest Block","1","0","0","1","1","6","883","0","883","0.00"
"Forest Block","1","0","0","1","1","1","883","0","883","0.00"
"Forest Block","1","0","0","1","1","1","883","883","0","100.00"
"Gagal","","","","","1","18","849","277","572","32.63"
"Gana Pora","","","","","1","1","242","208","34","85.95"
"Gasla","1","0","0","1","1","1","23","0","23","0.00"
"Geri Pora","","","","","1","2","159","130","29","81.76"
"Glura","","","","","1","1","291","205","86","70.45"
"Gofa Bal","","","","","1","1","34","34","0","100.00"
"Gomal","","","","","1","1","147","130","17","88.44"
"Gotangoo","","","","","1","3","94","45","49","47.87"
"Gulgam","","","","","1","3","598","550","48","91.97"
"Gund Chabutra","","","","","1","4","299","230","69","76.92"
"Gund Gushi","","","","","1","1","90","0","90","0.00"
"Gund Kamal","","","","","1","2","86","52","34","60.47"
"Gund Razak","","","","","1","1","58","58","0","100.00"
"Gundi  Jahangeer","","","","","1","3","118","56","62","47.46"
"Gundi Gojran","","","","","1","5","263","75","188","28.52"
"Gundi Lasa Shah","","","","","1","1","28","28","0","100.00"
"Gundi momin","","","","","1","1","79","79","0","100.00"
"Gundi Sayedan","","","","","1","1","79","70","9","88.61"
"Gundi Shorth","","","","","1","1","40","25","15","62.50"
"Gundi Zuni Reshi","","","","","1","6","323","263","60","81.42"
"Gung Bug","","","","","1","4","141","88","53","62.41"
"Gungloosa (Gugloosa)","","","","","1","3","393","350","43","89.06"
"Guri Aker","","","","","1","1","152","152","0","100.00"
"Gushi","","","","","1","3","463","328","135","70.84"
"Guzriyal","","","","","1","4","320","287","33","89.69"
"Hafrada","","","","","1","5","597","52","545","8.71"
"Haider Mari","","","","","1","2","75","40","35","53.33"
"Hajan","","","","","1","3","143","86","57","60.14"
"Hajinar","","","","","1","1","214","120","94","56.07"
"Hajitrah","","","","","1","3","353","262","91","74.22"
"Hakcher Pora","","","","","1","1","23","23","0","100.00"
"Halmat Pora","","","","","1","12","762","257","505","33.73"
"Ham Pora","","","","","1","2","162","115","47","70.99"
"Hangah","","","","","1","1","323","323","0","100.00"
"Hangni Kot","","","","","1","1","262","262","0","100.00"
"Hanji Pora","","","","","1","2","118","95","23","80.51"
"Hanji Shat","","","","","1","1","75","75","0","100.00"
"Har Duing","","","","","1","2","379","379","0","100.00"
"Harawat","","","","","1","2","119","84","35","70.59"
"Hardunu","","","","","1","2","174","174","0","100.00"
"Harel","","","","","1","2","343","310","33","90.38"
"Hari Pora","","","","","1","1","169","169","0","100.00"
"Harni Pora","","","","","1","1","22","22","0","100.00"
"Hat Mulla","","","","","1","3","282","233","49","82.62"
"Hayan","","","","","1","3","467","410","57","87.79"
"Hayat Pora","","","","","1","3","201","104","97","51.74"
"Hayihama","","","","","1","24","3407","2056","1351","60.35"
"Heri (CT)","","","","","1","2","335","310","25","92.54"
"Hindwal","","","","","1","1","32","32","0","100.00"
"Hundi","","","","","1","3","257","202","55","78.60"
"Ibkoote","","","","","1","3","257","150","107","58.37"
"Jabri","","","","","1","1","69","35","34","50.72"
"Jagar Pur","","","","","1","2","354","330","24","93.22"
"Jahama","","","","","1","1","135","135","0","100.00"
"Juma Gund","1","0","0","1","1","2","280","0","280","0.00"
"Kachi Hama","1","1","0","0","1","9","613","551","62","89.89"
"Kachlu Qazi Pora","","","","","1","2","217","203","14","93.55"
"Kachri","","","","","1","1","60","60","0","100.00"
"Kal Mona","","","","","1","1","191","191","0","100.00"
"Kalarooch","","","","","1","33","5738","5218","520","90.94"
"Kali Pora","","","","","1","1","70","70","0","100.00"
"Kandi","","","","","1","3","749","475","274","63.42"
"Kandi  Khas","","","","","1","3","876","876","0","100.00"
"Kar Hama","","","","","1","4","185","114","71","61.62"
"Kargam","","","","","1","1","210","210","0","100.00"
"Karhama","","","","","1","2","81","21","60","25.93"
"Kawa Wari","","","","","1","1","218","218","0","100.00"
"Kawari","","","","","1","4","242","172","70","71.07"
"Keran","1","1","0","0","1","17","695","405","290","58.27"
"Khai Pora","","","","","1","1","134","134","0","100.00"
"Khai Pora","","","","","1","1","198","198","0","100.00"
"Khan Pora","","","","","1","1","343","343","0","100.00"
"Khana Gund","","","","","1","1","52","52","0","100.00"
"Khantha Wali (Shalun Bhatta)","1","0","0","1","1","2","129","0","129","0.00"
"Khanti Pora","","","","","1","4","401","270","131","67.33"
"Khawar Ware","","","","","1","1","48","48","0","100.00"
"Khawarpara","","","","","1","1","564","380","184","67.38"
"Khir Man  Tilak Chand","","","","","1","1","103","103","0","100.00"
"Khonu Baba Gund","","","","","1","2","173","127","46","73.41"
"Khudi","","","","","1","1","117","117","0","100.00"
"Khumriyal","","","","","1","8","867","593","274","68.40"
"Khurhama","","","","","1","22","1006","560","446","55.67"
"Kigam","","","","","1","2","455","342","113","75.16"
"Kinal","","","","","1","2","201","145","56","72.14"
"Kohnagabra","","","","","1","6","162","144","18","88.89"
"Kral Pora (CT)","","","","","1","4","145","105","40","72.41"
