"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Alchi","","","","","1","3","105","90","15","85.71"
"Anlay","","","","","1","2","343","322","21","93.88"
"Bazgoo","","","","","1","4","214","214","0","100.00"
"Bogdang","","","","","1","4","249","200","49","80.32"
"Chamshan Charasa","","","","","1","3","244","172","72","70.49"
"Changa","","","","","1","1","54","54","0","100.00"
"Chemrey","","","","","1","1","302","0","302","0.00"
"Chiling Sumda","1","0","0","1","1","4","117","0","117","0.00"
"Chuchat Yakma","","","","","1","1","288","288","0","100.00"
"Chuchoot Gongma","","","","","1","2","522","522","0","100.00"
"Chuchot Shama","","","","","1","1","314","314","0","100.00"
"Chuglamsar (CT)","","","","","1","3","270","239","31","88.52"
"Chulungkha","","","","","1","2","46","25","21","54.35"
"Chumathang","","","","","1","3","139","84","55","60.43"
"Chushul","1","1","0","0","1","7","357","301","56","84.31"
"Dah","","","","","1","6","103","98","5","95.15"
"Damkhar","","","","","1","5","214","214","0","100.00"
"Demjok","","","","","1","1","22","0","22","0.00"
"Digger","1","0","0","1","1","1","62","31","31","50.00"
"Diskit","","","","","1","1","496","496","0","100.00"
"Durbok","","","","","1","6","157","136","21","86.62"
"Fiang","","","","","1","6","320","320","0","100.00"
"Fotoksar","","","","","1","1","36","0","36","0.00"
"Gia","","","","","1","4","133","0","133","0.00"
"Giramangu","1","1","0","0","1","5","72","72","0","100.00"
"Hamis","","","","","1","1","32","0","32","0.00"
"Hanoo","","","","","1","5","175","175","0","100.00"
"Hemishok Pachan","","","","","1","6","265","221","44","83.40"
"Himya","","","","","1","2","65","65","0","100.00"
"Hundar","","","","","1","1","243","243","0","100.00"
"Hundar Dok","1","0","0","1","1","2","33","0","33","0.00"
"Hundri","","","","","1","2","98","36","62","36.73"
"Igoo","","","","","1","3","221","0","221","0.00"
"Kanji","","","","","1","1","44","0","44","0.00"
"Kargyam","","","","","1","1","20","20","0","100.00"
"Karzok","","","","","1","5","427","251","176","58.78"
"Kerey","","","","","1","4","71","32","39","45.07"
"Khalsar","","","","","1","3","124","92","32","74.19"
"Khaltse","1","1","0","0","1","7","199","140","59","70.35"
"Khardong","","","","","1","4","230","181","49","78.70"
"Kharnak","","","","","1","2","92","0","92","0.00"
"Kharoo","","","","","1","1","45","0","45","0.00"
"Khemakhungiu","","","","","1","4","192","86","106","44.79"
"Khemi","","","","","1","6","125","52","73","41.60"
"Koyul","1","1","0","0","1","3","162","127","35","78.40"
"Kubed","","","","","1","7","488","452","36","92.62"
"Kumgyam","","","","","1","3","195","133","62","68.21"
"Lakjung","","","","","1","3","102","87","15","85.29"
"Lamayouro","1","1","0","0","1","5","140","65","75","46.43"
"Langokor","","","","","1","1","17","0","17","0.00"
"Largiab","1","0","0","1","1","4","186","0","186","0.00"
"Leido","","","","","1","1","34","34","0","100.00"
"Likir","","","","","1","3","244","244","0","100.00"
"Liktse","","","","","1","1","47","47","0","100.00"
"Lingshet","1","0","0","1","1","8","176","0","176","0.00"
"Man Pangong","1","1","0","0","1","6","147","111","36","75.51"
"Manser","","","","","1","1","4","0","4","0.00"
"Mathoo","","","","","1","6","1288","1288","0","100.00"
"Matselang","","","","","1","1","78","0","78","0.00"
"Meroo","","","","","1","1","38","0","38","0.00"
"Mood","","","","","1","3","287","287","0","100.00"
"Nang","","","","","1","1","341","341","0","100.00"
"Ney","","","","","1","3","158","158","0","100.00"
"Nimo","","","","","1","3","180","180","0","100.00"
"Nurla","","","","","1","2","60","60","0","100.00"
"Nyoma","","","","","1","3","368","368","0","100.00"
"Panamic","","","","","1","5","59","0","59","0.00"
"Partap Pore","","","","","1","1","119","99","20","83.19"
"Phey","","","","","1","1","66","66","0","100.00"
"Phuktse","","","","","1","1","59","0","59","0.00"
"Rambir Por","","","","","1","1","98","98","0","100.00"
"Rumbak","1","1","0","0","1","4","59","59","0","100.00"
"Saboo","","","","","1","5","176","176","0","100.00"
"Sakti","","","","","1","4","375","0","375","0.00"
"Samad Rakchan","1","0","0","1","1","2","98","0","98","0.00"
"Saspochey","","","","","1","2","41","41","0","100.00"
"Shachokol","","","","","1","3","151","151","0","100.00"
"Shang","","","","","1","4","128","0","128","0.00"
"Shara","","","","","1","4","104","13","91","12.50"
"Sharnose","","","","","1","1","30","0","30","0.00"
"Shey","","","","","1","1","294","294","0","100.00"
"Skanpuk","","","","","1","1","88","88","0","100.00"
"Skinlingyong","","","","","1","1","40","40","0","100.00"
"Skitmang","","","","","1","3","106","59","47","55.66"
"Skiumarkha","1","0","0","1","1","7","167","0","167","0.00"
"Skur Buchan","","","","","1","10","569","523","46","91.92"
"Skuru","","","","","1","2","76","55","21","72.37"
"Spituk (CT)","","","","","1","4","860","860","0","100.00"
"Stakna","","","","","1","1","73","73","0","100.00"
"Stok","","","","","1","1","238","238","0","100.00"
"Sumoor","","","","","1","1","139","139","0","100.00"
"Suspol","","","","","1","3","71","71","0","100.00"
"Tagste","","","","","1","7","236","168","68","71.19"
"Takmachik","","","","","1","5","181","133","48","73.48"
"Taksi","","","","","1","2","112","112","0","100.00"
"Tangyar","","","","","1","2","83","29","54","34.94"
"Tarchit","","","","","1","1","54","54","0","100.00"
"Tarhipti","1","0","0","1","1","3","69","0","69","0.00"
"Taroo","","","","","1","1","45","45","0","100.00"
"Temisgam","","","","","1","3","214","214","0","100.00"
"Terchey","","","","","1","1","55","55","0","100.00"
"Teri","1","1","0","0","1","2","32","12","20","37.50"
"Thanga Chathang","","","","","1","1","44","44","0","100.00"
"Thiksey","","","","","1","2","443","443","0","100.00"
"Tia","","","","","1","5","303","303","0","100.00"
"Tiggar","","","","","1","2","211","211","0","100.00"
"Tukla","","","","","1","1","65","65","0","100.00"
"Turtok","","","","","1","3","356","271","85","76.12"
"Udmaru","","","","","1","1","84","0","84","0.00"
"Umla","","","","","1","1","19","19","0","100.00"
"Upshi","","","","","1","1","38","0","38","0.00"
"Wanla","1","1","0","0","1","13","278","166","112","59.71"
"Warisfistan","1","0","0","1","1","3","57","19","38","33.33"
"Youl Chung","1","0","0","1","1","4","69","0","69","0.00"
"Total","19","9","0","10","114","343","19,952","15,274","4,678",""
