"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Ajot","","","","","1","5","110","49","61","44.55"
"Arai","","","","","1","4","219","134","85","61.19"
"Ari","","","","","1","12","460","256","204","55.65"
"Aslam Abad","","","","","1","2","72","38","34","52.78"
"Atoli","","","","","1","1","22","12","10","54.55"
"Azamabad","","","","","1","4","96","20","76","20.83"
"Bachian Wali","","","","","1","3","96","47","49","48.96"
"Bafliaz","","","","","1","7","267","137","130","51.31"
"Baila","","","","","1","1","59","30","29","50.85"
"Bala Kote","","","","","1","1","42","30","12","71.43"
"Balnoi","","","","","1","4","95","59","36","62.11"
"Bandi Checkiyan","","","","","1","4","96","39","57","40.63"
"Bandikama Khan","","","","","1","3","94","52","42","55.32"
"Banola(Banela)","","","","","1","1","20","5","15","25.00"
"Banpat","","","","","1","3","61","42","19","68.85"
"Basuni","","","","","1","3","78","39","39","50.00"
"Behrangala","","","","","1","4","150","109","41","72.67"
"Bhata Dhurian","","","","","1","13","353","182","171","51.56"
"Bhati Dhar","","","","","1","8","192","127","65","66.15"
"Bhenchh","","","","","1","3","65","40","25","61.54"
"Bhera","","","","","1","10","195","126","69","64.62"
"Bhroti","","","","","1","1","20","12","8","60.00"
"Brachhar","","","","","1","2","63","28","35","44.44"
"Buni Khet (Dhoonikhet)","","","","","1","2","119","66","53","55.46"
"Chak Banola","","","","","1","3","63","39","24","61.90"
"Chak Rara","","","","","1","1","25","10","15","40.00"
"Chaktroo","","","","","1","5","187","60","127","32.09"
"Chananser","","","","","1","1","30","0","30","0.00"
"Chandak","","","","","1","3","70","40","30","57.14"
"Chandi Marh","","","","","1","1","59","0","59","0.00"
"Chhajla","","","","","1","15","343","231","112","67.35"
"Chhambar Kanaria","","","","","1","1","42","22","20","52.38"
"Chhungan","","","","","1","6","130","97","33","74.62"
"Chikri Ban","","","","","1","3","103","67","36","65.05"
"Chilla","","","","","1","1","29","13","16","44.83"
"Chitral","","","","","1","2","50","37","13","74.00"
"Dabsi","","","","","1","3","72","59","13","81.94"
"Dahruti","","","","","1","1","23","15","8","65.22"
"Dalan","","","","","1","1","30","20","10","66.67"
"Dana Dhakran","","","","","1","1","31","15","16","48.39"
"Danadoyian","","","","","1","2","56","42","14","75.00"
"Dandi Dhara","","","","","1","2","81","30","51","37.04"
"Danugam","","","","","1","2","107","51","56","47.66"
"Dara Dullian","","","","","1","5","158","63","95","39.87"
"Daraba","","","","","1","10","480","199","281","41.46"
"Darah Bagyal","","","","","1","2","50","20","30","40.00"
"Datote","","","","","1","1","12","2","10","16.67"
"Dedar Balnai (Bedar Balnai)","","","","","1","4","177","104","73","58.76"
"Degwar Tarwan","","","","","1","2","53","33","20","62.26"
"Dhangri","","","","","1","3","84","52","32","61.90"
"Dhara","","","","","1","6","236","84","152","35.59"
"Dhara Mohara","","","","","1","3","181","58","123","32.04"
"Dharana","","","","","1","8","148","98","50","66.22"
"Dharatti","","","","","1","4","88","34","54","38.64"
"Dhargloon","","","","","1","7","179","80","99","44.69"
"Dhokri","","","","","1","1","30","13","17","43.33"
"Dingla","","","","","1","2","82","20","62","24.39"
"Dobraj(Dabraj)","","","","","1","3","63","42","21","66.67"
"Dodi","","","","","1","4","142","46","96","32.39"
"Dogey (Dogran)","","","","","1","3","99","30","69","30.30"
"Dundhak","","","","","1","2","102","30","72","29.41"
"Fatehpur","","","","","1","2","56","20","36","35.71"
"Fazal Abad (Gundi)","","","","","1","9","344","235","109","68.31"
"Gagrian","","","","","1","4","92","20","72","21.74"
"Galhuta","","","","","1","9","231","161","70","69.70"
"Gali","","","","","1","2","99","65","34","65.66"
"Gaunthal","","","","","1","9","334","188","146","56.29"
"Ghani","","","","","1","7","172","110","62","63.95"
"Gohlad","","","","","1","13","243","151","92","62.14"
"Gursahi","","","","","1","16","446","305","141","68.39"
"Hari","","","","","1","11","373","146","227","39.14"
"Hari Budha","","","","","1","5","126","63","63","50.00"
"Harni","","","","","1","2","55","41","14","74.55"
"Jalian","","","","","1","1","23","13","10","56.52"
"Jandrola","","","","","1","3","84","52","32","61.90"
"Jaran Wali Gali","","","","","1","2","32","22","10","68.75"
"Jhulas","","","","","1","5","115","76","39","66.09"
"Jugal","","","","","1","6","132","92","40","69.70"
"Kala Ban","","","","","1","7","134","104","30","77.61"
"Kalai","","","","","1","3","116","85","31","73.28"
"Kalani","","","","","1","1","29","24","5","82.76"
"Kalar Kattal","","","","","1","7","303","152","151","50.17"
"Kalar Mohra","","","","","1","6","144","108","36","75.00"
"Kankote","","","","","1","1","17","7","10","41.18"
"Kanuian","","","","","1","4","91","68","23","74.73"
"Karmara","","","","","1","1","30","15","15","50.00"
"Kas Balari","","","","","1","12","318","163","155","51.26"
"Kehnu","","","","","1","1","26","16","10","61.54"
"Khanetar","","","","","1","9","192","107","85","55.73"
"Kirni","","","","","1","1","30","15","15","50.00"
"Kolian","","","","","1","2","61","29","32","47.54"
"Kosalian","","","","","1","2","55","34","21","61.82"
"Kotan","","","","","1","8","159","92","67","57.86"
"Lanjote","","","","","1","1","15","10","5","66.67"
"Lassana","","","","","1","4","149","96","53","64.43"
"Lathung","","","","","1","2","91","62","29","68.13"
"Lohelbelah","","","","","1","3","83","60","23","72.29"
"Loran","","","","","1","21","591","220","371","37.23"
"Mahara","","","","","1","6","212","135","77","63.68"
"Maidan","","","","","1","4","77","58","19","75.32"
"Maidan","","","","","1","1","36","28","8","77.78"
"Malhan","","","","","1","2","58","19","39","32.76"
"Mandhar","","","","","1","1","17","0","17","0.00"
"Mandi","","","","","1","2","141","79","62","56.03"
"Mangnar","","","","","1","4","86","41","45","47.67"
"Mankote","","","","","1","9","222","176","46","79.28"
"Marhote","","","","","1","13","480","302","178","62.92"
"Markote","","","","","1","2","66","0","66","0.00"
"Marnote","","","","","1","2","44","27","17","61.36"
"Mohra Bachhai","","","","","1","4","165","104","61","63.03"
"Morha","","","","","1","17","824","529","295","64.20"
"Nabana","","","","","1","2","58","24","34","41.38"
"Naka Majiari (CT)","","","","","1","12","261","173","88","66.28"
"Nakarkote","","","","","1","1","20","10","10","50.00"
"Nangli","","","","","1","2","38","12","26","31.58"
"Nar","","","","","1","8","139","90","49","64.75"
"Naraian","","","","","1","2","100","58","42","58.00"
"Narol","","","","","1","3","46","27","19","58.70"
"Nona Bandi","","","","","1","2","50","22","28","44.00"
"Noorkote","","","","","1","1","30","15","15","50.00"
"Ochhad","","","","","1","7","163","114","49","69.94"
"Pamrote","","","","","1","2","70","50","20","71.43"
"Panjani","","","","","1","1","22","6","16","27.27"
"Pathanatir","","","","","1","5","93","52","41","55.91"
"Phagla","","","","","1","4","94","22","72","23.40"
"Pindi","","","","","1","1","34","14","20","41.18"
"Plera","","","","","1","2","67","42","25","62.69"
"Poshiana","","","","","1","3","104","19","85","18.27"
"Potha","","","","","1","12","577","392","185","67.94"
"Prat","","","","","1","5","98","63","35","64.29"
"Qasbah","","","","","1","2","43","20","23","46.51"
"Raj Pur","","","","","1","2","200","146","54","73.00"
"Ramlota","","","","","1","1","20","15","5","75.00"
"Sagra","","","","","1","2","52","29","23","55.77"
"Sailan","","","","","1","2","51","44","7","86.27"
"Sailani","","","","","1","4","102","60","42","58.82"
"Salotri","","","","","1","3","60","32","28","53.33"
"Salunian","","","","","1","6","178","70","108","39.33"
"Salwah","","","","","1","12","296","225","71","76.01"
"Samote","","","","","1","4","145","113","32","77.93"
"Sandot","","","","","1","4","88","55","33","62.50"
"Sanei","","","","","1","10","380","225","155","59.21"
"Sangiot","","","","","1","13","284","157","127","55.28"
"Sangla","","","","","1","10","268","143","125","53.36"
"Sangliani","","","","","1","1","70","0","70","0.00"
"Saral","","","","","1","3","56","22","34","39.29"
"Sarhuti","","","","","1","3","110","73","37","66.36"
"Sasutah","","","","","1","1","14","10","4","71.43"
"Sathra","","","","","1","2","50","22","28","44.00"
"Sawajian","","","","","1","5","133","71","62","53.38"
"Seikhlu","","","","","1","1","21","11","10","52.38"
"Seri Chowan","","","","","1","4","99","64","35","64.65"
"Serian","","","","","1","1","21","7","14","33.33"
"Serikhawaja","","","","","1","4","106","77","29","72.64"
"Seroi","","","","","1","1","21","11","10","52.38"
"Shahpur","","","","","1","3","58","15","43","25.86"
"Shindhra","","","","","1","8","205","144","61","70.24"
"Sohala","","","","","1","1","22","14","8","63.64"
"Surankot","","","","","1","3","104","74","30","71.15"
"Tarkundi (Un-inhabited)","","","","","1","1","25","10","15","40.00"
"Thera","","","","","1","3","65","49","16","75.38"
"Timira","","","","","1","1","18","0","18","0.00"
"Titri Note (Un-inhabited)","","","","","1","1","18","0","18","0.00"
"Topa","","","","","1","3","61","51","10","83.61"
"Traran Wali","","","","","1","7","294","202","92","68.71"
"Trichal","","","","","1","1","26","12","14","46.15"
"Total","0","0","0","0","166","702","20,786","11,738","9,048",""
