"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Agrat","","","","","1","11","330","143","187","43.33"
"Alal","","","","","1","8","486","384","102","79.01"
"Anand","","","","","1","1","79","79","0","100.00"
"Androla","","","","","1","6","288","260","28","90.28"
"Androth","","","","","1","11","331","91","240","27.49"
"Anwas Bhandar","","","","","1","4","60","60","0","100.00"
"Argi","","","","","1","5","364","364","0","100.00"
"Ati","","","","","1","4","209","184","25","88.04"
"Azmat Abad","","","","","1","5","262","183","79","69.85"
"Badhan","","","","","1","4","146","96","50","65.75"
"Badhanu","","","","","1","1","57","57","0","100.00"
"Badhog","","","","","1","1","95","95","0","100.00"
"Bagla","","","","","1","12","283","101","182","35.69"
"Bagnoti","","","","","1","2","341","307","34","90.03"
"Bahdaun","","","","","1","6","522","477","45","91.38"
"Bakhar","","","","","1","3","303","278","25","91.75"
"Balchaman","","","","","1","4","224","157","67","70.09"
"Baljaralan","","","","","1","3","88","26","62","29.55"
"Bambel","1","0","0","1","1","3","139","0","139","0.00"
"Bamlia","","","","","1","2","211","188","23","89.10"
"Bandrahi","","","","","1","3","198","179","19","90.40"
"Barah","","","","","1","6","286","130","156","45.45"
"Barhon","","","","","1","2","82","62","20","75.61"
"Barmandal","","","","","1","6","219","125","94","57.08"
"Barnara","","","","","1","4","180","141","39","78.33"
"Barsala","","","","","1","3","148","108","40","72.97"
"Basant Pur","","","","","1","2","162","145","17","89.51"
"Bataihli","","","","","1","1","112","112","0","100.00"
"Bathoni","","","","","1","3","269","201","68","74.72"
"Behinambal","","","","","1","6","215","131","84","60.93"
"Behtra","","","","","1","4","137","78","59","56.93"
"Beli Bhawan","","","","","1","1","97","97","0","100.00"
"Bhajnoa","","","","","1","2","263","263","0","100.00"
"Bhajwal","","","","","1","12","1119","1050","69","93.83"
"Bharot","","","","","1","8","699","628","71","89.84"
"Bhattian","","","","","1","5","986","956","30","96.96"
"Bhela","","","","","1","10","582","428","154","73.54"
"Bidha Kanna","","","","","1","7","405","349","56","86.17"
"Bohani","","","","","1","12","521","415","106","79.65"
"Bonthal","","","","","1","2","38","38","0","100.00"
"Brehvi","","","","","1","11","399","283","116","70.93"
"Budhal","","","","","1","6","263","263","0","100.00"
"Chahrol","","","","","1","2","51","23","28","45.10"
"Chak Jaralan","","","","","1","4","216","135","81","62.50"
"Chak Methani","","","","","1","1","175","175","0","100.00"
"Chak Mian","","","","","1","1","41","41","0","100.00"
"Chak Nawabad","","","","","1","2","173","173","0","100.00"
"Chak Pate","","","","","1","1","46","46","0","100.00"
"Chak Sarkar","","","","","1","1","24","24","0","100.00"
"Chak Sarkari","","","","","1","5","60","32","28","53.33"
"Chak Sarkari","","","","","1","1","3","3","0","100.00"
"Chak Tawela","","","","","1","2","175","175","0","100.00"
"Chakli","","","","","1","2","91","91","0","100.00"
"Chambi Trar","","","","","1","3","231","145","86","62.77"
"Changi Kangrial","","","","","1","2","160","160","0","100.00"
"Chanipur","","","","","1","4","155","82","73","52.90"
"Chariahn","","","","","1","4","156","130","26","83.33"
"Chattiar","","","","","1","7","188","105","83","55.85"
"Chawa","","","","","1","5","167","85","82","50.90"
"Chehni","","","","","1","9","446","359","87","80.49"
"Cheneni Bagala","","","","","1","1","45","45","0","100.00"
"Chhabardhara","","","","","1","1","95","95","0","100.00"
"Chilas","","","","","1","7","172","110","62","63.95"
"Chodri Nar","","","","","1","5","254","194","60","76.38"
"Chokian","","","","","1","9","607","213","394","35.09"
"Chovki Handan","","","","","1","13","877","754","123","85.97"
"Dabbar","","","","","1","9","332","196","136","59.04"
"Dabrot","","","","","1","5","206","140","66","67.96"
"Dahanur Jaralan","","","","","1","3","335","303","32","90.45"
"Dahrian","","","","","1","4","168","113","55","67.26"
"Dalhori","","","","","1","7","539","464","75","86.09"
"Dalhote","","","","","1","7","275","130","145","47.27"
"Dali","","","","","1","6","428","365","63","85.28"
"Dandwat","","","","","1","6","640","480","160","75.00"
"Dangot","","","","","1","5","158","40","118","25.32"
"Danhur Gorsian","","","","","1","4","131","98","33","74.81"
"Dani Dhar","","","","","1","5","346","290","56","83.82"
"Danna","","","","","1","1","33","33","0","100.00"
"Dara","","","","","1","3","230","230","0","100.00"
"Darbote","","","","","1","2","36","8","28","22.22"
"Darhal","","","","","1","15","496","327","169","65.93"
"Darman","","","","","1","6","503","238","265","47.32"
"Darnghar","","","","","1","2","96","96","0","100.00"
"Dasal Gujran","","","","","1","4","110","52","58","47.27"
"Dasal Jattan","","","","","1","4","158","82","76","51.90"
"Dasal Serian","","","","","1","2","73","43","30","58.90"
"Dayalah","","","","","1","4","180","180","0","100.00"
"Dedka (Bedka) (Un-inhabited)","","","","","1","1","5","5","0","100.00"
"Dehri Ralyot","","","","","1","12","613","570","43","92.99"
"Deoli","","","","","1","3","110","88","22","80.00"
"Deolian","","","","","1","1","86","86","0","100.00"
"Devak","","","","","1","6","357","338","19","94.68"
"Dhan Loharian","","","","","1","5","203","175","28","86.21"
"Dhanaka","","","","","1","1","255","255","0","100.00"
"Dhanar Dhedian","","","","","1","2","114","66","48","57.89"
"Dhangri","","","","","1","6","351","263","88","74.93"
"Dhanti","","","","","1","1","61","61","0","100.00"
"Dhanwan","","","","","1","2","109","109","0","100.00"
"Dhanwan","","","","","1","2","85","57","28","67.06"
"Dhanwan Kot","","","","","1","2","121","121","0","100.00"
"Dhar","","","","","1","3","109","61","48","55.96"
"Dhara Sanwla","","","","","1","6","294","268","26","91.16"
"Dharamsal","","","","","1","4","135","135","0","100.00"
"Dharat","","","","","1","9","511","220","291","43.05"
"Dhari Dhara","","","","","1","2","71","32","39","45.07"
