"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Ahdwa","","","","","1","3","237","203","34","85.65"
"Alanbas","","","","","1","1","520","520","0","100.00"
"Ashar","","","","","1","3","329","329","0","100.00"
"Ashmar","","","","","1","2","191","125","66","65.45"
"Badhol","","","","","1","1","22","8","14","36.36"
"Balhote","","","","","1","11","435","255","180","58.62"
"Balwat","","","","","1","4","340","84","256","24.71"
"Bandan","","","","","1","2","183","133","50","72.68"
"Bandhera","","","","","1","1","41","41","0","100.00"
"Banera  Jagir","","","","","1","3","83","20","63","24.10"
"Bankote","","","","","1","3","404","404","0","100.00"
"Barthal","","","","","1","1","78","78","0","100.00"
"Batli","","","","","1","3","214","165","49","77.10"
"Beruni Batote","","","","","1","3","80","80","0","100.00"
"Beruni Ramban","","","","","1","3","77","36","41","46.75"
"Bhajmasta","","","","","1","4","320","320","0","100.00"
"Bhangara","","","","","1","4","97","32","65","32.99"
"Bhathan","","","","","1","8","167","52","115","31.14"
"Bhehimdasa","","","","","1","6","190","77","113","40.53"
"Bohar Dhar","","","","","1","3","494","459","35","92.91"
"Chachahal","","","","","1","2","213","129","84","60.56"
"Chak Narwah  (Chakwah)","","","","","1","8","564","239","325","42.38"
"Chaka","","","","","1","2","143","143","0","100.00"
"Chakwah","","","","","1","3","159","131","28","82.39"
"Chamalwas","","","","","1","13","1451","1175","276","80.98"
"Chanchloo","","","","","1","4","482","482","0","100.00"
"Chander Kote","","","","","1","6","199","117","82","58.79"
"Charel Lamber","","","","","1","6","931","913","18","98.07"
"Chhachhwan","","","","","1","17","566","251","315","44.35"
"Chhampa","","","","","1","2","537","537","0","100.00"
"Chilla","","","","","1","1","28","18","10","64.29"
"Dalwah","","","","","1","15","1200","856","344","71.33"
"Damote","","","","","1","5","469","254","215","54.16"
"Daramen","","","","","1","1","122","101","21","82.79"
"Darham","","","","","1","4","749","650","99","86.78"
"Dehdah","","","","","1","6","536","360","176","67.16"
"Deogoal","","","","","1","4","628","628","0","100.00"
"Deswal","","","","","1","1","14","14","0","100.00"
"Dhalwas Dhaino (Dhalwas)","","","","","1","1","351","351","0","100.00"
"Dhandla","","","","","1","1","21","0","21","0.00"
"Dhandnat","","","","","1","11","349","164","185","46.99"
"Dhanmasta","","","","","1","11","714","677","37","94.82"
"Dhar","","","","","1","3","145","42","103","28.97"
"Dharalta","","","","","1","1","165","165","0","100.00"
"Dharli","","","","","1","1","21","21","0","100.00"
"Dharmond","","","","","1","1","241","241","0","100.00"
"Dhothan Jagir","","","","","1","5","143","58","85","40.56"
"Digdole","","","","","1","1","125","101","24","80.80"
"Dolegam","","","","","1","10","1157","1108","49","95.76"
"Dukson","","","","","1","1","171","171","0","100.00"
"Famroot","","","","","1","3","157","80","77","50.96"
"Forest Block","","","","","1","1","19","19","0","100.00"
"Gam","","","","","1","6","185","62","123","33.51"
"Gandhote","","","","","1","1","295","175","120","59.32"
"Gandri","","","","","1","3","261","217","44","83.14"
"Ganote","","","","","1","7","356","208","148","58.43"
"Ghari","","","","","1","3","257","194","63","75.49"
"Gool","","","","","1","16","1800","1348","452","74.89"
"Gund Adalkoot","","","","","1","6","618","618","0","100.00"
"Gund Thathar","","","","","1","4","188","168","20","89.36"
"Gundi","","","","","1","6","629","468","161","74.40"
"Halla","","","","","1","1","492","492","0","100.00"
"Haroge","","","","","1","7","190","13","177","6.84"
"Hiller","","","","","1","1","118","72","46","61.02"
"Hoochak","","","","","1","5","412","412","0","100.00"
"Ind","","","","","1","7","316","146","170","46.20"
"Jhat Gali","","","","","1","1","292","256","36","87.67"
"Kahbi Jagir","","","","","1","2","285","231","54","81.05"
"Kalimasta","1","0","0","1","1","6","245","0","245","0.00"
"Kamet","","","","","1","6","254","117","137","46.06"
"Kanfar","","","","","1","5","300","217","83","72.33"
"Kanthi","","","","","1","4","420","335","85","79.76"
"Karawa","","","","","1","4","339","339","0","100.00"
